Tournament,Tournament ID,Stage,Stage ID,Match Type,Match Type ID,Year
Champions Tour Brazil Stage 2: Challengers 2,364,Main Event,757.0,Opening (A),3872.0,2021
Champions Tour Brazil Stage 2: Challengers 2,364,Main Event,757.0,Opening (B),3876.0,2021
Champions Tour Brazil Stage 2: Challengers 2,364,Main Event,757.0,Winner's (A),3873.0,2021
Champions Tour Brazil Stage 2: Challengers 2,364,Main Event,757.0,Winner's (B),3877.0,2021
Champions Tour Brazil Stage 2: Challengers 2,364,Open Qualifier,758.0,Quarterfinals,3852.0,2021
Champions Tour Brazil Stage 2: Challengers 2,364,Open Qualifier,758.0,Round of 16,3851.0,2021
Champions Tour Brazil Stage 2: Challengers 3,365,All Stages,,All Match Types,,2021
Champions Tour Brazil Stage 2: Challengers 3,365,Main Event,759.0,Decider (A),4189.0,2021
Champions Tour Brazil Stage 2: Challengers 3,365,Main Event,759.0,Decider (B),4193.0,2021
Champions Tour Brazil Stage 2: Challengers 3,365,Main Event,759.0,Elimination (A),4188.0,2021
Champions Tour Brazil Stage 2: Challengers 3,365,Main Event,759.0,Elimination (B),4192.0,2021
Champions Tour Brazil Stage 2: Challengers 3,365,Main Event,759.0,Opening (A),4186.0,2021
Champions Tour Brazil Stage 2: Challengers 3,365,Main Event,759.0,Opening (B),4190.0,2021
Champions Tour Brazil Stage 2: Challengers 3,365,Main Event,759.0,Winner's (A),4187.0,2021
Champions Tour Brazil Stage 2: Challengers 3,365,Main Event,759.0,Winner's (B),4191.0,2021
Champions Tour Brazil Stage 2: Challengers 3,365,Open Qualifier #3,760.0,Quarterfinals,4010.0,2021
Champions Tour Brazil Stage 2: Challengers 3,365,Open Qualifier #3,760.0,Round of 16,4009.0,2021
Champions Tour Brazil Stage 2: Challengers Finals,366,All Stages,,All Match Types,,2021
Champions Tour Brazil Stage 2: Challengers Finals,366,Main Event,761.0,Grand Final,4341.0,2021
Champions Tour Brazil Stage 2: Challengers Finals,366,Main Event,761.0,Lower Bracket Final,4340.0,2021
Champions Tour Brazil Stage 2: Challengers Finals,366,Main Event,761.0,Lower Bracket Round 1,4337.0,2021
Champions Tour Brazil Stage 2: Challengers Finals,366,Main Event,761.0,Lower Bracket Round 2,4338.0,2021
Champions Tour Brazil Stage 2: Challengers Finals,366,Main Event,761.0,Lower Bracket Round 3,4339.0,2021
Champions Tour Brazil Stage 2: Challengers Finals,366,Main Event,761.0,Upper Bracket Final,4336.0,2021
