Tournament,Tournament ID,Stage,Stage ID,Match Type,Match Type ID,Match Name,Match ID,Map,Game ID,Year
Valorant Champions 2021,449,Playoffs,1486,Quarterfinals,8276,Team Liquid vs Cloud9,51291,Bind,57966,2021
Valorant Champions 2021,449,Playoffs,1486,Quarterfinals,8276,Team Liquid vs Cloud9,51291,Ascent,57967,2021
Valorant Champions 2021,449,Playoffs,1486,Quarterfinals,8276,Gambit Esports vs X10 Esports,51292,Fracture,57969,2021
Valorant Champions 2021,449,Playoffs,1486,Quarterfinals,8276,Gambit Esports vs X10 Esports,51292,Ascent,57970,2021
Valorant Champions 2021,449,Playoffs,1486,Quarterfinals,8276,Gambit Esports vs X10 Esports,51292,Breeze,57971,2021
Valorant Champions 2021,449,Playoffs,1486,Quarterfinals,8276,FNATIC vs KRÜ Esports,51293,Haven,57972,2021
Valorant Champions 2021,449,Playoffs,1486,Quarterfinals,8276,FNATIC vs KRÜ Esports,51293,Icebox,57973,2021
Valorant Champions 2021,449,Playoffs,1486,Quarterfinals,8276,FNATIC vs KRÜ Esports,51293,Split,57974,2021
Valorant Champions 2021,449,Playoffs,1486,Semifinals,8277,Acend vs Team Liquid,51294,Bind,57975,2021
Valorant Champions 2021,449,Playoffs,1486,Semifinals,8277,Acend vs Team Liquid,51294,Split,57976,2021
Valorant Champions 2021,449,Playoffs,1486,Semifinals,8277,Gambit Esports vs KRÜ Esports,51295,Breeze,57978,2021
Valorant Champions 2021,449,Playoffs,1486,Semifinals,8277,Gambit Esports vs KRÜ Esports,51295,Ascent,57979,2021
Valorant Champions 2021,449,Playoffs,1486,Semifinals,8277,Gambit Esports vs KRÜ Esports,51295,Bind,57980,2021
Valorant Champions 2021,449,Playoffs,1486,Grand Final,8278,Acend vs Gambit Esports,51296,Breeze,57981,2021
Valorant Champions 2021,449,Playoffs,1486,Grand Final,8278,Acend vs Gambit Esports,51296,Ascent,57982,2021
Valorant Champions 2021,449,Playoffs,1486,Grand Final,8278,Acend vs Gambit Esports,51296,Fracture,57983,2021
Valorant Champions 2021,449,Playoffs,1486,Grand Final,8278,Acend vs Gambit Esports,51296,Icebox,57984,2021
Valorant Champions 2021,449,Playoffs,1486,Grand Final,8278,Acend vs Gambit Esports,51296,Split,57985,2021
Champions Tour North America: Last Chance Qualifier,558,Main Event,1094,Upper Quarterfinals,7644,100 Thieves vs Gen.G,43764,Breeze,53279,2021
Champions Tour North America: Last Chance Qualifier,558,Main Event,1094,Upper Quarterfinals,7644,100 Thieves vs Gen.G,43764,Split,53280,2021
Champions Tour North America: Last Chance Qualifier,558,Main Event,1094,Upper Quarterfinals,7644,100 Thieves vs Gen.G,43764,Icebox,53281,2021
Champions Tour North America: Last Chance Qualifier,558,Main Event,1094,Upper Quarterfinals,7644,XSET vs Luminosity,43765,Haven,53282,2021
Champions Tour North America: Last Chance Qualifier,558,Main Event,1094,Upper Quarterfinals,7644,XSET vs Luminosity,43765,Ascent,53283,2021
