Agents
"viper, breach, cypher"
"sage, breach, yoru"
"astra, breach, skye"
"reyna, raze, killjoy, cypher"
"breach, cypher, chamber"
"omen, astra, viper, reyna"
"kayo, sova"
"chamber, sage, viper"
"raze, chamber, kayo"
"jett, raze, viper, sova, breach"
"omen, breach, cypher"
"jett, sage, sova, breach"
"viper, kayo, jett"
"omen, breach, viper"
"cypher, chamber, reyna, phoenix, omen"
"astra, omen, viper"
"cypher, sova, breach"
"viper, reyna, astra"
"brimstone, fade, omen, viper"
"astra, raze, sage"
"raze, kayo, viper"
"neon, sage, chamber, skye, kayo"
"raze, sage, astra"
"killjoy, sage, kayo"
"reyna, raze, jett"
"astra, jett, reyna"
"sova, brimstone, reyna"
"cypher, brimstone, omen"
"cypher, breach, viper, astra, killjoy"
"sova, sage, breach, astra"
"jett, sage, raze, sova, phoenix"
"sova, omen, killjoy, viper"
"cypher, skye, breach"
"astra, sova, jett"
"kayo, jett, killjoy"
"cypher, sage, chamber, skye, viper, brimstone, sova, killjoy"
"cypher, breach, sova"
"brimstone, sova, astra, reyna, breach"
"sage, cypher, sova"
"reyna, brimstone, sova, phoenix"
"omen, viper, sova, astra"
"astra, sage, raze"
"neon, jett, chamber, omen"
"sage, sova, viper"
"brimstone, killjoy, chamber"
"sage, raze, breach"
"raze, sage, skye, killjoy"
"astra, cypher, sage"
"cypher, sage, chamber, reyna, viper, killjoy"
"sage, cypher, skye"
"raze, cypher, jett"
"kayo, cypher"
"viper, sage, cypher, skye"
"sova, astra, raze, skye"
"jett, viper, omen"
"breach, skye, gekko"
"cypher, kayo, skye"
"viper, chamber"
"viper, sova, cypher"
"jett, chamber, skye, brimstone, omen"
"sova, killjoy"
"viper, kayo, sage, phoenix"
"sova, phoenix, raze"
"skye, sova, jett"
"cypher, astra, sova, viper"
"sova, killjoy, kayo, fade"
"sova, viper, kayo, fade"
"neon, sage, killjoy"
"killjoy, viper, sage"
"cypher, breach, skye, jett"
"viper, skye, astra"
"sage, breach, cypher"
"cypher, sova, skye"
"sage, omen, sova"
"cypher, kayo, breach, reyna"
"jett, chamber, breach, reyna"
"jett, sage, raze, viper, reyna"
"raze, chamber, fade"
"viper, neon, brimstone"
"jett, sage, reyna"
"astra, sova"
"sova, killjoy, breach, skye"
"astra, breach"
"sova, skye, reyna"
"viper, cypher, kayo, killjoy"
"sova, breach, skye, fade"
"viper, omen, killjoy"
"killjoy, chamber, cypher"
"cypher, sage, skye, viper, kayo, killjoy"
"omen, reyna, sova"
"yoru, jett, reyna"
"kayo, breach, cypher, viper"
"raze, sova, killjoy"
"cypher, astra, chamber, killjoy"
"chamber, cypher, breach"
"skye, phoenix, sage"
"jett, viper, raze"
"jett, breach, sage"
"killjoy, astra, omen"
"jett, killjoy, cypher, viper, omen, reyna, brimstone"
"astra, cypher, kayo"
"breach, killjoy, viper"
"skye, viper, kayo, raze, sova"
"cypher, reyna"
"viper, astra, sova, jett"
"sage, chamber, astra"
"breach, skye, viper, kayo, brimstone"
"kayo, skye, viper, breach"
"kayo, raze, cypher, sage, sova"
"jett, killjoy, sage, raze, sova"
"jett, reyna"
"yoru, killjoy, cypher, phoenix"
"breach, viper, kayo, brimstone, omen"
"sage, astra, sova"
"omen, cypher, sage, brimstone"
"breach, viper, astra"
"jett, sage, raze, cypher, sova, phoenix"
"omen, sova, killjoy, brimstone"
"cypher, sage, kayo, fade, killjoy"
"omen, chamber, killjoy"
"sage, skye, viper"
"sova, sage, skye, reyna"
"kayo, killjoy, fade"
"cypher, skye, killjoy, raze"
"raze, phoenix, sage"
"skye, harbor, killjoy, kayo, breach"
"jett, sage, raze, phoenix, brimstone"
"neon, sage, breach, reyna, viper, kayo, sova, omen"
"kayo, cypher, skye"
"phoenix, jett, raze"
"viper, cypher, omen"
"cypher, chamber, viper, sova, killjoy"
"omen, viper, killjoy"
"omen, kayo, skye"
"brimstone, sage, raze"
"chamber, astra, breach"
"jett, raze, kayo"
"neon, kayo, skye, raze"
"jett, skye, breach, cypher"
"sage, breach, jett, skye, kayo, astra"
"omen, viper, sage, brimstone"
"viper, astra, kayo, chamber"
"sova, chamber, breach, killjoy"
"astra, brimstone, omen"
"sage, breach, raze"
"cypher, chamber, viper, killjoy, omen"
"killjoy, chamber, jett"
"skye, breach, brimstone"
"kayo, breach"
"kayo, brimstone, astra, sova, omen"
"omen, sova, sage, chamber"
"reyna, sage, yoru"
"brimstone, viper, omen"
"reyna, skye, jett"
"cypher, raze, killjoy"
"omen, breach, phoenix"
"omen, astra, chamber"
"brimstone, omen, sage"
"chamber, killjoy, cypher"
"sage, jett, kayo, brimstone, killjoy, omen"
"chamber, skye, cypher"
"viper, skye"
"killjoy, chamber"
"reyna, raze, kayo"
"killjoy, sage, cypher, sova, breach"
"cypher, sova, breach, fade"
"viper, sage, raze, phoenix"
"cypher, chamber, breach"
"brimstone, jett, skye"
"neon, sage, jett, chamber, raze, fade"
"killjoy, breach, astra, cypher"
"kayo, viper, killjoy, breach, omen"
"jett, killjoy, cypher"
"breach, skye, phoenix"
"gekko, skye, killjoy, fade"
"cypher, astra, viper, breach"
"sage, chamber, breach, viper, kayo, killjoy"
"reyna, sova, sage, skye"
"kayo, fade, raze"
"jett, sage, raze, phoenix, breach"
"neon, jett, viper, raze, brimstone"
"chamber, reyna, viper, kayo, raze, astra"
"neon, chamber, skye, kayo, raze"
"kayo, astra, skye"
"cypher, breach, skye, reyna, astra"
"yoru, jett, sage"
"killjoy, omen, brimstone"
"jett, killjoy, yoru"
"kayo, skye, killjoy, sage, raze, breach"
"sova, brimstone, fade"
"cypher, sage, skye, reyna, kayo"
"killjoy, chamber, brimstone"
"sage, raze, viper"
"jett, chamber, reyna"
