Tournament,Stage,Match Type,Match Name,Map
Valorant Champions 2021,Group Stage,Opening (D),Vision Strikers vs FULL SENSE,Haven
Valorant Champions 2021,Group Stage,Opening (D),Vision Strikers vs FULL SENSE,Breeze
Valorant Champions 2021,Group Stage,Opening (C),Team Vikings vs Crazy Raccoon,Icebox
Valorant Champions 2021,Group Stage,Opening (C),Team Vikings vs Crazy Raccoon,Haven
Valorant Champions 2021,Group Stage,Opening (D),FNATIC vs Cloud9,Icebox
Valorant Champions 2021,Group Stage,Opening (D),FNATIC vs Cloud9,Split
Valorant Champions 2021,Group Stage,Opening (D),FNATIC vs Cloud9,Fracture
Valorant Champions 2021,Group Stage,Opening (C),Gambit Esports vs Team Secret,Icebox
Valorant Champions 2021,Group Stage,Opening (C),Gambit Esports vs Team Secret,Breeze
Valorant Champions 2021,Group Stage,Opening (C),Gambit Esports vs Team Secret,Bind
Valorant Champions 2021,Group Stage,Opening (B),Sentinels vs FURIA,Ascent
Valorant Champions 2021,Group Stage,Opening (B),Sentinels vs FURIA,Breeze
Valorant Champions 2021,Group Stage,Opening (B),Sentinels vs FURIA,Haven
Valorant Champions 2021,Group Stage,Opening (B),KRÜ Esports vs Team Liquid,Haven
Valorant Champions 2021,Group Stage,Opening (B),KRÜ Esports vs Team Liquid,Ascent
Valorant Champions 2021,Group Stage,Winner's (D),Vision Strikers vs FNATIC,Icebox
Valorant Champions 2021,Group Stage,Winner's (D),Vision Strikers vs FNATIC,Haven
Valorant Champions 2021,Group Stage,Winner's (D),Vision Strikers vs FNATIC,Fracture
Valorant Champions 2021,Group Stage,Opening (A),Envy vs X10 Esports,Breeze
Valorant Champions 2021,Group Stage,Opening (A),Envy vs X10 Esports,Ascent
Valorant Champions 2021,Group Stage,Winner's (C),Gambit Esports vs Team Vikings,Split
Valorant Champions 2021,Group Stage,Winner's (C),Gambit Esports vs Team Vikings,Bind
Valorant Champions 2021,Group Stage,Winner's (C),Gambit Esports vs Team Vikings,Icebox
Valorant Champions 2021,Group Stage,Winner's (B),Team Liquid vs Sentinels,Breeze
Valorant Champions 2021,Group Stage,Winner's (B),Team Liquid vs Sentinels,Bind
Valorant Champions 2021,Group Stage,Winner's (B),Team Liquid vs Sentinels,Split
Valorant Champions 2021,Group Stage,Opening (A),Acend vs Keyd Stars,Icebox
Valorant Champions 2021,Group Stage,Opening (A),Acend vs Keyd Stars,Bind
Valorant Champions 2021,Group Stage,Opening (A),Acend vs Keyd Stars,Breeze
Valorant Champions 2021,Group Stage,Elimination (C),Team Secret vs Crazy Raccoon,Split
Valorant Champions 2021,Group Stage,Elimination (C),Team Secret vs Crazy Raccoon,Haven
Valorant Champions 2021,Group Stage,Elimination (B),KRÜ Esports vs FURIA,Fracture
Valorant Champions 2021,Group Stage,Elimination (B),KRÜ Esports vs FURIA,Ascent
Valorant Champions 2021,Group Stage,Elimination (B),KRÜ Esports vs FURIA,Haven
Valorant Champions 2021,Group Stage,Elimination (D),FULL SENSE vs Cloud9,Split
Valorant Champions 2021,Group Stage,Elimination (D),FULL SENSE vs Cloud9,Breeze
Valorant Champions 2021,Group Stage,Winner's (A),Acend vs Envy,Ascent
Valorant Champions 2021,Group Stage,Winner's (A),Acend vs Envy,Bind
Valorant Champions 2021,Group Stage,Elimination (A),Keyd Stars vs X10 Esports,Icebox
Valorant Champions 2021,Group Stage,Elimination (A),Keyd Stars vs X10 Esports,Haven
Valorant Champions 2021,Group Stage,Decider (B),Sentinels vs KRÜ Esports,Fracture
Valorant Champions 2021,Group Stage,Decider (B),Sentinels vs KRÜ Esports,Haven
Valorant Champions 2021,Group Stage,Decider (B),Sentinels vs KRÜ Esports,Split
Valorant Champions 2021,Group Stage,Decider (D),Vision Strikers vs Cloud9,Ascent
Valorant Champions 2021,Group Stage,Decider (D),Vision Strikers vs Cloud9,Split
Valorant Champions 2021,Group Stage,Decider (D),Vision Strikers vs Cloud9,Breeze
Valorant Champions 2021,Group Stage,Decider (C),Team Vikings vs Team Secret,Haven
Valorant Champions 2021,Group Stage,Decider (C),Team Vikings vs Team Secret,Icebox
Valorant Champions 2021,Group Stage,Decider (A),Envy vs X10 Esports,Icebox
Valorant Champions 2021,Group Stage,Decider (A),Envy vs X10 Esports,Split
Valorant Champions 2021,Group Stage,Decider (A),Envy vs X10 Esports,Haven
Valorant Champions 2021,Playoffs,Quarterfinals,Acend vs Team Secret,Icebox
Valorant Champions 2021,Playoffs,Quarterfinals,Acend vs Team Secret,Breeze
Valorant Champions 2021,Playoffs,Quarterfinals,Team Liquid vs Cloud9,Bind
Valorant Champions 2021,Playoffs,Quarterfinals,Team Liquid vs Cloud9,Ascent
Valorant Champions 2021,Playoffs,Quarterfinals,Gambit Esports vs X10 Esports,Fracture
Valorant Champions 2021,Playoffs,Quarterfinals,Gambit Esports vs X10 Esports,Ascent
Valorant Champions 2021,Playoffs,Quarterfinals,Gambit Esports vs X10 Esports,Breeze
Valorant Champions 2021,Playoffs,Quarterfinals,FNATIC vs KRÜ Esports,Haven
Valorant Champions 2021,Playoffs,Quarterfinals,FNATIC vs KRÜ Esports,Icebox
Valorant Champions 2021,Playoffs,Quarterfinals,FNATIC vs KRÜ Esports,Split
Valorant Champions 2021,Playoffs,Semifinals,Acend vs Team Liquid,Bind
Valorant Champions 2021,Playoffs,Semifinals,Acend vs Team Liquid,Split
Valorant Champions 2021,Playoffs,Semifinals,Gambit Esports vs KRÜ Esports,Breeze
Valorant Champions 2021,Playoffs,Semifinals,Gambit Esports vs KRÜ Esports,Ascent
Valorant Champions 2021,Playoffs,Semifinals,Gambit Esports vs KRÜ Esports,Bind
