Tournament,Stage,Match Type,Match Name,Map
Valorant Champions 2021,Playoffs,Grand Final,Acend vs Gambit Esports,Breeze
Valorant Champions 2021,Playoffs,Grand Final,Acend vs Gambit Esports,Ascent
Valorant Champions 2021,Playoffs,Grand Final,Acend vs Gambit Esports,Fracture
Valorant Champions 2021,Playoffs,Grand Final,Acend vs Gambit Esports,Icebox
Valorant Champions 2021,Playoffs,Grand Final,Acend vs Gambit Esports,Split
Champions Tour North America: Last Chance Qualifier,Main Event,Upper Quarterfinals,100 Thieves vs Gen.G,Breeze
Champions Tour North America: Last Chance Qualifier,Main Event,Upper Quarterfinals,100 Thieves vs Gen.G,Split
Champions Tour North America: Last Chance Qualifier,Main Event,Upper Quarterfinals,100 Thieves vs Gen.G,Icebox
Champions Tour North America: Last Chance Qualifier,Main Event,Upper Quarterfinals,XSET vs Luminosity,Haven
Champions Tour North America: Last Chance Qualifier,Main Event,Upper Quarterfinals,XSET vs Luminosity,Ascent
Champions Tour North America: Last Chance Qualifier,Main Event,Upper Quarterfinals,XSET vs Luminosity,Split
Champions Tour North America: Last Chance Qualifier,Main Event,Upper Semifinals,100 Thieves vs XSET,Split
Champions Tour North America: Last Chance Qualifier,Main Event,Upper Semifinals,100 Thieves vs XSET,Breeze
Champions Tour North America: Last Chance Qualifier,Main Event,Upper Semifinals,100 Thieves vs XSET,Ascent
Champions Tour North America: Last Chance Qualifier,Main Event,Upper Quarterfinals,FaZe Clan vs Rise,Breeze
Champions Tour North America: Last Chance Qualifier,Main Event,Upper Quarterfinals,FaZe Clan vs Rise,Ascent
Champions Tour North America: Last Chance Qualifier,Main Event,Upper Quarterfinals,FaZe Clan vs Rise,Bind
Champions Tour North America: Last Chance Qualifier,Main Event,Upper Quarterfinals,Version1 vs Cloud9,Breeze
Champions Tour North America: Last Chance Qualifier,Main Event,Upper Quarterfinals,Version1 vs Cloud9,Icebox
Champions Tour North America: Last Chance Qualifier,Main Event,Upper Semifinals,Rise vs Cloud9,Breeze
Champions Tour North America: Last Chance Qualifier,Main Event,Upper Semifinals,Rise vs Cloud9,Ascent
Champions Tour North America: Last Chance Qualifier,Main Event,Upper Semifinals,Rise vs Cloud9,Haven
Champions Tour North America: Last Chance Qualifier,Main Event,Lower Round 1,Gen.G vs Luminosity,Haven
Champions Tour North America: Last Chance Qualifier,Main Event,Lower Round 1,Gen.G vs Luminosity,Split
Champions Tour North America: Last Chance Qualifier,Main Event,Lower Round 1,FaZe Clan vs Version1,Icebox
Champions Tour North America: Last Chance Qualifier,Main Event,Lower Round 1,FaZe Clan vs Version1,Breeze
Champions Tour North America: Last Chance Qualifier,Main Event,Lower Round 2,Cloud9 vs Gen.G,Ascent
Champions Tour North America: Last Chance Qualifier,Main Event,Lower Round 2,Cloud9 vs Gen.G,Split
Champions Tour North America: Last Chance Qualifier,Main Event,Lower Round 2,Cloud9 vs Gen.G,Breeze
Champions Tour North America: Last Chance Qualifier,Main Event,Lower Round 2,XSET vs Version1,Bind
Champions Tour North America: Last Chance Qualifier,Main Event,Lower Round 2,XSET vs Version1,Icebox
Champions Tour North America: Last Chance Qualifier,Main Event,Upper Final,100 Thieves vs Rise,Breeze
Champions Tour North America: Last Chance Qualifier,Main Event,Upper Final,100 Thieves vs Rise,Ascent
Champions Tour North America: Last Chance Qualifier,Main Event,Upper Final,100 Thieves vs Rise,Haven
Champions Tour North America: Last Chance Qualifier,Main Event,Lower Round 3,Cloud9 vs XSET,Bind
Champions Tour North America: Last Chance Qualifier,Main Event,Lower Round 3,Cloud9 vs XSET,Ascent
Champions Tour North America: Last Chance Qualifier,Main Event,Lower Final,100 Thieves vs Cloud9,Icebox
Champions Tour North America: Last Chance Qualifier,Main Event,Lower Final,100 Thieves vs Cloud9,Haven
Champions Tour North America: Last Chance Qualifier,Main Event,Lower Final,100 Thieves vs Cloud9,Breeze
Champions Tour North America: Last Chance Qualifier,Main Event,Grand Final,Rise vs Cloud9,Breeze
Champions Tour North America: Last Chance Qualifier,Main Event,Grand Final,Rise vs Cloud9,Split
Champions Tour North America: Last Chance Qualifier,Main Event,Grand Final,Rise vs Cloud9,Bind
Champions Tour South America: Last Chance Qualifier,Group Stage,Opening (A),Sharks Esports vs E-Xolos LAZER,Ascent
Champions Tour South America: Last Chance Qualifier,Group Stage,Opening (A),Sharks Esports vs E-Xolos LAZER,Haven
Champions Tour South America: Last Chance Qualifier,Group Stage,Opening (A),Australs vs FURIA,Split
Champions Tour South America: Last Chance Qualifier,Group Stage,Opening (A),Australs vs FURIA,Haven
Champions Tour South America: Last Chance Qualifier,Group Stage,Opening (A),Australs vs FURIA,Ascent
Champions Tour South America: Last Chance Qualifier,Group Stage,Winner's (A),Sharks Esports vs Australs,Split
Champions Tour South America: Last Chance Qualifier,Group Stage,Winner's (A),Sharks Esports vs Australs,Ascent
Champions Tour South America: Last Chance Qualifier,Group Stage,Winner's (A),Sharks Esports vs Australs,Icebox
Champions Tour South America: Last Chance Qualifier,Group Stage,Opening (B),Six Karma vs Gamelanders Blue,Split
Champions Tour South America: Last Chance Qualifier,Group Stage,Opening (B),Six Karma vs Gamelanders Blue,Ascent
Champions Tour South America: Last Chance Qualifier,Group Stage,Opening (B),Six Karma vs Gamelanders Blue,Breeze
Champions Tour South America: Last Chance Qualifier,Group Stage,Opening (B),Liberty vs INFINITY,Bind
Champions Tour South America: Last Chance Qualifier,Group Stage,Opening (B),Liberty vs INFINITY,Icebox
Champions Tour South America: Last Chance Qualifier,Group Stage,Winner's (B),Gamelanders Blue vs Liberty,Bind
Champions Tour South America: Last Chance Qualifier,Group Stage,Winner's (B),Gamelanders Blue vs Liberty,Icebox
Champions Tour South America: Last Chance Qualifier,Group Stage,Elimination (A),E-Xolos LAZER vs FURIA,Haven
Champions Tour South America: Last Chance Qualifier,Group Stage,Elimination (A),E-Xolos LAZER vs FURIA,Icebox
Champions Tour South America: Last Chance Qualifier,Group Stage,Elimination (B),Six Karma vs INFINITY,Bind
Champions Tour South America: Last Chance Qualifier,Group Stage,Elimination (B),Six Karma vs INFINITY,Breeze
Champions Tour South America: Last Chance Qualifier,Group Stage,Elimination (B),Six Karma vs INFINITY,Split
Champions Tour South America: Last Chance Qualifier,Group Stage,Decider (A),Sharks Esports vs FURIA,Haven
Champions Tour South America: Last Chance Qualifier,Group Stage,Decider (A),Sharks Esports vs FURIA,Ascent
Champions Tour South America: Last Chance Qualifier,Group Stage,Decider (B),Liberty vs Six Karma,Bind
Champions Tour South America: Last Chance Qualifier,Group Stage,Decider (B),Liberty vs Six Karma,Split
Champions Tour South America: Last Chance Qualifier,Group Stage,Decider (B),Liberty vs Six Karma,Ascent
Champions Tour South America: Last Chance Qualifier,Playoffs,Semifinals,Australs vs Liberty,Split
Champions Tour South America: Last Chance Qualifier,Playoffs,Semifinals,Australs vs Liberty,Icebox
Champions Tour South America: Last Chance Qualifier,Playoffs,Semifinals,Gamelanders Blue vs FURIA,Icebox
Champions Tour South America: Last Chance Qualifier,Playoffs,Semifinals,Gamelanders Blue vs FURIA,Ascent
Champions Tour South America: Last Chance Qualifier,Playoffs,Semifinals,Gamelanders Blue vs FURIA,Split
Champions Tour South America: Last Chance Qualifier,Playoffs,Grand Final,Australs vs FURIA,Icebox
Champions Tour South America: Last Chance Qualifier,Playoffs,Grand Final,Australs vs FURIA,Ascent
Champions Tour South America: Last Chance Qualifier,Playoffs,Grand Final,Australs vs FURIA,Split
Champions Tour EMEA: Last Chance Qualifier,Main Event,Upper Quarterfinals,G2 Esports vs Anubis Gaming,Bind
Champions Tour EMEA: Last Chance Qualifier,Main Event,Upper Quarterfinals,G2 Esports vs Anubis Gaming,Breeze
Champions Tour EMEA: Last Chance Qualifier,Main Event,Upper Quarterfinals,FUT Esports vs Oxygen Esports,Split
Champions Tour EMEA: Last Chance Qualifier,Main Event,Upper Quarterfinals,FUT Esports vs Oxygen Esports,Ascent
Champions Tour EMEA: Last Chance Qualifier,Main Event,Upper Quarterfinals,Papara SuperMassive vs Guild Esports,Breeze
Champions Tour EMEA: Last Chance Qualifier,Main Event,Upper Quarterfinals,Papara SuperMassive vs Guild Esports,Icebox
Champions Tour EMEA: Last Chance Qualifier,Main Event,Upper Quarterfinals,Papara SuperMassive vs Guild Esports,Split
Champions Tour EMEA: Last Chance Qualifier,Main Event,Upper Quarterfinals,Team Liquid vs One Breath Gaming,Ascent
Champions Tour EMEA: Last Chance Qualifier,Main Event,Upper Quarterfinals,Team Liquid vs One Breath Gaming,Haven
Champions Tour EMEA: Last Chance Qualifier,Main Event,Lower Round 1,Anubis Gaming vs Oxygen Esports,Split
Champions Tour EMEA: Last Chance Qualifier,Main Event,Lower Round 1,Anubis Gaming vs Oxygen Esports,Ascent
Champions Tour EMEA: Last Chance Qualifier,Main Event,Lower Round 1,Papara SuperMassive vs One Breath Gaming,Breeze
Champions Tour EMEA: Last Chance Qualifier,Main Event,Lower Round 1,Papara SuperMassive vs One Breath Gaming,Split
Champions Tour EMEA: Last Chance Qualifier,Main Event,Lower Round 1,Papara SuperMassive vs One Breath Gaming,Haven
Champions Tour EMEA: Last Chance Qualifier,Main Event,Upper Semifinals,G2 Esports vs FUT Esports,Icebox
Champions Tour EMEA: Last Chance Qualifier,Main Event,Upper Semifinals,G2 Esports vs FUT Esports,Breeze
Champions Tour EMEA: Last Chance Qualifier,Main Event,Upper Semifinals,G2 Esports vs FUT Esports,Ascent
Champions Tour EMEA: Last Chance Qualifier,Main Event,Upper Semifinals,Guild Esports vs Team Liquid,Bind
Champions Tour EMEA: Last Chance Qualifier,Main Event,Upper Semifinals,Guild Esports vs Team Liquid,Split
Champions Tour EMEA: Last Chance Qualifier,Main Event,Lower Round 2,Guild Esports vs Oxygen Esports,Split
Champions Tour EMEA: Last Chance Qualifier,Main Event,Lower Round 2,Guild Esports vs Oxygen Esports,Breeze
Champions Tour EMEA: Last Chance Qualifier,Main Event,Lower Round 2,FUT Esports vs Papara SuperMassive,Split
Champions Tour EMEA: Last Chance Qualifier,Main Event,Lower Round 2,FUT Esports vs Papara SuperMassive,Haven
Champions Tour EMEA: Last Chance Qualifier,Main Event,Lower Round 2,FUT Esports vs Papara SuperMassive,Icebox
Champions Tour EMEA: Last Chance Qualifier,Main Event,Upper Final,G2 Esports vs Team Liquid,Ascent
Champions Tour EMEA: Last Chance Qualifier,Main Event,Upper Final,G2 Esports vs Team Liquid,Bind
Champions Tour EMEA: Last Chance Qualifier,Main Event,Upper Final,G2 Esports vs Team Liquid,Haven
Champions Tour EMEA: Last Chance Qualifier,Main Event,Lower Round 3,Guild Esports vs FUT Esports,Haven
Champions Tour EMEA: Last Chance Qualifier,Main Event,Lower Round 3,Guild Esports vs FUT Esports,Icebox
Champions Tour EMEA: Last Chance Qualifier,Main Event,Lower Final,G2 Esports vs Guild Esports,Bind
Champions Tour EMEA: Last Chance Qualifier,Main Event,Lower Final,G2 Esports vs Guild Esports,Haven
Champions Tour EMEA: Last Chance Qualifier,Main Event,Grand Final,Team Liquid vs Guild Esports,Haven
Champions Tour EMEA: Last Chance Qualifier,Main Event,Grand Final,Team Liquid vs Guild Esports,Ascent
Champions Tour EMEA: Last Chance Qualifier,Main Event,Grand Final,Team Liquid vs Guild Esports,Split
Champions Tour EMEA: Last Chance Qualifier,Main Event,Grand Final,Team Liquid vs Guild Esports,Breeze
Champions Tour Asia-Pacific: Last Chance Qualifier,Main Event,Upper Round 1,BOOM Esports vs FENNEL,Ascent
Champions Tour Asia-Pacific: Last Chance Qualifier,Main Event,Upper Round 1,BOOM Esports vs FENNEL,Icebox
Champions Tour Asia-Pacific: Last Chance Qualifier,Main Event,Upper Round 1,Global Esports vs DAMWON Gaming,Haven
Champions Tour Asia-Pacific: Last Chance Qualifier,Main Event,Upper Round 1,Global Esports vs DAMWON Gaming,Ascent
Champions Tour Asia-Pacific: Last Chance Qualifier,Main Event,Upper Round 1,Global Esports vs DAMWON Gaming,Split
Champions Tour Asia-Pacific: Last Chance Qualifier,Main Event,Upper Bracket Quarterfinals,FULL SENSE vs REJECT,Ascent
Champions Tour Asia-Pacific: Last Chance Qualifier,Main Event,Upper Bracket Quarterfinals,FULL SENSE vs REJECT,Breeze
Champions Tour Asia-Pacific: Last Chance Qualifier,Main Event,Upper Bracket Quarterfinals,FULL SENSE vs REJECT,Bind
Champions Tour Asia-Pacific: Last Chance Qualifier,Main Event,Upper Bracket Quarterfinals,F4Q vs NORTHEPTION,Ascent
Champions Tour Asia-Pacific: Last Chance Qualifier,Main Event,Upper Bracket Quarterfinals,F4Q vs NORTHEPTION,Icebox
Champions Tour Asia-Pacific: Last Chance Qualifier,Main Event,Upper Bracket Quarterfinals,NUTURN vs BOOM Esports,Bind
Champions Tour Asia-Pacific: Last Chance Qualifier,Main Event,Upper Bracket Quarterfinals,NUTURN vs BOOM Esports,Haven
Champions Tour Asia-Pacific: Last Chance Qualifier,Main Event,Upper Bracket Quarterfinals,Paper Rex vs Global Esports,Icebox
Champions Tour Asia-Pacific: Last Chance Qualifier,Main Event,Upper Bracket Quarterfinals,Paper Rex vs Global Esports,Split
Champions Tour Asia-Pacific: Last Chance Qualifier,Main Event,Lower Bracket Round 1,REJECT vs DAMWON Gaming,Bind
Champions Tour Asia-Pacific: Last Chance Qualifier,Main Event,Lower Bracket Round 1,REJECT vs DAMWON Gaming,Ascent
Champions Tour Asia-Pacific: Last Chance Qualifier,Main Event,Lower Bracket Round 1,F4Q vs FENNEL,Split
Champions Tour Asia-Pacific: Last Chance Qualifier,Main Event,Lower Bracket Round 1,F4Q vs FENNEL,Bind
Champions Tour Asia-Pacific: Last Chance Qualifier,Main Event,Lower Bracket Round 1,F4Q vs FENNEL,Haven
Champions Tour Asia-Pacific: Last Chance Qualifier,Main Event,Upper Bracket Semifinals,NUTURN vs FULL SENSE,Bind
Champions Tour Asia-Pacific: Last Chance Qualifier,Main Event,Upper Bracket Semifinals,NUTURN vs FULL SENSE,Haven
Champions Tour Asia-Pacific: Last Chance Qualifier,Main Event,Upper Bracket Semifinals,NUTURN vs FULL SENSE,Ascent
Champions Tour Asia-Pacific: Last Chance Qualifier,Main Event,Upper Bracket Semifinals,Paper Rex vs NORTHEPTION,Icebox
Champions Tour Asia-Pacific: Last Chance Qualifier,Main Event,Upper Bracket Semifinals,Paper Rex vs NORTHEPTION,Ascent
Champions Tour Asia-Pacific: Last Chance Qualifier,Main Event,Lower Bracket Round 2,BOOM Esports vs DAMWON Gaming,Bind
Champions Tour Asia-Pacific: Last Chance Qualifier,Main Event,Lower Bracket Round 2,BOOM Esports vs DAMWON Gaming,Ascent
Champions Tour Asia-Pacific: Last Chance Qualifier,Main Event,Lower Bracket Round 2,Global Esports vs F4Q,Haven
Champions Tour Asia-Pacific: Last Chance Qualifier,Main Event,Lower Bracket Round 2,Global Esports vs F4Q,Bind
Champions Tour Asia-Pacific: Last Chance Qualifier,Main Event,Lower Bracket Round 2,Global Esports vs F4Q,Split
Champions Tour Asia-Pacific: Last Chance Qualifier,Main Event,Upper Bracket Final,FULL SENSE vs NORTHEPTION,Ascent
Champions Tour Asia-Pacific: Last Chance Qualifier,Main Event,Upper Bracket Final,FULL SENSE vs NORTHEPTION,Bind
Champions Tour Asia-Pacific: Last Chance Qualifier,Main Event,Upper Bracket Final,FULL SENSE vs NORTHEPTION,Haven
Champions Tour Asia-Pacific: Last Chance Qualifier,Main Event,Lower Bracket Round 3,Paper Rex vs DAMWON Gaming,Bind
Champions Tour Asia-Pacific: Last Chance Qualifier,Main Event,Lower Bracket Round 3,Paper Rex vs DAMWON Gaming,Breeze
Champions Tour Asia-Pacific: Last Chance Qualifier,Main Event,Lower Bracket Round 3,Paper Rex vs DAMWON Gaming,Ascent
Champions Tour Asia-Pacific: Last Chance Qualifier,Main Event,Lower Bracket Round 3,NUTURN vs F4Q,Bind
Champions Tour Asia-Pacific: Last Chance Qualifier,Main Event,Lower Bracket Round 3,NUTURN vs F4Q,Haven
Champions Tour Asia-Pacific: Last Chance Qualifier,Main Event,Lower Bracket Round 3,NUTURN vs F4Q,Ascent
Champions Tour Asia-Pacific: Last Chance Qualifier,Main Event,Lower Bracket Round 4,DAMWON Gaming vs NUTURN,Ascent
Champions Tour Asia-Pacific: Last Chance Qualifier,Main Event,Lower Bracket Round 4,DAMWON Gaming vs NUTURN,Bind
Champions Tour Asia-Pacific: Last Chance Qualifier,Main Event,Lower Bracket Final,FULL SENSE vs DAMWON Gaming,Bind
Champions Tour Asia-Pacific: Last Chance Qualifier,Main Event,Lower Bracket Final,FULL SENSE vs DAMWON Gaming,Ascent
Champions Tour Asia-Pacific: Last Chance Qualifier,Main Event,Grand Final,NORTHEPTION vs FULL SENSE,Ascent
Champions Tour Asia-Pacific: Last Chance Qualifier,Main Event,Grand Final,NORTHEPTION vs FULL SENSE,Icebox
Champions Tour Asia-Pacific: Last Chance Qualifier,Main Event,Grand Final,NORTHEPTION vs FULL SENSE,Bind
Champions Tour Asia-Pacific: Last Chance Qualifier,Main Event,Grand Final,NORTHEPTION vs FULL SENSE,Split
Champions Tour Asia-Pacific: Last Chance Qualifier,Main Event,Grand Final,NORTHEPTION vs FULL SENSE,Haven
Strike Arabia Championship: Finals,Main Event,Upper Bracket Quarterfinals,Fox Gaming vs Geekay Esports,Haven
Strike Arabia Championship: Finals,Main Event,Upper Bracket Quarterfinals,Fox Gaming vs Geekay Esports,Icebox
Strike Arabia Championship: Finals,Main Event,Upper Bracket Quarterfinals,Fox Gaming vs Geekay Esports,Bind
Strike Arabia Championship: Finals,Main Event,Upper Bracket Quarterfinals,Team Majesty vs YaLLa Esports,Haven
Strike Arabia Championship: Finals,Main Event,Upper Bracket Quarterfinals,Team Majesty vs YaLLa Esports,Split
Strike Arabia Championship: Finals,Main Event,Upper Bracket Quarterfinals,NASR Esports vs Piercer Esports,Ascent
Strike Arabia Championship: Finals,Main Event,Upper Bracket Quarterfinals,NASR Esports vs Piercer Esports,Breeze
Strike Arabia Championship: Finals,Main Event,Upper Bracket Quarterfinals,Team RA'AD vs Anubis Gaming,Bind
Strike Arabia Championship: Finals,Main Event,Upper Bracket Quarterfinals,Team RA'AD vs Anubis Gaming,Breeze
Strike Arabia Championship: Finals,Main Event,Upper Bracket Quarterfinals,Team RA'AD vs Anubis Gaming,Split
Strike Arabia Championship: Finals,Main Event,Lower Bracket Round 1,Geekay Esports vs NASR Esports,Haven
Strike Arabia Championship: Finals,Main Event,Lower Bracket Round 1,Geekay Esports vs NASR Esports,Split
Strike Arabia Championship: Finals,Main Event,Lower Bracket Round 1,Geekay Esports vs NASR Esports,Bind
Strike Arabia Championship: Finals,Main Event,Lower Bracket Round 1,Anubis Gaming vs Team Majesty,Breeze
Strike Arabia Championship: Finals,Main Event,Lower Bracket Round 1,Anubis Gaming vs Team Majesty,Split
Strike Arabia Championship: Finals,Main Event,Upper Bracket Semifinals,Fox Gaming vs Piercer Esports,Bind
Strike Arabia Championship: Finals,Main Event,Upper Bracket Semifinals,Fox Gaming vs Piercer Esports,Ascent
Strike Arabia Championship: Finals,Main Event,Upper Bracket Semifinals,Fox Gaming vs Piercer Esports,Icebox
Strike Arabia Championship: Finals,Main Event,Upper Bracket Semifinals,Team RA'AD vs YaLLa Esports,Bind
Strike Arabia Championship: Finals,Main Event,Upper Bracket Semifinals,Team RA'AD vs YaLLa Esports,Breeze
Strike Arabia Championship: Finals,Main Event,Lower Bracket Round 2,Fox Gaming vs Anubis Gaming,Split
Strike Arabia Championship: Finals,Main Event,Lower Bracket Round 2,Fox Gaming vs Anubis Gaming,Icebox
Strike Arabia Championship: Finals,Main Event,Lower Bracket Round 2,YaLLa Esports vs NASR Esports,Ascent
Strike Arabia Championship: Finals,Main Event,Lower Bracket Round 2,YaLLa Esports vs NASR Esports,Haven
Strike Arabia Championship: Finals,Main Event,Lower Bracket Round 2,YaLLa Esports vs NASR Esports,Bind
Strike Arabia Championship: Finals,Main Event,Lower Bracket Round 3,NASR Esports vs Anubis Gaming,Bind
Strike Arabia Championship: Finals,Main Event,Lower Bracket Round 3,NASR Esports vs Anubis Gaming,Breeze
Strike Arabia Championship: Finals,Main Event,Upper Finals,Piercer Esports vs Team RA'AD,Haven
Strike Arabia Championship: Finals,Main Event,Upper Finals,Piercer Esports vs Team RA'AD,Bind
Strike Arabia Championship: Finals,Main Event,Lower Bracket Finals,Piercer Esports vs Anubis Gaming,Breeze
Strike Arabia Championship: Finals,Main Event,Lower Bracket Finals,Piercer Esports vs Anubis Gaming,Split
Strike Arabia Championship: Finals,Main Event,Lower Bracket Finals,Piercer Esports vs Anubis Gaming,Ascent
Strike Arabia Championship: Finals,Main Event,Grand Finals,Team RA'AD vs Anubis Gaming,Haven
Strike Arabia Championship: Finals,Main Event,Grand Finals,Team RA'AD vs Anubis Gaming,Icebox
Strike Arabia Championship: Finals,Main Event,Grand Finals,Team RA'AD vs Anubis Gaming,Bind
Strike Arabia Championship: Finals,Main Event,Grand Finals,Team RA'AD vs Anubis Gaming,Breeze
Valorant Champions Tour Stage 3: Masters Berlin,Group Stage,Opening (A),Papara SuperMassive vs Acend,Bind
Valorant Champions Tour Stage 3: Masters Berlin,Group Stage,Opening (A),Papara SuperMassive vs Acend,Ascent
Valorant Champions Tour Stage 3: Masters Berlin,Group Stage,Group D,G2 Esports vs F4Q,Ascent
Valorant Champions Tour Stage 3: Masters Berlin,Group Stage,Group D,G2 Esports vs F4Q,Bind
Valorant Champions Tour Stage 3: Masters Berlin,Group Stage,Group D,G2 Esports vs F4Q,Haven
Valorant Champions Tour Stage 3: Masters Berlin,Group Stage,Opening (C),100 Thieves vs Liberty,Ascent
Valorant Champions Tour Stage 3: Masters Berlin,Group Stage,Opening (C),100 Thieves vs Liberty,Icebox
Valorant Champions Tour Stage 3: Masters Berlin,Group Stage,Opening (A),Vision Strikers vs Paper Rex,Haven
Valorant Champions Tour Stage 3: Masters Berlin,Group Stage,Opening (A),Vision Strikers vs Paper Rex,Icebox
Valorant Champions Tour Stage 3: Masters Berlin,Group Stage,Opening (C),Gambit Esports vs Crazy Raccoon,Bind
