Tournament,Stage,Match Type,Match Name,Map,Team,Elimination,Detonated,Defused,Time Expiry (No Plant),Eliminated,Defused Failed,Detonation Denied,Time Expiry (Failed to Plant)
Valorant Champions 2021,Group Stage,Opening (D),Vision Strikers vs FULL SENSE,Haven,Vision Strikers,9,2,2,0,4,0,1,0
Valorant Champions 2021,Group Stage,Opening (D),Vision Strikers vs FULL SENSE,Haven,FULL SENSE,4,0,1,0,9,2,2,0
Valorant Champions 2021,Group Stage,Opening (D),Vision Strikers vs FULL SENSE,Breeze,Vision Strikers,9,3,1,0,3,0,2,0
Valorant Champions 2021,Group Stage,Opening (D),Vision Strikers vs FULL SENSE,Breeze,FULL SENSE,3,0,2,0,9,3,1,0
Valorant Champions 2021,Group Stage,Opening (C),Team Vikings vs Crazy Raccoon,Icebox,Team Vikings,7,2,3,1,2,1,5,1
Valorant Champions 2021,Group Stage,Opening (C),Team Vikings vs Crazy Raccoon,Icebox,Crazy Raccoon,2,1,5,1,7,2,3,1
Valorant Champions 2021,Group Stage,Opening (C),Team Vikings vs Crazy Raccoon,Haven,Team Vikings,11,0,2,0,5,2,1,0
Valorant Champions 2021,Group Stage,Opening (C),Team Vikings vs Crazy Raccoon,Haven,Crazy Raccoon,5,2,1,0,11,0,2,0
Valorant Champions 2021,Group Stage,Opening (D),FNATIC vs Cloud9,Icebox,FNATIC,7,0,6,0,6,1,4,0
Valorant Champions 2021,Group Stage,Opening (D),FNATIC vs Cloud9,Icebox,Cloud9,6,1,4,0,7,0,6,0
Valorant Champions 2021,Group Stage,Opening (D),FNATIC vs Cloud9,Split,FNATIC,4,2,5,0,9,1,2,1
Valorant Champions 2021,Group Stage,Opening (D),FNATIC vs Cloud9,Split,Cloud9,9,1,2,1,4,2,5,0
Valorant Champions 2021,Group Stage,Opening (D),FNATIC vs Cloud9,Fracture,FNATIC,9,1,4,0,9,2,1,0
Valorant Champions 2021,Group Stage,Opening (D),FNATIC vs Cloud9,Fracture,Cloud9,9,2,1,0,9,1,4,0
