Tournament,Stage,Match Type,Match Name,Map
Valorant Champions 2022,Group Stage,Opening (A),Paper Rex vs EDward Gaming,Pearl
Valorant Champions 2022,Group Stage,Opening (A),Paper Rex vs EDward Gaming,Icebox
Valorant Champions 2022,Group Stage,Opening (A),Paper Rex vs EDward Gaming,Haven
Valorant Champions 2022,Group Stage,Opening (A),Leviatán vs Team Liquid,Haven
Valorant Champions 2022,Group Stage,Opening (A),Leviatán vs Team Liquid,Ascent
Valorant Champions 2022,Group Stage,Opening (B),ZETA DIVISION vs LOUD,Ascent
Valorant Champions 2022,Group Stage,Opening (B),ZETA DIVISION vs LOUD,Fracture
Valorant Champions 2022,Group Stage,Opening (B),OpTic Gaming vs BOOM Esports,Breeze
Valorant Champions 2022,Group Stage,Opening (B),OpTic Gaming vs BOOM Esports,Bind
Valorant Champions 2022,Group Stage,Opening (B),OpTic Gaming vs BOOM Esports,Fracture
Valorant Champions 2022,Group Stage,Winner's (A),Paper Rex vs Leviatán,Haven
Valorant Champions 2022,Group Stage,Winner's (A),Paper Rex vs Leviatán,Bind
Valorant Champions 2022,Group Stage,Opening (D),DRX vs FURIA,Ascent
Valorant Champions 2022,Group Stage,Opening (D),DRX vs FURIA,Haven
Valorant Champions 2022,Group Stage,Opening (D),FNATIC vs 100 Thieves,Pearl
Valorant Champions 2022,Group Stage,Opening (D),FNATIC vs 100 Thieves,Bind
Valorant Champions 2022,Group Stage,Opening (D),FNATIC vs 100 Thieves,Haven
Valorant Champions 2022,Group Stage,Winner's (B),OpTic Gaming vs LOUD,Breeze
Valorant Champions 2022,Group Stage,Winner's (B),OpTic Gaming vs LOUD,Fracture
Valorant Champions 2022,Group Stage,Winner's (B),OpTic Gaming vs LOUD,Pearl
Valorant Champions 2022,Group Stage,Opening (C),XSET vs XERXIA Esports,Fracture
Valorant Champions 2022,Group Stage,Opening (C),XSET vs XERXIA Esports,Icebox
Valorant Champions 2022,Group Stage,Opening (C),FunPlus Phoenix vs KRÜ Esports,Icebox
Valorant Champions 2022,Group Stage,Opening (C),FunPlus Phoenix vs KRÜ Esports,Bind
Valorant Champions 2022,Group Stage,Winner's (D),DRX vs 100 Thieves,Breeze
Valorant Champions 2022,Group Stage,Winner's (D),DRX vs 100 Thieves,Fracture
Valorant Champions 2022,Group Stage,Elimination (B),BOOM Esports vs ZETA DIVISION,Haven
Valorant Champions 2022,Group Stage,Elimination (B),BOOM Esports vs ZETA DIVISION,Pearl
Valorant Champions 2022,Group Stage,Elimination (B),BOOM Esports vs ZETA DIVISION,Fracture
Valorant Champions 2022,Group Stage,Elimination (A),EDward Gaming vs Team Liquid,Bind
Valorant Champions 2022,Group Stage,Elimination (A),EDward Gaming vs Team Liquid,Breeze
Valorant Champions 2022,Group Stage,Elimination (C),KRÜ Esports vs XERXIA Esports,Icebox
Valorant Champions 2022,Group Stage,Elimination (C),KRÜ Esports vs XERXIA Esports,Haven
Valorant Champions 2022,Group Stage,Elimination (C),KRÜ Esports vs XERXIA Esports,Ascent
Valorant Champions 2022,Group Stage,Elimination (D),FURIA vs FNATIC,Icebox
Valorant Champions 2022,Group Stage,Elimination (D),FURIA vs FNATIC,Breeze
Valorant Champions 2022,Group Stage,Elimination (D),FURIA vs FNATIC,Haven
Valorant Champions 2022,Group Stage,Winner's (C),FunPlus Phoenix vs XSET,Pearl
Valorant Champions 2022,Group Stage,Winner's (C),FunPlus Phoenix vs XSET,Fracture
Valorant Champions 2022,Group Stage,Winner's (C),FunPlus Phoenix vs XSET,Breeze
Valorant Champions 2022,Group Stage,Decider (A),Paper Rex vs Team Liquid,Haven
Valorant Champions 2022,Group Stage,Decider (A),Paper Rex vs Team Liquid,Pearl
Valorant Champions 2022,Group Stage,Decider (A),Paper Rex vs Team Liquid,Ascent
Valorant Champions 2022,Group Stage,Decider (B),LOUD vs ZETA DIVISION,Bind
Valorant Champions 2022,Group Stage,Decider (B),LOUD vs ZETA DIVISION,Ascent
Valorant Champions 2022,Group Stage,Decider (C),FunPlus Phoenix vs KRÜ Esports,Icebox
Valorant Champions 2022,Group Stage,Decider (C),FunPlus Phoenix vs KRÜ Esports,Ascent
Valorant Champions 2022,Group Stage,Decider (D),100 Thieves vs FNATIC,Bind
Valorant Champions 2022,Group Stage,Decider (D),100 Thieves vs FNATIC,Ascent
Valorant Champions 2022,Playoffs,Upper Quarterfinals,Leviatán vs LOUD,Icebox
Valorant Champions 2022,Playoffs,Upper Quarterfinals,Leviatán vs LOUD,Haven
Valorant Champions 2022,Playoffs,Upper Quarterfinals,DRX vs FunPlus Phoenix,Ascent
Valorant Champions 2022,Playoffs,Upper Quarterfinals,DRX vs FunPlus Phoenix,Breeze
Valorant Champions 2022,Playoffs,Upper Quarterfinals,OpTic Gaming vs Team Liquid,Breeze
Valorant Champions 2022,Playoffs,Upper Quarterfinals,OpTic Gaming vs Team Liquid,Bind
Valorant Champions 2022,Playoffs,Upper Quarterfinals,OpTic Gaming vs Team Liquid,Ascent
Valorant Champions 2022,Playoffs,Upper Quarterfinals,XSET vs FNATIC,Pearl
Valorant Champions 2022,Playoffs,Upper Quarterfinals,XSET vs FNATIC,Fracture
Valorant Champions 2022,Playoffs,Lower Round 1,FunPlus Phoenix vs Leviatán,Icebox
Valorant Champions 2022,Playoffs,Lower Round 1,FunPlus Phoenix vs Leviatán,Ascent
Valorant Champions 2022,Playoffs,Lower Round 1,Team Liquid vs FNATIC,Bind
Valorant Champions 2022,Playoffs,Lower Round 1,Team Liquid vs FNATIC,Haven
Valorant Champions 2022,Playoffs,Upper Semifinals,DRX vs LOUD,Breeze
Valorant Champions 2022,Playoffs,Upper Semifinals,DRX vs LOUD,Haven
Valorant Champions 2022,Playoffs,Upper Semifinals,OpTic Gaming vs XSET,Haven
