Abbreviated,Full Name
PRX,Paper Rex
EDG,EDward Gaming
LEV,Leviatán
TL,Team Liquid
ZETA,ZETA DIVISION
LOUD,LOUD
OPTC,OpTic Gaming
BME,BOOM Esports
DRX,DRX
FUR,FURIA
FNC,FNATIC
100T,100 Thieves
XSET,XSET
XIA,XERXIA Esports
FPX,FunPlus Phoenix
KRÜ,KRÜ Esports
NIP,Ninjas In Pyjamas
9z,9z Team
FS,Scythe of Seraph
VKS,Keyd Stars
EXL,E-Xolos LAZER
TBK,TBK Esports
TGRD,The Guard
SEN,Sentinels
FaZe,FaZe Clan
EG,Evil Geniuses
NRG,NRG Esports
SR,Shopify Rebellion
C9,Cloud9
G2,G2 Esports
OGLU,OG LDN UTD
M3C,M3 Champions
ACE,Acend
BBL,BBL Esports
GLD,Guild Esports
NAVI,Natus Vincere
ONS,Incheon On Sla2ers
MARU,Maru Gaming
RC,REJECT
CR,Crazy Raccoon
DK,DAMWON Gaming
NTH,NORTHEPTION
KONE,KONE eSports Club
ORD,ORDER
FCY,Fancy United Esports
CES,CERBERUS Esports
AE,Alter Ego
GFN,Griffin E-Sports
MITH,Made in Thailand
TS,Team Secret
ONIC,ONIC G
BLD,BLEED
FC,FuelCore
BOBO,BOBO
RGN,REIGN
BONK,Bonkers
HB,HONEY BADGERS
zL,Zer0 Latency
X5,TEN-5
YFP,YFP Gaming
MEW2,MEW2
COL,Complexity
Toky,Tokyo Revengers
ASP,Aspyre
RILL,RILLAS
SoaR,SoaR
MIZ,Mizzou Esports
Exot,Exotic
Free,Free Fall
DZ,DarkZero Esports
EP,Ego peekers
Able,Able Esports
DawN,DawN
GHST,Ghost Gaming
TOP,Team Opulence Black
50k,5 of a Kind
NG,Nation Gaming
AI,BASILISK
LYE,Lycus Empire
TMA,Thanos Mug Academy
SWAR,SWARM esports
Astr,AstraSect
Team,Team hz
FG,Fadee Gaming
FaRt,FaRt Clan
T1,T1
Ugly,Ugly Hamsters
FLUX,Team Flux
AME,afterMath Esports
MR,Moon Raccoons
NB,No Brimstone
New,New Legion
SF,select few
LT,Lenny Time
G4B,Go 4 Broke
UNK,Unknown
Eros,Eros
SQ,Soniqs
SSA,SSA
Moon,Moonrise Black
Crow,Crown Kings
ZMM.B,Zero MarksMen Black
SLOD,SLODI REPUS
BASE,BASED
Pand,Panda Express
TLP,TradeLikePros
goth,goth boy clique
GKS,Girl Kissers
Phoe,Phoenix Feather
GEN,Gen.G
Face,Face Off
DV,Dallas Vendetta
Clan,Clanless
SYR,SYR
C9W,Cloud9 White
ET,EDO TENSEI
NYFU,NYFU
PPP,Pasquallys Pizza Posse
Gori,Gorilla Gang
Noct,Nocturned Team
TSM,TSM
Disc,Discord Kittens
IluZ,IlluZion
Ecle,Eclectiq
CD,Crima's Disciples
DSR,Desire Rising
RESO,Resonate
Star,Star Blaze
TR,Team Reckaroo
PUGS,PUGSTARS
GJO,GONJO
AKR,Akrew
Mach,Mach5
Omni,Omnipotent Gaming
BBGA,Built By Gamers Academy
NF,Northern Forces
SOL,Solstice Esports
Zeni,Zenigma Alpha
SKW,Skwirel Warriers
Stay,StayHydrated
RID,Run it Down
CE,Çamlıca Esports
NA,Nearest Airport
GodS,GodSpeed Gold
VRT,VIRTUOSO
DART,dart monkeys
Gift,Gifted
IMT,imnot
SR.GC,Shopify Rebellion GC
V1,Version1
PK,Knights
LG,Luminosity
GENG,Gen.G Black
MSF,Misfits Black
1R,1Rule
VEXO,Vexo Esports
Spec,Spectral Purple
Big,Big Special Esports
Puls,Pulsar Red
Badd,BaddiesOnVal
Hype,Hyperzero
C4,Chapter 4
Jell,Jellyspotters
TPG,Tempest Gaming
CG,cowana Gaming
RG,m.eS Revolutionary Gamers
AVST,AVESTA
AOE,Area of Effect
ADHD,ADHD
ONi,ONi
TM,Team Mystic
SHV,Stars Horizon Venus
Só,Só Deus Sabe
Clev,Cleveland
Raij,Raiju e-sports
JAMP,JAMPA e-Sports
Virt,Virtual Anarchy
Expe,Expect Nothing
3P,3P eSports
TZ,Tuzzy E-Sports
VIM,VIM TIRAR ORG GRANDE
Nunc,Nunca Tentamos
Lanc,Lancheira do Tomás
Supr,Supremacyy
RD E,RD E-SPORTS
Q CA,Q CALOR E ESSE
Trop,Tropa do Litoral
Proj,Project A
ODK,ODDIK
Flow,Flow e Amigos
fake,fakezinn
trop,tropa da realeza
hash,hashiras
expe,experientGG
B4,B4 Esports
g0ga,g0gados
