Tournament,Stage,Match Type,Match Name,Team,Action,Map
Valorant Champions 2022,Group Stage,Opening (A),Paper Rex vs EDward Gaming,EDward Gaming,ban,Bind
Valorant Champions 2022,Group Stage,Opening (A),Paper Rex vs EDward Gaming,Paper Rex,ban,Fracture
Valorant Champions 2022,Group Stage,Opening (A),Paper Rex vs EDward Gaming,EDward Gaming,pick,Pearl
Valorant Champions 2022,Group Stage,Opening (A),Paper Rex vs EDward Gaming,Paper Rex,pick,Icebox
Valorant Champions 2022,Group Stage,Opening (A),Paper Rex vs EDward Gaming,EDward Gaming,ban,Ascent
Valorant Champions 2022,Group Stage,Opening (A),Paper Rex vs EDward Gaming,Paper Rex,ban,Breeze
Valorant Champions 2022,Group Stage,Opening (A),Leviatán vs Team Liquid,Team Liquid,ban,Fracture
Valorant Champions 2022,Group Stage,Opening (A),Leviatán vs Team Liquid,Leviatán,ban,Icebox
Valorant Champions 2022,Group Stage,Opening (A),Leviatán vs Team Liquid,Team Liquid,pick,Haven
Valorant Champions 2022,Group Stage,Opening (A),Leviatán vs Team Liquid,Leviatán,pick,Ascent
Valorant Champions 2022,Group Stage,Opening (A),Leviatán vs Team Liquid,Team Liquid,ban,Pearl
Valorant Champions 2022,Group Stage,Opening (A),Leviatán vs Team Liquid,Leviatán,ban,Breeze
Valorant Champions 2022,Group Stage,Opening (B),ZETA DIVISION vs LOUD,LOUD,ban,Haven
Valorant Champions 2022,Group Stage,Opening (B),ZETA DIVISION vs LOUD,ZETA DIVISION,ban,Breeze
Valorant Champions 2022,Group Stage,Opening (B),ZETA DIVISION vs LOUD,LOUD,pick,Ascent
Valorant Champions 2022,Group Stage,Opening (B),ZETA DIVISION vs LOUD,ZETA DIVISION,pick,Fracture
Valorant Champions 2022,Group Stage,Opening (B),ZETA DIVISION vs LOUD,LOUD,ban,Pearl
Valorant Champions 2022,Group Stage,Opening (B),ZETA DIVISION vs LOUD,ZETA DIVISION,ban,Icebox
Valorant Champions 2022,Group Stage,Opening (B),OpTic Gaming vs BOOM Esports,BOOM Esports,ban,Ascent
Valorant Champions 2022,Group Stage,Opening (B),OpTic Gaming vs BOOM Esports,OpTic Gaming,ban,Icebox
Valorant Champions 2022,Group Stage,Opening (B),OpTic Gaming vs BOOM Esports,BOOM Esports,pick,Breeze
Valorant Champions 2022,Group Stage,Opening (B),OpTic Gaming vs BOOM Esports,OpTic Gaming,pick,Bind
Valorant Champions 2022,Group Stage,Opening (B),OpTic Gaming vs BOOM Esports,BOOM Esports,ban,Pearl
Valorant Champions 2022,Group Stage,Opening (B),OpTic Gaming vs BOOM Esports,OpTic Gaming,ban,Haven
Valorant Champions 2022,Group Stage,Winner's (A),Paper Rex vs Leviatán,Leviatán,ban,Fracture
Valorant Champions 2022,Group Stage,Winner's (A),Paper Rex vs Leviatán,Paper Rex,ban,Ascent
Valorant Champions 2022,Group Stage,Winner's (A),Paper Rex vs Leviatán,Leviatán,pick,Haven
Valorant Champions 2022,Group Stage,Winner's (A),Paper Rex vs Leviatán,Paper Rex,pick,Bind
Valorant Champions 2022,Group Stage,Winner's (A),Paper Rex vs Leviatán,Leviatán,ban,Icebox
Valorant Champions 2022,Group Stage,Winner's (A),Paper Rex vs Leviatán,Paper Rex,ban,Breeze
Valorant Champions 2022,Group Stage,Opening (D),DRX vs FURIA,FURIA,ban,Pearl
Valorant Champions 2022,Group Stage,Opening (D),DRX vs FURIA,DRX,ban,Icebox
Valorant Champions 2022,Group Stage,Opening (D),DRX vs FURIA,FURIA,pick,Ascent
Valorant Champions 2022,Group Stage,Opening (D),DRX vs FURIA,DRX,pick,Haven
Valorant Champions 2022,Group Stage,Opening (D),DRX vs FURIA,FURIA,ban,Bind
Valorant Champions 2022,Group Stage,Opening (D),DRX vs FURIA,DRX,ban,Breeze
Valorant Champions 2022,Group Stage,Opening (D),FNATIC vs 100 Thieves,FNATIC,ban,Breeze
Valorant Champions 2022,Group Stage,Opening (D),FNATIC vs 100 Thieves,100 Thieves,ban,Icebox
Valorant Champions 2022,Group Stage,Opening (D),FNATIC vs 100 Thieves,FNATIC,pick,Pearl
Valorant Champions 2022,Group Stage,Opening (D),FNATIC vs 100 Thieves,100 Thieves,pick,Bind
Valorant Champions 2022,Group Stage,Opening (D),FNATIC vs 100 Thieves,FNATIC,ban,Ascent
Valorant Champions 2022,Group Stage,Opening (D),FNATIC vs 100 Thieves,100 Thieves,ban,Fracture
Valorant Champions 2022,Group Stage,Winner's (B),OpTic Gaming vs LOUD,LOUD,ban,Haven
Valorant Champions 2022,Group Stage,Winner's (B),OpTic Gaming vs LOUD,OpTic Gaming,ban,Icebox
Valorant Champions 2022,Group Stage,Winner's (B),OpTic Gaming vs LOUD,LOUD,pick,Breeze
Valorant Champions 2022,Group Stage,Winner's (B),OpTic Gaming vs LOUD,OpTic Gaming,pick,Fracture
Valorant Champions 2022,Group Stage,Winner's (B),OpTic Gaming vs LOUD,LOUD,ban,Bind
Valorant Champions 2022,Group Stage,Winner's (B),OpTic Gaming vs LOUD,OpTic Gaming,ban,Ascent
Valorant Champions 2022,Group Stage,Opening (C),XSET vs XERXIA Esports,XSET,ban,Bind
Valorant Champions 2022,Group Stage,Opening (C),XSET vs XERXIA Esports,XERXIA Esports,ban,Ascent
Valorant Champions 2022,Group Stage,Opening (C),XSET vs XERXIA Esports,XSET,pick,Fracture
Valorant Champions 2022,Group Stage,Opening (C),XSET vs XERXIA Esports,XERXIA Esports,pick,Icebox
Valorant Champions 2022,Group Stage,Opening (C),XSET vs XERXIA Esports,XSET,ban,Breeze
Valorant Champions 2022,Group Stage,Opening (C),XSET vs XERXIA Esports,XERXIA Esports,ban,Pearl
Valorant Champions 2022,Group Stage,Opening (C),FunPlus Phoenix vs KRÜ Esports,KRÜ Esports,ban,Fracture
Valorant Champions 2022,Group Stage,Opening (C),FunPlus Phoenix vs KRÜ Esports,FunPlus Phoenix,ban,Breeze
Valorant Champions 2022,Group Stage,Opening (C),FunPlus Phoenix vs KRÜ Esports,KRÜ Esports,pick,Icebox
Valorant Champions 2022,Group Stage,Opening (C),FunPlus Phoenix vs KRÜ Esports,FunPlus Phoenix,pick,Bind
Valorant Champions 2022,Group Stage,Opening (C),FunPlus Phoenix vs KRÜ Esports,KRÜ Esports,ban,Pearl
Valorant Champions 2022,Group Stage,Opening (C),FunPlus Phoenix vs KRÜ Esports,FunPlus Phoenix,ban,Haven
Valorant Champions 2022,Group Stage,Winner's (D),DRX vs 100 Thieves,100 Thieves,ban,Haven
Valorant Champions 2022,Group Stage,Winner's (D),DRX vs 100 Thieves,DRX,ban,Pearl
Valorant Champions 2022,Group Stage,Winner's (D),DRX vs 100 Thieves,100 Thieves,pick,Breeze
Valorant Champions 2022,Group Stage,Winner's (D),DRX vs 100 Thieves,DRX,pick,Fracture
Valorant Champions 2022,Group Stage,Winner's (D),DRX vs 100 Thieves,100 Thieves,ban,Icebox
Valorant Champions 2022,Group Stage,Winner's (D),DRX vs 100 Thieves,DRX,ban,Bind
Valorant Champions 2022,Group Stage,Elimination (B),BOOM Esports vs ZETA DIVISION,BOOM Esports,ban,Icebox
Valorant Champions 2022,Group Stage,Elimination (B),BOOM Esports vs ZETA DIVISION,ZETA DIVISION,ban,Breeze
Valorant Champions 2022,Group Stage,Elimination (B),BOOM Esports vs ZETA DIVISION,BOOM Esports,pick,Haven
Valorant Champions 2022,Group Stage,Elimination (B),BOOM Esports vs ZETA DIVISION,ZETA DIVISION,pick,Pearl
Valorant Champions 2022,Group Stage,Elimination (B),BOOM Esports vs ZETA DIVISION,BOOM Esports,ban,Bind
Valorant Champions 2022,Group Stage,Elimination (B),BOOM Esports vs ZETA DIVISION,ZETA DIVISION,ban,Ascent
Valorant Champions 2022,Group Stage,Elimination (A),EDward Gaming vs Team Liquid,EDward Gaming,ban,Haven
Valorant Champions 2022,Group Stage,Elimination (A),EDward Gaming vs Team Liquid,Team Liquid,ban,Fracture
Valorant Champions 2022,Group Stage,Elimination (A),EDward Gaming vs Team Liquid,EDward Gaming,pick,Bind
Valorant Champions 2022,Group Stage,Elimination (A),EDward Gaming vs Team Liquid,Team Liquid,pick,Breeze
Valorant Champions 2022,Group Stage,Elimination (A),EDward Gaming vs Team Liquid,EDward Gaming,ban,Ascent
Valorant Champions 2022,Group Stage,Elimination (A),EDward Gaming vs Team Liquid,Team Liquid,ban,Pearl
Valorant Champions 2022,Group Stage,Elimination (C),KRÜ Esports vs XERXIA Esports,KRÜ Esports,ban,Fracture
Valorant Champions 2022,Group Stage,Elimination (C),KRÜ Esports vs XERXIA Esports,XERXIA Esports,ban,Bind
Valorant Champions 2022,Group Stage,Elimination (C),KRÜ Esports vs XERXIA Esports,KRÜ Esports,pick,Icebox
Valorant Champions 2022,Group Stage,Elimination (C),KRÜ Esports vs XERXIA Esports,XERXIA Esports,pick,Haven
Valorant Champions 2022,Group Stage,Elimination (C),KRÜ Esports vs XERXIA Esports,KRÜ Esports,ban,Pearl
Valorant Champions 2022,Group Stage,Elimination (C),KRÜ Esports vs XERXIA Esports,XERXIA Esports,ban,Breeze
Valorant Champions 2022,Group Stage,Elimination (D),FURIA vs FNATIC,FNATIC,ban,Ascent
Valorant Champions 2022,Group Stage,Elimination (D),FURIA vs FNATIC,FURIA,ban,Pearl
Valorant Champions 2022,Group Stage,Elimination (D),FURIA vs FNATIC,FNATIC,pick,Icebox
