Tournament,Stage,Match Type,Map,Total Maps Played,Attacker Side Win Percentage,Defender Side Win Percentage
Champions Tour 2023: EMEA Last Chance Qualifier,Playoffs,Knockout Round,All Maps,6,47%,53%
Champions Tour 2023: EMEA Last Chance Qualifier,Playoffs,Knockout Round,Haven,2,40%,60%
Champions Tour 2023: EMEA Last Chance Qualifier,Playoffs,Knockout Round,Bind,1,58%,42%
Champions Tour 2023: EMEA Last Chance Qualifier,Playoffs,Knockout Round,Fracture,1,71%,29%
Champions Tour 2023: EMEA Last Chance Qualifier,Playoffs,Knockout Round,Lotus,1,50%,50%
Champions Tour 2023: EMEA Last Chance Qualifier,Playoffs,Knockout Round,Pearl,1,26%,74%
Champions Tour 2023: EMEA Last Chance Qualifier,Playoffs,Upper Semifinals,All Maps,4,43%,57%
Champions Tour 2023: EMEA Last Chance Qualifier,Playoffs,Upper Semifinals,Split,2,51%,49%
Champions Tour 2023: EMEA Last Chance Qualifier,Playoffs,Upper Semifinals,Lotus,1,44%,56%
Champions Tour 2023: EMEA Last Chance Qualifier,Playoffs,Upper Semifinals,Pearl,1,29%,71%
Champions Tour 2023: EMEA Last Chance Qualifier,Playoffs,Upper Final,All Maps,2,40%,60%
Champions Tour 2023: EMEA Last Chance Qualifier,Playoffs,Upper Final,Haven,1,42%,58%
Champions Tour 2023: EMEA Last Chance Qualifier,Playoffs,Upper Final,Pearl,1,39%,61%
Champions Tour 2023: EMEA Last Chance Qualifier,Playoffs,Grand Final,All Maps,3,50%,50%
Champions Tour 2023: EMEA Last Chance Qualifier,Playoffs,Grand Final,Bind,1,46%,54%
Champions Tour 2023: EMEA Last Chance Qualifier,Playoffs,Grand Final,Haven,1,50%,50%
Champions Tour 2023: EMEA Last Chance Qualifier,Playoffs,Grand Final,Lotus,1,55%,45%
Champions Tour 2023: EMEA Last Chance Qualifier,Playoffs,Lower Round 1,All Maps,3,56%,44%
Champions Tour 2023: EMEA Last Chance Qualifier,Playoffs,Lower Round 1,Lotus,1,58%,42%
Champions Tour 2023: EMEA Last Chance Qualifier,Playoffs,Lower Round 1,Ascent,1,55%,45%
Champions Tour 2023: EMEA Last Chance Qualifier,Playoffs,Lower Round 1,Pearl,1,55%,45%
Champions Tour 2023: EMEA Last Chance Qualifier,Playoffs,Lower Final,All Maps,3,62%,38%
Champions Tour 2023: EMEA Last Chance Qualifier,Playoffs,Lower Final,Fracture,1,68%,32%
Champions Tour 2023: EMEA Last Chance Qualifier,Playoffs,Lower Final,Pearl,1,78%,22%
Champions Tour 2023: EMEA Last Chance Qualifier,Playoffs,Lower Final,Split,1,42%,58%
Champions Tour 2023: EMEA Last Chance Qualifier,All Stages,All Match Types,All Maps,21,50%,50%
Champions Tour 2023: EMEA Last Chance Qualifier,All Stages,All Match Types,Pearl,5,45%,55%
Champions Tour 2023: EMEA Last Chance Qualifier,All Stages,All Match Types,Lotus,4,52%,48%
Champions Tour 2023: EMEA Last Chance Qualifier,All Stages,All Match Types,Haven,4,43%,57%
Champions Tour 2023: EMEA Last Chance Qualifier,All Stages,All Match Types,Split,3,48%,52%
Champions Tour 2023: EMEA Last Chance Qualifier,All Stages,All Match Types,Bind,2,52%,48%
Champions Tour 2023: EMEA Last Chance Qualifier,All Stages,All Match Types,Fracture,2,70%,30%
Champions Tour 2023: EMEA Last Chance Qualifier,All Stages,All Match Types,Ascent,1,55%,45%
Champions Tour 2023: Pacific Last Chance Qualifier,Main Event,Upper Round 1,All Maps,2,46%,54%
Champions Tour 2023: Pacific Last Chance Qualifier,Main Event,Upper Round 1,Ascent,1,48%,52%
