Tournament,Stage,Match Type,Map,Total Maps Played,Attacker Side Win Percentage,Defender Side Win Percentage
Champions Tour 2023: Pacific Last Chance Qualifier,Main Event,Upper Round 1,Fracture,1,45%,55%
Champions Tour 2023: Pacific Last Chance Qualifier,Main Event,Upper Quarterfinals,All Maps,5,46%,54%
Champions Tour 2023: Pacific Last Chance Qualifier,Main Event,Upper Quarterfinals,Split,2,50%,50%
Champions Tour 2023: Pacific Last Chance Qualifier,Main Event,Upper Quarterfinals,Ascent,1,43%,57%
Champions Tour 2023: Pacific Last Chance Qualifier,Main Event,Upper Quarterfinals,Haven,1,67%,33%
Champions Tour 2023: Pacific Last Chance Qualifier,Main Event,Upper Quarterfinals,Pearl,1,21%,79%
Champions Tour 2023: Pacific Last Chance Qualifier,Main Event,Upper Semifinals,All Maps,5,40%,60%
Champions Tour 2023: Pacific Last Chance Qualifier,Main Event,Upper Semifinals,Ascent,2,38%,62%
Champions Tour 2023: Pacific Last Chance Qualifier,Main Event,Upper Semifinals,Haven,2,35%,65%
Champions Tour 2023: Pacific Last Chance Qualifier,Main Event,Upper Semifinals,Split,1,52%,48%
Champions Tour 2023: Pacific Last Chance Qualifier,Main Event,Upper Final,All Maps,2,67%,33%
Champions Tour 2023: Pacific Last Chance Qualifier,Main Event,Upper Final,Lotus,1,68%,32%
Champions Tour 2023: Pacific Last Chance Qualifier,Main Event,Upper Final,Fracture,1,65%,35%
Champions Tour 2023: Pacific Last Chance Qualifier,Main Event,Lower Round 1,All Maps,3,59%,41%
Champions Tour 2023: Pacific Last Chance Qualifier,Main Event,Lower Round 1,Ascent,1,65%,35%
Champions Tour 2023: Pacific Last Chance Qualifier,Main Event,Lower Round 1,Haven,1,47%,53%
Champions Tour 2023: Pacific Last Chance Qualifier,Main Event,Lower Round 1,Lotus,1,67%,33%
Champions Tour 2023: Pacific Last Chance Qualifier,Main Event,Lower Final,All Maps,4,49%,51%
Champions Tour 2023: Pacific Last Chance Qualifier,Main Event,Lower Final,Ascent,1,67%,33%
Champions Tour 2023: Pacific Last Chance Qualifier,Main Event,Lower Final,Haven,1,30%,70%
Champions Tour 2023: Pacific Last Chance Qualifier,Main Event,Lower Final,Lotus,1,74%,26%
Champions Tour 2023: Pacific Last Chance Qualifier,Main Event,Lower Final,Pearl,1,38%,63%
Champions Tour 2023: Pacific Last Chance Qualifier,Main Event,Grand Final,All Maps,4,49%,51%
Champions Tour 2023: Pacific Last Chance Qualifier,Main Event,Grand Final,Ascent,1,41%,59%
Champions Tour 2023: Pacific Last Chance Qualifier,Main Event,Grand Final,Fracture,1,42%,58%
Champions Tour 2023: Pacific Last Chance Qualifier,Main Event,Grand Final,Lotus,1,42%,58%
Champions Tour 2023: Pacific Last Chance Qualifier,Main Event,Grand Final,Split,1,75%,25%
Champions Tour 2023: Pacific Last Chance Qualifier,All Stages,All Match Types,All Maps,25,49%,51%
Champions Tour 2023: Pacific Last Chance Qualifier,All Stages,All Match Types,Ascent,7,47%,53%
Champions Tour 2023: Pacific Last Chance Qualifier,All Stages,All Match Types,Haven,5,44%,56%
Champions Tour 2023: Pacific Last Chance Qualifier,All Stages,All Match Types,Lotus,4,63%,37%
Champions Tour 2023: Pacific Last Chance Qualifier,All Stages,All Match Types,Split,4,56%,44%
Champions Tour 2023: Pacific Last Chance Qualifier,All Stages,All Match Types,Fracture,3,50%,50%
Champions Tour 2023: Pacific Last Chance Qualifier,All Stages,All Match Types,Pearl,2,29%,71%
Champions Tour 2023: Americas Last Chance Qualifier,Main Event,Upper Round 1,All Maps,2,51%,49%
Champions Tour 2023: Americas Last Chance Qualifier,Main Event,Upper Round 1,Lotus,1,67%,33%
Champions Tour 2023: Americas Last Chance Qualifier,Main Event,Upper Round 1,Bind,1,35%,65%
Champions Tour 2023: Americas Last Chance Qualifier,Main Event,Upper Quarterfinals,All Maps,6,46%,54%
Champions Tour 2023: Americas Last Chance Qualifier,Main Event,Upper Quarterfinals,Split,2,43%,57%
Champions Tour 2023: Americas Last Chance Qualifier,Main Event,Upper Quarterfinals,Bind,2,55%,45%
Champions Tour 2023: Americas Last Chance Qualifier,Main Event,Upper Quarterfinals,Ascent,1,59%,41%
Champions Tour 2023: Americas Last Chance Qualifier,Main Event,Upper Quarterfinals,Pearl,1,25%,75%
Champions Tour 2023: Americas Last Chance Qualifier,Main Event,Upper Semifinals,All Maps,5,54%,46%
Champions Tour 2023: Americas Last Chance Qualifier,Main Event,Upper Semifinals,Split,2,59%,41%
Champions Tour 2023: Americas Last Chance Qualifier,Main Event,Upper Semifinals,Lotus,1,55%,45%
Champions Tour 2023: Americas Last Chance Qualifier,Main Event,Upper Semifinals,Fracture,1,39%,61%
Champions Tour 2023: Americas Last Chance Qualifier,Main Event,Upper Semifinals,Pearl,1,57%,43%
Champions Tour 2023: Americas Last Chance Qualifier,Main Event,Upper Final,All Maps,3,66%,34%
Champions Tour 2023: Americas Last Chance Qualifier,Main Event,Upper Final,Ascent,1,53%,47%
Champions Tour 2023: Americas Last Chance Qualifier,Main Event,Upper Final,Haven,1,53%,47%
Champions Tour 2023: Americas Last Chance Qualifier,Main Event,Upper Final,Pearl,1,94%,6%
Champions Tour 2023: Americas Last Chance Qualifier,Main Event,Grand Final,All Maps,4,47%,53%
Champions Tour 2023: Americas Last Chance Qualifier,Main Event,Grand Final,Lotus,1,57%,43%
Champions Tour 2023: Americas Last Chance Qualifier,Main Event,Grand Final,Ascent,1,42%,58%
Champions Tour 2023: Americas Last Chance Qualifier,Main Event,Grand Final,Pearl,1,29%,71%
Champions Tour 2023: Americas Last Chance Qualifier,Main Event,Grand Final,Split,1,61%,39%
Champions Tour 2023: Americas Last Chance Qualifier,Main Event,Lower Round 1,All Maps,2,45%,55%
Champions Tour 2023: Americas Last Chance Qualifier,Main Event,Lower Round 1,Split,1,53%,47%
Champions Tour 2023: Americas Last Chance Qualifier,Main Event,Lower Round 1,Fracture,1,38%,62%
Champions Tour 2023: Americas Last Chance Qualifier,Main Event,Lower Final,All Maps,5,56%,44%
Champions Tour 2023: Americas Last Chance Qualifier,Main Event,Lower Final,Bind,1,45%,55%
Champions Tour 2023: Americas Last Chance Qualifier,Main Event,Lower Final,Haven,1,83%,17%
Champions Tour 2023: Americas Last Chance Qualifier,Main Event,Lower Final,Lotus,1,55%,45%
Champions Tour 2023: Americas Last Chance Qualifier,Main Event,Lower Final,Pearl,1,41%,59%
Champions Tour 2023: Americas Last Chance Qualifier,Main Event,Lower Final,Split,1,54%,46%
Champions Tour 2023: Americas Last Chance Qualifier,All Stages,All Match Types,All Maps,27,52%,48%
Champions Tour 2023: Americas Last Chance Qualifier,All Stages,All Match Types,Split,7,53%,47%
Champions Tour 2023: Americas Last Chance Qualifier,All Stages,All Match Types,Pearl,5,47%,53%
Champions Tour 2023: Americas Last Chance Qualifier,All Stages,All Match Types,Lotus,4,58%,42%
Champions Tour 2023: Americas Last Chance Qualifier,All Stages,All Match Types,Bind,4,48%,52%
Champions Tour 2023: Americas Last Chance Qualifier,All Stages,All Match Types,Ascent,3,51%,49%
Champions Tour 2023: Americas Last Chance Qualifier,All Stages,All Match Types,Fracture,2,38%,62%
Champions Tour 2023: Americas Last Chance Qualifier,All Stages,All Match Types,Haven,2,69%,31%
Champions Tour 2023: Masters Tokyo,Playoffs,Upper Quarterfinals,All Maps,9,58%,42%
Champions Tour 2023: Masters Tokyo,Playoffs,Upper Quarterfinals,Bind,2,53%,48%
Champions Tour 2023: Masters Tokyo,Playoffs,Upper Quarterfinals,Fracture,2,62%,38%
Champions Tour 2023: Masters Tokyo,Playoffs,Upper Quarterfinals,Split,2,55%,45%
Champions Tour 2023: Masters Tokyo,Playoffs,Upper Quarterfinals,Ascent,1,61%,39%
Champions Tour 2023: Masters Tokyo,Playoffs,Upper Quarterfinals,Haven,1,59%,41%
Champions Tour 2023: Masters Tokyo,Playoffs,Upper Quarterfinals,Lotus,1,63%,38%
Champions Tour 2023: Masters Tokyo,Playoffs,Upper Semifinals,All Maps,4,49%,51%
Champions Tour 2023: Masters Tokyo,Playoffs,Upper Semifinals,Bind,1,65%,35%
Champions Tour 2023: Masters Tokyo,Playoffs,Upper Semifinals,Fracture,1,80%,20%
Champions Tour 2023: Masters Tokyo,Playoffs,Upper Semifinals,Haven,1,50%,50%
Champions Tour 2023: Masters Tokyo,Playoffs,Upper Semifinals,Lotus,1,6%,94%
Champions Tour 2023: Masters Tokyo,Playoffs,Upper Final,All Maps,3,50%,50%
Champions Tour 2023: Masters Tokyo,Playoffs,Upper Final,Lotus,1,69%,31%
Champions Tour 2023: Masters Tokyo,Playoffs,Upper Final,Fracture,1,32%,68%
Champions Tour 2023: Masters Tokyo,Playoffs,Upper Final,Split,1,54%,46%
Champions Tour 2023: Masters Tokyo,Playoffs,Grand Final,All Maps,3,48%,52%
Champions Tour 2023: Masters Tokyo,Playoffs,Grand Final,Lotus,1,38%,62%
Champions Tour 2023: Masters Tokyo,Playoffs,Grand Final,Bind,1,67%,33%
Champions Tour 2023: Masters Tokyo,Playoffs,Grand Final,Split,1,38%,63%
Champions Tour 2023: Masters Tokyo,Playoffs,Lower Round 1,All Maps,4,49%,51%
Champions Tour 2023: Masters Tokyo,Playoffs,Lower Round 1,Fracture,1,65%,35%
Champions Tour 2023: Masters Tokyo,Playoffs,Lower Round 1,Haven,1,50%,50%
Champions Tour 2023: Masters Tokyo,Playoffs,Lower Round 1,Lotus,1,53%,47%
Champions Tour 2023: Masters Tokyo,Playoffs,Lower Round 1,Pearl,1,29%,71%
Champions Tour 2023: Masters Tokyo,Playoffs,Lower Round 2,All Maps,6,41%,59%
Champions Tour 2023: Masters Tokyo,Playoffs,Lower Round 2,Split,2,45%,55%
Champions Tour 2023: Masters Tokyo,Playoffs,Lower Round 2,Ascent,1,48%,52%
Champions Tour 2023: Masters Tokyo,Playoffs,Lower Round 2,Fracture,1,33%,67%
Champions Tour 2023: Masters Tokyo,Playoffs,Lower Round 2,Haven,1,33%,67%
Champions Tour 2023: Masters Tokyo,Playoffs,Lower Round 2,Lotus,1,43%,57%
Champions Tour 2023: Masters Tokyo,Playoffs,Lower Round 3,All Maps,3,58%,42%
Champions Tour 2023: Masters Tokyo,Playoffs,Lower Round 3,Lotus,1,74%,26%
Champions Tour 2023: Masters Tokyo,Playoffs,Lower Round 3,Bind,1,63%,38%
Champions Tour 2023: Masters Tokyo,Playoffs,Lower Round 3,Pearl,1,42%,58%
Champions Tour 2023: Masters Tokyo,Playoffs,Lower Final,All Maps,5,47%,53%
Champions Tour 2023: Masters Tokyo,Playoffs,Lower Final,Ascent,1,57%,43%
Champions Tour 2023: Masters Tokyo,Playoffs,Lower Final,Fracture,1,35%,65%
Champions Tour 2023: Masters Tokyo,Playoffs,Lower Final,Lotus,1,58%,42%
Champions Tour 2023: Masters Tokyo,Playoffs,Lower Final,Pearl,1,58%,42%
Champions Tour 2023: Masters Tokyo,Playoffs,Lower Final,Split,1,26%,74%
Champions Tour 2023: Masters Tokyo,Group Stage,Opening (A),All Maps,6,57%,43%
Champions Tour 2023: Masters Tokyo,Group Stage,Opening (A),Ascent,1,62%,38%
Champions Tour 2023: Masters Tokyo,Group Stage,Opening (A),Fracture,1,57%,43%
Champions Tour 2023: Masters Tokyo,Group Stage,Opening (A),Haven,1,35%,65%
Champions Tour 2023: Masters Tokyo,Group Stage,Opening (A),Lotus,1,67%,33%
Champions Tour 2023: Masters Tokyo,Group Stage,Opening (A),Pearl,1,50%,50%
Champions Tour 2023: Masters Tokyo,Group Stage,Opening (A),Split,1,74%,26%
Champions Tour 2023: Masters Tokyo,Group Stage,Winner's (A),All Maps,3,49%,51%
Champions Tour 2023: Masters Tokyo,Group Stage,Winner's (A),Lotus,1,54%,46%
Champions Tour 2023: Masters Tokyo,Group Stage,Winner's (A),Bind,1,35%,65%
Champions Tour 2023: Masters Tokyo,Group Stage,Winner's (A),Pearl,1,54%,46%
Champions Tour 2023: Masters Tokyo,Group Stage,Elimination (A),All Maps,2,54%,46%
Champions Tour 2023: Masters Tokyo,Group Stage,Elimination (A),Bind,1,50%,50%
Champions Tour 2023: Masters Tokyo,Group Stage,Elimination (A),Pearl,1,58%,42%
Champions Tour 2023: Masters Tokyo,Group Stage,Decider (A),All Maps,2,61%,39%
Champions Tour 2023: Masters Tokyo,Group Stage,Decider (A),Fracture,1,47%,53%
Champions Tour 2023: Masters Tokyo,Group Stage,Decider (A),Haven,1,74%,26%
Champions Tour 2023: Masters Tokyo,Group Stage,Opening (B),All Maps,4,49%,51%
Champions Tour 2023: Masters Tokyo,Group Stage,Opening (B),Lotus,1,50%,50%
Champions Tour 2023: Masters Tokyo,Group Stage,Opening (B),Fracture,1,52%,48%
Champions Tour 2023: Masters Tokyo,Group Stage,Opening (B),Pearl,1,55%,45%
Champions Tour 2023: Masters Tokyo,Group Stage,Opening (B),Split,1,39%,61%
Champions Tour 2023: Masters Tokyo,Group Stage,Winner's (B),All Maps,2,50%,50%
Champions Tour 2023: Masters Tokyo,Group Stage,Winner's (B),Ascent,1,50%,50%
Champions Tour 2023: Masters Tokyo,Group Stage,Winner's (B),Fracture,1,50%,50%
Champions Tour 2023: Masters Tokyo,Group Stage,Elimination (B),All Maps,3,48%,52%
Champions Tour 2023: Masters Tokyo,Group Stage,Elimination (B),Ascent,1,61%,39%
Champions Tour 2023: Masters Tokyo,Group Stage,Elimination (B),Haven,1,33%,67%
Champions Tour 2023: Masters Tokyo,Group Stage,Elimination (B),Lotus,1,53%,47%
Champions Tour 2023: Masters Tokyo,Group Stage,Decider (B),All Maps,3,38%,62%
Champions Tour 2023: Masters Tokyo,Group Stage,Decider (B),Bind,1,32%,68%
Champions Tour 2023: Masters Tokyo,Group Stage,Decider (B),Fracture,1,62%,38%
Champions Tour 2023: Masters Tokyo,Group Stage,Decider (B),Haven,1,18%,82%
Champions Tour 2023: Masters Tokyo,All Stages,All Match Types,All Maps,62,51%,49%
Champions Tour 2023: Masters Tokyo,All Stages,All Match Types,Lotus,12,53%,47%
Champions Tour 2023: Masters Tokyo,All Stages,All Match Types,Fracture,12,52%,48%
Champions Tour 2023: Masters Tokyo,All Stages,All Match Types,Split,9,47%,53%
Champions Tour 2023: Masters Tokyo,All Stages,All Match Types,Bind,8,52%,48%
Champions Tour 2023: Masters Tokyo,All Stages,All Match Types,Haven,8,44%,56%
Champions Tour 2023: Masters Tokyo,All Stages,All Match Types,Pearl,7,49%,51%
Champions Tour 2023: Masters Tokyo,All Stages,All Match Types,Ascent,6,56%,44%
Champions Tour 2023: Lock-In Sao Paulo,Playoffs,Semifinals,All Maps,8,52%,48%
Champions Tour 2023: Lock-In Sao Paulo,Playoffs,Semifinals,Fracture,2,55%,45%
Champions Tour 2023: Lock-In Sao Paulo,Playoffs,Semifinals,Ascent,1,48%,52%
Champions Tour 2023: Lock-In Sao Paulo,Playoffs,Semifinals,Haven,1,46%,54%
Champions Tour 2023: Lock-In Sao Paulo,Playoffs,Semifinals,Icebox,1,67%,33%
Champions Tour 2023: Lock-In Sao Paulo,Playoffs,Semifinals,Lotus,1,71%,29%
Champions Tour 2023: Lock-In Sao Paulo,Playoffs,Semifinals,Pearl,1,39%,61%
Champions Tour 2023: Lock-In Sao Paulo,Playoffs,Semifinals,Split,1,35%,65%
Champions Tour 2023: Lock-In Sao Paulo,Playoffs,Grand Final,All Maps,5,51%,49%
Champions Tour 2023: Lock-In Sao Paulo,Playoffs,Grand Final,Ascent,1,43%,57%
Champions Tour 2023: Lock-In Sao Paulo,Playoffs,Grand Final,Fracture,1,35%,65%
Champions Tour 2023: Lock-In Sao Paulo,Playoffs,Grand Final,Icebox,1,75%,25%
Champions Tour 2023: Lock-In Sao Paulo,Playoffs,Grand Final,Lotus,1,48%,52%
Champions Tour 2023: Lock-In Sao Paulo,Playoffs,Grand Final,Split,1,50%,50%
Champions Tour 2023: Lock-In Sao Paulo,Bracket Stage,Alpha - Round of 16,All Maps,18,56%,44%
Champions Tour 2023: Lock-In Sao Paulo,Bracket Stage,Alpha - Round of 16,Haven,5,60%,40%
Champions Tour 2023: Lock-In Sao Paulo,Bracket Stage,Alpha - Round of 16,Pearl,5,55%,45%
Champions Tour 2023: Lock-In Sao Paulo,Bracket Stage,Alpha - Round of 16,Ascent,2,40%,60%
Champions Tour 2023: Lock-In Sao Paulo,Bracket Stage,Alpha - Round of 16,Fracture,2,56%,44%
Champions Tour 2023: Lock-In Sao Paulo,Bracket Stage,Alpha - Round of 16,Icebox,2,68%,32%
Champions Tour 2023: Lock-In Sao Paulo,Bracket Stage,Alpha - Round of 16,Lotus,2,50%,50%
Champions Tour 2023: Lock-In Sao Paulo,Bracket Stage,Alpha - Quarterfinals,All Maps,10,52%,49%
Champions Tour 2023: Lock-In Sao Paulo,Bracket Stage,Alpha - Quarterfinals,Haven,3,50%,50%
Champions Tour 2023: Lock-In Sao Paulo,Bracket Stage,Alpha - Quarterfinals,Icebox,2,54%,46%
Champions Tour 2023: Lock-In Sao Paulo,Bracket Stage,Alpha - Quarterfinals,Pearl,2,54%,46%
Champions Tour 2023: Lock-In Sao Paulo,Bracket Stage,Alpha - Quarterfinals,Split,2,41%,59%
Champions Tour 2023: Lock-In Sao Paulo,Bracket Stage,Alpha - Quarterfinals,Lotus,1,67%,33%
Champions Tour 2023: Lock-In Sao Paulo,Bracket Stage,Alpha - Semifinals,All Maps,6,50%,50%
Champions Tour 2023: Lock-In Sao Paulo,Bracket Stage,Alpha - Semifinals,Fracture,2,49%,51%
Champions Tour 2023: Lock-In Sao Paulo,Bracket Stage,Alpha - Semifinals,Ascent,1,32%,68%
Champions Tour 2023: Lock-In Sao Paulo,Bracket Stage,Alpha - Semifinals,Icebox,1,52%,48%
Champions Tour 2023: Lock-In Sao Paulo,Bracket Stage,Alpha - Semifinals,Pearl,1,58%,42%
Champions Tour 2023: Lock-In Sao Paulo,Bracket Stage,Alpha - Semifinals,Split,1,56%,44%
Champions Tour 2023: Lock-In Sao Paulo,Bracket Stage,Omega - Round of 16,All Maps,17,50%,50%
Champions Tour 2023: Lock-In Sao Paulo,Bracket Stage,Omega - Round of 16,Pearl,5,46%,54%
Champions Tour 2023: Lock-In Sao Paulo,Bracket Stage,Omega - Round of 16,Lotus,4,61%,39%
Champions Tour 2023: Lock-In Sao Paulo,Bracket Stage,Omega - Round of 16,Ascent,2,66%,34%
Champions Tour 2023: Lock-In Sao Paulo,Bracket Stage,Omega - Round of 16,Icebox,2,32%,68%
Champions Tour 2023: Lock-In Sao Paulo,Bracket Stage,Omega - Round of 16,Split,2,62%,38%
Champions Tour 2023: Lock-In Sao Paulo,Bracket Stage,Omega - Round of 16,Fracture,1,35%,65%
Champions Tour 2023: Lock-In Sao Paulo,Bracket Stage,Omega - Round of 16,Haven,1,37%,63%
Champions Tour 2023: Lock-In Sao Paulo,Bracket Stage,Omega - Quarterfinals,All Maps,9,53%,47%
Champions Tour 2023: Lock-In Sao Paulo,Bracket Stage,Omega - Quarterfinals,Haven,3,60%,40%
Champions Tour 2023: Lock-In Sao Paulo,Bracket Stage,Omega - Quarterfinals,Icebox,2,52%,48%
Champions Tour 2023: Lock-In Sao Paulo,Bracket Stage,Omega - Quarterfinals,Pearl,2,36%,64%
Champions Tour 2023: Lock-In Sao Paulo,Bracket Stage,Omega - Quarterfinals,Ascent,1,41%,59%
Champions Tour 2023: Lock-In Sao Paulo,Bracket Stage,Omega - Quarterfinals,Lotus,1,68%,32%
Champions Tour 2023: Lock-In Sao Paulo,Bracket Stage,Omega - Semifinals,All Maps,4,55%,45%
Champions Tour 2023: Lock-In Sao Paulo,Bracket Stage,Omega - Semifinals,Fracture,2,79%,21%
Champions Tour 2023: Lock-In Sao Paulo,Bracket Stage,Omega - Semifinals,Ascent,1,57%,43%
Champions Tour 2023: Lock-In Sao Paulo,Bracket Stage,Omega - Semifinals,Icebox,1,22%,78%
Champions Tour 2023: Lock-In Sao Paulo,All Stages,All Match Types,All Maps,77,52%,48%
Champions Tour 2023: Lock-In Sao Paulo,All Stages,All Match Types,Pearl,16,49%,51%
Champions Tour 2023: Lock-In Sao Paulo,All Stages,All Match Types,Haven,13,55%,45%
Champions Tour 2023: Lock-In Sao Paulo,All Stages,All Match Types,Icebox,12,52%,48%
Champions Tour 2023: Lock-In Sao Paulo,All Stages,All Match Types,Fracture,10,53%,47%
Champions Tour 2023: Lock-In Sao Paulo,All Stages,All Match Types,Lotus,10,60%,40%
Champions Tour 2023: Lock-In Sao Paulo,All Stages,All Match Types,Ascent,9,47%,53%
Champions Tour 2023: Lock-In Sao Paulo,All Stages,All Match Types,Split,7,49%,51%
Valorant Champions 2023,Playoffs,Upper Quarterfinals,All Maps,9,47%,53%
Valorant Champions 2023,Playoffs,Upper Quarterfinals,Ascent,3,40%,60%
Valorant Champions 2023,Playoffs,Upper Quarterfinals,Lotus,2,29%,71%
Valorant Champions 2023,Playoffs,Upper Quarterfinals,Pearl,2,66%,34%
Valorant Champions 2023,Playoffs,Upper Quarterfinals,Haven,1,50%,50%
Valorant Champions 2023,Playoffs,Upper Quarterfinals,Split,1,67%,33%
Valorant Champions 2023,Playoffs,Upper Semifinals,All Maps,5,52%,48%
Valorant Champions 2023,Playoffs,Upper Semifinals,Lotus,2,54%,46%
Valorant Champions 2023,Playoffs,Upper Semifinals,Fracture,1,41%,59%
Valorant Champions 2023,Playoffs,Upper Semifinals,Pearl,1,52%,48%
Valorant Champions 2023,Playoffs,Upper Semifinals,Split,1,67%,33%
Valorant Champions 2023,Playoffs,Upper Final,All Maps,3,49%,51%
Valorant Champions 2023,Playoffs,Upper Final,Ascent,1,65%,35%
Valorant Champions 2023,Playoffs,Upper Final,Bind,1,32%,68%
Valorant Champions 2023,Playoffs,Upper Final,Pearl,1,50%,50%
Valorant Champions 2023,Playoffs,Grand Final,All Maps,4,59%,41%
Valorant Champions 2023,Playoffs,Grand Final,Ascent,1,54%,46%
Valorant Champions 2023,Playoffs,Grand Final,Bind,1,39%,61%
Valorant Champions 2023,Playoffs,Grand Final,Lotus,1,65%,35%
Valorant Champions 2023,Playoffs,Grand Final,Split,1,74%,26%
Valorant Champions 2023,Playoffs,Lower Round 1,All Maps,5,51%,49%
Valorant Champions 2023,Playoffs,Lower Round 1,Split,2,50%,50%
Valorant Champions 2023,Playoffs,Lower Round 1,Haven,2,44%,56%
Valorant Champions 2023,Playoffs,Lower Round 1,Bind,1,71%,29%
Valorant Champions 2023,Playoffs,Lower Round 2,All Maps,6,44%,56%
Valorant Champions 2023,Playoffs,Lower Round 2,Bind,2,37%,63%
Valorant Champions 2023,Playoffs,Lower Round 2,Haven,2,48%,52%
Valorant Champions 2023,Playoffs,Lower Round 2,Ascent,1,50%,50%
Valorant Champions 2023,Playoffs,Lower Round 2,Split,1,42%,58%
Valorant Champions 2023,Playoffs,Lower Round 3,All Maps,3,54%,46%
Valorant Champions 2023,Playoffs,Lower Round 3,Ascent,1,68%,32%
Valorant Champions 2023,Playoffs,Lower Round 3,Haven,1,45%,55%
Valorant Champions 2023,Playoffs,Lower Round 3,Split,1,47%,53%
Valorant Champions 2023,Playoffs,Lower Final,All Maps,5,61%,39%
Valorant Champions 2023,Playoffs,Lower Final,Ascent,1,58%,42%
Valorant Champions 2023,Playoffs,Lower Final,Bind,1,48%,52%
Valorant Champions 2023,Playoffs,Lower Final,Lotus,1,71%,29%
Valorant Champions 2023,Playoffs,Lower Final,Pearl,1,67%,33%
Valorant Champions 2023,Playoffs,Lower Final,Split,1,65%,35%
Valorant Champions 2023,Group Stage,Opening (A),All Maps,5,56%,44%
Valorant Champions 2023,Group Stage,Opening (A),Split,2,66%,34%
Valorant Champions 2023,Group Stage,Opening (A),Ascent,1,48%,52%
Valorant Champions 2023,Group Stage,Opening (A),Bind,1,46%,54%
Valorant Champions 2023,Group Stage,Opening (A),Pearl,1,57%,43%
Valorant Champions 2023,Group Stage,Winner's (A),All Maps,2,57%,43%
Valorant Champions 2023,Group Stage,Winner's (A),Fracture,1,55%,45%
Valorant Champions 2023,Group Stage,Winner's (A),Pearl,1,58%,42%
Valorant Champions 2023,Group Stage,Elimination (A),All Maps,2,53%,47%
