Tournament,Stage,Match Type,Map,Agent,Pick Rate
Champions Tour 2023: Lock-In Sao Paulo,Bracket Stage,Alpha - Quarterfinals,Lotus,raze,50%
Champions Tour 2023: Lock-In Sao Paulo,Bracket Stage,Alpha - Quarterfinals,Lotus,sage,0%
Champions Tour 2023: Lock-In Sao Paulo,Bracket Stage,Alpha - Quarterfinals,Lotus,harbor,0%
Champions Tour 2023: Lock-In Sao Paulo,Bracket Stage,Alpha - Quarterfinals,Lotus,cypher,0%
Champions Tour 2023: Lock-In Sao Paulo,Bracket Stage,Alpha - Quarterfinals,Lotus,phoenix,0%
Champions Tour 2023: Lock-In Sao Paulo,Bracket Stage,Alpha - Quarterfinals,Lotus,fade,0%
Champions Tour 2023: Lock-In Sao Paulo,Bracket Stage,Alpha - Quarterfinals,Lotus,chamber,0%
Champions Tour 2023: Lock-In Sao Paulo,Bracket Stage,Alpha - Quarterfinals,Lotus,iso,0%
Champions Tour 2023: Lock-In Sao Paulo,Bracket Stage,Alpha - Quarterfinals,Lotus,gekko,0%
Champions Tour 2023: Lock-In Sao Paulo,Bracket Stage,Alpha - Quarterfinals,Lotus,neon,0%
Champions Tour 2023: Lock-In Sao Paulo,Bracket Stage,Alpha - Quarterfinals,Lotus,deadlock,0%
Champions Tour 2023: Lock-In Sao Paulo,Bracket Stage,Alpha - Quarterfinals,Lotus,reyna,0%
Champions Tour 2023: Lock-In Sao Paulo,Bracket Stage,Alpha - Quarterfinals,Lotus,brimstone,0%
Champions Tour 2023: Lock-In Sao Paulo,Bracket Stage,Alpha - Quarterfinals,Lotus,yoru,0%
Champions Tour 2023: Lock-In Sao Paulo,Bracket Stage,Alpha - Semifinals,All Maps,killjoy,67%
Champions Tour 2023: Lock-In Sao Paulo,Bracket Stage,Alpha - Semifinals,All Maps,jett,67%
Champions Tour 2023: Lock-In Sao Paulo,Bracket Stage,Alpha - Semifinals,All Maps,viper,58%
Champions Tour 2023: Lock-In Sao Paulo,Bracket Stage,Alpha - Semifinals,All Maps,kayo,50%
Champions Tour 2023: Lock-In Sao Paulo,Bracket Stage,Alpha - Semifinals,All Maps,raze,42%
Champions Tour 2023: Lock-In Sao Paulo,Bracket Stage,Alpha - Semifinals,All Maps,harbor,33%
Champions Tour 2023: Lock-In Sao Paulo,Bracket Stage,Alpha - Semifinals,All Maps,sova,25%
Champions Tour 2023: Lock-In Sao Paulo,Bracket Stage,Alpha - Semifinals,All Maps,skye,25%
Champions Tour 2023: Lock-In Sao Paulo,Bracket Stage,Alpha - Semifinals,All Maps,breach,25%
Champions Tour 2023: Lock-In Sao Paulo,Bracket Stage,Alpha - Semifinals,All Maps,astra,25%
Champions Tour 2023: Lock-In Sao Paulo,Bracket Stage,Alpha - Semifinals,All Maps,fade,25%
Champions Tour 2023: Lock-In Sao Paulo,Bracket Stage,Alpha - Semifinals,All Maps,brimstone,25%
Champions Tour 2023: Lock-In Sao Paulo,Bracket Stage,Alpha - Semifinals,All Maps,omen,17%
Champions Tour 2023: Lock-In Sao Paulo,Bracket Stage,Alpha - Semifinals,All Maps,neon,8%
Champions Tour 2023: Lock-In Sao Paulo,Bracket Stage,Alpha - Semifinals,All Maps,cypher,8%
Champions Tour 2023: Lock-In Sao Paulo,Bracket Stage,Alpha - Semifinals,All Maps,iso,0%
Champions Tour 2023: Lock-In Sao Paulo,Bracket Stage,Alpha - Semifinals,All Maps,gekko,0%
Champions Tour 2023: Lock-In Sao Paulo,Bracket Stage,Alpha - Semifinals,All Maps,phoenix,0%
Champions Tour 2023: Lock-In Sao Paulo,Bracket Stage,Alpha - Semifinals,All Maps,deadlock,0%
Champions Tour 2023: Lock-In Sao Paulo,Bracket Stage,Alpha - Semifinals,All Maps,reyna,0%
Champions Tour 2023: Lock-In Sao Paulo,Bracket Stage,Alpha - Semifinals,All Maps,sage,0%
Champions Tour 2023: Lock-In Sao Paulo,Bracket Stage,Alpha - Semifinals,All Maps,chamber,0%
Champions Tour 2023: Lock-In Sao Paulo,Bracket Stage,Alpha - Semifinals,All Maps,yoru,0%
Champions Tour 2023: Lock-In Sao Paulo,Bracket Stage,Alpha - Semifinals,Fracture,killjoy,50%
Champions Tour 2023: Lock-In Sao Paulo,Bracket Stage,Alpha - Semifinals,Fracture,jett,50%
Champions Tour 2023: Lock-In Sao Paulo,Bracket Stage,Alpha - Semifinals,Fracture,viper,25%
Champions Tour 2023: Lock-In Sao Paulo,Bracket Stage,Alpha - Semifinals,Fracture,kayo,75%
Champions Tour 2023: Lock-In Sao Paulo,Bracket Stage,Alpha - Semifinals,Fracture,raze,50%
Champions Tour 2023: Lock-In Sao Paulo,Bracket Stage,Alpha - Semifinals,Fracture,harbor,0%
Champions Tour 2023: Lock-In Sao Paulo,Bracket Stage,Alpha - Semifinals,Fracture,sova,0%
Champions Tour 2023: Lock-In Sao Paulo,Bracket Stage,Alpha - Semifinals,Fracture,skye,0%
Champions Tour 2023: Lock-In Sao Paulo,Bracket Stage,Alpha - Semifinals,Fracture,breach,75%
Champions Tour 2023: Lock-In Sao Paulo,Bracket Stage,Alpha - Semifinals,Fracture,astra,0%
Champions Tour 2023: Lock-In Sao Paulo,Bracket Stage,Alpha - Semifinals,Fracture,fade,25%
Champions Tour 2023: Lock-In Sao Paulo,Bracket Stage,Alpha - Semifinals,Fracture,brimstone,75%
Champions Tour 2023: Lock-In Sao Paulo,Bracket Stage,Alpha - Semifinals,Fracture,omen,25%
Champions Tour 2023: Lock-In Sao Paulo,Bracket Stage,Alpha - Semifinals,Fracture,neon,25%
Champions Tour 2023: Lock-In Sao Paulo,Bracket Stage,Alpha - Semifinals,Fracture,cypher,25%
Champions Tour 2023: Lock-In Sao Paulo,Bracket Stage,Alpha - Semifinals,Fracture,iso,0%
Champions Tour 2023: Lock-In Sao Paulo,Bracket Stage,Alpha - Semifinals,Fracture,gekko,0%
Champions Tour 2023: Lock-In Sao Paulo,Bracket Stage,Alpha - Semifinals,Fracture,phoenix,0%
Champions Tour 2023: Lock-In Sao Paulo,Bracket Stage,Alpha - Semifinals,Fracture,deadlock,0%
Champions Tour 2023: Lock-In Sao Paulo,Bracket Stage,Alpha - Semifinals,Fracture,reyna,0%
Champions Tour 2023: Lock-In Sao Paulo,Bracket Stage,Alpha - Semifinals,Fracture,sage,0%
Champions Tour 2023: Lock-In Sao Paulo,Bracket Stage,Alpha - Semifinals,Fracture,chamber,0%
Champions Tour 2023: Lock-In Sao Paulo,Bracket Stage,Alpha - Semifinals,Fracture,yoru,0%
Champions Tour 2023: Lock-In Sao Paulo,Bracket Stage,Alpha - Semifinals,Ascent,killjoy,50%
Champions Tour 2023: Lock-In Sao Paulo,Bracket Stage,Alpha - Semifinals,Ascent,jett,100%
Champions Tour 2023: Lock-In Sao Paulo,Bracket Stage,Alpha - Semifinals,Ascent,viper,0%
Champions Tour 2023: Lock-In Sao Paulo,Bracket Stage,Alpha - Semifinals,Ascent,kayo,100%
Champions Tour 2023: Lock-In Sao Paulo,Bracket Stage,Alpha - Semifinals,Ascent,raze,0%
Champions Tour 2023: Lock-In Sao Paulo,Bracket Stage,Alpha - Semifinals,Ascent,harbor,0%
Champions Tour 2023: Lock-In Sao Paulo,Bracket Stage,Alpha - Semifinals,Ascent,sova,50%
Champions Tour 2023: Lock-In Sao Paulo,Bracket Stage,Alpha - Semifinals,Ascent,skye,0%
Champions Tour 2023: Lock-In Sao Paulo,Bracket Stage,Alpha - Semifinals,Ascent,breach,0%
Champions Tour 2023: Lock-In Sao Paulo,Bracket Stage,Alpha - Semifinals,Ascent,astra,50%
Champions Tour 2023: Lock-In Sao Paulo,Bracket Stage,Alpha - Semifinals,Ascent,fade,100%
Champions Tour 2023: Lock-In Sao Paulo,Bracket Stage,Alpha - Semifinals,Ascent,brimstone,0%
Champions Tour 2023: Lock-In Sao Paulo,Bracket Stage,Alpha - Semifinals,Ascent,omen,50%
Champions Tour 2023: Lock-In Sao Paulo,Bracket Stage,Alpha - Semifinals,Ascent,neon,0%
Champions Tour 2023: Lock-In Sao Paulo,Bracket Stage,Alpha - Semifinals,Ascent,cypher,0%
Champions Tour 2023: Lock-In Sao Paulo,Bracket Stage,Alpha - Semifinals,Ascent,iso,0%
Champions Tour 2023: Lock-In Sao Paulo,Bracket Stage,Alpha - Semifinals,Ascent,gekko,0%
Champions Tour 2023: Lock-In Sao Paulo,Bracket Stage,Alpha - Semifinals,Ascent,phoenix,0%
Champions Tour 2023: Lock-In Sao Paulo,Bracket Stage,Alpha - Semifinals,Ascent,deadlock,0%
Champions Tour 2023: Lock-In Sao Paulo,Bracket Stage,Alpha - Semifinals,Ascent,reyna,0%
Champions Tour 2023: Lock-In Sao Paulo,Bracket Stage,Alpha - Semifinals,Ascent,sage,0%
Champions Tour 2023: Lock-In Sao Paulo,Bracket Stage,Alpha - Semifinals,Ascent,chamber,0%
Champions Tour 2023: Lock-In Sao Paulo,Bracket Stage,Alpha - Semifinals,Ascent,yoru,0%
Champions Tour 2023: Lock-In Sao Paulo,Bracket Stage,Alpha - Semifinals,Icebox,killjoy,100%
Champions Tour 2023: Lock-In Sao Paulo,Bracket Stage,Alpha - Semifinals,Icebox,jett,100%
Champions Tour 2023: Lock-In Sao Paulo,Bracket Stage,Alpha - Semifinals,Icebox,viper,100%
Champions Tour 2023: Lock-In Sao Paulo,Bracket Stage,Alpha - Semifinals,Icebox,kayo,0%
Champions Tour 2023: Lock-In Sao Paulo,Bracket Stage,Alpha - Semifinals,Icebox,raze,0%
Champions Tour 2023: Lock-In Sao Paulo,Bracket Stage,Alpha - Semifinals,Icebox,harbor,100%
Champions Tour 2023: Lock-In Sao Paulo,Bracket Stage,Alpha - Semifinals,Icebox,sova,100%
Champions Tour 2023: Lock-In Sao Paulo,Bracket Stage,Alpha - Semifinals,Icebox,skye,0%
Champions Tour 2023: Lock-In Sao Paulo,Bracket Stage,Alpha - Semifinals,Icebox,breach,0%
Champions Tour 2023: Lock-In Sao Paulo,Bracket Stage,Alpha - Semifinals,Icebox,astra,0%
Champions Tour 2023: Lock-In Sao Paulo,Bracket Stage,Alpha - Semifinals,Icebox,fade,0%
Champions Tour 2023: Lock-In Sao Paulo,Bracket Stage,Alpha - Semifinals,Icebox,brimstone,0%
Champions Tour 2023: Lock-In Sao Paulo,Bracket Stage,Alpha - Semifinals,Icebox,omen,0%
Champions Tour 2023: Lock-In Sao Paulo,Bracket Stage,Alpha - Semifinals,Icebox,neon,0%
Champions Tour 2023: Lock-In Sao Paulo,Bracket Stage,Alpha - Semifinals,Icebox,cypher,0%
Champions Tour 2023: Lock-In Sao Paulo,Bracket Stage,Alpha - Semifinals,Icebox,iso,0%
Champions Tour 2023: Lock-In Sao Paulo,Bracket Stage,Alpha - Semifinals,Icebox,gekko,0%
Champions Tour 2023: Lock-In Sao Paulo,Bracket Stage,Alpha - Semifinals,Icebox,phoenix,0%
Champions Tour 2023: Lock-In Sao Paulo,Bracket Stage,Alpha - Semifinals,Icebox,deadlock,0%
Champions Tour 2023: Lock-In Sao Paulo,Bracket Stage,Alpha - Semifinals,Icebox,reyna,0%
Champions Tour 2023: Lock-In Sao Paulo,Bracket Stage,Alpha - Semifinals,Icebox,sage,0%
Champions Tour 2023: Lock-In Sao Paulo,Bracket Stage,Alpha - Semifinals,Icebox,chamber,0%
Champions Tour 2023: Lock-In Sao Paulo,Bracket Stage,Alpha - Semifinals,Icebox,yoru,0%
Champions Tour 2023: Lock-In Sao Paulo,Bracket Stage,Alpha - Semifinals,Pearl,killjoy,100%
Champions Tour 2023: Lock-In Sao Paulo,Bracket Stage,Alpha - Semifinals,Pearl,jett,50%
Champions Tour 2023: Lock-In Sao Paulo,Bracket Stage,Alpha - Semifinals,Pearl,viper,100%
Champions Tour 2023: Lock-In Sao Paulo,Bracket Stage,Alpha - Semifinals,Pearl,kayo,0%
Champions Tour 2023: Lock-In Sao Paulo,Bracket Stage,Alpha - Semifinals,Pearl,raze,50%
Champions Tour 2023: Lock-In Sao Paulo,Bracket Stage,Alpha - Semifinals,Pearl,harbor,100%
Champions Tour 2023: Lock-In Sao Paulo,Bracket Stage,Alpha - Semifinals,Pearl,sova,0%
Champions Tour 2023: Lock-In Sao Paulo,Bracket Stage,Alpha - Semifinals,Pearl,skye,100%
Champions Tour 2023: Lock-In Sao Paulo,Bracket Stage,Alpha - Semifinals,Pearl,breach,0%
Champions Tour 2023: Lock-In Sao Paulo,Bracket Stage,Alpha - Semifinals,Pearl,astra,0%
Champions Tour 2023: Lock-In Sao Paulo,Bracket Stage,Alpha - Semifinals,Pearl,fade,0%
Champions Tour 2023: Lock-In Sao Paulo,Bracket Stage,Alpha - Semifinals,Pearl,brimstone,0%
Champions Tour 2023: Lock-In Sao Paulo,Bracket Stage,Alpha - Semifinals,Pearl,omen,0%
Champions Tour 2023: Lock-In Sao Paulo,Bracket Stage,Alpha - Semifinals,Pearl,neon,0%
Champions Tour 2023: Lock-In Sao Paulo,Bracket Stage,Alpha - Semifinals,Pearl,cypher,0%
Champions Tour 2023: Lock-In Sao Paulo,Bracket Stage,Alpha - Semifinals,Pearl,iso,0%
Champions Tour 2023: Lock-In Sao Paulo,Bracket Stage,Alpha - Semifinals,Pearl,gekko,0%
Champions Tour 2023: Lock-In Sao Paulo,Bracket Stage,Alpha - Semifinals,Pearl,phoenix,0%
Champions Tour 2023: Lock-In Sao Paulo,Bracket Stage,Alpha - Semifinals,Pearl,deadlock,0%
Champions Tour 2023: Lock-In Sao Paulo,Bracket Stage,Alpha - Semifinals,Pearl,reyna,0%
Champions Tour 2023: Lock-In Sao Paulo,Bracket Stage,Alpha - Semifinals,Pearl,sage,0%
Champions Tour 2023: Lock-In Sao Paulo,Bracket Stage,Alpha - Semifinals,Pearl,chamber,0%
Champions Tour 2023: Lock-In Sao Paulo,Bracket Stage,Alpha - Semifinals,Pearl,yoru,0%
Champions Tour 2023: Lock-In Sao Paulo,Bracket Stage,Alpha - Semifinals,Split,killjoy,50%
Champions Tour 2023: Lock-In Sao Paulo,Bracket Stage,Alpha - Semifinals,Split,jett,50%
Champions Tour 2023: Lock-In Sao Paulo,Bracket Stage,Alpha - Semifinals,Split,viper,100%
Champions Tour 2023: Lock-In Sao Paulo,Bracket Stage,Alpha - Semifinals,Split,kayo,50%
Champions Tour 2023: Lock-In Sao Paulo,Bracket Stage,Alpha - Semifinals,Split,raze,100%
Champions Tour 2023: Lock-In Sao Paulo,Bracket Stage,Alpha - Semifinals,Split,harbor,0%
Champions Tour 2023: Lock-In Sao Paulo,Bracket Stage,Alpha - Semifinals,Split,sova,0%
Champions Tour 2023: Lock-In Sao Paulo,Bracket Stage,Alpha - Semifinals,Split,skye,50%
Champions Tour 2023: Lock-In Sao Paulo,Bracket Stage,Alpha - Semifinals,Split,breach,0%
Champions Tour 2023: Lock-In Sao Paulo,Bracket Stage,Alpha - Semifinals,Split,astra,100%
Champions Tour 2023: Lock-In Sao Paulo,Bracket Stage,Alpha - Semifinals,Split,fade,0%
Champions Tour 2023: Lock-In Sao Paulo,Bracket Stage,Alpha - Semifinals,Split,brimstone,0%
Champions Tour 2023: Lock-In Sao Paulo,Bracket Stage,Alpha - Semifinals,Split,omen,0%
Champions Tour 2023: Lock-In Sao Paulo,Bracket Stage,Alpha - Semifinals,Split,neon,0%
Champions Tour 2023: Lock-In Sao Paulo,Bracket Stage,Alpha - Semifinals,Split,cypher,0%
Champions Tour 2023: Lock-In Sao Paulo,Bracket Stage,Alpha - Semifinals,Split,iso,0%
Champions Tour 2023: Lock-In Sao Paulo,Bracket Stage,Alpha - Semifinals,Split,gekko,0%
Champions Tour 2023: Lock-In Sao Paulo,Bracket Stage,Alpha - Semifinals,Split,phoenix,0%
Champions Tour 2023: Lock-In Sao Paulo,Bracket Stage,Alpha - Semifinals,Split,deadlock,0%
Champions Tour 2023: Lock-In Sao Paulo,Bracket Stage,Alpha - Semifinals,Split,reyna,0%
Champions Tour 2023: Lock-In Sao Paulo,Bracket Stage,Alpha - Semifinals,Split,sage,0%
Champions Tour 2023: Lock-In Sao Paulo,Bracket Stage,Alpha - Semifinals,Split,chamber,0%
Champions Tour 2023: Lock-In Sao Paulo,Bracket Stage,Alpha - Semifinals,Split,yoru,0%
Champions Tour 2023: Lock-In Sao Paulo,Bracket Stage,Omega - Round of 16,All Maps,killjoy,65%
Champions Tour 2023: Lock-In Sao Paulo,Bracket Stage,Omega - Round of 16,All Maps,jett,59%
Champions Tour 2023: Lock-In Sao Paulo,Bracket Stage,Omega - Round of 16,All Maps,kayo,47%
Champions Tour 2023: Lock-In Sao Paulo,Bracket Stage,Omega - Round of 16,All Maps,astra,44%
Champions Tour 2023: Lock-In Sao Paulo,Bracket Stage,Omega - Round of 16,All Maps,omen,41%
Champions Tour 2023: Lock-In Sao Paulo,Bracket Stage,Omega - Round of 16,All Maps,sova,35%
Champions Tour 2023: Lock-In Sao Paulo,Bracket Stage,Omega - Round of 16,All Maps,raze,32%
Champions Tour 2023: Lock-In Sao Paulo,Bracket Stage,Omega - Round of 16,All Maps,fade,29%
Champions Tour 2023: Lock-In Sao Paulo,Bracket Stage,Omega - Round of 16,All Maps,viper,29%
Champions Tour 2023: Lock-In Sao Paulo,Bracket Stage,Omega - Round of 16,All Maps,breach,29%
Champions Tour 2023: Lock-In Sao Paulo,Bracket Stage,Omega - Round of 16,All Maps,sage,26%
Champions Tour 2023: Lock-In Sao Paulo,Bracket Stage,Omega - Round of 16,All Maps,cypher,24%
Champions Tour 2023: Lock-In Sao Paulo,Bracket Stage,Omega - Round of 16,All Maps,skye,15%
Champions Tour 2023: Lock-In Sao Paulo,Bracket Stage,Omega - Round of 16,All Maps,neon,12%
Champions Tour 2023: Lock-In Sao Paulo,Bracket Stage,Omega - Round of 16,All Maps,harbor,6%
Champions Tour 2023: Lock-In Sao Paulo,Bracket Stage,Omega - Round of 16,All Maps,brimstone,3%
Champions Tour 2023: Lock-In Sao Paulo,Bracket Stage,Omega - Round of 16,All Maps,reyna,3%
Champions Tour 2023: Lock-In Sao Paulo,Bracket Stage,Omega - Round of 16,All Maps,deadlock,0%
Champions Tour 2023: Lock-In Sao Paulo,Bracket Stage,Omega - Round of 16,All Maps,phoenix,0%
Champions Tour 2023: Lock-In Sao Paulo,Bracket Stage,Omega - Round of 16,All Maps,chamber,0%
Champions Tour 2023: Lock-In Sao Paulo,Bracket Stage,Omega - Round of 16,All Maps,iso,0%
Champions Tour 2023: Lock-In Sao Paulo,Bracket Stage,Omega - Round of 16,All Maps,gekko,0%
Champions Tour 2023: Lock-In Sao Paulo,Bracket Stage,Omega - Round of 16,All Maps,yoru,0%
Champions Tour 2023: Lock-In Sao Paulo,Bracket Stage,Omega - Round of 16,Pearl,killjoy,70%
Champions Tour 2023: Lock-In Sao Paulo,Bracket Stage,Omega - Round of 16,Pearl,jett,80%
Champions Tour 2023: Lock-In Sao Paulo,Bracket Stage,Omega - Round of 16,Pearl,kayo,70%
Champions Tour 2023: Lock-In Sao Paulo,Bracket Stage,Omega - Round of 16,Pearl,astra,100%
Champions Tour 2023: Lock-In Sao Paulo,Bracket Stage,Omega - Round of 16,Pearl,omen,0%
Champions Tour 2023: Lock-In Sao Paulo,Bracket Stage,Omega - Round of 16,Pearl,sova,30%
Champions Tour 2023: Lock-In Sao Paulo,Bracket Stage,Omega - Round of 16,Pearl,raze,0%
Champions Tour 2023: Lock-In Sao Paulo,Bracket Stage,Omega - Round of 16,Pearl,fade,50%
Champions Tour 2023: Lock-In Sao Paulo,Bracket Stage,Omega - Round of 16,Pearl,viper,40%
Champions Tour 2023: Lock-In Sao Paulo,Bracket Stage,Omega - Round of 16,Pearl,breach,10%
Champions Tour 2023: Lock-In Sao Paulo,Bracket Stage,Omega - Round of 16,Pearl,sage,10%
Champions Tour 2023: Lock-In Sao Paulo,Bracket Stage,Omega - Round of 16,Pearl,cypher,10%
Champions Tour 2023: Lock-In Sao Paulo,Bracket Stage,Omega - Round of 16,Pearl,skye,20%
Champions Tour 2023: Lock-In Sao Paulo,Bracket Stage,Omega - Round of 16,Pearl,neon,10%
Champions Tour 2023: Lock-In Sao Paulo,Bracket Stage,Omega - Round of 16,Pearl,harbor,0%
Champions Tour 2023: Lock-In Sao Paulo,Bracket Stage,Omega - Round of 16,Pearl,brimstone,0%
Champions Tour 2023: Lock-In Sao Paulo,Bracket Stage,Omega - Round of 16,Pearl,reyna,0%
Champions Tour 2023: Lock-In Sao Paulo,Bracket Stage,Omega - Round of 16,Pearl,deadlock,0%
Champions Tour 2023: Lock-In Sao Paulo,Bracket Stage,Omega - Round of 16,Pearl,phoenix,0%
Champions Tour 2023: Lock-In Sao Paulo,Bracket Stage,Omega - Round of 16,Pearl,chamber,0%
Champions Tour 2023: Lock-In Sao Paulo,Bracket Stage,Omega - Round of 16,Pearl,iso,0%
Champions Tour 2023: Lock-In Sao Paulo,Bracket Stage,Omega - Round of 16,Pearl,gekko,0%
Champions Tour 2023: Lock-In Sao Paulo,Bracket Stage,Omega - Round of 16,Pearl,yoru,0%
Champions Tour 2023: Lock-In Sao Paulo,Bracket Stage,Omega - Round of 16,Lotus,killjoy,75%
Champions Tour 2023: Lock-In Sao Paulo,Bracket Stage,Omega - Round of 16,Lotus,jett,25%
Champions Tour 2023: Lock-In Sao Paulo,Bracket Stage,Omega - Round of 16,Lotus,kayo,38%
Champions Tour 2023: Lock-In Sao Paulo,Bracket Stage,Omega - Round of 16,Lotus,astra,13%
Champions Tour 2023: Lock-In Sao Paulo,Bracket Stage,Omega - Round of 16,Lotus,omen,75%
Champions Tour 2023: Lock-In Sao Paulo,Bracket Stage,Omega - Round of 16,Lotus,sova,13%
Champions Tour 2023: Lock-In Sao Paulo,Bracket Stage,Omega - Round of 16,Lotus,raze,63%
Champions Tour 2023: Lock-In Sao Paulo,Bracket Stage,Omega - Round of 16,Lotus,fade,38%
Champions Tour 2023: Lock-In Sao Paulo,Bracket Stage,Omega - Round of 16,Lotus,viper,0%
Champions Tour 2023: Lock-In Sao Paulo,Bracket Stage,Omega - Round of 16,Lotus,breach,63%
Champions Tour 2023: Lock-In Sao Paulo,Bracket Stage,Omega - Round of 16,Lotus,sage,13%
Champions Tour 2023: Lock-In Sao Paulo,Bracket Stage,Omega - Round of 16,Lotus,cypher,25%
Champions Tour 2023: Lock-In Sao Paulo,Bracket Stage,Omega - Round of 16,Lotus,skye,0%
Champions Tour 2023: Lock-In Sao Paulo,Bracket Stage,Omega - Round of 16,Lotus,neon,38%
Champions Tour 2023: Lock-In Sao Paulo,Bracket Stage,Omega - Round of 16,Lotus,harbor,13%
Champions Tour 2023: Lock-In Sao Paulo,Bracket Stage,Omega - Round of 16,Lotus,brimstone,0%
Champions Tour 2023: Lock-In Sao Paulo,Bracket Stage,Omega - Round of 16,Lotus,reyna,13%
Champions Tour 2023: Lock-In Sao Paulo,Bracket Stage,Omega - Round of 16,Lotus,deadlock,0%
Champions Tour 2023: Lock-In Sao Paulo,Bracket Stage,Omega - Round of 16,Lotus,phoenix,0%
Champions Tour 2023: Lock-In Sao Paulo,Bracket Stage,Omega - Round of 16,Lotus,chamber,0%
Champions Tour 2023: Lock-In Sao Paulo,Bracket Stage,Omega - Round of 16,Lotus,iso,0%
Champions Tour 2023: Lock-In Sao Paulo,Bracket Stage,Omega - Round of 16,Lotus,gekko,0%
Champions Tour 2023: Lock-In Sao Paulo,Bracket Stage,Omega - Round of 16,Lotus,yoru,0%
Champions Tour 2023: Lock-In Sao Paulo,Bracket Stage,Omega - Round of 16,Ascent,killjoy,75%
Champions Tour 2023: Lock-In Sao Paulo,Bracket Stage,Omega - Round of 16,Ascent,jett,100%
Champions Tour 2023: Lock-In Sao Paulo,Bracket Stage,Omega - Round of 16,Ascent,kayo,100%
Champions Tour 2023: Lock-In Sao Paulo,Bracket Stage,Omega - Round of 16,Ascent,astra,0%
Champions Tour 2023: Lock-In Sao Paulo,Bracket Stage,Omega - Round of 16,Ascent,omen,100%
Champions Tour 2023: Lock-In Sao Paulo,Bracket Stage,Omega - Round of 16,Ascent,sova,75%
Champions Tour 2023: Lock-In Sao Paulo,Bracket Stage,Omega - Round of 16,Ascent,raze,0%
Champions Tour 2023: Lock-In Sao Paulo,Bracket Stage,Omega - Round of 16,Ascent,fade,25%
Champions Tour 2023: Lock-In Sao Paulo,Bracket Stage,Omega - Round of 16,Ascent,viper,0%
Champions Tour 2023: Lock-In Sao Paulo,Bracket Stage,Omega - Round of 16,Ascent,breach,0%
Champions Tour 2023: Lock-In Sao Paulo,Bracket Stage,Omega - Round of 16,Ascent,sage,0%
Champions Tour 2023: Lock-In Sao Paulo,Bracket Stage,Omega - Round of 16,Ascent,cypher,25%
Champions Tour 2023: Lock-In Sao Paulo,Bracket Stage,Omega - Round of 16,Ascent,skye,0%
Champions Tour 2023: Lock-In Sao Paulo,Bracket Stage,Omega - Round of 16,Ascent,neon,0%
Champions Tour 2023: Lock-In Sao Paulo,Bracket Stage,Omega - Round of 16,Ascent,harbor,0%
Champions Tour 2023: Lock-In Sao Paulo,Bracket Stage,Omega - Round of 16,Ascent,brimstone,0%
Champions Tour 2023: Lock-In Sao Paulo,Bracket Stage,Omega - Round of 16,Ascent,reyna,0%
Champions Tour 2023: Lock-In Sao Paulo,Bracket Stage,Omega - Round of 16,Ascent,deadlock,0%
Champions Tour 2023: Lock-In Sao Paulo,Bracket Stage,Omega - Round of 16,Ascent,phoenix,0%
Champions Tour 2023: Lock-In Sao Paulo,Bracket Stage,Omega - Round of 16,Ascent,chamber,0%
Champions Tour 2023: Lock-In Sao Paulo,Bracket Stage,Omega - Round of 16,Ascent,iso,0%
Champions Tour 2023: Lock-In Sao Paulo,Bracket Stage,Omega - Round of 16,Ascent,gekko,0%
Champions Tour 2023: Lock-In Sao Paulo,Bracket Stage,Omega - Round of 16,Ascent,yoru,0%
Champions Tour 2023: Lock-In Sao Paulo,Bracket Stage,Omega - Round of 16,Icebox,killjoy,100%
Champions Tour 2023: Lock-In Sao Paulo,Bracket Stage,Omega - Round of 16,Icebox,jett,50%
Champions Tour 2023: Lock-In Sao Paulo,Bracket Stage,Omega - Round of 16,Icebox,kayo,25%
Champions Tour 2023: Lock-In Sao Paulo,Bracket Stage,Omega - Round of 16,Icebox,astra,0%
Champions Tour 2023: Lock-In Sao Paulo,Bracket Stage,Omega - Round of 16,Icebox,omen,25%
Champions Tour 2023: Lock-In Sao Paulo,Bracket Stage,Omega - Round of 16,Icebox,sova,100%
Champions Tour 2023: Lock-In Sao Paulo,Bracket Stage,Omega - Round of 16,Icebox,raze,0%
Champions Tour 2023: Lock-In Sao Paulo,Bracket Stage,Omega - Round of 16,Icebox,fade,0%
Champions Tour 2023: Lock-In Sao Paulo,Bracket Stage,Omega - Round of 16,Icebox,viper,100%
Champions Tour 2023: Lock-In Sao Paulo,Bracket Stage,Omega - Round of 16,Icebox,breach,0%
Champions Tour 2023: Lock-In Sao Paulo,Bracket Stage,Omega - Round of 16,Icebox,sage,75%
Champions Tour 2023: Lock-In Sao Paulo,Bracket Stage,Omega - Round of 16,Icebox,cypher,0%
Champions Tour 2023: Lock-In Sao Paulo,Bracket Stage,Omega - Round of 16,Icebox,skye,0%
Champions Tour 2023: Lock-In Sao Paulo,Bracket Stage,Omega - Round of 16,Icebox,neon,0%
Champions Tour 2023: Lock-In Sao Paulo,Bracket Stage,Omega - Round of 16,Icebox,harbor,25%
Champions Tour 2023: Lock-In Sao Paulo,Bracket Stage,Omega - Round of 16,Icebox,brimstone,0%
Champions Tour 2023: Lock-In Sao Paulo,Bracket Stage,Omega - Round of 16,Icebox,reyna,0%
Champions Tour 2023: Lock-In Sao Paulo,Bracket Stage,Omega - Round of 16,Icebox,deadlock,0%
