Tournament,Stage,Match Type,Map,Team,Agent Picked,Total Wins By Map,Total Loss By Map,Total Maps Played
Champions Tour 2023: Pacific Last Chance Qualifier,All Stages,All Match Types,Fracture,ZETA DIVISION,chamber,2,0,2
Champions Tour 2023: Pacific Last Chance Qualifier,All Stages,All Match Types,Fracture,Talon Esports,killjoy,1,0,1
Champions Tour 2023: Pacific Last Chance Qualifier,All Stages,All Match Types,Fracture,Talon Esports,breach,1,0,1
Champions Tour 2023: Pacific Last Chance Qualifier,All Stages,All Match Types,Fracture,Talon Esports,kayo,1,0,1
Champions Tour 2023: Pacific Last Chance Qualifier,All Stages,All Match Types,Fracture,Talon Esports,brimstone,1,0,1
Champions Tour 2023: Pacific Last Chance Qualifier,All Stages,All Match Types,Fracture,Talon Esports,neon,1,0,1
Champions Tour 2023: Pacific Last Chance Qualifier,All Stages,All Match Types,Fracture,DetonatioN FocusMe,killjoy,0,1,1
Champions Tour 2023: Pacific Last Chance Qualifier,All Stages,All Match Types,Fracture,DetonatioN FocusMe,breach,0,1,1
Champions Tour 2023: Pacific Last Chance Qualifier,All Stages,All Match Types,Fracture,DetonatioN FocusMe,raze,0,1,1
Champions Tour 2023: Pacific Last Chance Qualifier,All Stages,All Match Types,Fracture,DetonatioN FocusMe,brimstone,0,1,1
Champions Tour 2023: Pacific Last Chance Qualifier,All Stages,All Match Types,Fracture,DetonatioN FocusMe,fade,0,1,1
Champions Tour 2023: Pacific Last Chance Qualifier,All Stages,All Match Types,Ascent,Team Secret,jett,3,0,3
Champions Tour 2023: Pacific Last Chance Qualifier,All Stages,All Match Types,Ascent,Team Secret,omen,3,0,3
Champions Tour 2023: Pacific Last Chance Qualifier,All Stages,All Match Types,Ascent,Team Secret,killjoy,3,0,3
Champions Tour 2023: Pacific Last Chance Qualifier,All Stages,All Match Types,Ascent,Team Secret,sova,3,0,3
Champions Tour 2023: Pacific Last Chance Qualifier,All Stages,All Match Types,Ascent,Team Secret,kayo,3,0,3
Champions Tour 2023: Pacific Last Chance Qualifier,All Stages,All Match Types,Ascent,Gen.G,jett,1,2,3
Champions Tour 2023: Pacific Last Chance Qualifier,All Stages,All Match Types,Ascent,Gen.G,omen,1,2,3
Champions Tour 2023: Pacific Last Chance Qualifier,All Stages,All Match Types,Ascent,Gen.G,killjoy,1,2,3
Champions Tour 2023: Pacific Last Chance Qualifier,All Stages,All Match Types,Ascent,Gen.G,sova,1,2,3
Champions Tour 2023: Pacific Last Chance Qualifier,All Stages,All Match Types,Ascent,Gen.G,kayo,1,2,3
Champions Tour 2023: Pacific Last Chance Qualifier,All Stages,All Match Types,Ascent,ZETA DIVISION,omen,1,1,2
Champions Tour 2023: Pacific Last Chance Qualifier,All Stages,All Match Types,Ascent,ZETA DIVISION,sova,1,1,2
Champions Tour 2023: Pacific Last Chance Qualifier,All Stages,All Match Types,Ascent,ZETA DIVISION,raze,1,1,2
Champions Tour 2023: Pacific Last Chance Qualifier,All Stages,All Match Types,Ascent,ZETA DIVISION,kayo,1,1,2
Champions Tour 2023: Pacific Last Chance Qualifier,All Stages,All Match Types,Ascent,ZETA DIVISION,cypher,1,1,2
Champions Tour 2023: Pacific Last Chance Qualifier,All Stages,All Match Types,Ascent,Rex Regum Qeon,jett,1,2,3
Champions Tour 2023: Pacific Last Chance Qualifier,All Stages,All Match Types,Ascent,Rex Regum Qeon,omen,1,2,3
Champions Tour 2023: Pacific Last Chance Qualifier,All Stages,All Match Types,Ascent,Rex Regum Qeon,killjoy,1,2,3
Champions Tour 2023: Pacific Last Chance Qualifier,All Stages,All Match Types,Ascent,Rex Regum Qeon,sova,1,2,3
Champions Tour 2023: Pacific Last Chance Qualifier,All Stages,All Match Types,Ascent,Rex Regum Qeon,kayo,1,2,3
Champions Tour 2023: Pacific Last Chance Qualifier,All Stages,All Match Types,Ascent,Talon Esports,jett,1,0,1
Champions Tour 2023: Pacific Last Chance Qualifier,All Stages,All Match Types,Ascent,Talon Esports,omen,1,0,1
Champions Tour 2023: Pacific Last Chance Qualifier,All Stages,All Match Types,Ascent,Talon Esports,killjoy,1,0,1
Champions Tour 2023: Pacific Last Chance Qualifier,All Stages,All Match Types,Ascent,Talon Esports,sova,1,0,1
Champions Tour 2023: Pacific Last Chance Qualifier,All Stages,All Match Types,Ascent,Talon Esports,kayo,1,0,1
Champions Tour 2023: Pacific Last Chance Qualifier,All Stages,All Match Types,Ascent,DetonatioN FocusMe,jett,0,1,1
Champions Tour 2023: Pacific Last Chance Qualifier,All Stages,All Match Types,Ascent,DetonatioN FocusMe,omen,0,1,1
Champions Tour 2023: Pacific Last Chance Qualifier,All Stages,All Match Types,Ascent,DetonatioN FocusMe,killjoy,0,1,1
Champions Tour 2023: Pacific Last Chance Qualifier,All Stages,All Match Types,Ascent,DetonatioN FocusMe,sova,0,1,1
Champions Tour 2023: Pacific Last Chance Qualifier,All Stages,All Match Types,Ascent,DetonatioN FocusMe,kayo,0,1,1
Champions Tour 2023: Pacific Last Chance Qualifier,All Stages,All Match Types,Ascent,Global Esports,jett,0,1,1
Champions Tour 2023: Pacific Last Chance Qualifier,All Stages,All Match Types,Ascent,Global Esports,omen,0,1,1
Champions Tour 2023: Pacific Last Chance Qualifier,All Stages,All Match Types,Ascent,Global Esports,killjoy,0,1,1
Champions Tour 2023: Pacific Last Chance Qualifier,All Stages,All Match Types,Ascent,Global Esports,fade,0,1,1
Champions Tour 2023: Pacific Last Chance Qualifier,All Stages,All Match Types,Ascent,Global Esports,phoenix,0,1,1
Champions Tour 2023: Pacific Last Chance Qualifier,All Stages,All Match Types,Split,Team Secret,omen,0,1,1
Champions Tour 2023: Pacific Last Chance Qualifier,All Stages,All Match Types,Split,Team Secret,raze,0,1,1
Champions Tour 2023: Pacific Last Chance Qualifier,All Stages,All Match Types,Split,Team Secret,skye,0,1,1
Champions Tour 2023: Pacific Last Chance Qualifier,All Stages,All Match Types,Split,Team Secret,viper,0,1,1
Champions Tour 2023: Pacific Last Chance Qualifier,All Stages,All Match Types,Split,Team Secret,reyna,0,1,1
Champions Tour 2023: Pacific Last Chance Qualifier,All Stages,All Match Types,Split,Gen.G,jett,1,0,1
Champions Tour 2023: Pacific Last Chance Qualifier,All Stages,All Match Types,Split,Gen.G,omen,1,0,1
Champions Tour 2023: Pacific Last Chance Qualifier,All Stages,All Match Types,Split,Gen.G,skye,1,0,1
Champions Tour 2023: Pacific Last Chance Qualifier,All Stages,All Match Types,Split,Gen.G,cypher,1,0,1
Champions Tour 2023: Pacific Last Chance Qualifier,All Stages,All Match Types,Split,Gen.G,sage,1,0,1
Champions Tour 2023: Pacific Last Chance Qualifier,All Stages,All Match Types,Split,ZETA DIVISION,jett,2,0,2
Champions Tour 2023: Pacific Last Chance Qualifier,All Stages,All Match Types,Split,ZETA DIVISION,raze,2,0,2
Champions Tour 2023: Pacific Last Chance Qualifier,All Stages,All Match Types,Split,ZETA DIVISION,skye,2,0,2
Champions Tour 2023: Pacific Last Chance Qualifier,All Stages,All Match Types,Split,ZETA DIVISION,viper,2,0,2
Champions Tour 2023: Pacific Last Chance Qualifier,All Stages,All Match Types,Split,ZETA DIVISION,astra,2,0,2
Champions Tour 2023: Pacific Last Chance Qualifier,All Stages,All Match Types,Split,Rex Regum Qeon,jett,1,1,2
Champions Tour 2023: Pacific Last Chance Qualifier,All Stages,All Match Types,Split,Rex Regum Qeon,omen,1,1,2
Champions Tour 2023: Pacific Last Chance Qualifier,All Stages,All Match Types,Split,Rex Regum Qeon,raze,1,1,2
Champions Tour 2023: Pacific Last Chance Qualifier,All Stages,All Match Types,Split,Rex Regum Qeon,skye,1,1,2
Champions Tour 2023: Pacific Last Chance Qualifier,All Stages,All Match Types,Split,Rex Regum Qeon,viper,1,1,2
Champions Tour 2023: Pacific Last Chance Qualifier,All Stages,All Match Types,Split,Talon Esports,omen,0,1,1
Champions Tour 2023: Pacific Last Chance Qualifier,All Stages,All Match Types,Split,Talon Esports,breach,0,1,1
Champions Tour 2023: Pacific Last Chance Qualifier,All Stages,All Match Types,Split,Talon Esports,raze,0,1,1
Champions Tour 2023: Pacific Last Chance Qualifier,All Stages,All Match Types,Split,Talon Esports,skye,0,1,1
Champions Tour 2023: Pacific Last Chance Qualifier,All Stages,All Match Types,Split,Talon Esports,cypher,0,1,1
Champions Tour 2023: Pacific Last Chance Qualifier,All Stages,All Match Types,Split,Global Esports,jett,0,1,1
Champions Tour 2023: Pacific Last Chance Qualifier,All Stages,All Match Types,Split,Global Esports,raze,0,1,1
Champions Tour 2023: Pacific Last Chance Qualifier,All Stages,All Match Types,Split,Global Esports,skye,0,1,1
Champions Tour 2023: Pacific Last Chance Qualifier,All Stages,All Match Types,Split,Global Esports,viper,0,1,1
Champions Tour 2023: Pacific Last Chance Qualifier,All Stages,All Match Types,Split,Global Esports,astra,0,1,1
Champions Tour 2023: Pacific Last Chance Qualifier,All Stages,All Match Types,Pearl,Team Secret,jett,1,0,1
Champions Tour 2023: Pacific Last Chance Qualifier,All Stages,All Match Types,Pearl,Team Secret,killjoy,1,0,1
Champions Tour 2023: Pacific Last Chance Qualifier,All Stages,All Match Types,Pearl,Team Secret,skye,1,0,1
Champions Tour 2023: Pacific Last Chance Qualifier,All Stages,All Match Types,Pearl,Team Secret,astra,1,0,1
Champions Tour 2023: Pacific Last Chance Qualifier,All Stages,All Match Types,Pearl,Team Secret,phoenix,1,0,1
Champions Tour 2023: Pacific Last Chance Qualifier,All Stages,All Match Types,Pearl,Gen.G,jett,0,2,2
Champions Tour 2023: Pacific Last Chance Qualifier,All Stages,All Match Types,Pearl,Gen.G,killjoy,0,2,2
Champions Tour 2023: Pacific Last Chance Qualifier,All Stages,All Match Types,Pearl,Gen.G,kayo,0,2,2
Champions Tour 2023: Pacific Last Chance Qualifier,All Stages,All Match Types,Pearl,Gen.G,astra,0,2,2
Champions Tour 2023: Pacific Last Chance Qualifier,All Stages,All Match Types,Pearl,Gen.G,gekko,0,2,2
Champions Tour 2023: Pacific Last Chance Qualifier,All Stages,All Match Types,Pearl,Talon Esports,jett,1,0,1
Champions Tour 2023: Pacific Last Chance Qualifier,All Stages,All Match Types,Pearl,Talon Esports,killjoy,1,0,1
Champions Tour 2023: Pacific Last Chance Qualifier,All Stages,All Match Types,Pearl,Talon Esports,skye,1,0,1
Champions Tour 2023: Pacific Last Chance Qualifier,All Stages,All Match Types,Pearl,Talon Esports,viper,1,0,1
Champions Tour 2023: Pacific Last Chance Qualifier,All Stages,All Match Types,Pearl,Talon Esports,harbor,1,0,1
Champions Tour 2023: Pacific Last Chance Qualifier,All Stages,All Match Types,Haven,Team Secret,omen,1,1,2
Champions Tour 2023: Pacific Last Chance Qualifier,All Stages,All Match Types,Haven,Team Secret,killjoy,1,1,2
Champions Tour 2023: Pacific Last Chance Qualifier,All Stages,All Match Types,Haven,Team Secret,sova,1,1,2
Champions Tour 2023: Pacific Last Chance Qualifier,All Stages,All Match Types,Haven,Team Secret,breach,1,1,2
Champions Tour 2023: Pacific Last Chance Qualifier,All Stages,All Match Types,Haven,Team Secret,raze,1,1,2
Champions Tour 2023: Pacific Last Chance Qualifier,All Stages,All Match Types,Haven,Gen.G,jett,3,1,4
Champions Tour 2023: Pacific Last Chance Qualifier,All Stages,All Match Types,Haven,Gen.G,omen,3,1,4
Champions Tour 2023: Pacific Last Chance Qualifier,All Stages,All Match Types,Haven,Gen.G,killjoy,3,1,4
Champions Tour 2023: Pacific Last Chance Qualifier,All Stages,All Match Types,Haven,Gen.G,sova,3,1,4
Champions Tour 2023: Pacific Last Chance Qualifier,All Stages,All Match Types,Haven,Gen.G,breach,3,1,4
Champions Tour 2023: Pacific Last Chance Qualifier,All Stages,All Match Types,Haven,ZETA DIVISION,omen,0,1,1
Champions Tour 2023: Pacific Last Chance Qualifier,All Stages,All Match Types,Haven,ZETA DIVISION,killjoy,0,1,1
Champions Tour 2023: Pacific Last Chance Qualifier,All Stages,All Match Types,Haven,ZETA DIVISION,sova,0,1,1
Champions Tour 2023: Pacific Last Chance Qualifier,All Stages,All Match Types,Haven,ZETA DIVISION,breach,0,1,1
Champions Tour 2023: Pacific Last Chance Qualifier,All Stages,All Match Types,Haven,ZETA DIVISION,raze,0,1,1
Champions Tour 2023: Pacific Last Chance Qualifier,All Stages,All Match Types,Haven,Rex Regum Qeon,jett,1,1,2
Champions Tour 2023: Pacific Last Chance Qualifier,All Stages,All Match Types,Haven,Rex Regum Qeon,killjoy,1,1,2
Champions Tour 2023: Pacific Last Chance Qualifier,All Stages,All Match Types,Haven,Rex Regum Qeon,sova,1,1,2
Champions Tour 2023: Pacific Last Chance Qualifier,All Stages,All Match Types,Haven,Rex Regum Qeon,breach,1,1,2
Champions Tour 2023: Pacific Last Chance Qualifier,All Stages,All Match Types,Haven,Rex Regum Qeon,astra,1,1,2
Champions Tour 2023: Pacific Last Chance Qualifier,All Stages,All Match Types,Haven,Talon Esports,jett,0,1,1
Champions Tour 2023: Pacific Last Chance Qualifier,All Stages,All Match Types,Haven,Talon Esports,omen,0,1,1
Champions Tour 2023: Pacific Last Chance Qualifier,All Stages,All Match Types,Haven,Talon Esports,killjoy,0,1,1
Champions Tour 2023: Pacific Last Chance Qualifier,All Stages,All Match Types,Haven,Talon Esports,skye,0,1,1
Champions Tour 2023: Pacific Last Chance Qualifier,All Stages,All Match Types,Haven,Talon Esports,viper,0,1,1
Champions Tour 2023: Pacific Last Chance Qualifier,All Stages,All Match Types,Lotus,Team Secret,jett,1,2,3
Champions Tour 2023: Pacific Last Chance Qualifier,All Stages,All Match Types,Lotus,Team Secret,omen,1,2,3
Champions Tour 2023: Pacific Last Chance Qualifier,All Stages,All Match Types,Lotus,Team Secret,killjoy,1,2,3
Champions Tour 2023: Pacific Last Chance Qualifier,All Stages,All Match Types,Lotus,Team Secret,sova,1,2,3
Champions Tour 2023: Pacific Last Chance Qualifier,All Stages,All Match Types,Lotus,Team Secret,breach,1,2,3
Champions Tour 2023: Pacific Last Chance Qualifier,All Stages,All Match Types,Lotus,Gen.G,jett,0,2,2
Champions Tour 2023: Pacific Last Chance Qualifier,All Stages,All Match Types,Lotus,Gen.G,omen,0,2,2
Champions Tour 2023: Pacific Last Chance Qualifier,All Stages,All Match Types,Lotus,Gen.G,breach,0,2,2
Champions Tour 2023: Pacific Last Chance Qualifier,All Stages,All Match Types,Lotus,Gen.G,cypher,0,2,2
Champions Tour 2023: Pacific Last Chance Qualifier,All Stages,All Match Types,Lotus,Gen.G,gekko,0,2,2
Champions Tour 2023: Pacific Last Chance Qualifier,All Stages,All Match Types,Lotus,ZETA DIVISION,omen,2,0,2
Champions Tour 2023: Pacific Last Chance Qualifier,All Stages,All Match Types,Lotus,ZETA DIVISION,raze,2,0,2
Champions Tour 2023: Pacific Last Chance Qualifier,All Stages,All Match Types,Lotus,ZETA DIVISION,skye,2,0,2
Champions Tour 2023: Pacific Last Chance Qualifier,All Stages,All Match Types,Lotus,ZETA DIVISION,neon,2,0,2
Champions Tour 2023: Pacific Last Chance Qualifier,All Stages,All Match Types,Lotus,ZETA DIVISION,chamber,2,0,2
Champions Tour 2023: Pacific Last Chance Qualifier,All Stages,All Match Types,Lotus,Rex Regum Qeon,killjoy,1,0,1
Champions Tour 2023: Pacific Last Chance Qualifier,All Stages,All Match Types,Lotus,Rex Regum Qeon,raze,1,0,1
Champions Tour 2023: Pacific Last Chance Qualifier,All Stages,All Match Types,Lotus,Rex Regum Qeon,viper,1,0,1
Champions Tour 2023: Pacific Last Chance Qualifier,All Stages,All Match Types,Lotus,Rex Regum Qeon,astra,1,0,1
Champions Tour 2023: Pacific Last Chance Qualifier,All Stages,All Match Types,Lotus,Rex Regum Qeon,fade,1,0,1
Champions Tour 2023: Americas Last Chance Qualifier,Main Event,Upper Round 1,Bind,MIBR,viper,0,1,1
Champions Tour 2023: Americas Last Chance Qualifier,Main Event,Upper Round 1,Bind,MIBR,skye,0,1,1
Champions Tour 2023: Americas Last Chance Qualifier,Main Event,Upper Round 1,Bind,MIBR,raze,0,1,1
Champions Tour 2023: Americas Last Chance Qualifier,Main Event,Upper Round 1,Bind,MIBR,brimstone,0,1,1
Champions Tour 2023: Americas Last Chance Qualifier,Main Event,Upper Round 1,Bind,MIBR,chamber,0,1,1
Champions Tour 2023: Americas Last Chance Qualifier,Main Event,Upper Round 1,Bind,KRÜ Esports,viper,1,0,1
Champions Tour 2023: Americas Last Chance Qualifier,Main Event,Upper Round 1,Bind,KRÜ Esports,skye,1,0,1
Champions Tour 2023: Americas Last Chance Qualifier,Main Event,Upper Round 1,Bind,KRÜ Esports,raze,1,0,1
Champions Tour 2023: Americas Last Chance Qualifier,Main Event,Upper Round 1,Bind,KRÜ Esports,brimstone,1,0,1
Champions Tour 2023: Americas Last Chance Qualifier,Main Event,Upper Round 1,Bind,KRÜ Esports,cypher,1,0,1
Champions Tour 2023: Americas Last Chance Qualifier,Main Event,Upper Round 1,Lotus,MIBR,viper,0,1,1
Champions Tour 2023: Americas Last Chance Qualifier,Main Event,Upper Round 1,Lotus,MIBR,skye,0,1,1
Champions Tour 2023: Americas Last Chance Qualifier,Main Event,Upper Round 1,Lotus,MIBR,raze,0,1,1
Champions Tour 2023: Americas Last Chance Qualifier,Main Event,Upper Round 1,Lotus,MIBR,omen,0,1,1
Champions Tour 2023: Americas Last Chance Qualifier,Main Event,Upper Round 1,Lotus,MIBR,killjoy,0,1,1
Champions Tour 2023: Americas Last Chance Qualifier,Main Event,Upper Round 1,Lotus,KRÜ Esports,viper,1,0,1
Champions Tour 2023: Americas Last Chance Qualifier,Main Event,Upper Round 1,Lotus,KRÜ Esports,skye,1,0,1
Champions Tour 2023: Americas Last Chance Qualifier,Main Event,Upper Round 1,Lotus,KRÜ Esports,raze,1,0,1
Champions Tour 2023: Americas Last Chance Qualifier,Main Event,Upper Round 1,Lotus,KRÜ Esports,omen,1,0,1
Champions Tour 2023: Americas Last Chance Qualifier,Main Event,Upper Round 1,Lotus,KRÜ Esports,killjoy,1,0,1
Champions Tour 2023: Americas Last Chance Qualifier,Main Event,Upper Quarterfinals,Pearl,Sentinels,jett,0,1,1
Champions Tour 2023: Americas Last Chance Qualifier,Main Event,Upper Quarterfinals,Pearl,Sentinels,astra,0,1,1
Champions Tour 2023: Americas Last Chance Qualifier,Main Event,Upper Quarterfinals,Pearl,Sentinels,sova,0,1,1
Champions Tour 2023: Americas Last Chance Qualifier,Main Event,Upper Quarterfinals,Pearl,Sentinels,killjoy,0,1,1
Champions Tour 2023: Americas Last Chance Qualifier,Main Event,Upper Quarterfinals,Pearl,Sentinels,kayo,0,1,1
Champions Tour 2023: Americas Last Chance Qualifier,Main Event,Upper Quarterfinals,Pearl,100 Thieves,skye,1,0,1
Champions Tour 2023: Americas Last Chance Qualifier,Main Event,Upper Quarterfinals,Pearl,100 Thieves,jett,1,0,1
Champions Tour 2023: Americas Last Chance Qualifier,Main Event,Upper Quarterfinals,Pearl,100 Thieves,killjoy,1,0,1
Champions Tour 2023: Americas Last Chance Qualifier,Main Event,Upper Quarterfinals,Pearl,100 Thieves,omen,1,0,1
Champions Tour 2023: Americas Last Chance Qualifier,Main Event,Upper Quarterfinals,Pearl,100 Thieves,harbor,1,0,1
Champions Tour 2023: Americas Last Chance Qualifier,Main Event,Upper Quarterfinals,Split,Sentinels,skye,1,0,1
Champions Tour 2023: Americas Last Chance Qualifier,Main Event,Upper Quarterfinals,Split,Sentinels,jett,1,0,1
Champions Tour 2023: Americas Last Chance Qualifier,Main Event,Upper Quarterfinals,Split,Sentinels,viper,1,0,1
Champions Tour 2023: Americas Last Chance Qualifier,Main Event,Upper Quarterfinals,Split,Sentinels,astra,1,0,1
Champions Tour 2023: Americas Last Chance Qualifier,Main Event,Upper Quarterfinals,Split,Sentinels,raze,1,0,1
Champions Tour 2023: Americas Last Chance Qualifier,Main Event,Upper Quarterfinals,Split,100 Thieves,skye,0,1,1
Champions Tour 2023: Americas Last Chance Qualifier,Main Event,Upper Quarterfinals,Split,100 Thieves,viper,0,1,1
Champions Tour 2023: Americas Last Chance Qualifier,Main Event,Upper Quarterfinals,Split,100 Thieves,astra,0,1,1
Champions Tour 2023: Americas Last Chance Qualifier,Main Event,Upper Quarterfinals,Split,100 Thieves,raze,0,1,1
Champions Tour 2023: Americas Last Chance Qualifier,Main Event,Upper Quarterfinals,Split,100 Thieves,chamber,0,1,1
Champions Tour 2023: Americas Last Chance Qualifier,Main Event,Upper Quarterfinals,Split,FURIA,skye,1,0,1
Champions Tour 2023: Americas Last Chance Qualifier,Main Event,Upper Quarterfinals,Split,FURIA,jett,1,0,1
Champions Tour 2023: Americas Last Chance Qualifier,Main Event,Upper Quarterfinals,Split,FURIA,viper,1,0,1
Champions Tour 2023: Americas Last Chance Qualifier,Main Event,Upper Quarterfinals,Split,FURIA,astra,1,0,1
Champions Tour 2023: Americas Last Chance Qualifier,Main Event,Upper Quarterfinals,Split,FURIA,raze,1,0,1
Champions Tour 2023: Americas Last Chance Qualifier,Main Event,Upper Quarterfinals,Split,KRÜ Esports,skye,0,1,1
Champions Tour 2023: Americas Last Chance Qualifier,Main Event,Upper Quarterfinals,Split,KRÜ Esports,viper,0,1,1
Champions Tour 2023: Americas Last Chance Qualifier,Main Event,Upper Quarterfinals,Split,KRÜ Esports,astra,0,1,1
Champions Tour 2023: Americas Last Chance Qualifier,Main Event,Upper Quarterfinals,Split,KRÜ Esports,raze,0,1,1
Champions Tour 2023: Americas Last Chance Qualifier,Main Event,Upper Quarterfinals,Split,KRÜ Esports,chamber,0,1,1
Champions Tour 2023: Americas Last Chance Qualifier,Main Event,Upper Quarterfinals,Bind,Sentinels,skye,1,0,1
Champions Tour 2023: Americas Last Chance Qualifier,Main Event,Upper Quarterfinals,Bind,Sentinels,viper,1,0,1
Champions Tour 2023: Americas Last Chance Qualifier,Main Event,Upper Quarterfinals,Bind,Sentinels,raze,1,0,1
Champions Tour 2023: Americas Last Chance Qualifier,Main Event,Upper Quarterfinals,Bind,Sentinels,brimstone,1,0,1
Champions Tour 2023: Americas Last Chance Qualifier,Main Event,Upper Quarterfinals,Bind,Sentinels,yoru,1,0,1
Champions Tour 2023: Americas Last Chance Qualifier,Main Event,Upper Quarterfinals,Bind,100 Thieves,skye,0,1,1
Champions Tour 2023: Americas Last Chance Qualifier,Main Event,Upper Quarterfinals,Bind,100 Thieves,brimstone,0,1,1
Champions Tour 2023: Americas Last Chance Qualifier,Main Event,Upper Quarterfinals,Bind,100 Thieves,chamber,0,1,1
Champions Tour 2023: Americas Last Chance Qualifier,Main Event,Upper Quarterfinals,Bind,100 Thieves,harbor,0,1,1
Champions Tour 2023: Americas Last Chance Qualifier,Main Event,Upper Quarterfinals,Bind,100 Thieves,yoru,0,1,1
Champions Tour 2023: Americas Last Chance Qualifier,Main Event,Upper Quarterfinals,Bind,FURIA,skye,0,1,1
Champions Tour 2023: Americas Last Chance Qualifier,Main Event,Upper Quarterfinals,Bind,FURIA,jett,0,1,1
Champions Tour 2023: Americas Last Chance Qualifier,Main Event,Upper Quarterfinals,Bind,FURIA,viper,0,1,1
Champions Tour 2023: Americas Last Chance Qualifier,Main Event,Upper Quarterfinals,Bind,FURIA,astra,0,1,1
Champions Tour 2023: Americas Last Chance Qualifier,Main Event,Upper Quarterfinals,Bind,FURIA,sova,0,1,1
Champions Tour 2023: Americas Last Chance Qualifier,Main Event,Upper Quarterfinals,Bind,KRÜ Esports,skye,1,0,1
Champions Tour 2023: Americas Last Chance Qualifier,Main Event,Upper Quarterfinals,Bind,KRÜ Esports,viper,1,0,1
Champions Tour 2023: Americas Last Chance Qualifier,Main Event,Upper Quarterfinals,Bind,KRÜ Esports,raze,1,0,1
Champions Tour 2023: Americas Last Chance Qualifier,Main Event,Upper Quarterfinals,Bind,KRÜ Esports,brimstone,1,0,1
Champions Tour 2023: Americas Last Chance Qualifier,Main Event,Upper Quarterfinals,Bind,KRÜ Esports,cypher,1,0,1
Champions Tour 2023: Americas Last Chance Qualifier,Main Event,Upper Quarterfinals,Ascent,FURIA,jett,0,1,1
Champions Tour 2023: Americas Last Chance Qualifier,Main Event,Upper Quarterfinals,Ascent,FURIA,sova,0,1,1
Champions Tour 2023: Americas Last Chance Qualifier,Main Event,Upper Quarterfinals,Ascent,FURIA,killjoy,0,1,1
Champions Tour 2023: Americas Last Chance Qualifier,Main Event,Upper Quarterfinals,Ascent,FURIA,omen,0,1,1
Champions Tour 2023: Americas Last Chance Qualifier,Main Event,Upper Quarterfinals,Ascent,FURIA,kayo,0,1,1
Champions Tour 2023: Americas Last Chance Qualifier,Main Event,Upper Quarterfinals,Ascent,KRÜ Esports,jett,1,0,1
Champions Tour 2023: Americas Last Chance Qualifier,Main Event,Upper Quarterfinals,Ascent,KRÜ Esports,sova,1,0,1
Champions Tour 2023: Americas Last Chance Qualifier,Main Event,Upper Quarterfinals,Ascent,KRÜ Esports,killjoy,1,0,1
Champions Tour 2023: Americas Last Chance Qualifier,Main Event,Upper Quarterfinals,Ascent,KRÜ Esports,omen,1,0,1
Champions Tour 2023: Americas Last Chance Qualifier,Main Event,Upper Quarterfinals,Ascent,KRÜ Esports,kayo,1,0,1
Champions Tour 2023: Americas Last Chance Qualifier,Main Event,Upper Semifinals,Pearl,Cloud9,viper,1,0,1
Champions Tour 2023: Americas Last Chance Qualifier,Main Event,Upper Semifinals,Pearl,Cloud9,skye,1,0,1
Champions Tour 2023: Americas Last Chance Qualifier,Main Event,Upper Semifinals,Pearl,Cloud9,killjoy,1,0,1
Champions Tour 2023: Americas Last Chance Qualifier,Main Event,Upper Semifinals,Pearl,Cloud9,jett,1,0,1
Champions Tour 2023: Americas Last Chance Qualifier,Main Event,Upper Semifinals,Pearl,Cloud9,harbor,1,0,1
Champions Tour 2023: Americas Last Chance Qualifier,Main Event,Upper Semifinals,Pearl,Sentinels,astra,0,1,1
Champions Tour 2023: Americas Last Chance Qualifier,Main Event,Upper Semifinals,Pearl,Sentinels,killjoy,0,1,1
Champions Tour 2023: Americas Last Chance Qualifier,Main Event,Upper Semifinals,Pearl,Sentinels,jett,0,1,1
Champions Tour 2023: Americas Last Chance Qualifier,Main Event,Upper Semifinals,Pearl,Sentinels,kayo,0,1,1
Champions Tour 2023: Americas Last Chance Qualifier,Main Event,Upper Semifinals,Pearl,Sentinels,sova,0,1,1
Champions Tour 2023: Americas Last Chance Qualifier,Main Event,Upper Semifinals,Fracture,Cloud9,raze,0,1,1
Champions Tour 2023: Americas Last Chance Qualifier,Main Event,Upper Semifinals,Fracture,Cloud9,killjoy,0,1,1
Champions Tour 2023: Americas Last Chance Qualifier,Main Event,Upper Semifinals,Fracture,Cloud9,breach,0,1,1
Champions Tour 2023: Americas Last Chance Qualifier,Main Event,Upper Semifinals,Fracture,Cloud9,fade,0,1,1
Champions Tour 2023: Americas Last Chance Qualifier,Main Event,Upper Semifinals,Fracture,Cloud9,brimstone,0,1,1
Champions Tour 2023: Americas Last Chance Qualifier,Main Event,Upper Semifinals,Fracture,Sentinels,raze,1,0,1
Champions Tour 2023: Americas Last Chance Qualifier,Main Event,Upper Semifinals,Fracture,Sentinels,breach,1,0,1
Champions Tour 2023: Americas Last Chance Qualifier,Main Event,Upper Semifinals,Fracture,Sentinels,kayo,1,0,1
Champions Tour 2023: Americas Last Chance Qualifier,Main Event,Upper Semifinals,Fracture,Sentinels,cypher,1,0,1
Champions Tour 2023: Americas Last Chance Qualifier,Main Event,Upper Semifinals,Fracture,Sentinels,brimstone,1,0,1
Champions Tour 2023: Americas Last Chance Qualifier,Main Event,Upper Semifinals,Split,Cloud9,raze,1,0,1
Champions Tour 2023: Americas Last Chance Qualifier,Main Event,Upper Semifinals,Split,Cloud9,skye,1,0,1
