Tournament,Tournament ID,Stage,Stage ID,Match Type,Match Name,Match ID,Map,Game ID
Valorant Champions 2023,1657,Group Stage,3145,Opening (D),Team Liquid vs Natus Vincere,247100,Fracture,137395
Valorant Champions 2023,1657,Group Stage,3145,Opening (D),Team Liquid vs Natus Vincere,247100,Bind,137396
Valorant Champions 2023,1657,Group Stage,3145,Opening (D),DRX vs LOUD,247101,Lotus,137398
Valorant Champions 2023,1657,Group Stage,3145,Opening (D),DRX vs LOUD,247101,Split,137399
Valorant Champions 2023,1657,Group Stage,3145,Opening (D),DRX vs LOUD,247101,Ascent,137400
Valorant Champions 2023,1657,Group Stage,3145,Opening (B),FUT Esports vs T1,247087,Pearl,137368
Valorant Champions 2023,1657,Group Stage,3145,Opening (B),FUT Esports vs T1,247087,Haven,137369
Valorant Champions 2023,1657,Group Stage,3145,Opening (B),Evil Geniuses vs FunPlus Phoenix,247086,Ascent,137365
Valorant Champions 2023,1657,Group Stage,3145,Opening (B),Evil Geniuses vs FunPlus Phoenix,247086,Pearl,137366
Valorant Champions 2023,1657,Group Stage,3145,Winner's (D),Natus Vincere vs DRX,247102,Bind,137401
Valorant Champions 2023,1657,Group Stage,3145,Winner's (D),Natus Vincere vs DRX,247102,Split,137402
Valorant Champions 2023,1657,Group Stage,3145,Winner's (D),Natus Vincere vs DRX,247102,Lotus,137403
Valorant Champions 2023,1657,Group Stage,3145,Opening (C),NRG Esports vs Bilibili Gaming,247094,Lotus,137383
Valorant Champions 2023,1657,Group Stage,3145,Opening (C),NRG Esports vs Bilibili Gaming,247094,Split,137384
Valorant Champions 2023,1657,Group Stage,3145,Opening (C),FNATIC vs ZETA DIVISION,247093,Fracture,137380
Valorant Champions 2023,1657,Group Stage,3145,Opening (C),FNATIC vs ZETA DIVISION,247093,Haven,137381
Valorant Champions 2023,1657,Group Stage,3145,Winner's (B),Evil Geniuses vs FUT Esports,247088,Pearl,137371
Valorant Champions 2023,1657,Group Stage,3145,Winner's (B),Evil Geniuses vs FUT Esports,247088,Bind,137372
Valorant Champions 2023,1657,Group Stage,3145,Opening (A),Paper Rex vs KRÜ Esports,247075,Split,137350
Valorant Champions 2023,1657,Group Stage,3145,Opening (A),Paper Rex vs KRÜ Esports,247075,Pearl,137351
Valorant Champions 2023,1657,Group Stage,3145,Opening (A),EDward Gaming vs Giants Gaming,247076,Split,137353
Valorant Champions 2023,1657,Group Stage,3145,Opening (A),EDward Gaming vs Giants Gaming,247076,Bind,137354
Valorant Champions 2023,1657,Group Stage,3145,Opening (A),EDward Gaming vs Giants Gaming,247076,Ascent,137355
Valorant Champions 2023,1657,Group Stage,3145,Winner's (C),FNATIC vs Bilibili Gaming,247095,Haven,137386
Valorant Champions 2023,1657,Group Stage,3145,Winner's (C),FNATIC vs Bilibili Gaming,247095,Lotus,137387
Valorant Champions 2023,1657,Group Stage,3145,Elimination (D),Team Liquid vs LOUD,247103,Haven,137404
Valorant Champions 2023,1657,Group Stage,3145,Elimination (D),Team Liquid vs LOUD,247103,Split,137405
Valorant Champions 2023,1657,Group Stage,3145,Elimination (B),FunPlus Phoenix vs T1,247089,Lotus,137374
Valorant Champions 2023,1657,Group Stage,3145,Elimination (B),FunPlus Phoenix vs T1,247089,Bind,137375
Valorant Champions 2023,1657,Group Stage,3145,Winner's (A),Paper Rex vs EDward Gaming,247077,Fracture,137356
Valorant Champions 2023,1657,Group Stage,3145,Winner's (A),Paper Rex vs EDward Gaming,247077,Pearl,137357
Valorant Champions 2023,1657,Group Stage,3145,Elimination (A),KRÜ Esports vs Giants Gaming,247078,Lotus,137359
Valorant Champions 2023,1657,Group Stage,3145,Elimination (A),KRÜ Esports vs Giants Gaming,247078,Pearl,137360
Valorant Champions 2023,1657,Group Stage,3145,Elimination (C),ZETA DIVISION vs NRG Esports,247096,Bind,137389
Valorant Champions 2023,1657,Group Stage,3145,Elimination (C),ZETA DIVISION vs NRG Esports,247096,Haven,137390
Valorant Champions 2023,1657,Group Stage,3145,Decider (D),Natus Vincere vs LOUD,247104,Pearl,137407
Valorant Champions 2023,1657,Group Stage,3145,Decider (D),Natus Vincere vs LOUD,247104,Ascent,137408
Valorant Champions 2023,1657,Group Stage,3145,Decider (D),Natus Vincere vs LOUD,247104,Bind,137409
Valorant Champions 2023,1657,Group Stage,3145,Decider (B),FUT Esports vs T1,247090,Bind,137377
Valorant Champions 2023,1657,Group Stage,3145,Decider (B),FUT Esports vs T1,247090,Pearl,137378
Valorant Champions 2023,1657,Group Stage,3145,Decider (A),EDward Gaming vs Giants Gaming,247079,Split,137362
Valorant Champions 2023,1657,Group Stage,3145,Decider (A),EDward Gaming vs Giants Gaming,247079,Fracture,137363
Valorant Champions 2023,1657,Group Stage,3145,Decider (C),Bilibili Gaming vs NRG Esports,247098,Bind,137392
Valorant Champions 2023,1657,Group Stage,3145,Decider (C),Bilibili Gaming vs NRG Esports,247098,Ascent,137393
Valorant Champions 2023,1657,Playoffs,3264,Upper Quarterfinals,FNATIC vs LOUD,248270,Ascent,137618
Valorant Champions 2023,1657,Playoffs,3264,Upper Quarterfinals,FNATIC vs LOUD,248270,Lotus,137619
Valorant Champions 2023,1657,Playoffs,3264,Upper Quarterfinals,Paper Rex vs FUT Esports,248271,Ascent,137621
Valorant Champions 2023,1657,Playoffs,3264,Upper Quarterfinals,Paper Rex vs FUT Esports,248271,Pearl,137622
Valorant Champions 2023,1657,Playoffs,3264,Upper Quarterfinals,DRX vs Bilibili Gaming,248272,Lotus,137624
Valorant Champions 2023,1657,Playoffs,3264,Upper Quarterfinals,DRX vs Bilibili Gaming,248272,Haven,137625
Valorant Champions 2023,1657,Playoffs,3264,Upper Quarterfinals,Evil Geniuses vs EDward Gaming,248273,Split,137627
Valorant Champions 2023,1657,Playoffs,3264,Upper Quarterfinals,Evil Geniuses vs EDward Gaming,248273,Ascent,137628
Valorant Champions 2023,1657,Playoffs,3264,Upper Quarterfinals,Evil Geniuses vs EDward Gaming,248273,Pearl,137629
Valorant Champions 2023,1657,Playoffs,3264,Lower Round 1,FNATIC vs FUT Esports,248278,Split,137644
Valorant Champions 2023,1657,Playoffs,3264,Lower Round 1,FNATIC vs FUT Esports,248278,Haven,137645
Valorant Champions 2023,1657,Playoffs,3264,Lower Round 1,Bilibili Gaming vs EDward Gaming,248279,Bind,137647
Valorant Champions 2023,1657,Playoffs,3264,Lower Round 1,Bilibili Gaming vs EDward Gaming,248279,Split,137648
Valorant Champions 2023,1657,Playoffs,3264,Lower Round 1,Bilibili Gaming vs EDward Gaming,248279,Haven,137649
Valorant Champions 2023,1657,Playoffs,3264,Upper Semifinals,LOUD vs Paper Rex,248274,Lotus,137630
Valorant Champions 2023,1657,Playoffs,3264,Upper Semifinals,LOUD vs Paper Rex,248274,Split,137631
Valorant Champions 2023,1657,Playoffs,3264,Upper Semifinals,LOUD vs Paper Rex,248274,Pearl,137632
Valorant Champions 2023,1657,Playoffs,3264,Upper Semifinals,DRX vs Evil Geniuses,248275,Fracture,137633
Valorant Champions 2023,1657,Playoffs,3264,Upper Semifinals,DRX vs Evil Geniuses,248275,Lotus,137634
Valorant Champions 2023,1657,Playoffs,3264,Lower Round 2,LOUD vs EDward Gaming,248281,Bind,137653
Valorant Champions 2023,1657,Playoffs,3264,Lower Round 2,LOUD vs EDward Gaming,248281,Ascent,137654
Valorant Champions 2023,1657,Playoffs,3264,Lower Round 2,LOUD vs EDward Gaming,248281,Haven,137655
Valorant Champions 2023,1657,Playoffs,3264,Lower Round 2,DRX vs FNATIC,248280,Bind,137650
Valorant Champions 2023,1657,Playoffs,3264,Lower Round 2,DRX vs FNATIC,248280,Haven,137651
Valorant Champions 2023,1657,Playoffs,3264,Lower Round 2,DRX vs FNATIC,248280,Split,137652
Valorant Champions 2023,1657,Playoffs,3264,Upper Final,Paper Rex vs Evil Geniuses,248276,Ascent,137636
Valorant Champions 2023,1657,Playoffs,3264,Upper Final,Paper Rex vs Evil Geniuses,248276,Bind,137637
Valorant Champions 2023,1657,Playoffs,3264,Upper Final,Paper Rex vs Evil Geniuses,248276,Pearl,137638
Valorant Champions 2023,1657,Playoffs,3264,Lower Round 3,FNATIC vs LOUD,248282,Split,137656
Valorant Champions 2023,1657,Playoffs,3264,Lower Round 3,FNATIC vs LOUD,248282,Ascent,137657
Valorant Champions 2023,1657,Playoffs,3264,Lower Round 3,FNATIC vs LOUD,248282,Haven,137658
Valorant Champions 2023,1657,Playoffs,3264,Lower Final,Evil Geniuses vs LOUD,248283,Ascent,137659
Valorant Champions 2023,1657,Playoffs,3264,Lower Final,Evil Geniuses vs LOUD,248283,Lotus,137660
Valorant Champions 2023,1657,Playoffs,3264,Lower Final,Evil Geniuses vs LOUD,248283,Pearl,137661
Valorant Champions 2023,1657,Playoffs,3264,Lower Final,Evil Geniuses vs LOUD,248283,Split,137662
Valorant Champions 2023,1657,Playoffs,3264,Lower Final,Evil Geniuses vs LOUD,248283,Bind,137663
Valorant Champions 2023,1657,Playoffs,3264,Grand Final,Paper Rex vs Evil Geniuses,248277,Split,137639
Valorant Champions 2023,1657,Playoffs,3264,Grand Final,Paper Rex vs Evil Geniuses,248277,Ascent,137640
Valorant Champions 2023,1657,Playoffs,3264,Grand Final,Paper Rex vs Evil Geniuses,248277,Bind,137641
Valorant Champions 2023,1657,Playoffs,3264,Grand Final,Paper Rex vs Evil Geniuses,248277,Lotus,137642
Champions Tour 2023: Americas Last Chance Qualifier,1658,Main Event,3146,Upper Round 1,MIBR vs KRÜ Esports,232729,Bind,134548
