Tournament,Stage,Match Type,Map,Total Maps Played,Attacker Side Win Percentage,Defender Side Win Percentage
Champions Tour Japan Stage 2: Challengers Playoffs,Main Event,Lower Bracket Round 1,Bind,2,57%,43%
Champions Tour Japan Stage 2: Challengers Playoffs,Main Event,Lower Bracket Round 1,Haven,2,49%,51%
Champions Tour Japan Stage 2: Challengers Playoffs,Main Event,Lower Bracket Round 1,Icebox,1,75%,25%
Champions Tour Japan Stage 2: Challengers Playoffs,Main Event,Lower Bracket Round 2,All Maps,4,57%,43%
Champions Tour Japan Stage 2: Challengers Playoffs,Main Event,Lower Bracket Round 2,Ascent,1,35%,65%
Champions Tour Japan Stage 2: Challengers Playoffs,Main Event,Lower Bracket Round 2,Bind,1,65%,35%
Champions Tour Japan Stage 2: Challengers Playoffs,Main Event,Lower Bracket Round 2,Haven,1,81%,19%
Champions Tour Japan Stage 2: Challengers Playoffs,Main Event,Lower Bracket Round 2,Split,1,47%,53%
Champions Tour Japan Stage 2: Challengers Playoffs,Main Event,Lower Bracket Round 3,All Maps,2,42%,58%
Champions Tour Japan Stage 2: Challengers Playoffs,Main Event,Lower Bracket Round 3,Ascent,1,41%,59%
Champions Tour Japan Stage 2: Challengers Playoffs,Main Event,Lower Bracket Round 3,Icebox,1,43%,57%
Champions Tour Japan Stage 2: Challengers Playoffs,Main Event,Lower Bracket Final,All Maps,2,56%,44%
Champions Tour Japan Stage 2: Challengers Playoffs,Main Event,Lower Bracket Final,Breeze,1,63%,37%
Champions Tour Japan Stage 2: Challengers Playoffs,Main Event,Lower Bracket Final,Haven,1,50%,50%
Champions Tour Japan Stage 2: Challengers Playoffs,Main Event,Grand Final,All Maps,4,49%,51%
Champions Tour Japan Stage 2: Challengers Playoffs,Main Event,Grand Final,Ascent,1,45%,55%
Champions Tour Japan Stage 2: Challengers Playoffs,Main Event,Grand Final,Fracture,1,71%,29%
Champions Tour Japan Stage 2: Challengers Playoffs,Main Event,Grand Final,Haven,1,47%,53%
Champions Tour Japan Stage 2: Challengers Playoffs,Main Event,Grand Final,Icebox,1,38%,63%
Champions Tour Japan Stage 2: Challengers Playoffs,All Stages,All Match Types,All Maps,33,54%,46%
Champions Tour Japan Stage 2: Challengers Playoffs,All Stages,All Match Types,Haven,8,56%,44%
Champions Tour Japan Stage 2: Challengers Playoffs,All Stages,All Match Types,Ascent,6,47%,53%
Champions Tour Japan Stage 2: Challengers Playoffs,All Stages,All Match Types,Bind,6,57%,43%
Champions Tour Japan Stage 2: Challengers Playoffs,All Stages,All Match Types,Split,5,52%,48%
Champions Tour Japan Stage 2: Challengers Playoffs,All Stages,All Match Types,Icebox,4,55%,45%
Champions Tour Japan Stage 2: Challengers Playoffs,All Stages,All Match Types,Breeze,2,44%,56%
Champions Tour Japan Stage 2: Challengers Playoffs,All Stages,All Match Types,Fracture,2,68%,32%
Valorant Champions Tour Stage 1: Masters Reykjavík,Playoffs,Upper Quarterfinals,All Maps,11,44%,56%
Valorant Champions Tour Stage 1: Masters Reykjavík,Playoffs,Upper Quarterfinals,Haven,3,34%,66%
Valorant Champions Tour Stage 1: Masters Reykjavík,Playoffs,Upper Quarterfinals,Ascent,2,55%,45%
Valorant Champions Tour Stage 1: Masters Reykjavík,Playoffs,Upper Quarterfinals,Bind,2,50%,50%
Valorant Champions Tour Stage 1: Masters Reykjavík,Playoffs,Upper Quarterfinals,Icebox,2,44%,56%
Valorant Champions Tour Stage 1: Masters Reykjavík,Playoffs,Upper Quarterfinals,Fracture,1,29%,71%
Valorant Champions Tour Stage 1: Masters Reykjavík,Playoffs,Upper Quarterfinals,Split,1,55%,45%
Valorant Champions Tour Stage 1: Masters Reykjavík,Playoffs,Upper Semifinals,All Maps,5,60%,40%
Valorant Champions Tour Stage 1: Masters Reykjavík,Playoffs,Upper Semifinals,Ascent,2,64%,36%
Valorant Champions Tour Stage 1: Masters Reykjavík,Playoffs,Upper Semifinals,Breeze,1,63%,38%
Valorant Champions Tour Stage 1: Masters Reykjavík,Playoffs,Upper Semifinals,Icebox,1,63%,38%
Valorant Champions Tour Stage 1: Masters Reykjavík,Playoffs,Upper Semifinals,Split,1,50%,50%
Valorant Champions Tour Stage 1: Masters Reykjavík,Playoffs,Upper Final,All Maps,3,48%,52%
Valorant Champions Tour Stage 1: Masters Reykjavík,Playoffs,Upper Final,Ascent,1,29%,71%
Valorant Champions Tour Stage 1: Masters Reykjavík,Playoffs,Upper Final,Fracture,1,67%,33%
Valorant Champions Tour Stage 1: Masters Reykjavík,Playoffs,Upper Final,Icebox,1,54%,46%
Valorant Champions Tour Stage 1: Masters Reykjavík,Playoffs,Grand Final,All Maps,3,41%,59%
Valorant Champions Tour Stage 1: Masters Reykjavík,Playoffs,Grand Final,Ascent,1,23%,77%
Valorant Champions Tour Stage 1: Masters Reykjavík,Playoffs,Grand Final,Bind,1,33%,67%
Valorant Champions Tour Stage 1: Masters Reykjavík,Playoffs,Grand Final,Breeze,1,67%,33%
Valorant Champions Tour Stage 1: Masters Reykjavík,Playoffs,Lower Round 1,All Maps,5,51%,49%
Valorant Champions Tour Stage 1: Masters Reykjavík,Playoffs,Lower Round 1,Split,2,51%,49%
Valorant Champions Tour Stage 1: Masters Reykjavík,Playoffs,Lower Round 1,Haven,2,65%,35%
Valorant Champions Tour Stage 1: Masters Reykjavík,Playoffs,Lower Round 1,Fracture,1,25%,75%
Valorant Champions Tour Stage 1: Masters Reykjavík,Playoffs,Lower Round 2,All Maps,5,38%,62%
Valorant Champions Tour Stage 1: Masters Reykjavík,Playoffs,Lower Round 2,Split,2,23%,78%
Valorant Champions Tour Stage 1: Masters Reykjavík,Playoffs,Lower Round 2,Ascent,1,52%,48%
Valorant Champions Tour Stage 1: Masters Reykjavík,Playoffs,Lower Round 2,Bind,1,55%,45%
Valorant Champions Tour Stage 1: Masters Reykjavík,Playoffs,Lower Round 2,Icebox,1,38%,63%
Valorant Champions Tour Stage 1: Masters Reykjavík,Playoffs,Lower Round 3,All Maps,3,49%,51%
Valorant Champions Tour Stage 1: Masters Reykjavík,Playoffs,Lower Round 3,Haven,1,33%,67%
Valorant Champions Tour Stage 1: Masters Reykjavík,Playoffs,Lower Round 3,Icebox,1,53%,47%
Valorant Champions Tour Stage 1: Masters Reykjavík,Playoffs,Lower Round 3,Split,1,57%,43%
Valorant Champions Tour Stage 1: Masters Reykjavík,Playoffs,Lower Final,All Maps,3,59%,41%
Valorant Champions Tour Stage 1: Masters Reykjavík,Playoffs,Lower Final,Bind,1,57%,43%
Valorant Champions Tour Stage 1: Masters Reykjavík,Playoffs,Lower Final,Fracture,1,61%,39%
Valorant Champions Tour Stage 1: Masters Reykjavík,Playoffs,Lower Final,Haven,1,58%,42%
Valorant Champions Tour Stage 1: Masters Reykjavík,Group Stage,Opening (A),All Maps,4,58%,42%
Valorant Champions Tour Stage 1: Masters Reykjavík,Group Stage,Opening (A),Ascent,1,35%,65%
Valorant Champions Tour Stage 1: Masters Reykjavík,Group Stage,Opening (A),Haven,1,81%,19%
Valorant Champions Tour Stage 1: Masters Reykjavík,Group Stage,Opening (A),Icebox,1,67%,33%
Valorant Champions Tour Stage 1: Masters Reykjavík,Group Stage,Opening (A),Split,1,57%,43%
Valorant Champions Tour Stage 1: Masters Reykjavík,Group Stage,Winner's (A),All Maps,2,58%,42%
Valorant Champions Tour Stage 1: Masters Reykjavík,Group Stage,Winner's (A),Breeze,1,48%,52%
Valorant Champions Tour Stage 1: Masters Reykjavík,Group Stage,Winner's (A),Icebox,1,71%,29%
Valorant Champions Tour Stage 1: Masters Reykjavík,Group Stage,Elimination (A),All Maps,2,45%,55%
Valorant Champions Tour Stage 1: Masters Reykjavík,Group Stage,Elimination (A),Fracture,1,35%,65%
Valorant Champions Tour Stage 1: Masters Reykjavík,Group Stage,Elimination (A),Icebox,1,54%,46%
Valorant Champions Tour Stage 1: Masters Reykjavík,Group Stage,Decider (A),All Maps,3,52%,48%
Valorant Champions Tour Stage 1: Masters Reykjavík,Group Stage,Decider (A),Fracture,1,58%,42%
Valorant Champions Tour Stage 1: Masters Reykjavík,Group Stage,Decider (A),Icebox,1,39%,61%
Valorant Champions Tour Stage 1: Masters Reykjavík,Group Stage,Decider (A),Split,1,58%,42%
Valorant Champions Tour Stage 1: Masters Reykjavík,Group Stage,Opening (B),All Maps,4,45%,55%
Valorant Champions Tour Stage 1: Masters Reykjavík,Group Stage,Opening (B),Ascent,2,45%,55%
Valorant Champions Tour Stage 1: Masters Reykjavík,Group Stage,Opening (B),Fracture,1,39%,61%
Valorant Champions Tour Stage 1: Masters Reykjavík,Group Stage,Opening (B),Icebox,1,52%,48%
Valorant Champions Tour Stage 1: Masters Reykjavík,Group Stage,Winner's (B),All Maps,3,50%,50%
Valorant Champions Tour Stage 1: Masters Reykjavík,Group Stage,Winner's (B),Ascent,1,58%,42%
Valorant Champions Tour Stage 1: Masters Reykjavík,Group Stage,Winner's (B),Icebox,1,54%,46%
Valorant Champions Tour Stage 1: Masters Reykjavík,Group Stage,Winner's (B),Split,1,35%,65%
Valorant Champions Tour Stage 1: Masters Reykjavík,Group Stage,Elimination (B),All Maps,2,41%,59%
Valorant Champions Tour Stage 1: Masters Reykjavík,Group Stage,Elimination (B),Ascent,1,35%,65%
Valorant Champions Tour Stage 1: Masters Reykjavík,Group Stage,Elimination (B),Bind,1,50%,50%
Valorant Champions Tour Stage 1: Masters Reykjavík,Group Stage,Decider (B),All Maps,2,61%,39%
Valorant Champions Tour Stage 1: Masters Reykjavík,Group Stage,Decider (B),Fracture,1,59%,41%
Valorant Champions Tour Stage 1: Masters Reykjavík,Group Stage,Decider (B),Haven,1,63%,37%
Valorant Champions Tour Stage 1: Masters Reykjavík,All Stages,All Match Types,All Maps,60,49%,51%
Valorant Champions Tour Stage 1: Masters Reykjavík,All Stages,All Match Types,Ascent,12,46%,54%
Valorant Champions Tour Stage 1: Masters Reykjavík,All Stages,All Match Types,Icebox,12,52%,48%
Valorant Champions Tour Stage 1: Masters Reykjavík,All Stages,All Match Types,Split,10,46%,54%
Valorant Champions Tour Stage 1: Masters Reykjavík,All Stages,All Match Types,Haven,9,52%,48%
Valorant Champions Tour Stage 1: Masters Reykjavík,All Stages,All Match Types,Fracture,8,46%,54%
Valorant Champions Tour Stage 1: Masters Reykjavík,All Stages,All Match Types,Bind,6,49%,51%
Valorant Champions Tour Stage 1: Masters Reykjavík,All Stages,All Match Types,Breeze,3,59%,41%
Valorant Champions 2022,Playoffs,Upper Quarterfinals,All Maps,9,49%,51%
Valorant Champions 2022,Playoffs,Upper Quarterfinals,Ascent,2,58%,42%
Valorant Champions 2022,Playoffs,Upper Quarterfinals,Breeze,2,47%,53%
Valorant Champions 2022,Playoffs,Upper Quarterfinals,Bind,1,48%,52%
Valorant Champions 2022,Playoffs,Upper Quarterfinals,Fracture,1,63%,38%
Valorant Champions 2022,Playoffs,Upper Quarterfinals,Haven,1,58%,42%
Valorant Champions 2022,Playoffs,Upper Quarterfinals,Icebox,1,33%,67%
Valorant Champions 2022,Playoffs,Upper Quarterfinals,Pearl,1,33%,67%
Valorant Champions 2022,Playoffs,Upper Semifinals,All Maps,5,58%,42%
Valorant Champions 2022,Playoffs,Upper Semifinals,Haven,2,63%,37%
Valorant Champions 2022,Playoffs,Upper Semifinals,Ascent,1,29%,71%
Valorant Champions 2022,Playoffs,Upper Semifinals,Breeze,1,79%,21%
Valorant Champions 2022,Playoffs,Upper Semifinals,Pearl,1,57%,43%
Valorant Champions 2022,Playoffs,Upper Final,All Maps,2,56%,44%
Valorant Champions 2022,Playoffs,Upper Final,Ascent,1,56%,44%
Valorant Champions 2022,Playoffs,Upper Final,Bind,1,57%,43%
Valorant Champions 2022,Playoffs,Grand Final,All Maps,4,55%,45%
Valorant Champions 2022,Playoffs,Grand Final,Ascent,1,42%,58%
Valorant Champions 2022,Playoffs,Grand Final,Bind,1,74%,26%
Valorant Champions 2022,Playoffs,Grand Final,Breeze,1,50%,50%
Valorant Champions 2022,Playoffs,Grand Final,Haven,1,61%,39%
Valorant Champions 2022,Playoffs,Lower Round 1,All Maps,4,49%,51%
Valorant Champions 2022,Playoffs,Lower Round 1,Ascent,1,38%,63%
Valorant Champions 2022,Playoffs,Lower Round 1,Bind,1,63%,37%
Valorant Champions 2022,Playoffs,Lower Round 1,Haven,1,45%,55%
Valorant Champions 2022,Playoffs,Lower Round 1,Icebox,1,53%,47%
Valorant Champions 2022,Playoffs,Lower Round 2,All Maps,6,47%,53%
Valorant Champions 2022,Playoffs,Lower Round 2,Ascent,2,44%,56%
Valorant Champions 2022,Playoffs,Lower Round 2,Bind,1,52%,48%
Valorant Champions 2022,Playoffs,Lower Round 2,Fracture,1,59%,41%
Valorant Champions 2022,Playoffs,Lower Round 2,Icebox,1,45%,55%
Valorant Champions 2022,Playoffs,Lower Round 2,Pearl,1,38%,63%
Valorant Champions 2022,Playoffs,Lower Round 3,All Maps,2,35%,65%
Valorant Champions 2022,Playoffs,Lower Round 3,Haven,1,14%,86%
Valorant Champions 2022,Playoffs,Lower Round 3,Icebox,1,54%,46%
Valorant Champions 2022,Playoffs,Lower Final,All Maps,5,49%,51%
Valorant Champions 2022,Playoffs,Lower Final,Ascent,1,63%,37%
Valorant Champions 2022,Playoffs,Lower Final,Bind,1,48%,52%
Valorant Champions 2022,Playoffs,Lower Final,Breeze,1,50%,50%
Valorant Champions 2022,Playoffs,Lower Final,Fracture,1,48%,52%
Valorant Champions 2022,Playoffs,Lower Final,Haven,1,39%,61%
Valorant Champions 2022,Group Stage,Opening (A),All Maps,5,50%,50%
Valorant Champions 2022,Group Stage,Opening (A),Haven,2,45%,55%
Valorant Champions 2022,Group Stage,Opening (A),Ascent,1,43%,57%
Valorant Champions 2022,Group Stage,Opening (A),Icebox,1,72%,28%
Valorant Champions 2022,Group Stage,Opening (A),Pearl,1,46%,54%
Valorant Champions 2022,Group Stage,Winner's (A),All Maps,2,58%,42%
Valorant Champions 2022,Group Stage,Winner's (A),Bind,1,54%,46%
Valorant Champions 2022,Group Stage,Winner's (A),Haven,1,62%,38%
Valorant Champions 2022,Group Stage,Elimination (A),All Maps,2,45%,55%
Valorant Champions 2022,Group Stage,Elimination (A),Bind,1,50%,50%
Valorant Champions 2022,Group Stage,Elimination (A),Breeze,1,42%,58%
Valorant Champions 2022,Group Stage,Decider (A),All Maps,3,44%,56%
Valorant Champions 2022,Group Stage,Decider (A),Ascent,1,43%,57%
Valorant Champions 2022,Group Stage,Decider (A),Haven,1,42%,58%
Valorant Champions 2022,Group Stage,Decider (A),Pearl,1,47%,53%
Valorant Champions 2022,Group Stage,Opening (B),All Maps,5,33%,67%
Valorant Champions 2022,Group Stage,Opening (B),Fracture,2,37%,63%
Valorant Champions 2022,Group Stage,Opening (B),Ascent,1,29%,71%
Valorant Champions 2022,Group Stage,Opening (B),Bind,1,28%,72%
Valorant Champions 2022,Group Stage,Opening (B),Breeze,1,33%,67%
Valorant Champions 2022,Group Stage,Winner's (B),All Maps,3,34%,66%
Valorant Champions 2022,Group Stage,Winner's (B),Breeze,1,15%,85%
Valorant Champions 2022,Group Stage,Winner's (B),Fracture,1,43%,57%
Valorant Champions 2022,Group Stage,Winner's (B),Pearl,1,44%,56%
Valorant Champions 2022,Group Stage,Elimination (B),All Maps,3,43%,57%
Valorant Champions 2022,Group Stage,Elimination (B),Fracture,1,33%,67%
Valorant Champions 2022,Group Stage,Elimination (B),Haven,1,29%,71%
Valorant Champions 2022,Group Stage,Elimination (B),Pearl,1,63%,38%
Valorant Champions 2022,Group Stage,Decider (B),All Maps,2,48%,52%
Valorant Champions 2022,Group Stage,Decider (B),Ascent,1,39%,61%
Valorant Champions 2022,Group Stage,Decider (B),Bind,1,54%,46%
Valorant Champions 2022,Group Stage,Opening (C),All Maps,4,51%,49%
Valorant Champions 2022,Group Stage,Opening (C),Icebox,2,62%,38%
Valorant Champions 2022,Group Stage,Opening (C),Bind,1,35%,65%
Valorant Champions 2022,Group Stage,Opening (C),Fracture,1,46%,54%
Valorant Champions 2022,Group Stage,Winner's (C),All Maps,3,33%,67%
Valorant Champions 2022,Group Stage,Winner's (C),Breeze,1,17%,83%
Valorant Champions 2022,Group Stage,Winner's (C),Fracture,1,47%,53%
Valorant Champions 2022,Group Stage,Winner's (C),Pearl,1,35%,65%
Valorant Champions 2022,Group Stage,Elimination (C),All Maps,3,57%,43%
Valorant Champions 2022,Group Stage,Elimination (C),Ascent,1,58%,42%
Valorant Champions 2022,Group Stage,Elimination (C),Haven,1,55%,45%
Valorant Champions 2022,Group Stage,Elimination (C),Icebox,1,59%,41%
Valorant Champions 2022,Group Stage,Decider (C),All Maps,2,54%,46%
Valorant Champions 2022,Group Stage,Decider (C),Ascent,1,59%,41%
Valorant Champions 2022,Group Stage,Decider (C),Icebox,1,50%,50%
Valorant Champions 2022,Group Stage,Opening (D),All Maps,5,48%,52%
Valorant Champions 2022,Group Stage,Opening (D),Haven,2,59%,41%
Valorant Champions 2022,Group Stage,Opening (D),Ascent,1,25%,75%
Valorant Champions 2022,Group Stage,Opening (D),Bind,1,45%,55%
Valorant Champions 2022,Group Stage,Opening (D),Pearl,1,57%,43%
Valorant Champions 2022,Group Stage,Winner's (D),All Maps,2,63%,37%
Valorant Champions 2022,Group Stage,Winner's (D),Breeze,1,58%,42%
Valorant Champions 2022,Group Stage,Winner's (D),Fracture,1,68%,32%
Valorant Champions 2022,Group Stage,Elimination (D),All Maps,3,56%,44%
Valorant Champions 2022,Group Stage,Elimination (D),Breeze,1,75%,25%
Valorant Champions 2022,Group Stage,Elimination (D),Haven,1,46%,54%
Valorant Champions 2022,Group Stage,Elimination (D),Icebox,1,50%,50%
Valorant Champions 2022,Group Stage,Decider (D),All Maps,2,58%,42%
Valorant Champions 2022,Group Stage,Decider (D),Ascent,1,45%,55%
Valorant Champions 2022,Group Stage,Decider (D),Bind,1,72%,28%
Valorant Champions 2022,All Stages,All Match Types,All Maps,86,49%,51%
Valorant Champions 2022,All Stages,All Match Types,Ascent,17,45%,55%
Valorant Champions 2022,All Stages,All Match Types,Haven,16,48%,52%
Valorant Champions 2022,All Stages,All Match Types,Bind,13,52%,48%
Valorant Champions 2022,All Stages,All Match Types,Breeze,11,47%,53%
Valorant Champions 2022,All Stages,All Match Types,Fracture,10,49%,51%
Valorant Champions 2022,All Stages,All Match Types,Icebox,10,54%,46%
Valorant Champions 2022,All Stages,All Match Types,Pearl,9,47%,53%
Champions Tour EMEA: Last Chance Qualifier,Main Event,Upper Quarterfinals,All Maps,10,49%,51%
Champions Tour EMEA: Last Chance Qualifier,Main Event,Upper Quarterfinals,Ascent,2,56%,44%
Champions Tour EMEA: Last Chance Qualifier,Main Event,Upper Quarterfinals,Haven,2,43%,57%
Champions Tour EMEA: Last Chance Qualifier,Main Event,Upper Quarterfinals,Icebox,2,56%,44%
Champions Tour EMEA: Last Chance Qualifier,Main Event,Upper Quarterfinals,Split,2,43%,57%
Champions Tour EMEA: Last Chance Qualifier,Main Event,Upper Quarterfinals,Breeze,1,52%,48%
Champions Tour EMEA: Last Chance Qualifier,Main Event,Upper Quarterfinals,Fracture,1,47%,53%
Champions Tour EMEA: Last Chance Qualifier,Main Event,Upper Semifinals,All Maps,5,52%,48%
Champions Tour EMEA: Last Chance Qualifier,Main Event,Upper Semifinals,Ascent,1,67%,33%
Champions Tour EMEA: Last Chance Qualifier,Main Event,Upper Semifinals,Bind,1,29%,71%
Champions Tour EMEA: Last Chance Qualifier,Main Event,Upper Semifinals,Breeze,1,59%,41%
Champions Tour EMEA: Last Chance Qualifier,Main Event,Upper Semifinals,Fracture,1,54%,46%
Champions Tour EMEA: Last Chance Qualifier,Main Event,Upper Semifinals,Icebox,1,50%,50%
Champions Tour EMEA: Last Chance Qualifier,Main Event,Upper Final,All Maps,3,53%,47%
Champions Tour EMEA: Last Chance Qualifier,Main Event,Upper Final,Bind,1,48%,52%
Champions Tour EMEA: Last Chance Qualifier,Main Event,Upper Final,Breeze,1,43%,57%
Champions Tour EMEA: Last Chance Qualifier,Main Event,Upper Final,Icebox,1,67%,33%
Champions Tour EMEA: Last Chance Qualifier,Main Event,Grand Final,All Maps,4,48%,52%
Champions Tour EMEA: Last Chance Qualifier,Main Event,Grand Final,Ascent,1,47%,53%
Champions Tour EMEA: Last Chance Qualifier,Main Event,Grand Final,Bind,1,48%,52%
Champions Tour EMEA: Last Chance Qualifier,Main Event,Grand Final,Breeze,1,52%,48%
Champions Tour EMEA: Last Chance Qualifier,Main Event,Grand Final,Icebox,1,46%,54%
Champions Tour EMEA: Last Chance Qualifier,Main Event,Lower Round 1,All Maps,5,46%,54%
Champions Tour EMEA: Last Chance Qualifier,Main Event,Lower Round 1,Fracture,2,41%,59%
Champions Tour EMEA: Last Chance Qualifier,Main Event,Lower Round 1,Haven,2,55%,45%
Champions Tour EMEA: Last Chance Qualifier,Main Event,Lower Round 1,Bind,1,39%,61%
Champions Tour EMEA: Last Chance Qualifier,Main Event,Lower Round 2,All Maps,4,45%,55%
Champions Tour EMEA: Last Chance Qualifier,Main Event,Lower Round 2,Haven,2,28%,72%
Champions Tour EMEA: Last Chance Qualifier,Main Event,Lower Round 2,Bind,1,52%,48%
Champions Tour EMEA: Last Chance Qualifier,Main Event,Lower Round 2,Breeze,1,67%,33%
Champions Tour EMEA: Last Chance Qualifier,Main Event,Lower Round 3,All Maps,2,56%,44%
Champions Tour EMEA: Last Chance Qualifier,Main Event,Lower Round 3,Bind,1,48%,52%
Champions Tour EMEA: Last Chance Qualifier,Main Event,Lower Round 3,Haven,1,63%,38%
Champions Tour EMEA: Last Chance Qualifier,Main Event,Lower Final,All Maps,3,42%,58%
Champions Tour EMEA: Last Chance Qualifier,Main Event,Lower Final,Bind,1,35%,65%
Champions Tour EMEA: Last Chance Qualifier,Main Event,Lower Final,Haven,1,29%,71%
Champions Tour EMEA: Last Chance Qualifier,Main Event,Lower Final,Icebox,1,61%,39%
Champions Tour EMEA: Last Chance Qualifier,All Stages,All Match Types,All Maps,36,49%,51%
Champions Tour EMEA: Last Chance Qualifier,All Stages,All Match Types,Haven,8,43%,57%
Champions Tour EMEA: Last Chance Qualifier,All Stages,All Match Types,Bind,7,43%,57%
