Tournament,Stage,Match Type,Map,Total Maps Played,Attacker Side Win Percentage,Defender Side Win Percentage
Champions Tour South America: Last Chance Qualifier,Main Event,Upper Quarterfinals,All Maps,10,52%,48%
Champions Tour South America: Last Chance Qualifier,Main Event,Upper Quarterfinals,Ascent,3,48%,52%
Champions Tour South America: Last Chance Qualifier,Main Event,Upper Quarterfinals,Fracture,3,54%,46%
Champions Tour South America: Last Chance Qualifier,Main Event,Upper Quarterfinals,Haven,2,58%,42%
Champions Tour South America: Last Chance Qualifier,Main Event,Upper Quarterfinals,Bind,1,54%,46%
Champions Tour South America: Last Chance Qualifier,Main Event,Upper Quarterfinals,Breeze,1,50%,50%
Champions Tour South America: Last Chance Qualifier,Main Event,Upper Semifinals,All Maps,4,63%,38%
Champions Tour South America: Last Chance Qualifier,Main Event,Upper Semifinals,Ascent,1,55%,45%
Champions Tour South America: Last Chance Qualifier,Main Event,Upper Semifinals,Bind,1,81%,19%
Champions Tour South America: Last Chance Qualifier,Main Event,Upper Semifinals,Breeze,1,65%,35%
Champions Tour South America: Last Chance Qualifier,Main Event,Upper Semifinals,Fracture,1,52%,48%
Champions Tour South America: Last Chance Qualifier,Main Event,Upper Final,All Maps,3,48%,52%
Champions Tour South America: Last Chance Qualifier,Main Event,Upper Final,Ascent,1,42%,58%
Champions Tour South America: Last Chance Qualifier,Main Event,Upper Final,Breeze,1,50%,50%
Champions Tour South America: Last Chance Qualifier,Main Event,Upper Final,Icebox,1,53%,47%
Champions Tour South America: Last Chance Qualifier,Main Event,Lower Round 1,All Maps,5,39%,61%
Champions Tour South America: Last Chance Qualifier,Main Event,Lower Round 1,Bind,1,33%,67%
Champions Tour South America: Last Chance Qualifier,Main Event,Lower Round 1,Breeze,1,46%,54%
Champions Tour South America: Last Chance Qualifier,Main Event,Lower Round 1,Fracture,1,18%,82%
Champions Tour South America: Last Chance Qualifier,Main Event,Lower Round 1,Haven,1,46%,54%
Champions Tour South America: Last Chance Qualifier,Main Event,Lower Round 1,Icebox,1,50%,50%
Champions Tour South America: Last Chance Qualifier,Main Event,Lower Round 2,All Maps,5,47%,53%
Champions Tour South America: Last Chance Qualifier,Main Event,Lower Round 2,Ascent,1,50%,50%
Champions Tour South America: Last Chance Qualifier,Main Event,Lower Round 2,Bind,1,55%,45%
Champions Tour South America: Last Chance Qualifier,Main Event,Lower Round 2,Breeze,1,52%,48%
Champions Tour South America: Last Chance Qualifier,Main Event,Lower Round 2,Haven,1,50%,50%
Champions Tour South America: Last Chance Qualifier,Main Event,Lower Round 2,Icebox,1,20%,80%
Champions Tour South America: Last Chance Qualifier,Main Event,Lower Round 3,All Maps,3,56%,44%
Champions Tour South America: Last Chance Qualifier,Main Event,Lower Round 3,Bind,1,48%,52%
Champions Tour South America: Last Chance Qualifier,Main Event,Lower Round 3,Breeze,1,71%,29%
Champions Tour South America: Last Chance Qualifier,Main Event,Lower Round 3,Fracture,1,48%,52%
Champions Tour South America: Last Chance Qualifier,Main Event,Lower Final,All Maps,3,42%,58%
Champions Tour South America: Last Chance Qualifier,Main Event,Lower Final,Ascent,1,38%,63%
Champions Tour South America: Last Chance Qualifier,Main Event,Lower Final,Breeze,1,35%,65%
Champions Tour South America: Last Chance Qualifier,Main Event,Lower Final,Fracture,1,58%,42%
Champions Tour South America: Last Chance Qualifier,All Stages,All Match Types,All Maps,33,50%,50%
Champions Tour South America: Last Chance Qualifier,All Stages,All Match Types,Ascent,7,46%,54%
Champions Tour South America: Last Chance Qualifier,All Stages,All Match Types,Breeze,7,53%,47%
Champions Tour South America: Last Chance Qualifier,All Stages,All Match Types,Fracture,7,49%,51%
Champions Tour South America: Last Chance Qualifier,All Stages,All Match Types,Bind,5,52%,48%
Champions Tour South America: Last Chance Qualifier,All Stages,All Match Types,Haven,4,52%,48%
Champions Tour South America: Last Chance Qualifier,All Stages,All Match Types,Icebox,3,42%,58%
Champions Tour Japan Stage 2: Challengers Playoffs,Main Event,Upper Bracket Quarterfinals,All Maps,9,45%,55%
Champions Tour Japan Stage 2: Challengers Playoffs,Main Event,Upper Bracket Quarterfinals,Ascent,2,47%,53%
Champions Tour Japan Stage 2: Challengers Playoffs,Main Event,Upper Bracket Quarterfinals,Bind,2,51%,49%
Champions Tour Japan Stage 2: Challengers Playoffs,Main Event,Upper Bracket Quarterfinals,Split,2,45%,55%
Champions Tour Japan Stage 2: Challengers Playoffs,Main Event,Upper Bracket Quarterfinals,Breeze,1,25%,75%
Champions Tour Japan Stage 2: Challengers Playoffs,Main Event,Upper Bracket Quarterfinals,Haven,1,26%,74%
Champions Tour Japan Stage 2: Challengers Playoffs,Main Event,Upper Bracket Quarterfinals,Icebox,1,67%,33%
Champions Tour Japan Stage 2: Challengers Playoffs,Main Event,Upper Bracket Semifinals,All Maps,5,65%,35%
Champions Tour Japan Stage 2: Challengers Playoffs,Main Event,Upper Bracket Semifinals,Split,2,61%,39%
Champions Tour Japan Stage 2: Challengers Playoffs,Main Event,Upper Bracket Semifinals,Haven,2,67%,33%
Champions Tour Japan Stage 2: Challengers Playoffs,Main Event,Upper Bracket Semifinals,Bind,1,65%,35%
Champions Tour Japan Stage 2: Challengers Playoffs,Main Event,Upper Bracket Final,All Maps,2,67%,33%
Champions Tour Japan Stage 2: Challengers Playoffs,Main Event,Upper Bracket Final,Ascent,1,68%,32%
Champions Tour Japan Stage 2: Challengers Playoffs,Main Event,Upper Bracket Final,Fracture,1,65%,35%
Champions Tour Japan Stage 2: Challengers Playoffs,Main Event,Lower Bracket Round 1,All Maps,5,58%,42%
