Tournament,Stage,Match Type,Player,Team,Agents,Rounds Played,Rating,Average Combat Score,Kills:Deaths,"Kill, Assist, Trade, Survive %",Average Damage Per Round,Kills Per Round,Assists Per Round,First Kills Per Round,First Deaths Per Round,Headshot %,Clutch Success %,Clutches (won/played),Maximum Kills in a Single Map,Kills,Deaths,Assists,First Kills,First Deaths
Champions Tour 2023: Americas Last Chance Qualifier,Main Event,Upper Semifinals,leaf,Cloud9,killjoy,18,0.88,209,0.93,72%,131.4,0.78,0.06,0.06,0.06,29%,,,14,14,15,1,1,1
Champions Tour 2023: Americas Last Chance Qualifier,Main Event,Upper Semifinals,leaf,Cloud9,skye,21,1.36,239,1.21,71%,164.1,0.81,0.52,0.1,0.05,28%,100%,1/1,17,17,14,11,2,1
Champions Tour 2023: Americas Last Chance Qualifier,Main Event,Upper Semifinals,leaf,Cloud9,"skye, killjoy, jett",60,1.14,242.7,1.18,73%,159.1,0.87,0.23,0.15,0.08,31%,100%,1/1,21,52,44,14,9,5
Champions Tour 2023: Americas Last Chance Qualifier,Main Event,Upper Semifinals,Xeppaa,Cloud9,raze,39,0.95,262,0.94,74%,172.2,0.82,0.46,0.18,0.23,20%,,0/1,18,32,34,18,7,9
Champions Tour 2023: Americas Last Chance Qualifier,Main Event,Upper Semifinals,Xeppaa,Cloud9,skye,21,1.39,241,1.5,86%,154.7,0.86,0.33,0,0.14,34%,,,18,18,12,7,0,3
Champions Tour 2023: Americas Last Chance Qualifier,Main Event,Upper Semifinals,Xeppaa,Cloud9,"skye, raze",60,1.1,255,1.09,78%,166.1,0.83,0.42,0.12,0.2,24%,,0/1,18,50,46,25,7,12
Champions Tour 2023: Americas Last Chance Qualifier,Main Event,Upper Semifinals,Mazino,Leviatán,astra,18,0.62,189,0.8,72%,120.3,0.67,0.17,0,0.17,15%,,0/3,12,12,15,3,0,3
Champions Tour 2023: Americas Last Chance Qualifier,Main Event,Upper Semifinals,Mazino,Leviatán,omen,20,0.55,144,0.5,55%,101.8,0.45,0.55,0.1,0.15,28%,,,9,9,18,11,2,3
Champions Tour 2023: Americas Last Chance Qualifier,Main Event,Upper Semifinals,Mazino,Leviatán,"astra, omen",38,0.58,166.5,0.64,63%,110.5,0.55,0.37,0.05,0.16,21%,,0/3,12,21,33,14,2,6
Champions Tour 2023: Americas Last Chance Qualifier,Main Event,Upper Semifinals,nzr,Leviatán,fade,20,0.65,108,0.43,75%,85,0.3,0.15,0,0.1,17%,,0/5,6,6,14,3,0,2
