Tournament,Stage,Match Type,Player,Team,Agents,Rounds Played,Rating,Average Combat Score,Kills:Deaths,"Kill, Assist, Trade, Survive %",Average Damage Per Round,Kills Per Round,Assists Per Round,First Kills Per Round,First Deaths Per Round,Headshot %,Clutch Success %,Clutches (won/played),Maximum Kills in a Single Map,Kills,Deaths,Assists,First Kills,First Deaths
Champions Tour 2023: Masters Tokyo,Playoffs,Upper Quarterfinals,nobody,EDward Gaming,skye,45,0.94,193.5,0.91,78%,132.8,0.69,0.51,0.07,0.07,30%,50%,1/2,16,31,34,23,3,3
Champions Tour 2023: Masters Tokyo,Playoffs,Upper Quarterfinals,nobody,EDward Gaming,sova,22,0.79,126,0.69,68%,99.7,0.5,0.05,0.09,0.09,35%,20%,1/5,11,11,16,1,2,2
Champions Tour 2023: Masters Tokyo,Playoffs,Upper Quarterfinals,nobody,EDward Gaming,"skye, sova",67,0.89,171,0.84,75%,121.9,0.63,0.36,0.07,0.07,31%,29%,2/7,16,42,50,24,5,5
Champions Tour 2023: Masters Tokyo,Playoffs,Upper Quarterfinals,Rb,DRX,astra,23,0.94,157,0.93,74%,93.2,0.61,0.26,0.13,0,32%,,0/5,14,14,15,6,3,0
Champions Tour 2023: Masters Tokyo,Playoffs,Upper Quarterfinals,Rb,DRX,neon,23,0.95,237,1.24,57%,152.3,0.91,0,0.04,0.22,26%,50%,1/2,21,21,17,0,1,5
Champions Tour 2023: Masters Tokyo,Playoffs,Upper Quarterfinals,Rb,DRX,"astra, neon",46,0.94,197,1.09,65%,122.8,0.76,0.13,0.09,0.11,28%,14%,1/7,21,35,32,6,4,5
Champions Tour 2023: Masters Tokyo,Playoffs,Upper Quarterfinals,Zest,DRX,astra,23,0.8,109,0.57,74%,61.7,0.35,0.61,0,0.09,26%,25%,1/4,8,8,14,14,0,2
Champions Tour 2023: Masters Tokyo,Playoffs,Upper Quarterfinals,Zest,DRX,fade,23,0.91,225,1.17,74%,124.8,0.91,0.22,0.13,0.09,45%,,0/1,21,21,18,5,3,2
Champions Tour 2023: Masters Tokyo,Playoffs,Upper Quarterfinals,Zest,DRX,"astra, fade",46,0.86,167,0.91,74%,93.2,0.63,0.41,0.07,0.09,37%,20%,1/5,21,29,32,19,3,4
Champions Tour 2023: Masters Tokyo,Playoffs,Upper Quarterfinals,BuZz,DRX,raze,46,0.82,233.5,0.88,72%,150.7,0.76,0.11,0.2,0.22,16%,,0/1,18,35,40,5,9,10
Champions Tour 2023: Masters Tokyo,Playoffs,Upper Quarterfinals,stax,DRX,skye,46,0.77,119.5,0.53,61%,85.5,0.37,0.39,0.02,0.09,27%,,0/6,10,17,32,18,1,4
Champions Tour 2023: Masters Tokyo,Playoffs,Upper Quarterfinals,MaKo,DRX,viper,46,1.08,217.5,1.13,78%,152.7,0.78,0.41,0.02,0.11,35%,14%,1/7,19,36,32,19,1,5
Champions Tour 2023: Masters Tokyo,Playoffs,Upper Quarterfinals,Chronicle,FNATIC,breach,22,1.1,207,1.13,82%,125.5,0.77,0.59,0.05,0.09,20%,,0/2,17,17,15,13,1,2
Champions Tour 2023: Masters Tokyo,Playoffs,Upper Quarterfinals,Chronicle,FNATIC,viper,17,1.71,341,2.63,94%,203.6,1.24,0.47,0.12,0.06,25%,,,21,21,8,8,2,1
Champions Tour 2023: Masters Tokyo,Playoffs,Upper Quarterfinals,Chronicle,FNATIC,"viper, breach",39,1.41,274,1.65,87%,159.5,0.97,0.54,0.08,0.08,23%,,0/2,21,38,23,21,3,3
Champions Tour 2023: Masters Tokyo,Playoffs,Upper Quarterfinals,Boaster,FNATIC,brimstone,39,1.07,186.5,1.04,82%,110.1,0.62,0.49,0.15,0.03,17%,,0/3,15,24,23,19,6,1
Champions Tour 2023: Masters Tokyo,Playoffs,Upper Quarterfinals,Alfajer,FNATIC,cypher,17,1.8,284,3.17,94%,167.3,1.12,0.29,0.18,0.06,34%,,0/1,19,19,6,5,3,1
Champions Tour 2023: Masters Tokyo,Playoffs,Upper Quarterfinals,Alfajer,FNATIC,killjoy,22,1.31,193,1.8,86%,133.8,0.82,0.14,0.14,0.09,34%,33%,1/3,18,18,10,3,3,2
Champions Tour 2023: Masters Tokyo,Playoffs,Upper Quarterfinals,Alfajer,FNATIC,"cypher, killjoy",39,1.55,238.5,2.31,90%,148.4,0.95,0.21,0.15,0.08,34%,25%,1/4,19,37,16,8,6,3
Champions Tour 2023: Masters Tokyo,Playoffs,Upper Quarterfinals,Leo,FNATIC,fade,22,1.53,240,2.5,95%,153.6,0.91,0.27,0.09,0,24%,50%,1/2,20,20,8,6,2,0
Champions Tour 2023: Masters Tokyo,Playoffs,Upper Quarterfinals,Leo,FNATIC,skye,17,1.24,149,1.6,88%,85.4,0.47,0.59,0.06,0,16%,,,8,8,5,10,1,0
Champions Tour 2023: Masters Tokyo,Playoffs,Upper Quarterfinals,Leo,FNATIC,"skye, fade",39,1.39,194.5,2.15,92%,123.8,0.72,0.41,0.08,0,21%,50%,1/2,20,28,13,16,3,0
Champions Tour 2023: Masters Tokyo,Playoffs,Upper Quarterfinals,Derke,FNATIC,raze,39,1.16,218,1.21,74%,138.5,0.74,0.23,0.15,0.21,21%,,0/1,16,29,24,9,6,8
Champions Tour 2023: Masters Tokyo,Playoffs,Upper Quarterfinals,Ethan,Evil Geniuses,breach,20,1.1,184,1.18,75%,131.7,0.65,0.55,0,0.05,30%,,0/1,13,13,11,11,0,1
Champions Tour 2023: Masters Tokyo,Playoffs,Upper Quarterfinals,Ethan,Evil Geniuses,kayo,18,1.21,315,1.36,83%,194.2,1.06,0.56,0.17,0,16%,,,19,19,14,10,3,0
Champions Tour 2023: Masters Tokyo,Playoffs,Upper Quarterfinals,Ethan,Evil Geniuses,"breach, kayo",38,1.15,249.5,1.28,79%,161.3,0.84,0.55,0.08,0.03,21%,,0/1,19,32,25,21,3,1
Champions Tour 2023: Masters Tokyo,Playoffs,Upper Quarterfinals,Demon1,Evil Geniuses,brimstone,20,1.22,253,1.5,85%,170.6,0.9,0.25,0.1,0.15,38%,100%,1/1,18,18,12,5,2,3
Champions Tour 2023: Masters Tokyo,Playoffs,Upper Quarterfinals,Demon1,Evil Geniuses,jett,18,1.37,231,2.25,83%,155.2,1,0,0.17,0.17,44%,67%,2/3,18,18,8,0,3,3
Champions Tour 2023: Masters Tokyo,Playoffs,Upper Quarterfinals,Demon1,Evil Geniuses,"brimstone, jett",38,1.3,242,1.8,84%,163.3,0.95,0.13,0.13,0.16,41%,75%,3/4,18,36,20,5,5,6
Champions Tour 2023: Masters Tokyo,Playoffs,Upper Quarterfinals,Boostio,Evil Geniuses,killjoy,38,0.73,155.5,0.7,71%,104.3,0.5,0.29,0.18,0.05,23%,,0/2,10,19,27,11,7,2
Champions Tour 2023: Masters Tokyo,Playoffs,Upper Quarterfinals,jawgemo,Evil Geniuses,omen,18,1.76,300,1.91,89%,194.6,1.17,0.56,0.17,0,29%,50%,1/2,21,21,11,10,3,0
Champions Tour 2023: Masters Tokyo,Playoffs,Upper Quarterfinals,jawgemo,Evil Geniuses,raze,20,1.34,286,1.69,75%,179.9,1.1,0.15,0.15,0.25,23%,,0/2,22,22,13,3,3,5
Champions Tour 2023: Masters Tokyo,Playoffs,Upper Quarterfinals,jawgemo,Evil Geniuses,"omen, raze",38,1.55,293,1.79,82%,186.8,1.13,0.34,0.16,0.13,26%,25%,1/4,22,43,24,13,6,5
Champions Tour 2023: Masters Tokyo,Playoffs,Upper Quarterfinals,C0M,Evil Geniuses,sova,38,1.42,203.5,1.81,87%,137.2,0.76,0.61,0.03,0.05,20%,33%,2/6,17,29,16,23,1,2
Champions Tour 2023: Masters Tokyo,Playoffs,Upper Quarterfinals,Jamppi,Team Liquid,breach,22,1.03,162,1.25,64%,107.5,0.68,0.27,0,0.09,33%,100%,1/1,15,15,12,6,0,2
Champions Tour 2023: Masters Tokyo,Playoffs,Upper Quarterfinals,Jamppi,Team Liquid,killjoy,24,0.73,159,0.79,63%,113,0.63,0.17,0.04,0.29,22%,,0/1,15,15,19,4,1,7
Champions Tour 2023: Masters Tokyo,Playoffs,Upper Quarterfinals,Jamppi,Team Liquid,skye,21,0.92,204,0.88,67%,132.4,0.67,0.33,0.05,0.1,30%,100%,1/1,14,14,16,7,1,2
Champions Tour 2023: Masters Tokyo,Playoffs,Upper Quarterfinals,Jamppi,Team Liquid,"skye, killjoy, breach",67,0.9,175,0.94,64%,117.3,0.66,0.25,0.03,0.16,28%,67%,2/3,15,44,47,17,2,11
Champions Tour 2023: Masters Tokyo,Playoffs,Upper Quarterfinals,nAts,Team Liquid,cypher,21,0.83,129,0.92,76%,76.3,0.52,0.05,0.1,0.05,31%,,0/6,11,11,12,1,2,1
Champions Tour 2023: Masters Tokyo,Playoffs,Upper Quarterfinals,nAts,Team Liquid,killjoy,22,0.94,193,0.87,73%,130.7,0.59,0.14,0.09,0.05,33%,,0/1,13,13,15,3,2,1
Champions Tour 2023: Masters Tokyo,Playoffs,Upper Quarterfinals,nAts,Team Liquid,viper,24,0.7,156,0.68,71%,97,0.54,0.29,0.04,0.08,30%,,0/1,13,13,19,7,1,2
Champions Tour 2023: Masters Tokyo,Playoffs,Upper Quarterfinals,nAts,Team Liquid,"cypher, killjoy, viper",67,0.82,159.3,0.8,73%,101.6,0.55,0.16,0.07,0.06,31%,,0/8,13,37,46,11,5,4
Champions Tour 2023: Masters Tokyo,Playoffs,Upper Quarterfinals,soulcas,Team Liquid,fade,24,1.25,224,1.13,75%,150.3,0.75,0.42,0.04,0.04,28%,20%,1/5,18,18,16,10,1,1
Champions Tour 2023: Masters Tokyo,Playoffs,Upper Quarterfinals,soulcas,Team Liquid,sage,21,0.59,152,0.67,67%,105.8,0.57,0.24,0,0.1,44%,,0/3,12,12,18,5,0,2
Champions Tour 2023: Masters Tokyo,Playoffs,Upper Quarterfinals,soulcas,Team Liquid,skye,22,1.12,190,1.15,77%,116.4,0.68,0.36,0,0.09,48%,,0/3,15,15,13,8,0,2
Champions Tour 2023: Masters Tokyo,Playoffs,Upper Quarterfinals,soulcas,Team Liquid,"sage, skye, fade",67,0.99,188.7,0.96,73%,125.2,0.67,0.34,0.01,0.07,38%,9%,1/11,18,45,47,23,1,5
Champions Tour 2023: Masters Tokyo,Playoffs,Upper Quarterfinals,Sayf,Team Liquid,jett,43,1.2,289.5,1.21,77%,182.8,0.95,0.23,0.28,0.23,24%,17%,1/6,26,41,34,10,12,10
Champions Tour 2023: Masters Tokyo,Playoffs,Upper Quarterfinals,Sayf,Team Liquid,raze,24,1.4,296,1.35,71%,188.2,0.96,0.33,0.13,0.13,23%,,0/1,23,23,17,8,3,3
Champions Tour 2023: Masters Tokyo,Playoffs,Upper Quarterfinals,Sayf,Team Liquid,"jett, raze",67,1.27,291.7,1.25,75%,184.7,0.96,0.27,0.22,0.19,24%,14%,1/7,26,64,51,18,15,13
Champions Tour 2023: Masters Tokyo,Playoffs,Upper Quarterfinals,Redgar,Team Liquid,omen,67,1.03,169,1.05,75%,106.6,0.63,0.45,0.06,0.1,32%,22%,2/9,16,42,40,30,4,7
Champions Tour 2023: Masters Tokyo,Playoffs,Upper Quarterfinals,cauanzin,LOUD,breach,20,0.9,177,0.76,55%,126.4,0.65,0.25,0.15,0.1,35%,67%,2/3,13,13,17,5,3,2
Champions Tour 2023: Masters Tokyo,Playoffs,Upper Quarterfinals,cauanzin,LOUD,sova,18,0.75,183,0.73,56%,119.9,0.61,0.22,0.06,0.11,19%,,0/6,11,11,15,4,1,2
Champions Tour 2023: Masters Tokyo,Playoffs,Upper Quarterfinals,cauanzin,LOUD,"breach, sova",38,0.82,180,0.75,55%,123.3,0.63,0.24,0.11,0.11,26%,22%,2/9,13,24,32,9,4,4
Champions Tour 2023: Masters Tokyo,Playoffs,Upper Quarterfinals,aspas,LOUD,jett,18,0.64,184,0.59,67%,117.6,0.56,0.22,0.17,0.17,18%,,0/2,10,10,17,4,3,3
Champions Tour 2023: Masters Tokyo,Playoffs,Upper Quarterfinals,aspas,LOUD,neon,20,1.15,277,1.25,65%,164.5,1,0.05,0.2,0.1,31%,,0/2,20,20,16,1,4,2
Champions Tour 2023: Masters Tokyo,Playoffs,Upper Quarterfinals,aspas,LOUD,"neon, jett",38,0.89,230.5,0.91,66%,142.2,0.79,0.13,0.18,0.13,26%,,0/4,20,30,33,5,7,5
Champions Tour 2023: Masters Tokyo,Playoffs,Upper Quarterfinals,saadhak,LOUD,kayo,38,0.55,122,0.44,66%,80.3,0.37,0.39,0.03,0.13,21%,,0/5,8,14,32,15,1,5
Champions Tour 2023: Masters Tokyo,Playoffs,Upper Quarterfinals,Less,LOUD,killjoy,18,0.62,157,0.53,72%,108.8,0.5,0.17,0,0.22,32%,,0/1,9,9,17,3,0,4
Champions Tour 2023: Masters Tokyo,Playoffs,Upper Quarterfinals,Less,LOUD,viper,20,0.92,164,0.79,65%,107.3,0.55,0.15,0.05,0.1,13%,,0/5,11,11,14,3,1,2
Champions Tour 2023: Masters Tokyo,Playoffs,Upper Quarterfinals,Less,LOUD,"killjoy, viper",38,0.77,160.5,0.65,68%,108,0.53,0.16,0.03,0.16,22%,,0/6,11,20,31,6,1,6
Champions Tour 2023: Masters Tokyo,Playoffs,Upper Quarterfinals,tuyz,LOUD,omen,38,0.88,194,0.77,61%,120.6,0.63,0.32,0.08,0.05,33%,29%,2/7,17,24,31,12,3,2
Champions Tour 2023: Masters Tokyo,Playoffs,Upper Quarterfinals,FiNESSE,NRG Esports,breach,22,0.6,109,0.44,68%,80.4,0.36,0.23,0,0.05,12%,,0/3,8,8,18,5,0,1
Champions Tour 2023: Masters Tokyo,Playoffs,Upper Quarterfinals,FiNESSE,NRG Esports,viper,17,0.51,93,0.43,53%,80.6,0.35,0.12,0,0.18,35%,20%,1/5,6,6,14,2,0,3
Champions Tour 2023: Masters Tokyo,Playoffs,Upper Quarterfinals,FiNESSE,NRG Esports,"viper, breach",39,0.55,101,0.44,62%,80.5,0.36,0.18,0,0.1,19%,13%,1/8,8,14,32,7,0,4
Champions Tour 2023: Masters Tokyo,Playoffs,Upper Quarterfinals,s0m,NRG Esports,brimstone,22,1.23,266,1.31,73%,155.2,0.95,0.32,0.14,0.05,20%,,0/2,21,21,16,7,3,1
Champions Tour 2023: Masters Tokyo,Playoffs,Upper Quarterfinals,s0m,NRG Esports,harbor,17,0.58,125,0.44,35%,75.1,0.41,0.24,0.18,0.06,12%,100%,1/1,7,7,16,4,3,1
Champions Tour 2023: Masters Tokyo,Playoffs,Upper Quarterfinals,s0m,NRG Esports,"harbor, brimstone",39,0.91,195.5,0.88,56%,120.3,0.72,0.28,0.15,0.05,17%,33%,1/3,21,28,32,11,6,2
Champions Tour 2023: Masters Tokyo,Playoffs,Upper Quarterfinals,ardiis,NRG Esports,killjoy,22,0.83,180,0.71,64%,128.1,0.55,0.14,0.14,0.18,18%,,0/4,12,12,17,3,3,4
Champions Tour 2023: Masters Tokyo,Playoffs,Upper Quarterfinals,ardiis,NRG Esports,sage,17,0.21,84,0.27,47%,62.6,0.24,0.12,0.06,0.06,24%,,0/4,4,4,15,2,1,1
Champions Tour 2023: Masters Tokyo,Playoffs,Upper Quarterfinals,ardiis,NRG Esports,"killjoy, sage",39,0.52,132,0.5,56%,99.6,0.41,0.13,0.1,0.13,20%,,0/8,12,16,32,5,4,5
Champions Tour 2023: Masters Tokyo,Playoffs,Upper Quarterfinals,Victor,NRG Esports,raze,39,0.66,176.5,0.74,59%,119.1,0.59,0.08,0.08,0.26,24%,,0/2,12,23,31,3,3,10
Champions Tour 2023: Masters Tokyo,Playoffs,Upper Quarterfinals,crashies,NRG Esports,skye,17,0.64,129,0.58,53%,83.1,0.41,0.06,0.06,0,30%,,0/3,7,7,12,1,1,0
Champions Tour 2023: Masters Tokyo,Playoffs,Upper Quarterfinals,crashies,NRG Esports,sova,22,0.78,141,0.65,59%,95.2,0.5,0.05,0.05,0.14,33%,,0/2,11,11,17,1,1,3
Champions Tour 2023: Masters Tokyo,Playoffs,Upper Quarterfinals,crashies,NRG Esports,"skye, sova",39,0.71,135,0.62,56%,89.9,0.46,0.05,0.05,0.08,32%,,0/5,11,18,29,2,2,3
Champions Tour 2023: Masters Tokyo,Playoffs,Upper Semifinals,jawgemo,Evil Geniuses,astra,22,1.25,182,1.33,77%,130.7,0.73,0.36,0,0,31%,100%,1/1,16,16,12,8,0,0
Champions Tour 2023: Masters Tokyo,Playoffs,Upper Semifinals,jawgemo,Evil Geniuses,raze,15,1.01,200,1.1,80%,159.8,0.73,0.27,0.13,0.33,31%,100%,1/1,11,11,10,4,2,5
Champions Tour 2023: Masters Tokyo,Playoffs,Upper Semifinals,jawgemo,Evil Geniuses,"astra, raze",37,1.13,191,1.23,78%,142.5,0.73,0.32,0.05,0.14,31%,100%,2/2,16,27,22,12,2,5
Champions Tour 2023: Masters Tokyo,Playoffs,Upper Semifinals,Ethan,Evil Geniuses,breach,37,1.26,173,1.14,89%,104.8,0.65,0.68,0.08,0.05,18%,50%,2/4,14,24,21,25,3,2
Champions Tour 2023: Masters Tokyo,Playoffs,Upper Semifinals,Demon1,Evil Geniuses,brimstone,15,1.19,170,1.38,80%,111.6,0.73,0.27,0.07,0,41%,,0/1,11,11,8,4,1,0
Champions Tour 2023: Masters Tokyo,Playoffs,Upper Semifinals,Demon1,Evil Geniuses,jett,22,0.69,157,0.67,64%,99.2,0.55,0.14,0.09,0.14,38%,,0/4,12,12,18,3,2,3
Champions Tour 2023: Masters Tokyo,Playoffs,Upper Semifinals,Demon1,Evil Geniuses,"brimstone, jett",37,0.94,163.5,0.88,70%,104.2,0.62,0.19,0.08,0.08,40%,,0/5,12,23,26,7,3,3
Champions Tour 2023: Masters Tokyo,Playoffs,Upper Semifinals,Boostio,Evil Geniuses,killjoy,37,1.42,317,1.56,78%,209.2,1.05,0.32,0.24,0.05,24%,100%,2/2,21,39,25,12,9,2
Champions Tour 2023: Masters Tokyo,Playoffs,Upper Semifinals,C0M,Evil Geniuses,all,37,1.27,239.5,1.43,73%,155,0.89,0.24,0.11,0.11,22%,,0/4,17,33,23,9,4,4
Champions Tour 2023: Masters Tokyo,Playoffs,Upper Semifinals,Boaster,FNATIC,astra,18,1.09,180,1,78%,131,0.61,0.39,0.06,0.06,13%,,0/2,11,11,11,7,1,1
Champions Tour 2023: Masters Tokyo,Playoffs,Upper Semifinals,Boaster,FNATIC,brimstone,20,0.97,173,1,80%,116.1,0.6,0.6,0.05,0.1,16%,,0/2,12,12,12,12,1,2
Champions Tour 2023: Masters Tokyo,Playoffs,Upper Semifinals,Boaster,FNATIC,"brimstone, astra",38,1.03,176.5,1,79%,123.2,0.61,0.5,0.05,0.08,14%,,0/4,12,23,23,19,2,3
Champions Tour 2023: Masters Tokyo,Playoffs,Upper Semifinals,Alfajer,FNATIC,cypher,20,1.27,230,1.64,85%,148.3,0.9,0.25,0.1,0.1,35%,67%,2/3,18,18,11,5,2,2
Champions Tour 2023: Masters Tokyo,Playoffs,Upper Semifinals,Alfajer,FNATIC,killjoy,18,1.28,210,1.4,72%,145.3,0.78,0.17,0.06,0.11,20%,,0/1,14,14,10,3,1,2
Champions Tour 2023: Masters Tokyo,Playoffs,Upper Semifinals,Alfajer,FNATIC,"cypher, killjoy",38,1.28,220,1.52,79%,146.9,0.84,0.21,0.08,0.11,28%,50%,2/4,18,32,21,8,3,4
Champions Tour 2023: Masters Tokyo,Playoffs,Upper Semifinals,Derke,FNATIC,raze,38,1.39,293,1.56,82%,196.7,1.03,0.29,0.24,0.16,24%,50%,3/6,24,39,25,11,9,6
Champions Tour 2023: Masters Tokyo,Playoffs,Upper Semifinals,Leo,FNATIC,skye,20,0.91,151,0.63,70%,97.6,0.5,0.5,0.05,0,17%,,0/1,10,10,16,10,1,0
Champions Tour 2023: Masters Tokyo,Playoffs,Upper Semifinals,Chronicle,FNATIC,viper,38,1.28,263.5,1.57,71%,170.5,0.95,0.37,0.11,0.11,33%,,0/2,22,36,23,14,4,4
Champions Tour 2023: Masters Tokyo,Playoffs,Upper Semifinals,Jamppi,Team Liquid,breach,22,0.93,191,0.75,77%,124.7,0.55,0.64,0.05,0.09,29%,,0/2,12,12,16,14,1,2
Champions Tour 2023: Masters Tokyo,Playoffs,Upper Semifinals,Jamppi,Team Liquid,skye,15,0.91,193,0.92,73%,129.3,0.73,0.27,0.07,0.07,18%,,0/2,11,11,12,4,1,1
Champions Tour 2023: Masters Tokyo,Playoffs,Upper Semifinals,Jamppi,Team Liquid,"skye, breach",37,0.92,192,0.82,76%,126.6,0.62,0.49,0.05,0.08,24%,,0/4,12,23,28,18,2,3
Champions Tour 2023: Masters Tokyo,Playoffs,Upper Semifinals,nAts,Team Liquid,cypher,15,0.93,245,1,80%,160.7,0.87,0.07,0.07,0,33%,,0/2,13,13,13,1,1,0
Champions Tour 2023: Masters Tokyo,Playoffs,Upper Semifinals,nAts,Team Liquid,killjoy,22,1.23,256,1.4,73%,161.7,0.95,0.09,0.18,0.05,36%,25%,1/4,21,21,15,2,4,1
Champions Tour 2023: Masters Tokyo,Playoffs,Upper Semifinals,nAts,Team Liquid,"cypher, killjoy",37,1.08,250.5,1.21,76%,161.3,0.92,0.08,0.14,0.03,35%,17%,1/6,21,34,28,3,5,1
Champions Tour 2023: Masters Tokyo,Playoffs,Upper Semifinals,Sayf,Team Liquid,jett,22,0.91,204,0.83,59%,133.9,0.68,0.23,0.14,0.23,21%,,0/4,15,15,18,5,3,5
Champions Tour 2023: Masters Tokyo,Playoffs,Upper Semifinals,Sayf,Team Liquid,raze,15,0.5,188,0.57,60%,128.2,0.53,0.2,0.07,0.13,15%,,0/5,8,8,14,3,1,2
Champions Tour 2023: Masters Tokyo,Playoffs,Upper Semifinals,Sayf,Team Liquid,"jett, raze",37,0.7,196,0.72,59%,131.6,0.62,0.22,0.11,0.19,18%,,0/9,15,23,32,8,4,7
Champions Tour 2023: Masters Tokyo,Playoffs,Upper Semifinals,Redgar,Team Liquid,omen,37,0.62,125,0.57,59%,80.9,0.46,0.32,0.08,0.14,37%,,0/4,11,17,30,12,3,5
Champions Tour 2023: Masters Tokyo,Playoffs,Upper Semifinals,soulcas,Team Liquid,skye,22,0.95,180,1.07,91%,132.7,0.68,0.27,0,0.05,42%,,0/2,15,15,14,6,0,1
Champions Tour 2023: Masters Tokyo,Playoffs,Upper Semifinals,soulcas,Team Liquid,viper,15,0.27,123,0.36,53%,75,0.33,0.33,0.13,0.27,16%,,,5,5,14,5,2,4
Champions Tour 2023: Masters Tokyo,Playoffs,Upper Semifinals,soulcas,Team Liquid,"skye, viper",37,0.61,151.5,0.71,76%,109.3,0.54,0.3,0.05,0.14,33%,,0/2,15,20,28,11,2,5
Champions Tour 2023: Masters Tokyo,Playoffs,Upper Semifinals,mindfreak,Paper Rex,brimstone,20,0.92,172,0.87,75%,96.2,0.65,0.4,0.05,0.05,16%,17%,1/6,13,13,15,8,1,1
Champions Tour 2023: Masters Tokyo,Playoffs,Upper Semifinals,mindfreak,Paper Rex,omen,18,0.54,94,0.54,50%,55.4,0.39,0.11,0.06,0,24%,,0/1,7,7,13,2,1,0
Champions Tour 2023: Masters Tokyo,Playoffs,Upper Semifinals,mindfreak,Paper Rex,"brimstone, omen",38,0.73,133,0.71,63%,76.8,0.53,0.26,0.05,0.03,18%,14%,1/7,13,20,28,10,2,1
Champions Tour 2023: Masters Tokyo,Playoffs,Upper Semifinals,f0rsakeN,Paper Rex,cypher,18,0.8,149,0.53,67%,113.7,0.44,0.39,0,0.11,15%,,0/3,8,8,15,7,0,2
Champions Tour 2023: Masters Tokyo,Playoffs,Upper Semifinals,Jinggg,Paper Rex,raze,38,1.11,264,1.17,63%,170.7,0.92,0.13,0.16,0.16,20%,,0/1,22,35,30,5,6,6
Champions Tour 2023: Masters Tokyo,Playoffs,Upper Semifinals,d4v41,Paper Rex,skye,38,0.75,147,0.56,66%,92.9,0.47,0.53,0.08,0.08,24%,,0/8,9,18,32,20,3,3
Champions Tour 2023: Masters Tokyo,Playoffs,Upper Semifinals,cgrs,Paper Rex,all,38,0.66,149.5,0.59,74%,93.2,0.5,0.32,0.05,0.21,19%,,0/5,13,19,32,12,2,8
Champions Tour 2023: Masters Tokyo,Playoffs,Upper Final,Boaster,FNATIC,astra,16,1.22,175,1.13,88%,104.8,0.56,0.81,0.13,0,11%,,0/2,9,9,8,13,2,0
Champions Tour 2023: Masters Tokyo,Playoffs,Upper Final,Boaster,FNATIC,brimstone,22,0.94,164,0.8,73%,101.3,0.55,0.41,0,0.09,16%,,0/2,12,12,15,9,0,2
Champions Tour 2023: Masters Tokyo,Playoffs,Upper Final,Boaster,FNATIC,omen,24,1.15,188,0.93,88%,120,0.58,0.63,0.13,0.04,17%,50%,1/2,14,14,15,15,3,1
Champions Tour 2023: Masters Tokyo,Playoffs,Upper Final,Boaster,FNATIC,"brimstone, astra, omen",62,1.1,175.7,0.92,82%,109.5,0.56,0.6,0.08,0.05,15%,17%,1/6,14,35,38,37,5,3
Champions Tour 2023: Masters Tokyo,Playoffs,Upper Final,Chronicle,FNATIC,breach,46,1.08,232.5,1.21,72%,149.8,0.87,0.43,0.02,0.09,23%,,0/4,21,40,33,20,1,4
Champions Tour 2023: Masters Tokyo,Playoffs,Upper Final,Chronicle,FNATIC,viper,16,1.51,298,1.78,88%,206.6,1,0.44,0.13,0.06,26%,,,16,16,9,7,2,1
Champions Tour 2023: Masters Tokyo,Playoffs,Upper Final,Chronicle,FNATIC,"viper, breach",62,1.22,254.3,1.33,76%,164.5,0.9,0.44,0.05,0.08,24%,,0/4,21,56,42,27,3,5
Champions Tour 2023: Masters Tokyo,Playoffs,Upper Final,Alfajer,FNATIC,killjoy,38,1.24,218,1.68,74%,138.2,0.84,0.08,0.13,0.08,22%,25%,1/4,16,32,19,3,5,3
Champions Tour 2023: Masters Tokyo,Playoffs,Upper Final,Derke,FNATIC,raze,62,0.94,216.7,0.91,65%,131.9,0.68,0.15,0.32,0.18,21%,,,18,42,46,9,20,11
Champions Tour 2023: Masters Tokyo,Playoffs,Upper Final,Leo,FNATIC,skye,24,1.79,326,2.36,79%,214,1.08,0.46,0.13,0,22%,50%,2/4,26,26,11,11,3,0
Champions Tour 2023: Masters Tokyo,Playoffs,Upper Final,Boostio,Evil Geniuses,astra,24,0.7,169,0.57,67%,115.7,0.5,0.42,0.08,0.13,14%,25%,1/4,12,12,21,10,2,3
Champions Tour 2023: Masters Tokyo,Playoffs,Upper Final,Boostio,Evil Geniuses,killjoy,38,1.02,211,1.11,58%,140.8,0.79,0.05,0.13,0.16,18%,,0/5,21,30,27,2,5,6
Champions Tour 2023: Masters Tokyo,Playoffs,Upper Final,Boostio,Evil Geniuses,"killjoy, astra",62,0.91,197,0.88,61%,131,0.68,0.19,0.11,0.15,17%,11%,1/9,21,42,48,12,7,9
Champions Tour 2023: Masters Tokyo,Playoffs,Upper Final,Ethan,Evil Geniuses,breach,22,0.75,167,0.71,82%,95.4,0.55,0.55,0,0,21%,100%,1/1,12,12,17,12,0,0
Champions Tour 2023: Masters Tokyo,Playoffs,Upper Final,Ethan,Evil Geniuses,skye,40,0.81,161,0.76,65%,104.7,0.55,0.43,0.08,0.05,18%,33%,1/3,19,22,29,17,3,2
Champions Tour 2023: Masters Tokyo,Playoffs,Upper Final,Ethan,Evil Geniuses,"skye, breach",62,0.79,163,0.74,71%,101.4,0.55,0.47,0.05,0.03,19%,50%,2/4,19,34,46,29,3,2
Champions Tour 2023: Masters Tokyo,Playoffs,Upper Final,C0M,Evil Geniuses,breach,16,0.49,93,0.36,56%,61.3,0.31,0.13,0,0.06,47%,20%,1/5,5,5,14,2,0,1
