Tournament,Tournament ID,Stage,Stage ID,Match Type,Match Name,Match ID,Map,Game ID
Valorant Champions 2021,449,Group Stage,945,Opening (D),Vision Strikers vs FULL SENSE,51282,Haven,57948
Valorant Champions 2021,449,Group Stage,945,Opening (D),Vision Strikers vs FULL SENSE,51282,Breeze,57949
Valorant Champions 2021,449,Group Stage,945,Opening (C),Team Vikings vs Crazy Raccoon,51278,Icebox,57936
Valorant Champions 2021,449,Group Stage,945,Opening (C),Team Vikings vs Crazy Raccoon,51278,Haven,57937
Valorant Champions 2021,449,Group Stage,945,Opening (D),FNATIC vs Cloud9,51283,Icebox,57951
Valorant Champions 2021,449,Group Stage,945,Opening (D),FNATIC vs Cloud9,51283,Split,57952
Valorant Champions 2021,449,Group Stage,945,Opening (D),FNATIC vs Cloud9,51283,Fracture,57953
Valorant Champions 2021,449,Group Stage,945,Opening (C),Gambit Esports vs Team Secret,51277,Icebox,57933
Valorant Champions 2021,449,Group Stage,945,Opening (C),Gambit Esports vs Team Secret,51277,Breeze,57934
Valorant Champions 2021,449,Group Stage,945,Opening (C),Gambit Esports vs Team Secret,51277,Bind,57935
Valorant Champions 2021,449,Group Stage,945,Opening (B),Sentinels vs FURIA,51273,Ascent,57921
Valorant Champions 2021,449,Group Stage,945,Opening (B),Sentinels vs FURIA,51273,Breeze,57922
Valorant Champions 2021,449,Group Stage,945,Opening (B),Sentinels vs FURIA,51273,Haven,57923
Valorant Champions 2021,449,Group Stage,945,Opening (B),KRÜ Esports vs Team Liquid,51272,Haven,57918
Valorant Champions 2021,449,Group Stage,945,Opening (B),KRÜ Esports vs Team Liquid,51272,Ascent,57919
Valorant Champions 2021,449,Group Stage,945,Winner's (D),Vision Strikers vs FNATIC,51284,Icebox,57954
Valorant Champions 2021,449,Group Stage,945,Winner's (D),Vision Strikers vs FNATIC,51284,Haven,57955
Valorant Champions 2021,449,Group Stage,945,Winner's (D),Vision Strikers vs FNATIC,51284,Fracture,57956
Valorant Champions 2021,449,Group Stage,945,Opening (A),Envy vs X10 Esports,51267,Breeze,57906
Valorant Champions 2021,449,Group Stage,945,Opening (A),Envy vs X10 Esports,51267,Ascent,57907
Valorant Champions 2021,449,Group Stage,945,Winner's (C),Gambit Esports vs Team Vikings,51279,Split,57939
Valorant Champions 2021,449,Group Stage,945,Winner's (C),Gambit Esports vs Team Vikings,51279,Bind,57940
Valorant Champions 2021,449,Group Stage,945,Winner's (C),Gambit Esports vs Team Vikings,51279,Icebox,57941
