Tournament,Tournament ID,Stage,Stage ID,Match Type,Match Type ID
Champions Tour North America: Last Chance Qualifier,558,Main Event,1094,Upper Quarterfinals,7644
Champions Tour North America: Last Chance Qualifier,558,Main Event,1094,Upper Semifinals,7645
Champions Tour North America: Last Chance Qualifier,558,Main Event,1094,Upper Final,7646
Champions Tour North America: Last Chance Qualifier,558,Main Event,1094,Grand Final,7647
Champions Tour North America: Last Chance Qualifier,558,Main Event,1094,Lower Round 1,7648
Champions Tour North America: Last Chance Qualifier,558,Main Event,1094,Lower Round 2,7649
Champions Tour North America: Last Chance Qualifier,558,Main Event,1094,Lower Round 3,7650
Champions Tour North America: Last Chance Qualifier,558,Main Event,1094,Lower Final,7651
Champions Tour North America: Last Chance Qualifier,558,All Stages,,All Match Types,
Valorant Champions 2021,449,Playoffs,1486,Quarterfinals,8276
Valorant Champions 2021,449,Playoffs,1486,Semifinals,8277
Valorant Champions 2021,449,Playoffs,1486,Grand Final,8278
Valorant Champions 2021,449,Group Stage,945,Opening (A),8260
Valorant Champions 2021,449,Group Stage,945,Winner's (A),8261
Valorant Champions 2021,449,Group Stage,945,Elimination (A),8262
Valorant Champions 2021,449,Group Stage,945,Decider (A),8263
Valorant Champions 2021,449,Group Stage,945,Opening (B),8264
Valorant Champions 2021,449,Group Stage,945,Winner's (B),8265
Valorant Champions 2021,449,Group Stage,945,Elimination (B),8266
Valorant Champions 2021,449,Group Stage,945,Decider (B),8267
Valorant Champions 2021,449,Group Stage,945,Opening (C),8268
Valorant Champions 2021,449,Group Stage,945,Winner's (C),8269
Valorant Champions 2021,449,Group Stage,945,Elimination (C),8270
Valorant Champions 2021,449,Group Stage,945,Decider (C),8271
Valorant Champions 2021,449,Group Stage,945,Opening (D),8272
Valorant Champions 2021,449,Group Stage,945,Winner's (D),8273
Valorant Champions 2021,449,Group Stage,945,Elimination (D),8274
Valorant Champions 2021,449,Group Stage,945,Decider (D),8275
Valorant Champions 2021,449,All Stages,,All Match Types,
Champions Tour EMEA: Last Chance Qualifier,559,Main Event,1095,Upper Quarterfinals,7412
Champions Tour EMEA: Last Chance Qualifier,559,Main Event,1095,Upper Semifinals,7413
Champions Tour EMEA: Last Chance Qualifier,559,Main Event,1095,Upper Final,7414
Champions Tour EMEA: Last Chance Qualifier,559,Main Event,1095,Grand Final,7415
Champions Tour EMEA: Last Chance Qualifier,559,Main Event,1095,Lower Round 1,7416
Champions Tour EMEA: Last Chance Qualifier,559,Main Event,1095,Lower Round 2,7417
Champions Tour EMEA: Last Chance Qualifier,559,Main Event,1095,Lower Round 3,7418
Champions Tour EMEA: Last Chance Qualifier,559,Main Event,1095,Lower Final,7419
Champions Tour EMEA: Last Chance Qualifier,559,All Stages,,All Match Types,
Champions Tour South America: Last Chance Qualifier,561,Playoffs,1376,Semifinals,7607
Champions Tour South America: Last Chance Qualifier,561,Playoffs,1376,Grand Final,7608
