Map,Attacker Side Win Percentage,Defender Side Win Percentage
Ascent,51.0,49.0
Bind,36.75,38.25
Fracture,51.75,48.25
Haven,51.5,48.5
Lotus,57.0,43.0
Pearl,42.75,57.25
Split,53.5,46.5
