Player,Kills,Kills Per Round,Average Damage Per Round,Headshot %,Kills:Deaths,Kills Mean,Kills Per Round Mean,Average Damage Per Round Mean,Headshot % Mean,Kills:Deaths Mean
aspas,892,0.8666666666666667,153.83333333333334,25.0,1.26,178.4,0.8666666666666667,153.83333333333334,25.0,1.26
ZmjjKK,658,0.8825,162.275,20.5,1.185,131.6,0.8825,162.275,20.5,1.185
Less,624,0.8166666666666668,158.16666666666666,28.0,1.2133333333333334,124.8,0.8166666666666668,158.16666666666666,28.0,1.2133333333333334
