Agent,Pick Rate
astra,65.0
breach,13.399999999999999
brimstone,1.6
chamber,0.0
cypher,34.6
deadlock,0.0
fade,0.0
gekko,0.0
harbor,0.0
iso,0.0
jett,80.19999999999999
kayo,11.0
killjoy,33.4
neon,0.0
omen,6.2
phoenix,1.6
raze,27.2
reyna,20.0
sage,29.799999999999997
skye,52.199999999999996
sova,72.2
viper,51.199999999999996
yoru,0.0
