Agents,Kills:Deaths
reyna,1.43
cypher,1.17
chamber,1.14
yoru,1.09
gekko,1.07
brimstone,1.05
jett,1.05
raze,1.04
killjoy,1.03
neon,1.03
kayo,1.01
sova,1.0
harbor,0.99
viper,0.99
skye,0.98
astra,0.95
fade,0.94
sage,0.92
breach,0.82
omen,0.8
