Map,Attacker Side Win Percentage,Defender Side Win Percentage
Ascent,46.8,53.2
Bind,46.8,53.2
Breeze,51.6,48.4
Haven,50.599999999999994,49.400000000000006
Icebox,52.8,47.2
Split,44.0,56.0
