Agent,Pick Rate
astra,29.5
breach,32.0
brimstone,17.75
chamber,10.75
cypher,15.5
deadlock,0.0
fade,10.0
gekko,2.75
harbor,9.5
iso,0.0
jett,56.5
kayo,20.5
killjoy,58.0
neon,5.75
omen,48.0
phoenix,3.5
raze,52.0
reyna,1.25
sage,2.5
skye,50.5
sova,31.5
viper,40.5
yoru,3.25
