Agents,Kills:Deaths
chamber,1.18
jett,1.15
phoenix,1.14
cypher,1.09
raze,1.01
omen,1.0
viper,0.99
astra,0.98
neon,0.96
sova,0.96
skye,0.95
killjoy,0.95
sage,0.93
reyna,0.91
fade,0.91
kayo,0.87
brimstone,0.86
breach,0.83
yoru,0.71
