Player,Kills,Kills Per Round,Average Damage Per Round,Headshot %,Kills:Deaths,Kills Mean,Kills Per Round Mean,Average Damage Per Round Mean,Headshot % Mean,Kills:Deaths Mean
yay,920,0.9266666666666667,156.4,28.0,1.4033333333333333,184.0,0.9266666666666667,156.4,28.0,1.4033333333333333
yay,834,0.88,156.03333333333333,25.666666666666668,1.2866666666666666,166.8,0.88,156.03333333333333,25.666666666666668,1.2866666666666666
ardiis,914,0.825,150.575,22.5,1.1775,152.33333333333334,0.825,150.575,22.5,1.1775
