Player,Kills,Kills Per Round,Average Damage Per Round,Headshot %,Kills:Deaths,Kills Mean,Kills Per Round Mean,Average Damage Per Round Mean,Headshot % Mean,Kills:Deaths Mean
Chronicle,590,0.9,169.88,28.2,1.592,118.0,0.9,169.88,28.2,1.592
Derke,596,0.7833333333333333,152.06666666666666,26.333333333333332,1.0466666666666666,119.2,0.7833333333333333,152.06666666666666,26.333333333333332,1.0466666666666666
nAts,552,0.9,170.63333333333333,31.0,1.4000000000000001,110.4,0.9,170.63333333333333,31.0,1.4000000000000001
