Tournament,Stage,Match Type,Map,Total Maps Played,Attacker Side Win Percentage,Defender Side Win Percentage
Champions Tour Asia-Pacific: Last Chance Qualifier,Main Event,Upper Bracket Quarterfinals,All Maps,9,41%,59%
Champions Tour Asia-Pacific: Last Chance Qualifier,Main Event,Upper Bracket Quarterfinals,Ascent,2,35%,65%
Champions Tour Asia-Pacific: Last Chance Qualifier,Main Event,Upper Bracket Quarterfinals,Bind,2,40%,60%
Champions Tour Asia-Pacific: Last Chance Qualifier,Main Event,Upper Bracket Quarterfinals,Icebox,2,45%,55%
Champions Tour Asia-Pacific: Last Chance Qualifier,Main Event,Upper Bracket Quarterfinals,Breeze,1,61%,39%
Champions Tour Asia-Pacific: Last Chance Qualifier,Main Event,Upper Bracket Quarterfinals,Haven,1,45%,55%
Champions Tour Asia-Pacific: Last Chance Qualifier,Main Event,Upper Bracket Quarterfinals,Split,1,8%,92%
Champions Tour Asia-Pacific: Last Chance Qualifier,Main Event,Upper Bracket Semifinals,All Maps,5,35%,65%
Champions Tour Asia-Pacific: Last Chance Qualifier,Main Event,Upper Bracket Semifinals,Ascent,2,43%,57%
Champions Tour Asia-Pacific: Last Chance Qualifier,Main Event,Upper Bracket Semifinals,Bind,1,33%,67%
Champions Tour Asia-Pacific: Last Chance Qualifier,Main Event,Upper Bracket Semifinals,Haven,1,44%,56%
Champions Tour Asia-Pacific: Last Chance Qualifier,Main Event,Upper Bracket Semifinals,Icebox,1,17%,83%
Champions Tour Asia-Pacific: Last Chance Qualifier,Main Event,Upper Bracket Final,All Maps,3,25%,75%
Champions Tour Asia-Pacific: Last Chance Qualifier,Main Event,Upper Bracket Final,Ascent,1,21%,79%
Champions Tour Asia-Pacific: Last Chance Qualifier,Main Event,Upper Bracket Final,Bind,1,21%,79%
Champions Tour Asia-Pacific: Last Chance Qualifier,Main Event,Upper Bracket Final,Haven,1,35%,65%
Champions Tour Asia-Pacific: Last Chance Qualifier,Main Event,Lower Bracket Round 1,All Maps,5,38%,62%
Champions Tour Asia-Pacific: Last Chance Qualifier,Main Event,Lower Bracket Round 1,Bind,2,31%,69%
Champions Tour Asia-Pacific: Last Chance Qualifier,Main Event,Lower Bracket Round 1,Ascent,1,42%,58%
Champions Tour Asia-Pacific: Last Chance Qualifier,Main Event,Lower Bracket Round 1,Haven,1,38%,62%
Champions Tour Asia-Pacific: Last Chance Qualifier,Main Event,Lower Bracket Round 1,Split,1,45%,55%
Champions Tour Asia-Pacific: Last Chance Qualifier,Main Event,Lower Bracket Round 2,All Maps,5,46%,54%
Champions Tour Asia-Pacific: Last Chance Qualifier,Main Event,Lower Bracket Round 2,Bind,2,54%,46%
Champions Tour Asia-Pacific: Last Chance Qualifier,Main Event,Lower Bracket Round 2,Ascent,1,41%,59%
Champions Tour Asia-Pacific: Last Chance Qualifier,Main Event,Lower Bracket Round 2,Haven,1,43%,57%
Champions Tour Asia-Pacific: Last Chance Qualifier,Main Event,Lower Bracket Round 2,Split,1,42%,58%
Champions Tour Asia-Pacific: Last Chance Qualifier,Main Event,Lower Bracket Round 3,All Maps,6,56%,44%
Champions Tour Asia-Pacific: Last Chance Qualifier,Main Event,Lower Bracket Round 3,Ascent,2,48%,52%
Champions Tour Asia-Pacific: Last Chance Qualifier,Main Event,Lower Bracket Round 3,Bind,2,65%,35%
Champions Tour Asia-Pacific: Last Chance Qualifier,Main Event,Lower Bracket Round 3,Breeze,1,44%,56%
Champions Tour Asia-Pacific: Last Chance Qualifier,Main Event,Lower Bracket Round 3,Haven,1,63%,38%
Champions Tour Asia-Pacific: Last Chance Qualifier,Main Event,Lower Bracket Round 4,All Maps,2,38%,62%
Champions Tour Asia-Pacific: Last Chance Qualifier,Main Event,Lower Bracket Round 4,Ascent,1,43%,57%
Champions Tour Asia-Pacific: Last Chance Qualifier,Main Event,Lower Bracket Round 4,Bind,1,33%,67%
Champions Tour Asia-Pacific: Last Chance Qualifier,Main Event,Lower Bracket Final,All Maps,2,33%,67%
Champions Tour Asia-Pacific: Last Chance Qualifier,Main Event,Lower Bracket Final,Ascent,1,41%,59%
Champions Tour Asia-Pacific: Last Chance Qualifier,Main Event,Lower Bracket Final,Bind,1,21%,79%
Champions Tour Asia-Pacific: Last Chance Qualifier,Main Event,Grand Final,All Maps,5,67%,33%
Champions Tour Asia-Pacific: Last Chance Qualifier,Main Event,Grand Final,Ascent,1,68%,32%
Champions Tour Asia-Pacific: Last Chance Qualifier,Main Event,Grand Final,Bind,1,58%,42%
Champions Tour Asia-Pacific: Last Chance Qualifier,Main Event,Grand Final,Haven,1,71%,29%
Champions Tour Asia-Pacific: Last Chance Qualifier,Main Event,Grand Final,Icebox,1,79%,21%
Champions Tour Asia-Pacific: Last Chance Qualifier,Main Event,Grand Final,Split,1,55%,45%
Champions Tour Asia-Pacific: Last Chance Qualifier,All Stages,All Match Types,All Maps,42,44%,56%
Champions Tour Asia-Pacific: Last Chance Qualifier,All Stages,All Match Types,Bind,13,43%,57%
Champions Tour Asia-Pacific: Last Chance Qualifier,All Stages,All Match Types,Ascent,12,42%,58%
Champions Tour Asia-Pacific: Last Chance Qualifier,All Stages,All Match Types,Haven,7,49%,51%
Champions Tour Asia-Pacific: Last Chance Qualifier,All Stages,All Match Types,Icebox,4,47%,53%
Champions Tour Asia-Pacific: Last Chance Qualifier,All Stages,All Match Types,Split,4,40%,60%
Champions Tour Asia-Pacific: Last Chance Qualifier,All Stages,All Match Types,Breeze,2,54%,46%
Champions Tour North America: Last Chance Qualifier,Main Event,Upper Quarterfinals,All Maps,11,46%,54%
Champions Tour North America: Last Chance Qualifier,Main Event,Upper Quarterfinals,Breeze,3,61%,39%
Champions Tour North America: Last Chance Qualifier,Main Event,Upper Quarterfinals,Ascent,2,36%,64%
Champions Tour North America: Last Chance Qualifier,Main Event,Upper Quarterfinals,Icebox,2,54%,46%
Champions Tour North America: Last Chance Qualifier,Main Event,Upper Quarterfinals,Split,2,30%,70%
Champions Tour North America: Last Chance Qualifier,Main Event,Upper Quarterfinals,Bind,1,55%,45%
Champions Tour North America: Last Chance Qualifier,Main Event,Upper Quarterfinals,Haven,1,33%,67%
Champions Tour North America: Last Chance Qualifier,Main Event,Upper Semifinals,All Maps,6,59%,41%
Champions Tour North America: Last Chance Qualifier,Main Event,Upper Semifinals,Ascent,2,59%,41%
Champions Tour North America: Last Chance Qualifier,Main Event,Upper Semifinals,Breeze,2,67%,33%
Champions Tour North America: Last Chance Qualifier,Main Event,Upper Semifinals,Haven,1,53%,47%
Champions Tour North America: Last Chance Qualifier,Main Event,Upper Semifinals,Split,1,50%,50%
Champions Tour North America: Last Chance Qualifier,Main Event,Upper Final,All Maps,3,55%,45%
Champions Tour North America: Last Chance Qualifier,Main Event,Upper Final,Ascent,1,39%,61%
Champions Tour North America: Last Chance Qualifier,Main Event,Upper Final,Breeze,1,63%,38%
Champions Tour North America: Last Chance Qualifier,Main Event,Upper Final,Haven,1,63%,38%
Champions Tour North America: Last Chance Qualifier,Main Event,Grand Final,All Maps,3,38%,62%
Champions Tour North America: Last Chance Qualifier,Main Event,Grand Final,Bind,1,46%,54%
Champions Tour North America: Last Chance Qualifier,Main Event,Grand Final,Breeze,1,48%,52%
Champions Tour North America: Last Chance Qualifier,Main Event,Grand Final,Split,1,8%,92%
Champions Tour North America: Last Chance Qualifier,Main Event,Lower Round 1,All Maps,4,61%,39%
Champions Tour North America: Last Chance Qualifier,Main Event,Lower Round 1,Breeze,1,57%,43%
Champions Tour North America: Last Chance Qualifier,Main Event,Lower Round 1,Haven,1,59%,41%
Champions Tour North America: Last Chance Qualifier,Main Event,Lower Round 1,Icebox,1,70%,30%
Champions Tour North America: Last Chance Qualifier,Main Event,Lower Round 1,Split,1,59%,41%
Champions Tour North America: Last Chance Qualifier,Main Event,Lower Round 2,All Maps,5,48%,52%
Champions Tour North America: Last Chance Qualifier,Main Event,Lower Round 2,Ascent,1,79%,21%
Champions Tour North America: Last Chance Qualifier,Main Event,Lower Round 2,Bind,1,45%,55%
Champions Tour North America: Last Chance Qualifier,Main Event,Lower Round 2,Breeze,1,43%,57%
Champions Tour North America: Last Chance Qualifier,Main Event,Lower Round 2,Icebox,1,41%,59%
Champions Tour North America: Last Chance Qualifier,Main Event,Lower Round 2,Split,1,42%,58%
Champions Tour North America: Last Chance Qualifier,Main Event,Lower Round 3,All Maps,2,57%,43%
Champions Tour North America: Last Chance Qualifier,Main Event,Lower Round 3,Ascent,1,58%,42%
Champions Tour North America: Last Chance Qualifier,Main Event,Lower Round 3,Bind,1,55%,45%
Champions Tour North America: Last Chance Qualifier,Main Event,Lower Final,All Maps,3,53%,47%
Champions Tour North America: Last Chance Qualifier,Main Event,Lower Final,Breeze,1,50%,50%
Champions Tour North America: Last Chance Qualifier,Main Event,Lower Final,Haven,1,41%,59%
Champions Tour North America: Last Chance Qualifier,Main Event,Lower Final,Icebox,1,67%,33%
Champions Tour North America: Last Chance Qualifier,All Stages,All Match Types,All Maps,37,52%,48%
Champions Tour North America: Last Chance Qualifier,All Stages,All Match Types,Breeze,10,58%,42%
Champions Tour North America: Last Chance Qualifier,All Stages,All Match Types,Ascent,7,51%,49%
Champions Tour North America: Last Chance Qualifier,All Stages,All Match Types,Split,6,38%,62%
Champions Tour North America: Last Chance Qualifier,All Stages,All Match Types,Haven,5,51%,49%
Champions Tour North America: Last Chance Qualifier,All Stages,All Match Types,Icebox,5,58%,42%
Champions Tour North America: Last Chance Qualifier,All Stages,All Match Types,Bind,4,50%,50%
Champions Tour South America: Last Chance Qualifier,Playoffs,Semifinals,All Maps,5,58%,42%
Champions Tour South America: Last Chance Qualifier,Playoffs,Semifinals,Split,2,37%,63%
Champions Tour South America: Last Chance Qualifier,Playoffs,Semifinals,Icebox,2,73%,27%
Champions Tour South America: Last Chance Qualifier,Playoffs,Semifinals,Ascent,1,72%,28%
Champions Tour South America: Last Chance Qualifier,Playoffs,Grand Final,All Maps,3,46%,54%
Champions Tour South America: Last Chance Qualifier,Playoffs,Grand Final,Ascent,1,37%,63%
Champions Tour South America: Last Chance Qualifier,Playoffs,Grand Final,Icebox,1,67%,33%
Champions Tour South America: Last Chance Qualifier,Playoffs,Grand Final,Split,1,39%,61%
Champions Tour South America: Last Chance Qualifier,Group Stage,Opening (A),All Maps,5,53%,47%
Champions Tour South America: Last Chance Qualifier,Group Stage,Opening (A),Ascent,2,43%,57%
Champions Tour South America: Last Chance Qualifier,Group Stage,Opening (A),Haven,2,54%,46%
Champions Tour South America: Last Chance Qualifier,Group Stage,Opening (A),Split,1,67%,33%
Champions Tour South America: Last Chance Qualifier,Group Stage,Winner's (A),All Maps,3,43%,57%
Champions Tour South America: Last Chance Qualifier,Group Stage,Winner's (A),Ascent,1,38%,63%
Champions Tour South America: Last Chance Qualifier,Group Stage,Winner's (A),Icebox,1,50%,50%
Champions Tour South America: Last Chance Qualifier,Group Stage,Winner's (A),Split,1,42%,58%
Champions Tour South America: Last Chance Qualifier,Group Stage,Elimination (A),All Maps,2,62%,38%
Champions Tour South America: Last Chance Qualifier,Group Stage,Elimination (A),Haven,1,50%,50%
Champions Tour South America: Last Chance Qualifier,Group Stage,Elimination (A),Icebox,1,75%,25%
Champions Tour South America: Last Chance Qualifier,Group Stage,Decider (A),All Maps,2,51%,49%
Champions Tour South America: Last Chance Qualifier,Group Stage,Decider (A),Ascent,1,57%,43%
Champions Tour South America: Last Chance Qualifier,Group Stage,Decider (A),Haven,1,46%,54%
Champions Tour South America: Last Chance Qualifier,Group Stage,Opening (B),All Maps,5,52%,48%
Champions Tour South America: Last Chance Qualifier,Group Stage,Opening (B),Ascent,1,32%,68%
Champions Tour South America: Last Chance Qualifier,Group Stage,Opening (B),Bind,1,42%,58%
Champions Tour South America: Last Chance Qualifier,Group Stage,Opening (B),Breeze,1,69%,31%
Champions Tour South America: Last Chance Qualifier,Group Stage,Opening (B),Icebox,1,61%,39%
Champions Tour South America: Last Chance Qualifier,Group Stage,Opening (B),Split,1,61%,39%
Champions Tour South America: Last Chance Qualifier,Group Stage,Winner's (B),All Maps,2,47%,53%
Champions Tour South America: Last Chance Qualifier,Group Stage,Winner's (B),Bind,1,52%,48%
Champions Tour South America: Last Chance Qualifier,Group Stage,Winner's (B),Icebox,1,42%,58%
Champions Tour South America: Last Chance Qualifier,Group Stage,Elimination (B),All Maps,3,40%,60%
Champions Tour South America: Last Chance Qualifier,Group Stage,Elimination (B),Bind,1,38%,63%
Champions Tour South America: Last Chance Qualifier,Group Stage,Elimination (B),Breeze,1,25%,75%
Champions Tour South America: Last Chance Qualifier,Group Stage,Elimination (B),Split,1,63%,37%
Champions Tour South America: Last Chance Qualifier,Group Stage,Decider (B),All Maps,3,45%,55%
Champions Tour South America: Last Chance Qualifier,Group Stage,Decider (B),Ascent,1,58%,42%
Champions Tour South America: Last Chance Qualifier,Group Stage,Decider (B),Bind,1,25%,75%
Champions Tour South America: Last Chance Qualifier,Group Stage,Decider (B),Split,1,53%,47%
Champions Tour South America: Last Chance Qualifier,All Stages,All Match Types,All Maps,33,50%,50%
Champions Tour South America: Last Chance Qualifier,All Stages,All Match Types,Split,8,50%,50%
Champions Tour South America: Last Chance Qualifier,All Stages,All Match Types,Ascent,8,47%,53%
Champions Tour South America: Last Chance Qualifier,All Stages,All Match Types,Icebox,7,62%,38%
Champions Tour South America: Last Chance Qualifier,All Stages,All Match Types,Bind,4,39%,61%
Champions Tour South America: Last Chance Qualifier,All Stages,All Match Types,Haven,4,51%,49%
Champions Tour South America: Last Chance Qualifier,All Stages,All Match Types,Breeze,2,43%,58%
Champions Tour EMEA: Last Chance Qualifier,Main Event,Upper Quarterfinals,All Maps,9,45%,55%
Champions Tour EMEA: Last Chance Qualifier,Main Event,Upper Quarterfinals,Ascent,2,39%,61%
Champions Tour EMEA: Last Chance Qualifier,Main Event,Upper Quarterfinals,Breeze,2,38%,62%
Champions Tour EMEA: Last Chance Qualifier,Main Event,Upper Quarterfinals,Split,2,48%,53%
Champions Tour EMEA: Last Chance Qualifier,Main Event,Upper Quarterfinals,Bind,1,82%,18%
Champions Tour EMEA: Last Chance Qualifier,Main Event,Upper Quarterfinals,Haven,1,50%,50%
Champions Tour EMEA: Last Chance Qualifier,Main Event,Upper Quarterfinals,Icebox,1,33%,67%
Champions Tour EMEA: Last Chance Qualifier,Main Event,Upper Semifinals,All Maps,5,63%,37%
Champions Tour EMEA: Last Chance Qualifier,Main Event,Upper Semifinals,Ascent,1,67%,33%
Champions Tour EMEA: Last Chance Qualifier,Main Event,Upper Semifinals,Bind,1,63%,37%
Champions Tour EMEA: Last Chance Qualifier,Main Event,Upper Semifinals,Breeze,1,75%,25%
Champions Tour EMEA: Last Chance Qualifier,Main Event,Upper Semifinals,Icebox,1,55%,45%
Champions Tour EMEA: Last Chance Qualifier,Main Event,Upper Semifinals,Split,1,52%,48%
Champions Tour EMEA: Last Chance Qualifier,Main Event,Upper Final,All Maps,3,48%,52%
Champions Tour EMEA: Last Chance Qualifier,Main Event,Upper Final,Ascent,1,62%,38%
Champions Tour EMEA: Last Chance Qualifier,Main Event,Upper Final,Bind,1,43%,57%
Champions Tour EMEA: Last Chance Qualifier,Main Event,Upper Final,Haven,1,41%,59%
Champions Tour EMEA: Last Chance Qualifier,Main Event,Grand Final,All Maps,4,53%,47%
Champions Tour EMEA: Last Chance Qualifier,Main Event,Grand Final,Ascent,1,35%,65%
Champions Tour EMEA: Last Chance Qualifier,Main Event,Grand Final,Breeze,1,55%,45%
Champions Tour EMEA: Last Chance Qualifier,Main Event,Grand Final,Haven,1,83%,17%
Champions Tour EMEA: Last Chance Qualifier,Main Event,Grand Final,Split,1,45%,55%
Champions Tour EMEA: Last Chance Qualifier,Main Event,Lower Round 1,All Maps,5,42%,58%
Champions Tour EMEA: Last Chance Qualifier,Main Event,Lower Round 1,Split,2,38%,62%
Champions Tour EMEA: Last Chance Qualifier,Main Event,Lower Round 1,Ascent,1,56%,44%
Champions Tour EMEA: Last Chance Qualifier,Main Event,Lower Round 1,Breeze,1,39%,61%
Champions Tour EMEA: Last Chance Qualifier,Main Event,Lower Round 1,Haven,1,44%,56%
Champions Tour EMEA: Last Chance Qualifier,Main Event,Lower Round 2,All Maps,5,55%,45%
Champions Tour EMEA: Last Chance Qualifier,Main Event,Lower Round 2,Split,2,43%,57%
Champions Tour EMEA: Last Chance Qualifier,Main Event,Lower Round 2,Breeze,1,71%,29%
Champions Tour EMEA: Last Chance Qualifier,Main Event,Lower Round 2,Haven,1,47%,53%
Champions Tour EMEA: Last Chance Qualifier,Main Event,Lower Round 2,Icebox,1,71%,29%
Champions Tour EMEA: Last Chance Qualifier,Main Event,Lower Round 3,All Maps,2,23%,77%
Champions Tour EMEA: Last Chance Qualifier,Main Event,Lower Round 3,Haven,1,7%,93%
Champions Tour EMEA: Last Chance Qualifier,Main Event,Lower Round 3,Icebox,1,35%,65%
Champions Tour EMEA: Last Chance Qualifier,Main Event,Lower Final,All Maps,2,48%,52%
Champions Tour EMEA: Last Chance Qualifier,Main Event,Lower Final,Bind,1,23%,77%
Champions Tour EMEA: Last Chance Qualifier,Main Event,Lower Final,Haven,1,71%,29%
Champions Tour EMEA: Last Chance Qualifier,All Stages,All Match Types,All Maps,35,49%,51%
Champions Tour EMEA: Last Chance Qualifier,All Stages,All Match Types,Split,8,44%,56%
Champions Tour EMEA: Last Chance Qualifier,All Stages,All Match Types,Haven,7,51%,49%
Champions Tour EMEA: Last Chance Qualifier,All Stages,All Match Types,Ascent,6,49%,51%
Champions Tour EMEA: Last Chance Qualifier,All Stages,All Match Types,Breeze,6,53%,47%
Champions Tour EMEA: Last Chance Qualifier,All Stages,All Match Types,Bind,4,51%,49%
Champions Tour EMEA: Last Chance Qualifier,All Stages,All Match Types,Icebox,4,47%,53%
Valorant Champions 2021,Playoffs,Quarterfinals,All Maps,10,55%,45%
Valorant Champions 2021,Playoffs,Quarterfinals,Ascent,2,45%,55%
Valorant Champions 2021,Playoffs,Quarterfinals,Breeze,2,51%,49%
Valorant Champions 2021,Playoffs,Quarterfinals,Icebox,2,65%,35%
Valorant Champions 2021,Playoffs,Quarterfinals,Bind,1,43%,57%
Valorant Champions 2021,Playoffs,Quarterfinals,Fracture,1,65%,35%
Valorant Champions 2021,Playoffs,Quarterfinals,Haven,1,67%,33%
Valorant Champions 2021,Playoffs,Quarterfinals,Split,1,52%,48%
Valorant Champions 2021,Playoffs,Semifinals,All Maps,5,32%,68%
Valorant Champions 2021,Playoffs,Semifinals,Bind,2,40%,60%
Valorant Champions 2021,Playoffs,Semifinals,Ascent,1,45%,55%
Valorant Champions 2021,Playoffs,Semifinals,Breeze,1,19%,81%
Valorant Champions 2021,Playoffs,Semifinals,Split,1,17%,83%
Valorant Champions 2021,Playoffs,Grand Final,All Maps,5,46%,54%
Valorant Champions 2021,Playoffs,Grand Final,Ascent,1,45%,55%
Valorant Champions 2021,Playoffs,Grand Final,Breeze,1,21%,79%
Valorant Champions 2021,Playoffs,Grand Final,Fracture,1,81%,19%
Valorant Champions 2021,Playoffs,Grand Final,Icebox,1,42%,58%
Valorant Champions 2021,Playoffs,Grand Final,Split,1,52%,48%
Valorant Champions 2021,Group Stage,Opening (A),All Maps,5,59%,41%
Valorant Champions 2021,Group Stage,Opening (A),Breeze,2,66%,34%
Valorant Champions 2021,Group Stage,Opening (A),Ascent,1,45%,55%
Valorant Champions 2021,Group Stage,Opening (A),Bind,1,56%,44%
Valorant Champions 2021,Group Stage,Opening (A),Icebox,1,59%,41%
Valorant Champions 2021,Group Stage,Winner's (A),All Maps,2,58%,42%
Valorant Champions 2021,Group Stage,Winner's (A),Ascent,1,43%,57%
Valorant Champions 2021,Group Stage,Winner's (A),Bind,1,71%,29%
Valorant Champions 2021,Group Stage,Elimination (A),All Maps,2,54%,46%
Valorant Champions 2021,Group Stage,Elimination (A),Haven,1,61%,39%
Valorant Champions 2021,Group Stage,Elimination (A),Icebox,1,47%,53%
Valorant Champions 2021,Group Stage,Decider (A),All Maps,3,50%,50%
Valorant Champions 2021,Group Stage,Decider (A),Haven,1,25%,75%
Valorant Champions 2021,Group Stage,Decider (A),Icebox,1,65%,35%
Valorant Champions 2021,Group Stage,Decider (A),Split,1,62%,38%
Valorant Champions 2021,Group Stage,Opening (B),All Maps,5,54%,46%
Valorant Champions 2021,Group Stage,Opening (B),Ascent,2,63%,37%
Valorant Champions 2021,Group Stage,Opening (B),Haven,2,40%,60%
Valorant Champions 2021,Group Stage,Opening (B),Breeze,1,61%,39%
Valorant Champions 2021,Group Stage,Winner's (B),All Maps,3,50%,50%
Valorant Champions 2021,Group Stage,Winner's (B),Bind,1,67%,33%
Valorant Champions 2021,Group Stage,Winner's (B),Breeze,1,33%,67%
Valorant Champions 2021,Group Stage,Winner's (B),Split,1,57%,43%
Valorant Champions 2021,Group Stage,Elimination (B),All Maps,3,49%,51%
Valorant Champions 2021,Group Stage,Elimination (B),Ascent,1,43%,57%
Valorant Champions 2021,Group Stage,Elimination (B),Fracture,1,54%,46%
Valorant Champions 2021,Group Stage,Elimination (B),Haven,1,50%,50%
Valorant Champions 2021,Group Stage,Decider (B),All Maps,3,60%,40%
Valorant Champions 2021,Group Stage,Decider (B),Fracture,1,35%,65%
Valorant Champions 2021,Group Stage,Decider (B),Haven,1,71%,29%
Valorant Champions 2021,Group Stage,Decider (B),Split,1,71%,29%
Valorant Champions 2021,Group Stage,Opening (C),All Maps,5,54%,46%
Valorant Champions 2021,Group Stage,Opening (C),Icebox,2,44%,56%
Valorant Champions 2021,Group Stage,Opening (C),Bind,1,42%,58%
Valorant Champions 2021,Group Stage,Opening (C),Breeze,1,92%,8%
Valorant Champions 2021,Group Stage,Opening (C),Haven,1,62%,38%
Valorant Champions 2021,Group Stage,Winner's (C),All Maps,3,38%,62%
Valorant Champions 2021,Group Stage,Winner's (C),Bind,1,50%,50%
Valorant Champions 2021,Group Stage,Winner's (C),Icebox,1,25%,75%
Valorant Champions 2021,Group Stage,Winner's (C),Split,1,42%,58%
Valorant Champions 2021,Group Stage,Elimination (C),All Maps,2,42%,58%
Valorant Champions 2021,Group Stage,Elimination (C),Split,1,50%,50%
Valorant Champions 2021,Group Stage,Elimination (C),Haven,1,33%,67%
Valorant Champions 2021,Group Stage,Decider (C),All Maps,2,41%,59%
Valorant Champions 2021,Group Stage,Decider (C),Haven,1,37%,63%
Valorant Champions 2021,Group Stage,Decider (C),Icebox,1,45%,55%
Valorant Champions 2021,Group Stage,Opening (D),All Maps,5,54%,46%
Valorant Champions 2021,Group Stage,Opening (D),Breeze,1,61%,39%
Valorant Champions 2021,Group Stage,Opening (D),Fracture,1,67%,33%
Valorant Champions 2021,Group Stage,Opening (D),Haven,1,61%,39%
Valorant Champions 2021,Group Stage,Opening (D),Icebox,1,46%,54%
Valorant Champions 2021,Group Stage,Opening (D),Split,1,38%,63%
Valorant Champions 2021,Group Stage,Winner's (D),All Maps,3,58%,42%
Valorant Champions 2021,Group Stage,Winner's (D),Fracture,1,63%,37%
Valorant Champions 2021,Group Stage,Winner's (D),Haven,1,57%,43%
Valorant Champions 2021,Group Stage,Winner's (D),Icebox,1,57%,43%
Valorant Champions 2021,Group Stage,Elimination (D),All Maps,2,43%,57%
Valorant Champions 2021,Group Stage,Elimination (D),Split,1,35%,65%
Valorant Champions 2021,Group Stage,Elimination (D),Breeze,1,50%,50%
Valorant Champions 2021,Group Stage,Decider (D),All Maps,3,39%,61%
Valorant Champions 2021,Group Stage,Decider (D),Ascent,1,13%,87%
Valorant Champions 2021,Group Stage,Decider (D),Breeze,1,63%,38%
Valorant Champions 2021,Group Stage,Decider (D),Split,1,41%,59%
Valorant Champions 2021,All Stages,All Match Types,All Maps,71,50%,50%
Valorant Champions 2021,All Stages,All Match Types,Breeze,12,51%,49%
Valorant Champions 2021,All Stages,All Match Types,Haven,12,51%,49%
Valorant Champions 2021,All Stages,All Match Types,Icebox,12,50%,50%
Valorant Champions 2021,All Stages,All Match Types,Split,11,48%,52%
Valorant Champions 2021,All Stages,All Match Types,Ascent,10,45%,55%
Valorant Champions 2021,All Stages,All Match Types,Bind,8,51%,49%
Valorant Champions 2021,All Stages,All Match Types,Fracture,6,60%,40%
Strike Arabia Championship: Finals,Main Event,Upper Bracket Quarterfinals,All Maps,7,59%,41%
Strike Arabia Championship: Finals,Main Event,Upper Bracket Quarterfinals,Split,2,54%,46%
Strike Arabia Championship: Finals,Main Event,Upper Bracket Quarterfinals,Breeze,2,61%,39%
Strike Arabia Championship: Finals,Main Event,Upper Bracket Quarterfinals,Ascent,1,62%,38%
Strike Arabia Championship: Finals,Main Event,Upper Bracket Quarterfinals,Bind,1,43%,57%
Strike Arabia Championship: Finals,Main Event,Upper Bracket Quarterfinals,Haven,1,75%,25%
Strike Arabia Championship: Finals,Main Event,Upper Bracket Semifinals,All Maps,5,52%,48%
Strike Arabia Championship: Finals,Main Event,Upper Bracket Semifinals,Bind,2,44%,56%
Strike Arabia Championship: Finals,Main Event,Upper Bracket Semifinals,Ascent,1,67%,33%
Strike Arabia Championship: Finals,Main Event,Upper Bracket Semifinals,Breeze,1,56%,44%
Strike Arabia Championship: Finals,Main Event,Upper Bracket Semifinals,Icebox,1,50%,50%
Strike Arabia Championship: Finals,Main Event,Upper Finals,All Maps,2,65%,35%
Strike Arabia Championship: Finals,Main Event,Upper Finals,Bind,1,92%,8%
Strike Arabia Championship: Finals,Main Event,Upper Finals,Haven,1,50%,50%
Strike Arabia Championship: Finals,Main Event,Lower Bracket Round 1,All Maps,5,48%,52%
Strike Arabia Championship: Finals,Main Event,Lower Bracket Round 1,Split,2,41%,59%
Strike Arabia Championship: Finals,Main Event,Lower Bracket Round 1,Bind,1,50%,50%
Strike Arabia Championship: Finals,Main Event,Lower Bracket Round 1,Breeze,1,57%,43%
Strike Arabia Championship: Finals,Main Event,Lower Bracket Round 1,Haven,1,50%,50%
Strike Arabia Championship: Finals,Main Event,Lower Bracket Round 2,All Maps,5,62%,38%
Strike Arabia Championship: Finals,Main Event,Lower Bracket Round 2,Ascent,1,68%,32%
Strike Arabia Championship: Finals,Main Event,Lower Bracket Round 2,Bind,1,61%,39%
Strike Arabia Championship: Finals,Main Event,Lower Bracket Round 2,Haven,1,61%,39%
Strike Arabia Championship: Finals,Main Event,Lower Bracket Round 2,Icebox,1,69%,31%
Strike Arabia Championship: Finals,Main Event,Lower Bracket Round 2,Split,1,50%,50%
Strike Arabia Championship: Finals,Main Event,Lower Bracket Round 3,All Maps,2,30%,70%
Strike Arabia Championship: Finals,Main Event,Lower Bracket Round 3,Bind,1,26%,74%
Strike Arabia Championship: Finals,Main Event,Lower Bracket Round 3,Breeze,1,33%,67%
Strike Arabia Championship: Finals,Main Event,Lower Bracket Finals,All Maps,3,47%,53%
Strike Arabia Championship: Finals,Main Event,Lower Bracket Finals,Ascent,1,41%,59%
Strike Arabia Championship: Finals,Main Event,Lower Bracket Finals,Breeze,1,50%,50%
Strike Arabia Championship: Finals,Main Event,Lower Bracket Finals,Split,1,50%,50%
Strike Arabia Championship: Finals,Main Event,Grand Finals,All Maps,4,57%,43%
Strike Arabia Championship: Finals,Main Event,Grand Finals,Bind,1,83%,17%
Strike Arabia Championship: Finals,Main Event,Grand Finals,Breeze,1,67%,33%
Strike Arabia Championship: Finals,Main Event,Grand Finals,Haven,1,35%,65%
Strike Arabia Championship: Finals,Main Event,Grand Finals,Icebox,1,41%,59%
Strike Arabia Championship: Finals,All Stages,All Match Types,All Maps,33,54%,46%
Strike Arabia Championship: Finals,All Stages,All Match Types,Bind,8,54%,46%
Strike Arabia Championship: Finals,All Stages,All Match Types,Breeze,7,55%,45%
Strike Arabia Championship: Finals,All Stages,All Match Types,Split,6,48%,52%
