Tournament,Stage,Match Type,Match Name,Map,Team,Player,Agent,2k,3k,4k,5k,1v1,1v2,1v3,1v4,1v5,Econ,Spike Plants,Spike Defuse
Champions Tour 2023: Pacific Last Chance Qualifier,Main Event,Upper Semifinals,Team Secret vs Gen.G,Haven,Team Secret,BORKUM,omen,3,1,,,,,,,,65,0,1
Champions Tour 2023: Pacific Last Chance Qualifier,Main Event,Upper Semifinals,Team Secret vs Gen.G,Haven,Team Secret,JessieVash,sova,2,1,,,,,,,,51,1,0
Champions Tour 2023: Pacific Last Chance Qualifier,Main Event,Upper Semifinals,Team Secret vs Gen.G,Haven,Team Secret,DubsteP,killjoy,6,1,,,1,,,,,67,3,1
Champions Tour 2023: Pacific Last Chance Qualifier,Main Event,Upper Semifinals,Team Secret vs Gen.G,Haven,Team Secret,Jremy,raze,3,1,,1,,,,,,58,0,0
Champions Tour 2023: Pacific Last Chance Qualifier,Main Event,Upper Semifinals,Team Secret vs Gen.G,Haven,Team Secret,invy,breach,6,,,,,,,,,66,2,0
Champions Tour 2023: Pacific Last Chance Qualifier,Main Event,Upper Semifinals,Team Secret vs Gen.G,Haven,Gen.G,k1Ng,killjoy,1,,,,,,,,,20,0,0
Champions Tour 2023: Pacific Last Chance Qualifier,Main Event,Upper Semifinals,Team Secret vs Gen.G,Haven,Gen.G,TS,sova,2,,,,,,,,,36,1,0
Champions Tour 2023: Pacific Last Chance Qualifier,Main Event,Upper Semifinals,Team Secret vs Gen.G,Haven,Gen.G,Sylvan,omen,1,1,,,1,,,,,42,2,1
Champions Tour 2023: Pacific Last Chance Qualifier,Main Event,Upper Semifinals,Team Secret vs Gen.G,Haven,Gen.G,GodDead,breach,1,,,,,,,,,31,2,0
Champions Tour 2023: Pacific Last Chance Qualifier,Main Event,Upper Semifinals,Team Secret vs Gen.G,Haven,Gen.G,Meteor,jett,3,2,2,,,1,,,,88,1,1
Champions Tour 2023: Pacific Last Chance Qualifier,Main Event,Upper Semifinals,Team Secret vs Gen.G,Ascent,Team Secret,BORKUM,omen,4,,,,1,,,,,54,0,0
Champions Tour 2023: Pacific Last Chance Qualifier,Main Event,Upper Semifinals,Team Secret vs Gen.G,Ascent,Team Secret,JessieVash,sova,3,1,,,1,,,,,51,1,0
Champions Tour 2023: Pacific Last Chance Qualifier,Main Event,Upper Semifinals,Team Secret vs Gen.G,Ascent,Team Secret,DubsteP,jett,3,2,,,1,,,,,60,0,0
Champions Tour 2023: Pacific Last Chance Qualifier,Main Event,Upper Semifinals,Team Secret vs Gen.G,Ascent,Team Secret,Jremy,killjoy,3,1,2,,1,,,,,73,1,1
Champions Tour 2023: Pacific Last Chance Qualifier,Main Event,Upper Semifinals,Team Secret vs Gen.G,Ascent,Team Secret,invy,kayo,2,2,,,1,,,,,52,2,2
Champions Tour 2023: Pacific Last Chance Qualifier,Main Event,Upper Semifinals,Team Secret vs Gen.G,Ascent,Gen.G,k1Ng,killjoy,3,,,,,,,,,53,0,0
Champions Tour 2023: Pacific Last Chance Qualifier,Main Event,Upper Semifinals,Team Secret vs Gen.G,Ascent,Gen.G,TS,sova,4,,,,1,,,,,77,3,0
Champions Tour 2023: Pacific Last Chance Qualifier,Main Event,Upper Semifinals,Team Secret vs Gen.G,Ascent,Gen.G,Sylvan,omen,,3,,,,,,,,41,0,0
Champions Tour 2023: Pacific Last Chance Qualifier,Main Event,Upper Semifinals,Team Secret vs Gen.G,Ascent,Gen.G,GodDead,kayo,1,1,,,,,,,,34,3,0
Champions Tour 2023: Pacific Last Chance Qualifier,Main Event,Upper Semifinals,Team Secret vs Gen.G,Ascent,Gen.G,Meteor,jett,2,1,,,2,,,,,55,1,0
Champions Tour 2023: Pacific Last Chance Qualifier,Main Event,Upper Final,ZETA DIVISION vs Team Secret,All Maps,ZETA DIVISION,Dep,neon,6,1,,,,1,,,,46,0,0
Champions Tour 2023: Pacific Last Chance Qualifier,Main Event,Upper Final,ZETA DIVISION vs Team Secret,All Maps,ZETA DIVISION,Laz,chamber,6,5,,,,,1,,,75,1,0
Champions Tour 2023: Pacific Last Chance Qualifier,Main Event,Upper Final,ZETA DIVISION vs Team Secret,All Maps,ZETA DIVISION,crow,skye,5,4,,,,,,,,77,12,1
Champions Tour 2023: Pacific Last Chance Qualifier,Main Event,Upper Final,ZETA DIVISION vs Team Secret,All Maps,ZETA DIVISION,TENNN,raze,5,2,1,,,,,,,61,1,0
Champions Tour 2023: Pacific Last Chance Qualifier,Main Event,Upper Final,ZETA DIVISION vs Team Secret,All Maps,ZETA DIVISION,SugarZ3ro,omen,4,1,,,,,,,,45,2,0
Champions Tour 2023: Pacific Last Chance Qualifier,Main Event,Upper Final,ZETA DIVISION vs Team Secret,All Maps,Team Secret,BORKUM,omen,5,,,,,,,,,34,2,0
Champions Tour 2023: Pacific Last Chance Qualifier,Main Event,Upper Final,ZETA DIVISION vs Team Secret,All Maps,Team Secret,JessieVash,sova,3,,,,1,,,,,38,2,0
Champions Tour 2023: Pacific Last Chance Qualifier,Main Event,Upper Final,ZETA DIVISION vs Team Secret,All Maps,Team Secret,DubsteP,jett,6,1,,,1,,,,,55,1,1
Champions Tour 2023: Pacific Last Chance Qualifier,Main Event,Upper Final,ZETA DIVISION vs Team Secret,All Maps,Team Secret,Jremy,killjoy,6,,,,,,,,,50,0,0
Champions Tour 2023: Pacific Last Chance Qualifier,Main Event,Upper Final,ZETA DIVISION vs Team Secret,All Maps,Team Secret,invy,breach,5,3,,,,,,,,52,7,0
Champions Tour 2023: Pacific Last Chance Qualifier,Main Event,Upper Final,ZETA DIVISION vs Team Secret,Lotus,ZETA DIVISION,Dep,neon,3,,,,,1,,,,40,0,0
Champions Tour 2023: Pacific Last Chance Qualifier,Main Event,Upper Final,ZETA DIVISION vs Team Secret,Lotus,ZETA DIVISION,Laz,chamber,4,4,,,,,1,,,86,1,0
Champions Tour 2023: Pacific Last Chance Qualifier,Main Event,Upper Final,ZETA DIVISION vs Team Secret,Lotus,ZETA DIVISION,crow,skye,3,2,,,,,,,,59,6,1
Champions Tour 2023: Pacific Last Chance Qualifier,Main Event,Upper Final,ZETA DIVISION vs Team Secret,Lotus,ZETA DIVISION,TENNN,raze,3,1,,,,,,,,53,1,0
Champions Tour 2023: Pacific Last Chance Qualifier,Main Event,Upper Final,ZETA DIVISION vs Team Secret,Lotus,ZETA DIVISION,SugarZ3ro,omen,3,,,,,,,,,43,1,0
Champions Tour 2023: Pacific Last Chance Qualifier,Main Event,Upper Final,ZETA DIVISION vs Team Secret,Lotus,Team Secret,BORKUM,omen,5,,,,,,,,,40,2,0
Champions Tour 2023: Pacific Last Chance Qualifier,Main Event,Upper Final,ZETA DIVISION vs Team Secret,Lotus,Team Secret,JessieVash,sova,2,,,,1,,,,,42,1,0
Champions Tour 2023: Pacific Last Chance Qualifier,Main Event,Upper Final,ZETA DIVISION vs Team Secret,Lotus,Team Secret,DubsteP,jett,6,1,,,1,,,,,82,0,1
Champions Tour 2023: Pacific Last Chance Qualifier,Main Event,Upper Final,ZETA DIVISION vs Team Secret,Lotus,Team Secret,Jremy,killjoy,,,,,,,,,,36,0,0
Champions Tour 2023: Pacific Last Chance Qualifier,Main Event,Upper Final,ZETA DIVISION vs Team Secret,Lotus,Team Secret,invy,breach,2,,,,,,,,,43,4,0
Champions Tour 2023: Pacific Last Chance Qualifier,Main Event,Upper Final,ZETA DIVISION vs Team Secret,Fracture,ZETA DIVISION,Dep,neon,3,1,,,,,,,,52,0,0
Champions Tour 2023: Pacific Last Chance Qualifier,Main Event,Upper Final,ZETA DIVISION vs Team Secret,Fracture,ZETA DIVISION,Laz,chamber,2,1,,,,,,,,64,0,0
Champions Tour 2023: Pacific Last Chance Qualifier,Main Event,Upper Final,ZETA DIVISION vs Team Secret,Fracture,ZETA DIVISION,crow,breach,2,2,,,,,,,,95,6,0
Champions Tour 2023: Pacific Last Chance Qualifier,Main Event,Upper Final,ZETA DIVISION vs Team Secret,Fracture,ZETA DIVISION,TENNN,raze,2,1,1,,,,,,,69,0,0
Champions Tour 2023: Pacific Last Chance Qualifier,Main Event,Upper Final,ZETA DIVISION vs Team Secret,Fracture,ZETA DIVISION,SugarZ3ro,brimstone,1,1,,,,,,,,47,1,0
Champions Tour 2023: Pacific Last Chance Qualifier,Main Event,Upper Final,ZETA DIVISION vs Team Secret,Fracture,Team Secret,BORKUM,brimstone,,,,,,,,,,27,0,0
Champions Tour 2023: Pacific Last Chance Qualifier,Main Event,Upper Final,ZETA DIVISION vs Team Secret,Fracture,Team Secret,JessieVash,killjoy,1,,,,,,,,,34,1,0
Champions Tour 2023: Pacific Last Chance Qualifier,Main Event,Upper Final,ZETA DIVISION vs Team Secret,Fracture,Team Secret,DubsteP,jett,,,,,,,,,,28,1,0
Champions Tour 2023: Pacific Last Chance Qualifier,Main Event,Upper Final,ZETA DIVISION vs Team Secret,Fracture,Team Secret,Jremy,raze,6,,,,,,,,,64,0,0
Champions Tour 2023: Pacific Last Chance Qualifier,Main Event,Upper Final,ZETA DIVISION vs Team Secret,Fracture,Team Secret,invy,breach,3,3,,,,,,,,61,3,0
Champions Tour 2023: Pacific Last Chance Qualifier,Main Event,Lower Round 1,Rex Regum Qeon vs Gen.G,All Maps,Rex Regum Qeon,xffero,sova,5,2,1,,,,,,,46,7,1
Champions Tour 2023: Pacific Last Chance Qualifier,Main Event,Lower Round 1,Rex Regum Qeon vs Gen.G,All Maps,Rex Regum Qeon,fl1pzjder,breach,6,3,,,,,,,,60,3,0
Champions Tour 2023: Pacific Last Chance Qualifier,Main Event,Lower Round 1,Rex Regum Qeon vs Gen.G,All Maps,Rex Regum Qeon,EJAY,jett,4,3,1,,1,,,,,47,0,1
Champions Tour 2023: Pacific Last Chance Qualifier,Main Event,Lower Round 1,Rex Regum Qeon vs Gen.G,All Maps,Rex Regum Qeon,Lmemore,killjoy,2,4,1,,,1,,,,49,2,0
Champions Tour 2023: Pacific Last Chance Qualifier,Main Event,Lower Round 1,Rex Regum Qeon vs Gen.G,All Maps,Rex Regum Qeon,2ge,astra,3,3,2,,1,1,1,,,57,7,1
Champions Tour 2023: Pacific Last Chance Qualifier,Main Event,Lower Round 1,Rex Regum Qeon vs Gen.G,All Maps,Gen.G,k1Ng,killjoy,9,5,1,,1,,,,,66,0,1
Champions Tour 2023: Pacific Last Chance Qualifier,Main Event,Lower Round 1,Rex Regum Qeon vs Gen.G,All Maps,Gen.G,TS,sova,2,,,,,,,,,29,2,0
Champions Tour 2023: Pacific Last Chance Qualifier,Main Event,Lower Round 1,Rex Regum Qeon vs Gen.G,All Maps,Gen.G,Sylvan,omen,6,1,,,1,,,,,47,1,1
Champions Tour 2023: Pacific Last Chance Qualifier,Main Event,Lower Round 1,Rex Regum Qeon vs Gen.G,All Maps,Gen.G,GodDead,breach,5,,1,,2,,,,,42,14,1
Champions Tour 2023: Pacific Last Chance Qualifier,Main Event,Lower Round 1,Rex Regum Qeon vs Gen.G,All Maps,Gen.G,Meteor,jett,13,3,2,,,,,,,75,0,0
Champions Tour 2023: Pacific Last Chance Qualifier,Main Event,Lower Round 1,Rex Regum Qeon vs Gen.G,Haven,Rex Regum Qeon,xffero,sova,,,1,,,,,,,37,1,0
Champions Tour 2023: Pacific Last Chance Qualifier,Main Event,Lower Round 1,Rex Regum Qeon vs Gen.G,Haven,Rex Regum Qeon,fl1pzjder,breach,2,1,,,,,,,,53,1,0
Champions Tour 2023: Pacific Last Chance Qualifier,Main Event,Lower Round 1,Rex Regum Qeon vs Gen.G,Haven,Rex Regum Qeon,EJAY,jett,1,2,,,,,,,,42,0,0
Champions Tour 2023: Pacific Last Chance Qualifier,Main Event,Lower Round 1,Rex Regum Qeon vs Gen.G,Haven,Rex Regum Qeon,Lmemore,killjoy,1,1,1,,,1,,,,52,2,0
Champions Tour 2023: Pacific Last Chance Qualifier,Main Event,Lower Round 1,Rex Regum Qeon vs Gen.G,Haven,Rex Regum Qeon,2ge,astra,1,,,,1,1,,,,33,0,1
Champions Tour 2023: Pacific Last Chance Qualifier,Main Event,Lower Round 1,Rex Regum Qeon vs Gen.G,Haven,Gen.G,k1Ng,killjoy,4,3,1,,,,,,,94,0,0
Champions Tour 2023: Pacific Last Chance Qualifier,Main Event,Lower Round 1,Rex Regum Qeon vs Gen.G,Haven,Gen.G,TS,sova,,,,,,,,,,36,0,0
Champions Tour 2023: Pacific Last Chance Qualifier,Main Event,Lower Round 1,Rex Regum Qeon vs Gen.G,Haven,Gen.G,Sylvan,omen,4,,,,,,,,,40,1,0
Champions Tour 2023: Pacific Last Chance Qualifier,Main Event,Lower Round 1,Rex Regum Qeon vs Gen.G,Haven,Gen.G,GodDead,breach,2,,,,1,,,,,33,5,0
Champions Tour 2023: Pacific Last Chance Qualifier,Main Event,Lower Round 1,Rex Regum Qeon vs Gen.G,Haven,Gen.G,Meteor,jett,3,3,1,,,,,,,78,0,0
Champions Tour 2023: Pacific Last Chance Qualifier,Main Event,Lower Round 1,Rex Regum Qeon vs Gen.G,Lotus,Rex Regum Qeon,xffero,fade,3,2,,,,,,,,52,6,0
Champions Tour 2023: Pacific Last Chance Qualifier,Main Event,Lower Round 1,Rex Regum Qeon vs Gen.G,Lotus,Rex Regum Qeon,fl1pzjder,viper,3,1,,,,,,,,56,1,0
Champions Tour 2023: Pacific Last Chance Qualifier,Main Event,Lower Round 1,Rex Regum Qeon vs Gen.G,Lotus,Rex Regum Qeon,EJAY,raze,2,1,,,1,,,,,55,0,1
Champions Tour 2023: Pacific Last Chance Qualifier,Main Event,Lower Round 1,Rex Regum Qeon vs Gen.G,Lotus,Rex Regum Qeon,Lmemore,killjoy,,3,,,,,,,,74,0,0
Champions Tour 2023: Pacific Last Chance Qualifier,Main Event,Lower Round 1,Rex Regum Qeon vs Gen.G,Lotus,Rex Regum Qeon,2ge,astra,2,2,,,,,,,,85,2,0
Champions Tour 2023: Pacific Last Chance Qualifier,Main Event,Lower Round 1,Rex Regum Qeon vs Gen.G,Lotus,Gen.G,k1Ng,cypher,,,,,,,,,,18,0,0
Champions Tour 2023: Pacific Last Chance Qualifier,Main Event,Lower Round 1,Rex Regum Qeon vs Gen.G,Lotus,Gen.G,TS,gekko,,,,,,,,,,22,1,0
Champions Tour 2023: Pacific Last Chance Qualifier,Main Event,Lower Round 1,Rex Regum Qeon vs Gen.G,Lotus,Gen.G,Sylvan,omen,,1,,,1,,,,,60,0,1
Champions Tour 2023: Pacific Last Chance Qualifier,Main Event,Lower Round 1,Rex Regum Qeon vs Gen.G,Lotus,Gen.G,GodDead,breach,1,,,,,,,,,41,0,0
Champions Tour 2023: Pacific Last Chance Qualifier,Main Event,Lower Round 1,Rex Regum Qeon vs Gen.G,Lotus,Gen.G,Meteor,jett,4,,,,,,,,,71,0,0
Champions Tour 2023: Pacific Last Chance Qualifier,Main Event,Lower Round 1,Rex Regum Qeon vs Gen.G,Ascent,Rex Regum Qeon,xffero,sova,2,,,,,,,,,50,0,1
Champions Tour 2023: Pacific Last Chance Qualifier,Main Event,Lower Round 1,Rex Regum Qeon vs Gen.G,Ascent,Rex Regum Qeon,fl1pzjder,kayo,1,1,,,,,,,,70,1,0
Champions Tour 2023: Pacific Last Chance Qualifier,Main Event,Lower Round 1,Rex Regum Qeon vs Gen.G,Ascent,Rex Regum Qeon,EJAY,jett,1,,1,,,,,,,43,0,0
Champions Tour 2023: Pacific Last Chance Qualifier,Main Event,Lower Round 1,Rex Regum Qeon vs Gen.G,Ascent,Rex Regum Qeon,Lmemore,killjoy,1,,,,,,,,,22,0,0
Champions Tour 2023: Pacific Last Chance Qualifier,Main Event,Lower Round 1,Rex Regum Qeon vs Gen.G,Ascent,Rex Regum Qeon,2ge,omen,,1,2,,,,1,,,53,5,0
Champions Tour 2023: Pacific Last Chance Qualifier,Main Event,Lower Round 1,Rex Regum Qeon vs Gen.G,Ascent,Gen.G,k1Ng,killjoy,5,2,,,1,,,,,85,0,1
Champions Tour 2023: Pacific Last Chance Qualifier,Main Event,Lower Round 1,Rex Regum Qeon vs Gen.G,Ascent,Gen.G,TS,sova,2,,,,,,,,,28,1,0
Champions Tour 2023: Pacific Last Chance Qualifier,Main Event,Lower Round 1,Rex Regum Qeon vs Gen.G,Ascent,Gen.G,Sylvan,omen,2,,,,,,,,,40,0,0
Champions Tour 2023: Pacific Last Chance Qualifier,Main Event,Lower Round 1,Rex Regum Qeon vs Gen.G,Ascent,Gen.G,GodDead,kayo,2,,1,,1,,,,,53,9,1
Champions Tour 2023: Pacific Last Chance Qualifier,Main Event,Lower Round 1,Rex Regum Qeon vs Gen.G,Ascent,Gen.G,Meteor,jett,6,,1,,,,,,,75,0,0
Champions Tour 2023: Pacific Last Chance Qualifier,Main Event,Lower Final,Team Secret vs Gen.G,All Maps,Team Secret,BORKUM,omen,9,1,,,4,,,,,43,8,2
Champions Tour 2023: Pacific Last Chance Qualifier,Main Event,Lower Final,Team Secret vs Gen.G,All Maps,Team Secret,JessieVash,sova,7,5,,,,,,,,47,7,1
Champions Tour 2023: Pacific Last Chance Qualifier,Main Event,Lower Final,Team Secret vs Gen.G,All Maps,Team Secret,DubsteP,killjoy,12,3,1,,1,,,,,53,0,1
Champions Tour 2023: Pacific Last Chance Qualifier,Main Event,Lower Final,Team Secret vs Gen.G,All Maps,Team Secret,Jremy,raze,10,2,,,,,,,,49,1,1
Champions Tour 2023: Pacific Last Chance Qualifier,Main Event,Lower Final,Team Secret vs Gen.G,All Maps,Team Secret,invy,breach,20,9,1,,2,,,,,80,19,2
Champions Tour 2023: Pacific Last Chance Qualifier,Main Event,Lower Final,Team Secret vs Gen.G,All Maps,Gen.G,k1Ng,killjoy,7,2,,,,1,,,,45,0,1
Champions Tour 2023: Pacific Last Chance Qualifier,Main Event,Lower Final,Team Secret vs Gen.G,All Maps,Gen.G,TS,sova,12,,1,,,2,,,,50,13,2
Champions Tour 2023: Pacific Last Chance Qualifier,Main Event,Lower Final,Team Secret vs Gen.G,All Maps,Gen.G,Sylvan,omen,11,3,,,1,,,,,59,1,1
Champions Tour 2023: Pacific Last Chance Qualifier,Main Event,Lower Final,Team Secret vs Gen.G,All Maps,Gen.G,GodDead,breach,7,1,,,,,,,,39,4,1
Champions Tour 2023: Pacific Last Chance Qualifier,Main Event,Lower Final,Team Secret vs Gen.G,All Maps,Gen.G,Meteor,jett,8,3,2,,,,,,,53,0,2
Champions Tour 2023: Pacific Last Chance Qualifier,Main Event,Lower Final,Team Secret vs Gen.G,Haven,Team Secret,BORKUM,omen,2,,,,1,,,,,30,1,0
Champions Tour 2023: Pacific Last Chance Qualifier,Main Event,Lower Final,Team Secret vs Gen.G,Haven,Team Secret,JessieVash,sova,1,1,,,,,,,,41,1,0
Champions Tour 2023: Pacific Last Chance Qualifier,Main Event,Lower Final,Team Secret vs Gen.G,Haven,Team Secret,DubsteP,killjoy,2,2,,,1,,,,,49,0,1
Champions Tour 2023: Pacific Last Chance Qualifier,Main Event,Lower Final,Team Secret vs Gen.G,Haven,Team Secret,Jremy,raze,3,1,,,,,,,,49,1,0
Champions Tour 2023: Pacific Last Chance Qualifier,Main Event,Lower Final,Team Secret vs Gen.G,Haven,Team Secret,invy,breach,3,2,,,,,,,,56,4,0
Champions Tour 2023: Pacific Last Chance Qualifier,Main Event,Lower Final,Team Secret vs Gen.G,Haven,Gen.G,k1Ng,killjoy,2,1,,,,,,,,46,0,1
Champions Tour 2023: Pacific Last Chance Qualifier,Main Event,Lower Final,Team Secret vs Gen.G,Haven,Gen.G,TS,sova,8,,,,,1,,,,68,0,0
Champions Tour 2023: Pacific Last Chance Qualifier,Main Event,Lower Final,Team Secret vs Gen.G,Haven,Gen.G,Sylvan,omen,3,,,,,,,,,63,1,1
Champions Tour 2023: Pacific Last Chance Qualifier,Main Event,Lower Final,Team Secret vs Gen.G,Haven,Gen.G,GodDead,breach,1,,,,,,,,,37,3,1
Champions Tour 2023: Pacific Last Chance Qualifier,Main Event,Lower Final,Team Secret vs Gen.G,Haven,Gen.G,Meteor,jett,5,2,1,,,,,,,68,0,1
Champions Tour 2023: Pacific Last Chance Qualifier,Main Event,Lower Final,Team Secret vs Gen.G,Pearl,Team Secret,BORKUM,astra,1,1,,,,,,,,53,0,1
Champions Tour 2023: Pacific Last Chance Qualifier,Main Event,Lower Final,Team Secret vs Gen.G,Pearl,Team Secret,JessieVash,killjoy,2,3,,,,,,,,45,2,1
Champions Tour 2023: Pacific Last Chance Qualifier,Main Event,Lower Final,Team Secret vs Gen.G,Pearl,Team Secret,DubsteP,jett,3,,,,,,,,,30,0,0
Champions Tour 2023: Pacific Last Chance Qualifier,Main Event,Lower Final,Team Secret vs Gen.G,Pearl,Team Secret,Jremy,phoenix,4,1,,,,,,,,55,0,1
Champions Tour 2023: Pacific Last Chance Qualifier,Main Event,Lower Final,Team Secret vs Gen.G,Pearl,Team Secret,invy,skye,6,2,1,,,,,,,81,6,1
Champions Tour 2023: Pacific Last Chance Qualifier,Main Event,Lower Final,Team Secret vs Gen.G,Pearl,Gen.G,k1Ng,killjoy,2,,,,,1,,,,32,0,0
Champions Tour 2023: Pacific Last Chance Qualifier,Main Event,Lower Final,Team Secret vs Gen.G,Pearl,Gen.G,TS,gekko,2,,1,,,1,,,,44,7,2
Champions Tour 2023: Pacific Last Chance Qualifier,Main Event,Lower Final,Team Secret vs Gen.G,Pearl,Gen.G,Sylvan,astra,3,2,,,1,,,,,68,0,0
Champions Tour 2023: Pacific Last Chance Qualifier,Main Event,Lower Final,Team Secret vs Gen.G,Pearl,Gen.G,GodDead,kayo,1,1,,,,,,,,47,1,0
Champions Tour 2023: Pacific Last Chance Qualifier,Main Event,Lower Final,Team Secret vs Gen.G,Pearl,Gen.G,Meteor,jett,1,1,,,,,,,,47,0,1
Champions Tour 2023: Pacific Last Chance Qualifier,Main Event,Lower Final,Team Secret vs Gen.G,Ascent,Team Secret,BORKUM,omen,3,,,,1,,,,,44,5,0
Champions Tour 2023: Pacific Last Chance Qualifier,Main Event,Lower Final,Team Secret vs Gen.G,Ascent,Team Secret,JessieVash,sova,3,,,,,,,,,66,2,0
Champions Tour 2023: Pacific Last Chance Qualifier,Main Event,Lower Final,Team Secret vs Gen.G,Ascent,Team Secret,DubsteP,jett,3,1,,,,,,,,56,0,0
Champions Tour 2023: Pacific Last Chance Qualifier,Main Event,Lower Final,Team Secret vs Gen.G,Ascent,Team Secret,Jremy,killjoy,2,,,,,,,,,48,0,0
Champions Tour 2023: Pacific Last Chance Qualifier,Main Event,Lower Final,Team Secret vs Gen.G,Ascent,Team Secret,invy,kayo,6,3,,,,,,,,88,3,0
Champions Tour 2023: Pacific Last Chance Qualifier,Main Event,Lower Final,Team Secret vs Gen.G,Ascent,Gen.G,k1Ng,killjoy,1,,,,,,,,,42,0,0
Champions Tour 2023: Pacific Last Chance Qualifier,Main Event,Lower Final,Team Secret vs Gen.G,Ascent,Gen.G,TS,sova,1,,,,,,,,,50,0,0
Champions Tour 2023: Pacific Last Chance Qualifier,Main Event,Lower Final,Team Secret vs Gen.G,Ascent,Gen.G,Sylvan,omen,3,,,,,,,,,58,0,0
Champions Tour 2023: Pacific Last Chance Qualifier,Main Event,Lower Final,Team Secret vs Gen.G,Ascent,Gen.G,GodDead,kayo,1,,,,,,,,,30,0,0
Champions Tour 2023: Pacific Last Chance Qualifier,Main Event,Lower Final,Team Secret vs Gen.G,Ascent,Gen.G,Meteor,jett,,,,,,,,,,47,0,0
Champions Tour 2023: Pacific Last Chance Qualifier,Main Event,Lower Final,Team Secret vs Gen.G,Lotus,Team Secret,BORKUM,omen,3,,,,2,,,,,46,2,1
Champions Tour 2023: Pacific Last Chance Qualifier,Main Event,Lower Final,Team Secret vs Gen.G,Lotus,Team Secret,JessieVash,sova,1,1,,,,,,,,37,2,0
Champions Tour 2023: Pacific Last Chance Qualifier,Main Event,Lower Final,Team Secret vs Gen.G,Lotus,Team Secret,DubsteP,jett,4,,1,,,,,,,75,0,0
Champions Tour 2023: Pacific Last Chance Qualifier,Main Event,Lower Final,Team Secret vs Gen.G,Lotus,Team Secret,Jremy,killjoy,1,,,,,,,,,43,0,0
Champions Tour 2023: Pacific Last Chance Qualifier,Main Event,Lower Final,Team Secret vs Gen.G,Lotus,Team Secret,invy,breach,5,2,,,2,,,,,94,6,1
Champions Tour 2023: Pacific Last Chance Qualifier,Main Event,Lower Final,Team Secret vs Gen.G,Lotus,Gen.G,k1Ng,cypher,2,1,,,,,,,,58,0,0
Champions Tour 2023: Pacific Last Chance Qualifier,Main Event,Lower Final,Team Secret vs Gen.G,Lotus,Gen.G,TS,gekko,1,,,,,,,,,38,6,0
Champions Tour 2023: Pacific Last Chance Qualifier,Main Event,Lower Final,Team Secret vs Gen.G,Lotus,Gen.G,Sylvan,omen,2,1,,,,,,,,48,0,0
Champions Tour 2023: Pacific Last Chance Qualifier,Main Event,Lower Final,Team Secret vs Gen.G,Lotus,Gen.G,GodDead,breach,4,,,,,,,,,40,0,0
Champions Tour 2023: Pacific Last Chance Qualifier,Main Event,Lower Final,Team Secret vs Gen.G,Lotus,Gen.G,Meteor,jett,2,,1,,,,,,,50,0,0
Champions Tour 2023: Pacific Last Chance Qualifier,Main Event,Grand Final,ZETA DIVISION vs Team Secret,All Maps,ZETA DIVISION,Dep,neon,19,2,,,,1,,,,56,1,2
Champions Tour 2023: Pacific Last Chance Qualifier,Main Event,Grand Final,ZETA DIVISION vs Team Secret,All Maps,ZETA DIVISION,Laz,chamber,9,9,,,2,,,,,59,0,3
Champions Tour 2023: Pacific Last Chance Qualifier,Main Event,Grand Final,ZETA DIVISION vs Team Secret,All Maps,ZETA DIVISION,crow,breach,10,2,1,,,2,,,,45,28,3
Champions Tour 2023: Pacific Last Chance Qualifier,Main Event,Grand Final,ZETA DIVISION vs Team Secret,All Maps,ZETA DIVISION,TENNN,raze,13,3,2,,1,1,,,,56,4,2
Champions Tour 2023: Pacific Last Chance Qualifier,Main Event,Grand Final,ZETA DIVISION vs Team Secret,All Maps,ZETA DIVISION,SugarZ3ro,brimstone,14,2,,,,,,,,46,3,2
Champions Tour 2023: Pacific Last Chance Qualifier,Main Event,Grand Final,ZETA DIVISION vs Team Secret,All Maps,Team Secret,BORKUM,brimstone,11,2,,,1,1,,,,47,4,2
Champions Tour 2023: Pacific Last Chance Qualifier,Main Event,Grand Final,ZETA DIVISION vs Team Secret,All Maps,Team Secret,JessieVash,killjoy,15,3,,,1,,,,,47,7,5
Champions Tour 2023: Pacific Last Chance Qualifier,Main Event,Grand Final,ZETA DIVISION vs Team Secret,All Maps,Team Secret,DubsteP,jett,11,3,1,,,,,,,62,2,0
Champions Tour 2023: Pacific Last Chance Qualifier,Main Event,Grand Final,ZETA DIVISION vs Team Secret,All Maps,Team Secret,Jremy,raze,11,1,1,,,,,,,49,4,2
Champions Tour 2023: Pacific Last Chance Qualifier,Main Event,Grand Final,ZETA DIVISION vs Team Secret,All Maps,Team Secret,invy,breach,7,4,,,,1,,,,48,11,3
Champions Tour 2023: Pacific Last Chance Qualifier,Main Event,Grand Final,ZETA DIVISION vs Team Secret,Fracture,ZETA DIVISION,Dep,neon,5,1,,,,1,,,,44,0,1
Champions Tour 2023: Pacific Last Chance Qualifier,Main Event,Grand Final,ZETA DIVISION vs Team Secret,Fracture,ZETA DIVISION,Laz,chamber,4,1,,,1,,,,,50,0,1
Champions Tour 2023: Pacific Last Chance Qualifier,Main Event,Grand Final,ZETA DIVISION vs Team Secret,Fracture,ZETA DIVISION,crow,breach,2,,,,,,,,,37,9,1
Champions Tour 2023: Pacific Last Chance Qualifier,Main Event,Grand Final,ZETA DIVISION vs Team Secret,Fracture,ZETA DIVISION,TENNN,raze,4,1,,,1,,,,,48,1,0
