Tournament,Stage,Match Type,Match Name,Map,Team,Player,Agent,2k,3k,4k,5k,1v1,1v2,1v3,1v4,1v5,Econ,Spike Plants,Spike Defuse
Valorant Champions 2023,Group Stage,Opening (D),DRX vs LOUD,Lotus,DRX,Rb,killjoy,3,,1,,3,,,,,48,0,1
Valorant Champions 2023,Group Stage,Opening (D),DRX vs LOUD,Lotus,DRX,Zest,viper,3,2,,,,,,,,61,0,1
Valorant Champions 2023,Group Stage,Opening (D),DRX vs LOUD,Lotus,DRX,BuZz,raze,3,1,,,,,,,,31,0,1
Valorant Champions 2023,Group Stage,Opening (D),DRX vs LOUD,Lotus,DRX,MaKo,omen,2,1,,,,,,,,35,5,0
Valorant Champions 2023,Group Stage,Opening (D),DRX vs LOUD,Lotus,LOUD,saadhak,viper,3,2,,,,,,,,41,3,1
Valorant Champions 2023,Group Stage,Opening (D),DRX vs LOUD,Lotus,LOUD,tuyz,omen,2,,,,,,,,,31,0,3
Valorant Champions 2023,Group Stage,Opening (D),DRX vs LOUD,Lotus,LOUD,cauanzin,fade,4,1,1,,,,,,,48,7,0
Valorant Champions 2023,Group Stage,Opening (D),DRX vs LOUD,Lotus,LOUD,Less,killjoy,1,2,,,,,,,,41,0,0
Valorant Champions 2023,Group Stage,Opening (D),DRX vs LOUD,Lotus,LOUD,aspas,raze,5,3,,,,1,,,,63,1,0
Valorant Champions 2023,Group Stage,Opening (D),DRX vs LOUD,Split,DRX,stax,skye,3,1,,,,1,,,,34,1,0
Valorant Champions 2023,Group Stage,Opening (D),DRX vs LOUD,Split,DRX,Rb,killjoy,2,,,,,,,,,47,3,0
Valorant Champions 2023,Group Stage,Opening (D),DRX vs LOUD,Split,DRX,Zest,viper,2,1,,,,,,,,60,0,0
Valorant Champions 2023,Group Stage,Opening (D),DRX vs LOUD,Split,DRX,BuZz,raze,4,2,,,,,,,,71,1,0
Valorant Champions 2023,Group Stage,Opening (D),DRX vs LOUD,Split,DRX,MaKo,omen,4,1,,,2,1,,,,67,2,1
Valorant Champions 2023,Group Stage,Opening (D),DRX vs LOUD,Split,LOUD,saadhak,breach,2,1,,,,,,,,44,1,0
Valorant Champions 2023,Group Stage,Opening (D),DRX vs LOUD,Split,LOUD,tuyz,astra,2,,,,,,,,,44,1,0
Valorant Champions 2023,Group Stage,Opening (D),DRX vs LOUD,Split,LOUD,cauanzin,skye,1,1,,,,,,,,34,3,1
Valorant Champions 2023,Group Stage,Opening (D),DRX vs LOUD,Split,LOUD,Less,killjoy,5,,,,1,,,,,62,0,1
Valorant Champions 2023,Group Stage,Opening (D),DRX vs LOUD,Split,LOUD,aspas,raze,2,2,,,,,,,,64,0,0
Valorant Champions 2023,Group Stage,Opening (D),DRX vs LOUD,Ascent,DRX,stax,kayo,2,2,,,1,,,,,55,4,1
Valorant Champions 2023,Group Stage,Opening (D),DRX vs LOUD,Ascent,DRX,Rb,killjoy,3,4,,,1,,1,,,70,0,1
Valorant Champions 2023,Group Stage,Opening (D),DRX vs LOUD,Ascent,DRX,Zest,sova,1,1,1,,,,,1,,64,2,0
Valorant Champions 2023,Group Stage,Opening (D),DRX vs LOUD,Ascent,DRX,BuZz,jett,2,2,,,,,,,,38,0,1
Valorant Champions 2023,Group Stage,Opening (D),DRX vs LOUD,Ascent,DRX,MaKo,omen,4,,,,,,,,,63,1,0
Valorant Champions 2023,Group Stage,Opening (D),DRX vs LOUD,Ascent,LOUD,saadhak,breach,3,,,,,,,,,36,2,0
Valorant Champions 2023,Group Stage,Opening (D),DRX vs LOUD,Ascent,LOUD,tuyz,omen,4,1,,,,,,,,43,2,0
Valorant Champions 2023,Group Stage,Opening (D),DRX vs LOUD,Ascent,LOUD,cauanzin,fade,3,1,1,,,,,,,57,1,2
Valorant Champions 2023,Group Stage,Opening (D),DRX vs LOUD,Ascent,LOUD,Less,viper,3,,1,,1,,,1,,46,1,0
Valorant Champions 2023,Group Stage,Opening (D),DRX vs LOUD,Ascent,LOUD,aspas,jett,2,2,1,,,,,,,54,0,0
Valorant Champions 2023,Group Stage,Opening (B),FUT Esports vs T1,All Maps,FUT Esports,qRaxs,kayo,7,1,2,,,1,1,,,58,7,4
Valorant Champions 2023,Group Stage,Opening (B),FUT Esports vs T1,All Maps,FUT Esports,MOJJ,viper,10,2,,,1,1,,,,65,1,2
Valorant Champions 2023,Group Stage,Opening (B),FUT Esports vs T1,All Maps,FUT Esports,AtaKaptan,brimstone,3,4,,,,1,,,,54,0,1
Valorant Champions 2023,Group Stage,Opening (B),FUT Esports vs T1,All Maps,FUT Esports,MrFaliN,killjoy,6,1,,,1,1,,,,59,4,1
Valorant Champions 2023,Group Stage,Opening (B),FUT Esports vs T1,All Maps,FUT Esports,qw1,jett,6,1,,1,1,,,,,59,0,2
Valorant Champions 2023,Group Stage,Opening (B),FUT Esports vs T1,All Maps,T1,xeta,viper,3,1,,,,,,,,54,3,0
Valorant Champions 2023,Group Stage,Opening (B),FUT Esports vs T1,All Maps,T1,Munchkin,killjoy,4,3,,,1,,,,,65,3,1
Valorant Champions 2023,Group Stage,Opening (B),FUT Esports vs T1,All Maps,T1,Sayaplayer,jett,6,1,,,1,,,,,58,0,1
Valorant Champions 2023,Group Stage,Opening (B),FUT Esports vs T1,All Maps,T1,ban,harbor,5,1,,,,1,,,,39,10,0
Valorant Champions 2023,Group Stage,Opening (B),FUT Esports vs T1,All Maps,T1,Carpe,skye,2,,1,,,,,,,27,2,0
Valorant Champions 2023,Group Stage,Opening (B),FUT Esports vs T1,Pearl,FUT Esports,qRaxs,kayo,1,,2,,,,1,,,54,2,1
Valorant Champions 2023,Group Stage,Opening (B),FUT Esports vs T1,Pearl,FUT Esports,MOJJ,viper,7,1,,,1,1,,,,78,1,2
Valorant Champions 2023,Group Stage,Opening (B),FUT Esports vs T1,Pearl,FUT Esports,AtaKaptan,brimstone,1,2,,,,1,,,,55,0,1
Valorant Champions 2023,Group Stage,Opening (B),FUT Esports vs T1,Pearl,FUT Esports,MrFaliN,killjoy,3,1,,,1,1,,,,72,2,1
Valorant Champions 2023,Group Stage,Opening (B),FUT Esports vs T1,Pearl,FUT Esports,qw1,jett,2,1,,,1,,,,,55,0,1
Valorant Champions 2023,Group Stage,Opening (B),FUT Esports vs T1,Pearl,T1,xeta,viper,1,1,,,,,,,,55,1,0
Valorant Champions 2023,Group Stage,Opening (B),FUT Esports vs T1,Pearl,T1,Munchkin,killjoy,1,3,,,,,,,,83,1,0
Valorant Champions 2023,Group Stage,Opening (B),FUT Esports vs T1,Pearl,T1,Sayaplayer,jett,3,1,,,1,,,,,70,0,1
Valorant Champions 2023,Group Stage,Opening (B),FUT Esports vs T1,Pearl,T1,ban,harbor,3,,,,,1,,,,39,6,0
Valorant Champions 2023,Group Stage,Opening (B),FUT Esports vs T1,Pearl,T1,Carpe,skye,,,1,,,,,,,17,1,0
Valorant Champions 2023,Group Stage,Opening (B),FUT Esports vs T1,Haven,FUT Esports,qRaxs,gekko,6,1,,,,1,,,,61,5,3
Valorant Champions 2023,Group Stage,Opening (B),FUT Esports vs T1,Haven,FUT Esports,MOJJ,killjoy,3,1,,,,,,,,51,0,0
Valorant Champions 2023,Group Stage,Opening (B),FUT Esports vs T1,Haven,FUT Esports,AtaKaptan,omen,2,2,,,,,,,,52,0,0
Valorant Champions 2023,Group Stage,Opening (B),FUT Esports vs T1,Haven,FUT Esports,MrFaliN,breach,3,,,,,,,,,46,2,0
Valorant Champions 2023,Group Stage,Opening (B),FUT Esports vs T1,Haven,FUT Esports,qw1,jett,4,,,1,,,,,,62,0,1
Valorant Champions 2023,Group Stage,Opening (B),FUT Esports vs T1,Haven,T1,xeta,sova,2,,,,,,,,,53,2,0
Valorant Champions 2023,Group Stage,Opening (B),FUT Esports vs T1,Haven,T1,Munchkin,breach,3,,,,1,,,,,47,2,1
Valorant Champions 2023,Group Stage,Opening (B),FUT Esports vs T1,Haven,T1,Sayaplayer,jett,3,,,,,,,,,46,0,0
Valorant Champions 2023,Group Stage,Opening (B),FUT Esports vs T1,Haven,T1,ban,omen,2,1,,,,,,,,39,4,0
Valorant Champions 2023,Group Stage,Opening (B),FUT Esports vs T1,Haven,T1,Carpe,killjoy,2,,,,,,,,,37,1,0
Valorant Champions 2023,Group Stage,Opening (B),Evil Geniuses vs FunPlus Phoenix,All Maps,Evil Geniuses,Boostio,killjoy,2,,,,,1,,,,32,1,1
Valorant Champions 2023,Group Stage,Opening (B),Evil Geniuses vs FunPlus Phoenix,All Maps,Evil Geniuses,C0M,sova,6,2,,,,,,,,47,0,0
Valorant Champions 2023,Group Stage,Opening (B),Evil Geniuses vs FunPlus Phoenix,All Maps,Evil Geniuses,jawgemo,omen,4,3,2,,1,,,,,68,3,0
Valorant Champions 2023,Group Stage,Opening (B),Evil Geniuses vs FunPlus Phoenix,All Maps,Evil Geniuses,Ethan,kayo,5,,,,2,,,,,58,7,1
Valorant Champions 2023,Group Stage,Opening (B),Evil Geniuses vs FunPlus Phoenix,All Maps,Evil Geniuses,Demon1,jett,6,7,,,,1,,,,65,2,1
Valorant Champions 2023,Group Stage,Opening (B),Evil Geniuses vs FunPlus Phoenix,All Maps,FunPlus Phoenix,nizhaoTZH,astra,4,3,,,,,1,,,47,1,0
Valorant Champions 2023,Group Stage,Opening (B),Evil Geniuses vs FunPlus Phoenix,All Maps,FunPlus Phoenix,BerLIN,omen,,1,,,,,,,,29,3,1
Valorant Champions 2023,Group Stage,Opening (B),Evil Geniuses vs FunPlus Phoenix,All Maps,FunPlus Phoenix,Yuicaw,jett,6,,,,,,,,,48,1,0
Valorant Champions 2023,Group Stage,Opening (B),Evil Geniuses vs FunPlus Phoenix,All Maps,FunPlus Phoenix,AAAAY,skye,7,2,1,,1,1,,,,68,4,1
Valorant Champions 2023,Group Stage,Opening (B),Evil Geniuses vs FunPlus Phoenix,All Maps,FunPlus Phoenix,Lysoar,killjoy,7,,1,,,,,,,58,2,0
Valorant Champions 2023,Group Stage,Opening (B),Evil Geniuses vs FunPlus Phoenix,Ascent,Evil Geniuses,Boostio,killjoy,1,,,,,,,,,39,1,0
Valorant Champions 2023,Group Stage,Opening (B),Evil Geniuses vs FunPlus Phoenix,Ascent,Evil Geniuses,C0M,sova,2,,,,,,,,,45,0,0
Valorant Champions 2023,Group Stage,Opening (B),Evil Geniuses vs FunPlus Phoenix,Ascent,Evil Geniuses,jawgemo,omen,2,2,,,,,,,,68,2,0
Valorant Champions 2023,Group Stage,Opening (B),Evil Geniuses vs FunPlus Phoenix,Ascent,Evil Geniuses,Ethan,kayo,3,,,,2,,,,,69,4,1
Valorant Champions 2023,Group Stage,Opening (B),Evil Geniuses vs FunPlus Phoenix,Ascent,Evil Geniuses,Demon1,jett,2,3,,,,,,,,62,1,0
Valorant Champions 2023,Group Stage,Opening (B),Evil Geniuses vs FunPlus Phoenix,Ascent,FunPlus Phoenix,nizhaoTZH,astra,1,1,,,,,,,,29,0,0
Valorant Champions 2023,Group Stage,Opening (B),Evil Geniuses vs FunPlus Phoenix,Ascent,FunPlus Phoenix,BerLIN,omen,,,,,,,,,,20,2,0
Valorant Champions 2023,Group Stage,Opening (B),Evil Geniuses vs FunPlus Phoenix,Ascent,FunPlus Phoenix,Yuicaw,jett,3,,,,,,,,,43,1,0
Valorant Champions 2023,Group Stage,Opening (B),Evil Geniuses vs FunPlus Phoenix,Ascent,FunPlus Phoenix,AAAAY,skye,4,1,1,,1,1,,,,82,1,1
