Tournament,Stage,Match Type,Match Name,Map,Team,Type,Initiated,Won
Valorant Champions 2023,Group Stage,Opening (D),DRX vs LOUD,Split,LOUD,$$ (won),7,3
Valorant Champions 2023,Group Stage,Opening (D),DRX vs LOUD,Split,LOUD,$$$ (won),8,2
Valorant Champions 2023,Group Stage,Opening (D),DRX vs LOUD,Ascent,DRX,Pistol Won,,1
Valorant Champions 2023,Group Stage,Opening (D),DRX vs LOUD,Ascent,DRX,Eco (won),4,1
Valorant Champions 2023,Group Stage,Opening (D),DRX vs LOUD,Ascent,DRX,$ (won),1,1
Valorant Champions 2023,Group Stage,Opening (D),DRX vs LOUD,Ascent,DRX,$$ (won),6,3
Valorant Champions 2023,Group Stage,Opening (D),DRX vs LOUD,Ascent,DRX,$$$ (won),10,8
Valorant Champions 2023,Group Stage,Opening (D),DRX vs LOUD,Ascent,LOUD,Pistol Won,,1
Valorant Champions 2023,Group Stage,Opening (D),DRX vs LOUD,Ascent,LOUD,Eco (won),3,2
Valorant Champions 2023,Group Stage,Opening (D),DRX vs LOUD,Ascent,LOUD,$ (won),1,0
Valorant Champions 2023,Group Stage,Opening (D),DRX vs LOUD,Ascent,LOUD,$$ (won),9,4
Valorant Champions 2023,Group Stage,Opening (D),DRX vs LOUD,Ascent,LOUD,$$$ (won),8,2
Valorant Champions 2023,Group Stage,Opening (D),DRX vs LOUD,All Maps,DRX,Pistol Won,,3
Valorant Champions 2023,Group Stage,Opening (D),DRX vs LOUD,All Maps,DRX,Eco (won),10,3
Valorant Champions 2023,Group Stage,Opening (D),DRX vs LOUD,All Maps,DRX,$ (won),5,3
Valorant Champions 2023,Group Stage,Opening (D),DRX vs LOUD,All Maps,DRX,$$ (won),19,9
Valorant Champions 2023,Group Stage,Opening (D),DRX vs LOUD,All Maps,DRX,$$$ (won),34,24
Valorant Champions 2023,Group Stage,Opening (D),DRX vs LOUD,All Maps,LOUD,Pistol Won,,3
Valorant Champions 2023,Group Stage,Opening (D),DRX vs LOUD,All Maps,LOUD,Eco (won),9,5
Valorant Champions 2023,Group Stage,Opening (D),DRX vs LOUD,All Maps,LOUD,$ (won),2,0
Valorant Champions 2023,Group Stage,Opening (D),DRX vs LOUD,All Maps,LOUD,$$ (won),24,10
Valorant Champions 2023,Group Stage,Opening (D),DRX vs LOUD,All Maps,LOUD,$$$ (won),33,14
Valorant Champions 2023,Group Stage,Opening (B),FUT Esports vs T1,Pearl,FUT Esports,Pistol Won,,2
Valorant Champions 2023,Group Stage,Opening (B),FUT Esports vs T1,Pearl,FUT Esports,Eco (won),2,2
Valorant Champions 2023,Group Stage,Opening (B),FUT Esports vs T1,Pearl,FUT Esports,$ (won),0,0
Valorant Champions 2023,Group Stage,Opening (B),FUT Esports vs T1,Pearl,FUT Esports,$$ (won),5,3
Valorant Champions 2023,Group Stage,Opening (B),FUT Esports vs T1,Pearl,FUT Esports,$$$ (won),10,8
Valorant Champions 2023,Group Stage,Opening (B),FUT Esports vs T1,Pearl,T1,Pistol Won,,0
Valorant Champions 2023,Group Stage,Opening (B),FUT Esports vs T1,Pearl,T1,Eco (won),4,0
Valorant Champions 2023,Group Stage,Opening (B),FUT Esports vs T1,Pearl,T1,$ (won),2,1
Valorant Champions 2023,Group Stage,Opening (B),FUT Esports vs T1,Pearl,T1,$$ (won),4,1
Valorant Champions 2023,Group Stage,Opening (B),FUT Esports vs T1,Pearl,T1,$$$ (won),7,2
Valorant Champions 2023,Group Stage,Opening (B),FUT Esports vs T1,Haven,FUT Esports,Pistol Won,,2
Valorant Champions 2023,Group Stage,Opening (B),FUT Esports vs T1,Haven,FUT Esports,Eco (won),2,2
Valorant Champions 2023,Group Stage,Opening (B),FUT Esports vs T1,Haven,FUT Esports,$ (won),0,0
Valorant Champions 2023,Group Stage,Opening (B),FUT Esports vs T1,Haven,FUT Esports,$$ (won),4,2
Valorant Champions 2023,Group Stage,Opening (B),FUT Esports vs T1,Haven,FUT Esports,$$$ (won),14,9
Valorant Champions 2023,Group Stage,Opening (B),FUT Esports vs T1,Haven,T1,Pistol Won,,0
Valorant Champions 2023,Group Stage,Opening (B),FUT Esports vs T1,Haven,T1,Eco (won),3,0
Valorant Champions 2023,Group Stage,Opening (B),FUT Esports vs T1,Haven,T1,$ (won),1,0
Valorant Champions 2023,Group Stage,Opening (B),FUT Esports vs T1,Haven,T1,$$ (won),10,4
Valorant Champions 2023,Group Stage,Opening (B),FUT Esports vs T1,Haven,T1,$$$ (won),6,3
Valorant Champions 2023,Group Stage,Opening (B),FUT Esports vs T1,All Maps,FUT Esports,Pistol Won,,4
Valorant Champions 2023,Group Stage,Opening (B),FUT Esports vs T1,All Maps,FUT Esports,Eco (won),4,4
Valorant Champions 2023,Group Stage,Opening (B),FUT Esports vs T1,All Maps,FUT Esports,$ (won),0,0
Valorant Champions 2023,Group Stage,Opening (B),FUT Esports vs T1,All Maps,FUT Esports,$$ (won),9,5
Valorant Champions 2023,Group Stage,Opening (B),FUT Esports vs T1,All Maps,FUT Esports,$$$ (won),24,17
Valorant Champions 2023,Group Stage,Opening (B),FUT Esports vs T1,All Maps,T1,Pistol Won,,0
Valorant Champions 2023,Group Stage,Opening (B),FUT Esports vs T1,All Maps,T1,Eco (won),7,0
Valorant Champions 2023,Group Stage,Opening (B),FUT Esports vs T1,All Maps,T1,$ (won),3,1
Valorant Champions 2023,Group Stage,Opening (B),FUT Esports vs T1,All Maps,T1,$$ (won),14,5
Valorant Champions 2023,Group Stage,Opening (B),FUT Esports vs T1,All Maps,T1,$$$ (won),13,5
Valorant Champions 2023,Group Stage,Opening (B),Evil Geniuses vs FunPlus Phoenix,Ascent,Evil Geniuses,Pistol Won,,1
Valorant Champions 2023,Group Stage,Opening (B),Evil Geniuses vs FunPlus Phoenix,Ascent,Evil Geniuses,Eco (won),3,1
Valorant Champions 2023,Group Stage,Opening (B),Evil Geniuses vs FunPlus Phoenix,Ascent,Evil Geniuses,$ (won),0,0
Valorant Champions 2023,Group Stage,Opening (B),Evil Geniuses vs FunPlus Phoenix,Ascent,Evil Geniuses,$$ (won),4,2
Valorant Champions 2023,Group Stage,Opening (B),Evil Geniuses vs FunPlus Phoenix,Ascent,Evil Geniuses,$$$ (won),14,10
Valorant Champions 2023,Group Stage,Opening (B),Evil Geniuses vs FunPlus Phoenix,Ascent,FunPlus Phoenix,Pistol Won,,1
Valorant Champions 2023,Group Stage,Opening (B),Evil Geniuses vs FunPlus Phoenix,Ascent,FunPlus Phoenix,Eco (won),3,1
Valorant Champions 2023,Group Stage,Opening (B),Evil Geniuses vs FunPlus Phoenix,Ascent,FunPlus Phoenix,$ (won),2,0
Valorant Champions 2023,Group Stage,Opening (B),Evil Geniuses vs FunPlus Phoenix,Ascent,FunPlus Phoenix,$$ (won),8,4
Valorant Champions 2023,Group Stage,Opening (B),Evil Geniuses vs FunPlus Phoenix,Ascent,FunPlus Phoenix,$$$ (won),8,3
Valorant Champions 2023,Group Stage,Opening (B),Evil Geniuses vs FunPlus Phoenix,Pearl,Evil Geniuses,Pistol Won,,2
Valorant Champions 2023,Group Stage,Opening (B),Evil Geniuses vs FunPlus Phoenix,Pearl,Evil Geniuses,Eco (won),2,2
Valorant Champions 2023,Group Stage,Opening (B),Evil Geniuses vs FunPlus Phoenix,Pearl,Evil Geniuses,$ (won),2,0
Valorant Champions 2023,Group Stage,Opening (B),Evil Geniuses vs FunPlus Phoenix,Pearl,Evil Geniuses,$$ (won),4,2
Valorant Champions 2023,Group Stage,Opening (B),Evil Geniuses vs FunPlus Phoenix,Pearl,Evil Geniuses,$$$ (won),13,9
Valorant Champions 2023,Group Stage,Opening (B),Evil Geniuses vs FunPlus Phoenix,Pearl,FunPlus Phoenix,Pistol Won,,0
Valorant Champions 2023,Group Stage,Opening (B),Evil Geniuses vs FunPlus Phoenix,Pearl,FunPlus Phoenix,Eco (won),4,0
Valorant Champions 2023,Group Stage,Opening (B),Evil Geniuses vs FunPlus Phoenix,Pearl,FunPlus Phoenix,$ (won),0,0
Valorant Champions 2023,Group Stage,Opening (B),Evil Geniuses vs FunPlus Phoenix,Pearl,FunPlus Phoenix,$$ (won),6,3
Valorant Champions 2023,Group Stage,Opening (B),Evil Geniuses vs FunPlus Phoenix,Pearl,FunPlus Phoenix,$$$ (won),11,5
Valorant Champions 2023,Group Stage,Opening (B),Evil Geniuses vs FunPlus Phoenix,All Maps,Evil Geniuses,Pistol Won,,3
Valorant Champions 2023,Group Stage,Opening (B),Evil Geniuses vs FunPlus Phoenix,All Maps,Evil Geniuses,Eco (won),5,3
Valorant Champions 2023,Group Stage,Opening (B),Evil Geniuses vs FunPlus Phoenix,All Maps,Evil Geniuses,$ (won),2,0
Valorant Champions 2023,Group Stage,Opening (B),Evil Geniuses vs FunPlus Phoenix,All Maps,Evil Geniuses,$$ (won),8,4
Valorant Champions 2023,Group Stage,Opening (B),Evil Geniuses vs FunPlus Phoenix,All Maps,Evil Geniuses,$$$ (won),27,19
Valorant Champions 2023,Group Stage,Opening (B),Evil Geniuses vs FunPlus Phoenix,All Maps,FunPlus Phoenix,Pistol Won,,1
Valorant Champions 2023,Group Stage,Opening (B),Evil Geniuses vs FunPlus Phoenix,All Maps,FunPlus Phoenix,Eco (won),7,1
Valorant Champions 2023,Group Stage,Opening (B),Evil Geniuses vs FunPlus Phoenix,All Maps,FunPlus Phoenix,$ (won),2,0
Valorant Champions 2023,Group Stage,Opening (B),Evil Geniuses vs FunPlus Phoenix,All Maps,FunPlus Phoenix,$$ (won),14,7
Valorant Champions 2023,Group Stage,Opening (B),Evil Geniuses vs FunPlus Phoenix,All Maps,FunPlus Phoenix,$$$ (won),19,8
Valorant Champions 2023,Group Stage,Winner's (D),Natus Vincere vs DRX,Bind,Natus Vincere,Pistol Won,,1
Valorant Champions 2023,Group Stage,Winner's (D),Natus Vincere vs DRX,Bind,Natus Vincere,Eco (won),3,1
Valorant Champions 2023,Group Stage,Winner's (D),Natus Vincere vs DRX,Bind,Natus Vincere,$ (won),0,0
Valorant Champions 2023,Group Stage,Winner's (D),Natus Vincere vs DRX,Bind,Natus Vincere,$$ (won),7,3
Valorant Champions 2023,Group Stage,Winner's (D),Natus Vincere vs DRX,Bind,Natus Vincere,$$$ (won),18,9
Valorant Champions 2023,Group Stage,Winner's (D),Natus Vincere vs DRX,Bind,DRX,Pistol Won,,1
Valorant Champions 2023,Group Stage,Winner's (D),Natus Vincere vs DRX,Bind,DRX,Eco (won),3,1
Valorant Champions 2023,Group Stage,Winner's (D),Natus Vincere vs DRX,Bind,DRX,$ (won),0,0
Valorant Champions 2023,Group Stage,Winner's (D),Natus Vincere vs DRX,Bind,DRX,$$ (won),10,4
Valorant Champions 2023,Group Stage,Winner's (D),Natus Vincere vs DRX,Bind,DRX,$$$ (won),15,10
Valorant Champions 2023,Group Stage,Winner's (D),Natus Vincere vs DRX,Split,Natus Vincere,Pistol Won,,2
Valorant Champions 2023,Group Stage,Winner's (D),Natus Vincere vs DRX,Split,Natus Vincere,Eco (won),2,2
Valorant Champions 2023,Group Stage,Winner's (D),Natus Vincere vs DRX,Split,Natus Vincere,$ (won),0,0
Valorant Champions 2023,Group Stage,Winner's (D),Natus Vincere vs DRX,Split,Natus Vincere,$$ (won),6,3
Valorant Champions 2023,Group Stage,Winner's (D),Natus Vincere vs DRX,Split,Natus Vincere,$$$ (won),14,8
Valorant Champions 2023,Group Stage,Winner's (D),Natus Vincere vs DRX,Split,DRX,Pistol Won,,0
Valorant Champions 2023,Group Stage,Winner's (D),Natus Vincere vs DRX,Split,DRX,Eco (won),4,0
Valorant Champions 2023,Group Stage,Winner's (D),Natus Vincere vs DRX,Split,DRX,$ (won),1,0
Valorant Champions 2023,Group Stage,Winner's (D),Natus Vincere vs DRX,Split,DRX,$$ (won),6,4
Valorant Champions 2023,Group Stage,Winner's (D),Natus Vincere vs DRX,Split,DRX,$$$ (won),11,5
Valorant Champions 2023,Group Stage,Winner's (D),Natus Vincere vs DRX,Lotus,Natus Vincere,Pistol Won,,0
Valorant Champions 2023,Group Stage,Winner's (D),Natus Vincere vs DRX,Lotus,Natus Vincere,Eco (won),4,0
Valorant Champions 2023,Group Stage,Winner's (D),Natus Vincere vs DRX,Lotus,Natus Vincere,$ (won),0,0
Valorant Champions 2023,Group Stage,Winner's (D),Natus Vincere vs DRX,Lotus,Natus Vincere,$$ (won),6,5
Valorant Champions 2023,Group Stage,Winner's (D),Natus Vincere vs DRX,Lotus,Natus Vincere,$$$ (won),16,7
Valorant Champions 2023,Group Stage,Winner's (D),Natus Vincere vs DRX,Lotus,DRX,Pistol Won,,2
Valorant Champions 2023,Group Stage,Winner's (D),Natus Vincere vs DRX,Lotus,DRX,Eco (won),2,2
Valorant Champions 2023,Group Stage,Winner's (D),Natus Vincere vs DRX,Lotus,DRX,$ (won),2,1
Valorant Champions 2023,Group Stage,Winner's (D),Natus Vincere vs DRX,Lotus,DRX,$$ (won),14,5
Valorant Champions 2023,Group Stage,Winner's (D),Natus Vincere vs DRX,Lotus,DRX,$$$ (won),8,6
Valorant Champions 2023,Group Stage,Winner's (D),Natus Vincere vs DRX,All Maps,Natus Vincere,Pistol Won,,3
Valorant Champions 2023,Group Stage,Winner's (D),Natus Vincere vs DRX,All Maps,Natus Vincere,Eco (won),9,3
Valorant Champions 2023,Group Stage,Winner's (D),Natus Vincere vs DRX,All Maps,Natus Vincere,$ (won),0,0
Valorant Champions 2023,Group Stage,Winner's (D),Natus Vincere vs DRX,All Maps,Natus Vincere,$$ (won),19,11
Valorant Champions 2023,Group Stage,Winner's (D),Natus Vincere vs DRX,All Maps,Natus Vincere,$$$ (won),48,24
Valorant Champions 2023,Group Stage,Winner's (D),Natus Vincere vs DRX,All Maps,DRX,Pistol Won,,3
Valorant Champions 2023,Group Stage,Winner's (D),Natus Vincere vs DRX,All Maps,DRX,Eco (won),9,3
Valorant Champions 2023,Group Stage,Winner's (D),Natus Vincere vs DRX,All Maps,DRX,$ (won),3,1
Valorant Champions 2023,Group Stage,Winner's (D),Natus Vincere vs DRX,All Maps,DRX,$$ (won),30,13
Valorant Champions 2023,Group Stage,Winner's (D),Natus Vincere vs DRX,All Maps,DRX,$$$ (won),34,21
Valorant Champions 2023,Group Stage,Opening (C),NRG Esports vs Bilibili Gaming,Lotus,NRG Esports,Pistol Won,,2
Valorant Champions 2023,Group Stage,Opening (C),NRG Esports vs Bilibili Gaming,Lotus,NRG Esports,Eco (won),2,2
Valorant Champions 2023,Group Stage,Opening (C),NRG Esports vs Bilibili Gaming,Lotus,NRG Esports,$ (won),1,0
Valorant Champions 2023,Group Stage,Opening (C),NRG Esports vs Bilibili Gaming,Lotus,NRG Esports,$$ (won),5,3
Valorant Champions 2023,Group Stage,Opening (C),NRG Esports vs Bilibili Gaming,Lotus,NRG Esports,$$$ (won),18,7
Valorant Champions 2023,Group Stage,Opening (C),NRG Esports vs Bilibili Gaming,Lotus,Bilibili Gaming,Pistol Won,,0
Valorant Champions 2023,Group Stage,Opening (C),NRG Esports vs Bilibili Gaming,Lotus,Bilibili Gaming,Eco (won),4,0
Valorant Champions 2023,Group Stage,Opening (C),NRG Esports vs Bilibili Gaming,Lotus,Bilibili Gaming,$ (won),0,0
Valorant Champions 2023,Group Stage,Opening (C),NRG Esports vs Bilibili Gaming,Lotus,Bilibili Gaming,$$ (won),8,6
Valorant Champions 2023,Group Stage,Opening (C),NRG Esports vs Bilibili Gaming,Lotus,Bilibili Gaming,$$$ (won),14,8
Valorant Champions 2023,Group Stage,Opening (C),NRG Esports vs Bilibili Gaming,Split,NRG Esports,Pistol Won,,1
Valorant Champions 2023,Group Stage,Opening (C),NRG Esports vs Bilibili Gaming,Split,NRG Esports,Eco (won),3,1
Valorant Champions 2023,Group Stage,Opening (C),NRG Esports vs Bilibili Gaming,Split,NRG Esports,$ (won),2,0
Valorant Champions 2023,Group Stage,Opening (C),NRG Esports vs Bilibili Gaming,Split,NRG Esports,$$ (won),8,6
Valorant Champions 2023,Group Stage,Opening (C),NRG Esports vs Bilibili Gaming,Split,NRG Esports,$$$ (won),8,1
Valorant Champions 2023,Group Stage,Opening (C),NRG Esports vs Bilibili Gaming,Split,Bilibili Gaming,Pistol Won,,1
Valorant Champions 2023,Group Stage,Opening (C),NRG Esports vs Bilibili Gaming,Split,Bilibili Gaming,Eco (won),3,2
Valorant Champions 2023,Group Stage,Opening (C),NRG Esports vs Bilibili Gaming,Split,Bilibili Gaming,$ (won),0,0
Valorant Champions 2023,Group Stage,Opening (C),NRG Esports vs Bilibili Gaming,Split,Bilibili Gaming,$$ (won),5,3
Valorant Champions 2023,Group Stage,Opening (C),NRG Esports vs Bilibili Gaming,Split,Bilibili Gaming,$$$ (won),13,8
Valorant Champions 2023,Group Stage,Opening (C),NRG Esports vs Bilibili Gaming,All Maps,NRG Esports,Pistol Won,,3
Valorant Champions 2023,Group Stage,Opening (C),NRG Esports vs Bilibili Gaming,All Maps,NRG Esports,Eco (won),5,3
Valorant Champions 2023,Group Stage,Opening (C),NRG Esports vs Bilibili Gaming,All Maps,NRG Esports,$ (won),3,0
Valorant Champions 2023,Group Stage,Opening (C),NRG Esports vs Bilibili Gaming,All Maps,NRG Esports,$$ (won),13,9
Valorant Champions 2023,Group Stage,Opening (C),NRG Esports vs Bilibili Gaming,All Maps,NRG Esports,$$$ (won),26,8
Valorant Champions 2023,Group Stage,Opening (C),NRG Esports vs Bilibili Gaming,All Maps,Bilibili Gaming,Pistol Won,,1
Valorant Champions 2023,Group Stage,Opening (C),NRG Esports vs Bilibili Gaming,All Maps,Bilibili Gaming,Eco (won),7,2
Valorant Champions 2023,Group Stage,Opening (C),NRG Esports vs Bilibili Gaming,All Maps,Bilibili Gaming,$ (won),0,0
Valorant Champions 2023,Group Stage,Opening (C),NRG Esports vs Bilibili Gaming,All Maps,Bilibili Gaming,$$ (won),13,9
Valorant Champions 2023,Group Stage,Opening (C),NRG Esports vs Bilibili Gaming,All Maps,Bilibili Gaming,$$$ (won),27,16
Valorant Champions 2023,Group Stage,Opening (C),FNATIC vs ZETA DIVISION,Fracture,FNATIC,Pistol Won,,2
Valorant Champions 2023,Group Stage,Opening (C),FNATIC vs ZETA DIVISION,Fracture,FNATIC,Eco (won),2,2
Valorant Champions 2023,Group Stage,Opening (C),FNATIC vs ZETA DIVISION,Fracture,FNATIC,$ (won),0,0
Valorant Champions 2023,Group Stage,Opening (C),FNATIC vs ZETA DIVISION,Fracture,FNATIC,$$ (won),4,3
Valorant Champions 2023,Group Stage,Opening (C),FNATIC vs ZETA DIVISION,Fracture,FNATIC,$$$ (won),12,8
Valorant Champions 2023,Group Stage,Opening (C),FNATIC vs ZETA DIVISION,Fracture,ZETA DIVISION,Pistol Won,,0
Valorant Champions 2023,Group Stage,Opening (C),FNATIC vs ZETA DIVISION,Fracture,ZETA DIVISION,Eco (won),4,0
Valorant Champions 2023,Group Stage,Opening (C),FNATIC vs ZETA DIVISION,Fracture,ZETA DIVISION,$ (won),2,0
Valorant Champions 2023,Group Stage,Opening (C),FNATIC vs ZETA DIVISION,Fracture,ZETA DIVISION,$$ (won),2,0
Valorant Champions 2023,Group Stage,Opening (C),FNATIC vs ZETA DIVISION,Fracture,ZETA DIVISION,$$$ (won),10,5
Valorant Champions 2023,Group Stage,Opening (C),FNATIC vs ZETA DIVISION,Haven,FNATIC,Pistol Won,,2
Valorant Champions 2023,Group Stage,Opening (C),FNATIC vs ZETA DIVISION,Haven,FNATIC,Eco (won),2,2
Valorant Champions 2023,Group Stage,Opening (C),FNATIC vs ZETA DIVISION,Haven,FNATIC,$ (won),0,0
Valorant Champions 2023,Group Stage,Opening (C),FNATIC vs ZETA DIVISION,Haven,FNATIC,$$ (won),8,6
Valorant Champions 2023,Group Stage,Opening (C),FNATIC vs ZETA DIVISION,Haven,FNATIC,$$$ (won),9,5
Valorant Champions 2023,Group Stage,Opening (C),FNATIC vs ZETA DIVISION,Haven,ZETA DIVISION,Pistol Won,,0
Valorant Champions 2023,Group Stage,Opening (C),FNATIC vs ZETA DIVISION,Haven,ZETA DIVISION,Eco (won),3,0
Valorant Champions 2023,Group Stage,Opening (C),FNATIC vs ZETA DIVISION,Haven,ZETA DIVISION,$ (won),2,1
Valorant Champions 2023,Group Stage,Opening (C),FNATIC vs ZETA DIVISION,Haven,ZETA DIVISION,$$ (won),7,3
Valorant Champions 2023,Group Stage,Opening (C),FNATIC vs ZETA DIVISION,Haven,ZETA DIVISION,$$$ (won),7,2
Valorant Champions 2023,Group Stage,Opening (C),FNATIC vs ZETA DIVISION,All Maps,FNATIC,Pistol Won,,4
Valorant Champions 2023,Group Stage,Opening (C),FNATIC vs ZETA DIVISION,All Maps,FNATIC,Eco (won),4,4
Valorant Champions 2023,Group Stage,Opening (C),FNATIC vs ZETA DIVISION,All Maps,FNATIC,$ (won),0,0
Valorant Champions 2023,Group Stage,Opening (C),FNATIC vs ZETA DIVISION,All Maps,FNATIC,$$ (won),12,9
