Tournament,Stage,Match Type,Match Name,Map,Team,Elimination,Detonated,Defused,Time Expiry (No Plant),Eliminated,Defused Failed,Detonation Denied,Time Expiry (Failed to Plant)
Valorant Champions 2023,Group Stage,Opening (D),Team Liquid vs Natus Vincere,Fracture,Team Liquid,8,2,1,0,6,5,1,1
Valorant Champions 2023,Group Stage,Opening (D),Team Liquid vs Natus Vincere,Fracture,Natus Vincere,6,5,1,1,8,2,1,0
Valorant Champions 2023,Group Stage,Opening (D),Team Liquid vs Natus Vincere,Bind,Team Liquid,11,1,2,1,11,1,4,1
Valorant Champions 2023,Group Stage,Opening (D),Team Liquid vs Natus Vincere,Bind,Natus Vincere,11,1,4,1,11,1,2,1
Valorant Champions 2023,Group Stage,Opening (D),DRX vs LOUD,Lotus,DRX,5,4,3,1,8,2,4,1
Valorant Champions 2023,Group Stage,Opening (D),DRX vs LOUD,Lotus,LOUD,8,2,4,1,5,4,3,1
Valorant Champions 2023,Group Stage,Opening (D),DRX vs LOUD,Split,DRX,8,2,1,2,2,2,2,0
Valorant Champions 2023,Group Stage,Opening (D),DRX vs LOUD,Split,LOUD,2,2,2,0,8,2,1,2
Valorant Champions 2023,Group Stage,Opening (D),DRX vs LOUD,Ascent,DRX,9,1,3,0,6,0,2,0
Valorant Champions 2023,Group Stage,Opening (D),DRX vs LOUD,Ascent,LOUD,6,0,2,0,9,1,3,0
Valorant Champions 2023,Group Stage,Opening (B),FUT Esports vs T1,Pearl,FUT Esports,7,0,6,0,3,0,1,0
Valorant Champions 2023,Group Stage,Opening (B),FUT Esports vs T1,Pearl,T1,3,0,1,0,7,0,6,0
Valorant Champions 2023,Group Stage,Opening (B),FUT Esports vs T1,Haven,FUT Esports,7,1,4,1,4,2,1,0
Valorant Champions 2023,Group Stage,Opening (B),FUT Esports vs T1,Haven,T1,4,2,1,0,7,1,4,1
Valorant Champions 2023,Group Stage,Opening (B),Evil Geniuses vs FunPlus Phoenix,Ascent,Evil Geniuses,11,1,1,0,6,1,1,0
Valorant Champions 2023,Group Stage,Opening (B),Evil Geniuses vs FunPlus Phoenix,Ascent,FunPlus Phoenix,6,1,1,0,11,1,1,0
Valorant Champions 2023,Group Stage,Opening (B),Evil Geniuses vs FunPlus Phoenix,Pearl,Evil Geniuses,11,0,2,0,7,0,1,0
