Tournament,Stage,Match Type,Match Name,Map,Team A,Team A Score,Team A Attacker Score,Team A Defender Score,Team A Overtime Score,Team B,Team B Score,Team B Attacker Score,Team B Defender Score,Team B Overtime Score,Duration
Valorant Champions 2023,Group Stage,Decider (A),EDward Gaming vs Giants Gaming,Fracture,EDward Gaming,13,8,5,,Giants Gaming,7,3,4,,47:05
Valorant Champions 2023,Group Stage,Decider (C),Bilibili Gaming vs NRG Esports,Bind,Bilibili Gaming,13,5,8,,NRG Esports,10,3,7,,1:04:04
Valorant Champions 2023,Group Stage,Decider (C),Bilibili Gaming vs NRG Esports,Ascent,Bilibili Gaming,13,8,5,,NRG Esports,5,1,4,,40:36
Valorant Champions 2023,Playoffs,Upper Quarterfinals,FNATIC vs LOUD,Ascent,FNATIC,11,6,5,,LOUD,13,7,6,,1:09:19
Valorant Champions 2023,Playoffs,Upper Quarterfinals,FNATIC vs LOUD,Lotus,FNATIC,6,4,2,,LOUD,13,5,8,,44:40
Valorant Champions 2023,Playoffs,Upper Quarterfinals,Paper Rex vs FUT Esports,Ascent,Paper Rex,13,4,9,,FUT Esports,10,2,8,,54:58
Valorant Champions 2023,Playoffs,Upper Quarterfinals,Paper Rex vs FUT Esports,Pearl,Paper Rex,13,11,2,,FUT Esports,4,3,1,,38:42
Valorant Champions 2023,Playoffs,Upper Quarterfinals,DRX vs Bilibili Gaming,Lotus,DRX,13,2,11,,Bilibili Gaming,10,0,10,,1:04:41
Valorant Champions 2023,Playoffs,Upper Quarterfinals,DRX vs Bilibili Gaming,Haven,DRX,13,7,6,,Bilibili Gaming,9,4,5,,48:59
Valorant Champions 2023,Playoffs,Upper Quarterfinals,Evil Geniuses vs EDward Gaming,Split,Evil Geniuses,12,4,8,0,EDward Gaming,14,4,8,2,1:13:52
Valorant Champions 2023,Playoffs,Upper Quarterfinals,Evil Geniuses vs EDward Gaming,Ascent,Evil Geniuses,13,8,5,,EDward Gaming,5,1,4,,42:56
Valorant Champions 2023,Playoffs,Upper Quarterfinals,Evil Geniuses vs EDward Gaming,Pearl,Evil Geniuses,13,8,5,,EDward Gaming,5,1,4,,
Valorant Champions 2023,Playoffs,Lower Round 1,FNATIC vs FUT Esports,Split,FNATIC,13,10,3,,FUT Esports,5,3,2,,55:48
Valorant Champions 2023,Playoffs,Lower Round 1,FNATIC vs FUT Esports,Haven,FNATIC,13,5,8,,FUT Esports,9,2,7,,47:46
Valorant Champions 2023,Playoffs,Lower Round 1,Bilibili Gaming vs EDward Gaming,Bind,Bilibili Gaming,4,2,2,,EDward Gaming,13,3,10,,46:24
Valorant Champions 2023,Playoffs,Lower Round 1,Bilibili Gaming vs EDward Gaming,Split,Bilibili Gaming,15,8,4,3,EDward Gaming,13,8,4,1,1:03:07
Valorant Champions 2023,Playoffs,Lower Round 1,Bilibili Gaming vs EDward Gaming,Haven,Bilibili Gaming,10,6,4,,EDward Gaming,13,7,6,,
Valorant Champions 2023,Playoffs,Upper Semifinals,LOUD vs Paper Rex,Lotus,LOUD,13,7,5,1,Paper Rex,15,7,5,3,1:17:41
Valorant Champions 2023,Playoffs,Upper Semifinals,LOUD vs Paper Rex,Split,LOUD,13,10,3,,Paper Rex,2,0,2,,33:43
Valorant Champions 2023,Playoffs,Upper Semifinals,LOUD vs Paper Rex,Pearl,LOUD,10,5,5,,Paper Rex,13,6,7,,
Valorant Champions 2023,Playoffs,Upper Semifinals,DRX vs Evil Geniuses,Fracture,DRX,9,4,5,,Evil Geniuses,13,5,8,,1:02:57
Valorant Champions 2023,Playoffs,Upper Semifinals,DRX vs Evil Geniuses,Lotus,DRX,4,2,2,,Evil Geniuses,13,3,10,,36:28
Valorant Champions 2023,Playoffs,Lower Round 2,LOUD vs EDward Gaming,Bind,LOUD,11,6,5,,EDward Gaming,13,7,6,,1:13:21
Valorant Champions 2023,Playoffs,Lower Round 2,LOUD vs EDward Gaming,Ascent,LOUD,13,8,5,,EDward Gaming,5,1,4,,40:33
Valorant Champions 2023,Playoffs,Lower Round 2,LOUD vs EDward Gaming,Haven,LOUD,13,6,7,,EDward Gaming,11,5,6,,
Valorant Champions 2023,Playoffs,Lower Round 2,DRX vs FNATIC,Bind,DRX,13,11,2,,FNATIC,1,0,1,,43:48
Valorant Champions 2023,Playoffs,Lower Round 2,DRX vs FNATIC,Haven,DRX,9,6,3,,FNATIC,13,7,6,,52:41
Valorant Champions 2023,Playoffs,Lower Round 2,DRX vs FNATIC,Split,DRX,6,5,1,,FNATIC,13,6,7,,
Valorant Champions 2023,Playoffs,Upper Final,Paper Rex vs Evil Geniuses,Ascent,Paper Rex,10,7,3,,Evil Geniuses,13,8,5,,1:11:31
Valorant Champions 2023,Playoffs,Upper Final,Paper Rex vs Evil Geniuses,Bind,Paper Rex,13,5,8,,Evil Geniuses,9,2,7,,48:25
Valorant Champions 2023,Playoffs,Upper Final,Paper Rex vs Evil Geniuses,Pearl,Paper Rex,15,6,6,3,Evil Geniuses,13,6,6,1,
Valorant Champions 2023,Playoffs,Lower Round 3,FNATIC vs LOUD,Split,FNATIC,4,4,0,,LOUD,13,5,8,,1:13:00
Valorant Champions 2023,Playoffs,Lower Round 3,FNATIC vs LOUD,Ascent,FNATIC,13,5,8,,LOUD,9,2,7,,57:42
Valorant Champions 2023,Playoffs,Lower Round 3,FNATIC vs LOUD,Haven,FNATIC,7,4,3,,LOUD,13,5,8,,
Valorant Champions 2023,Playoffs,Lower Final,Evil Geniuses vs LOUD,Ascent,Evil Geniuses,14,7,5,2,LOUD,12,7,5,0,1:24:07
Valorant Champions 2023,Playoffs,Lower Final,Evil Geniuses vs LOUD,Lotus,Evil Geniuses,13,10,3,,LOUD,4,2,2,,44:07
Valorant Champions 2023,Playoffs,Lower Final,Evil Geniuses vs LOUD,Pearl,Evil Geniuses,8,3,5,,LOUD,13,4,9,,51:03
Valorant Champions 2023,Playoffs,Lower Final,Evil Geniuses vs LOUD,Split,Evil Geniuses,7,3,4,,LOUD,13,4,9,,49:19
Valorant Champions 2023,Playoffs,Lower Final,Evil Geniuses vs LOUD,Bind,Evil Geniuses,13,7,6,,LOUD,8,3,5,,
Valorant Champions 2023,Playoffs,Grand Final,Paper Rex vs Evil Geniuses,Split,Paper Rex,10,8,2,,Evil Geniuses,13,9,4,,54:56
Valorant Champions 2023,Playoffs,Grand Final,Paper Rex vs Evil Geniuses,Ascent,Paper Rex,13,7,6,,Evil Geniuses,11,6,5,,56:54
Valorant Champions 2023,Playoffs,Grand Final,Paper Rex vs Evil Geniuses,Bind,Paper Rex,5,3,2,,Evil Geniuses,13,4,9,,41:55
Valorant Champions 2023,Playoffs,Grand Final,Paper Rex vs Evil Geniuses,Lotus,Paper Rex,10,7,3,,Evil Geniuses,13,8,5,,52:22
Champions Tour 2023: Americas Last Chance Qualifier,Main Event,Upper Round 1,MIBR vs KRÜ Esports,Bind,MIBR,7,3,4,,KRÜ Esports,13,4,9,,1:02:20
Champions Tour 2023: Americas Last Chance Qualifier,Main Event,Upper Round 1,MIBR vs KRÜ Esports,Lotus,MIBR,8,3,5,,KRÜ Esports,13,4,9,,54:27
Champions Tour 2023: Americas Last Chance Qualifier,Main Event,Upper Quarterfinals,FURIA vs KRÜ Esports,Split,FURIA,14,7,5,2,KRÜ Esports,12,7,5,0,1:20:36
Champions Tour 2023: Americas Last Chance Qualifier,Main Event,Upper Quarterfinals,FURIA vs KRÜ Esports,Ascent,FURIA,4,3,1,,KRÜ Esports,13,4,9,,39:27
Champions Tour 2023: Americas Last Chance Qualifier,Main Event,Upper Quarterfinals,FURIA vs KRÜ Esports,Bind,FURIA,11,7,4,,KRÜ Esports,13,8,5,,
Champions Tour 2023: Americas Last Chance Qualifier,Main Event,Upper Quarterfinals,Sentinels vs 100 Thieves,Pearl,Sentinels,12,9,3,0,100 Thieves,14,9,3,2,1:10:41
Champions Tour 2023: Americas Last Chance Qualifier,Main Event,Upper Quarterfinals,Sentinels vs 100 Thieves,Split,Sentinels,13,5,8,,100 Thieves,7,0,7,,48:52
Champions Tour 2023: Americas Last Chance Qualifier,Main Event,Upper Quarterfinals,Sentinels vs 100 Thieves,Bind,Sentinels,13,10,3,,100 Thieves,7,5,2,,
Champions Tour 2023: Americas Last Chance Qualifier,Main Event,Upper Semifinals,Cloud9 vs Sentinels,Pearl,Cloud9,13,8,5,,Sentinels,8,4,4,,1:03:43
Champions Tour 2023: Americas Last Chance Qualifier,Main Event,Upper Semifinals,Cloud9 vs Sentinels,Fracture,Cloud9,5,3,2,,Sentinels,13,4,9,,38:40
Champions Tour 2023: Americas Last Chance Qualifier,Main Event,Upper Semifinals,Cloud9 vs Sentinels,Split,Cloud9,13,8,5,,Sentinels,8,4,4,,
Champions Tour 2023: Americas Last Chance Qualifier,Main Event,Upper Semifinals,Leviatán vs KRÜ Esports,Split,Leviatán,5,3,2,,KRÜ Esports,13,4,9,,54:06
Champions Tour 2023: Americas Last Chance Qualifier,Main Event,Upper Semifinals,Leviatán vs KRÜ Esports,Lotus,Leviatán,7,5,2,,KRÜ Esports,13,6,7,,51:32
Champions Tour 2023: Americas Last Chance Qualifier,Main Event,Upper Final,Cloud9 vs KRÜ Esports,Ascent,Cloud9,13,8,5,,KRÜ Esports,4,0,4,,52:21
Champions Tour 2023: Americas Last Chance Qualifier,Main Event,Upper Final,Cloud9 vs KRÜ Esports,Pearl,Cloud9,4,0,4,,KRÜ Esports,13,1,12,,41:06
Champions Tour 2023: Americas Last Chance Qualifier,Main Event,Upper Final,Cloud9 vs KRÜ Esports,Haven,Cloud9,6,4,2,,KRÜ Esports,13,5,8,,
Champions Tour 2023: Americas Last Chance Qualifier,Main Event,Lower Round 1,Sentinels vs Leviatán,Fracture,Sentinels,8,6,2,,Leviatán,13,7,6,,1:06:47
Champions Tour 2023: Americas Last Chance Qualifier,Main Event,Lower Round 1,Sentinels vs Leviatán,Split,Sentinels,4,4,0,,Leviatán,13,5,8,,39:41
Champions Tour 2023: Americas Last Chance Qualifier,Main Event,Lower Final,Cloud9 vs Leviatán,Lotus,Cloud9,13,8,5,,Leviatán,7,3,4,,59:44
Champions Tour 2023: Americas Last Chance Qualifier,Main Event,Lower Final,Cloud9 vs Leviatán,Pearl,Cloud9,13,6,7,,Leviatán,9,3,6,,53:50
Champions Tour 2023: Americas Last Chance Qualifier,Main Event,Lower Final,Cloud9 vs Leviatán,Split,Cloud9,11,6,5,,Leviatán,13,7,6,,54:59
Champions Tour 2023: Americas Last Chance Qualifier,Main Event,Lower Final,Cloud9 vs Leviatán,Haven,Cloud9,10,9,1,,Leviatán,13,10,3,,51:32
Champions Tour 2023: Americas Last Chance Qualifier,Main Event,Lower Final,Cloud9 vs Leviatán,Bind,Cloud9,7,5,2,,Leviatán,13,6,7,,
Champions Tour 2023: Americas Last Chance Qualifier,Main Event,Grand Final,KRÜ Esports vs Leviatán,Split,KRÜ Esports,13,9,4,,Leviatán,5,2,3,,58:41
Champions Tour 2023: Americas Last Chance Qualifier,Main Event,Grand Final,KRÜ Esports vs Leviatán,Pearl,KRÜ Esports,8,7,1,,Leviatán,13,8,5,,51:25
Champions Tour 2023: Americas Last Chance Qualifier,Main Event,Grand Final,KRÜ Esports vs Leviatán,Ascent,KRÜ Esports,13,7,6,,Leviatán,6,1,5,,47:32
Champions Tour 2023: Americas Last Chance Qualifier,Main Event,Grand Final,KRÜ Esports vs Leviatán,Lotus,KRÜ Esports,13,6,7,,Leviatán,10,4,6,,55:42
Champions Tour 2023: EMEA Last Chance Qualifier,Playoffs,Knockout Round,Team Heretics vs KOI,Fracture,Team Heretics,8,7,1,,KOI,13,8,5,,1:00:23
Champions Tour 2023: EMEA Last Chance Qualifier,Playoffs,Knockout Round,Team Heretics vs KOI,Pearl,Team Heretics,13,4,9,,KOI,10,2,8,,59:07
Champions Tour 2023: EMEA Last Chance Qualifier,Playoffs,Knockout Round,Team Heretics vs KOI,Haven,Team Heretics,6,4,2,,KOI,13,5,8,,
Champions Tour 2023: EMEA Last Chance Qualifier,Playoffs,Knockout Round,BBL Esports vs Karmine Corp,Haven,BBL Esports,14,4,8,2,Karmine Corp,12,4,8,0,1:08:26
Champions Tour 2023: EMEA Last Chance Qualifier,Playoffs,Knockout Round,BBL Esports vs Karmine Corp,Lotus,BBL Esports,9,5,4,,Karmine Corp,13,6,7,,51:09
Champions Tour 2023: EMEA Last Chance Qualifier,Playoffs,Knockout Round,BBL Esports vs Karmine Corp,Bind,BBL Esports,12,5,7,0,Karmine Corp,14,5,7,2,
Champions Tour 2023: EMEA Last Chance Qualifier,Playoffs,Upper Semifinals,Natus Vincere vs KOI,Split,Natus Vincere,6,6,0,,KOI,13,7,6,,1:11:12
Champions Tour 2023: EMEA Last Chance Qualifier,Playoffs,Upper Semifinals,Natus Vincere vs KOI,Lotus,Natus Vincere,3,3,0,,KOI,13,4,9,,39:23
Champions Tour 2023: EMEA Last Chance Qualifier,Playoffs,Upper Semifinals,Giants Gaming vs Karmine Corp,Pearl,Giants Gaming,13,9,4,,Karmine Corp,11,8,3,,1:17:35
Champions Tour 2023: EMEA Last Chance Qualifier,Playoffs,Upper Semifinals,Giants Gaming vs Karmine Corp,Split,Giants Gaming,13,10,3,,Karmine Corp,5,3,2,,47:05
Champions Tour 2023: EMEA Last Chance Qualifier,Playoffs,Upper Final,KOI vs Giants Gaming,Haven,KOI,12,5,7,0,Giants Gaming,14,5,7,2,1:19:18
Champions Tour 2023: EMEA Last Chance Qualifier,Playoffs,Upper Final,KOI vs Giants Gaming,Pearl,KOI,5,5,0,,Giants Gaming,13,6,7,,45:15
Champions Tour 2023: EMEA Last Chance Qualifier,Playoffs,Lower Round 1,Natus Vincere vs Karmine Corp,Lotus,Natus Vincere,13,7,6,,Karmine Corp,6,1,5,,1:01:11
Champions Tour 2023: EMEA Last Chance Qualifier,Playoffs,Lower Round 1,Natus Vincere vs Karmine Corp,Ascent,Natus Vincere,7,5,2,,Karmine Corp,13,6,7,,50:13
Champions Tour 2023: EMEA Last Chance Qualifier,Playoffs,Lower Round 1,Natus Vincere vs Karmine Corp,Pearl,Natus Vincere,13,8,5,,Karmine Corp,7,3,4,,
Champions Tour 2023: EMEA Last Chance Qualifier,Playoffs,Lower Final,KOI vs Natus Vincere,Split,KOI,12,7,5,0,Natus Vincere,14,7,5,2,1:19:13
Champions Tour 2023: EMEA Last Chance Qualifier,Playoffs,Lower Final,KOI vs Natus Vincere,Pearl,KOI,10,2,8,,Natus Vincere,13,3,10,,1:10:35
Champions Tour 2023: EMEA Last Chance Qualifier,Playoffs,Lower Final,KOI vs Natus Vincere,Fracture,KOI,9,7,2,,Natus Vincere,13,8,5,,55:02
Champions Tour 2023: EMEA Last Chance Qualifier,Playoffs,Grand Final,Giants Gaming vs Natus Vincere,Bind,Giants Gaming,13,6,7,,Natus Vincere,11,5,6,,1:19:21
Champions Tour 2023: EMEA Last Chance Qualifier,Playoffs,Grand Final,Giants Gaming vs Natus Vincere,Lotus,Giants Gaming,13,7,6,,Natus Vincere,7,2,5,,46:38
Champions Tour 2023: EMEA Last Chance Qualifier,Playoffs,Grand Final,Giants Gaming vs Natus Vincere,Haven,Giants Gaming,13,7,6,,Natus Vincere,9,4,5,,48:12
Champions Tour 2023: Pacific Last Chance Qualifier,Main Event,Upper Round 1,Talon Esports vs DetonatioN FocusMe,Fracture,Talon Esports,13,7,6,,DetonatioN FocusMe,7,2,5,,1:00:08
Champions Tour 2023: Pacific Last Chance Qualifier,Main Event,Upper Round 1,Talon Esports vs DetonatioN FocusMe,Ascent,Talon Esports,13,7,6,,DetonatioN FocusMe,8,3,5,,53:31
Champions Tour 2023: Pacific Last Chance Qualifier,Main Event,Upper Quarterfinals,Rex Regum Qeon vs Global Esports,Split,Rex Regum Qeon,13,7,6,,Global Esports,10,5,5,,1:07:50
Champions Tour 2023: Pacific Last Chance Qualifier,Main Event,Upper Quarterfinals,Rex Regum Qeon vs Global Esports,Ascent,Rex Regum Qeon,13,6,7,,Global Esports,10,4,6,,1:30:15
Champions Tour 2023: Pacific Last Chance Qualifier,Main Event,Upper Quarterfinals,Gen.G vs Talon Esports,Pearl,Gen.G,11,9,2,,Talon Esports,13,10,3,,1:02:57
Champions Tour 2023: Pacific Last Chance Qualifier,Main Event,Upper Quarterfinals,Gen.G vs Talon Esports,Split,Gen.G,13,7,6,,Talon Esports,10,5,5,,57:09
Champions Tour 2023: Pacific Last Chance Qualifier,Main Event,Upper Quarterfinals,Gen.G vs Talon Esports,Haven,Gen.G,15,4,8,3,Talon Esports,13,4,8,1,
Champions Tour 2023: Pacific Last Chance Qualifier,Main Event,Upper Semifinals,ZETA DIVISION vs Rex Regum Qeon,Haven,ZETA DIVISION,2,2,0,,Rex Regum Qeon,13,3,10,,46:32
Champions Tour 2023: Pacific Last Chance Qualifier,Main Event,Upper Semifinals,ZETA DIVISION vs Rex Regum Qeon,Split,ZETA DIVISION,13,7,6,,Rex Regum Qeon,8,3,5,,49:56
Champions Tour 2023: Pacific Last Chance Qualifier,Main Event,Upper Semifinals,ZETA DIVISION vs Rex Regum Qeon,Ascent,ZETA DIVISION,21,8,4,9,Rex Regum Qeon,19,8,4,7,
Champions Tour 2023: Pacific Last Chance Qualifier,Main Event,Upper Semifinals,Team Secret vs Gen.G,Haven,Team Secret,13,9,4,,Gen.G,6,3,3,,43:38
Champions Tour 2023: Pacific Last Chance Qualifier,Main Event,Upper Semifinals,Team Secret vs Gen.G,Ascent,Team Secret,13,8,5,,Gen.G,8,4,4,,50:53
Champions Tour 2023: Pacific Last Chance Qualifier,Main Event,Upper Final,ZETA DIVISION vs Team Secret,Lotus,ZETA DIVISION,13,9,4,,Team Secret,9,6,3,,1:05:02
Champions Tour 2023: Pacific Last Chance Qualifier,Main Event,Upper Final,ZETA DIVISION vs Team Secret,Fracture,ZETA DIVISION,13,6,7,,Team Secret,7,1,6,,41:14
Champions Tour 2023: Pacific Last Chance Qualifier,Main Event,Lower Round 1,Rex Regum Qeon vs Gen.G,Haven,Rex Regum Qeon,6,4,2,,Gen.G,13,5,8,,48:24
Champions Tour 2023: Pacific Last Chance Qualifier,Main Event,Lower Round 1,Rex Regum Qeon vs Gen.G,Lotus,Rex Regum Qeon,13,10,3,,Gen.G,2,0,2,,35:32
Champions Tour 2023: Pacific Last Chance Qualifier,Main Event,Lower Round 1,Rex Regum Qeon vs Gen.G,Ascent,Rex Regum Qeon,7,3,4,,Gen.G,13,4,9,,
Champions Tour 2023: Pacific Last Chance Qualifier,Main Event,Lower Final,Team Secret vs Gen.G,Haven,Team Secret,10,3,7,,Gen.G,13,4,9,,1:02:01
Champions Tour 2023: Pacific Last Chance Qualifier,Main Event,Lower Final,Team Secret vs Gen.G,Pearl,Team Secret,13,5,8,,Gen.G,11,4,7,,57:22
Champions Tour 2023: Pacific Last Chance Qualifier,Main Event,Lower Final,Team Secret vs Gen.G,Ascent,Team Secret,13,10,3,,Gen.G,2,0,2,,35:26
Champions Tour 2023: Pacific Last Chance Qualifier,Main Event,Lower Final,Team Secret vs Gen.G,Lotus,Team Secret,13,10,3,,Gen.G,6,4,2,,51:55
Champions Tour 2023: Pacific Last Chance Qualifier,Main Event,Grand Final,ZETA DIVISION vs Team Secret,Fracture,ZETA DIVISION,14,7,5,2,Team Secret,12,7,5,0,1:15:11
Champions Tour 2023: Pacific Last Chance Qualifier,Main Event,Grand Final,ZETA DIVISION vs Team Secret,Ascent,ZETA DIVISION,9,6,3,,Team Secret,13,7,6,,53:28
Champions Tour 2023: Pacific Last Chance Qualifier,Main Event,Grand Final,ZETA DIVISION vs Team Secret,Split,ZETA DIVISION,13,10,3,,Team Secret,7,5,2,,49:56
Champions Tour 2023: Pacific Last Chance Qualifier,Main Event,Grand Final,ZETA DIVISION vs Team Secret,Lotus,ZETA DIVISION,13,7,6,,Team Secret,6,1,5,,49:02
Champions Tour 2023: Champions China Qualifier,Preliminary Stage,Round 1,Weibo Gaming vs Totoro Gaming,Haven,Weibo Gaming,13,4,8,1,Totoro Gaming,15,4,8,3,1:00:30
Champions Tour 2023: Champions China Qualifier,Preliminary Stage,Round 1,Weibo Gaming vs Totoro Gaming,Split,Weibo Gaming,11,3,8,,Totoro Gaming,13,4,9,,54:30
Champions Tour 2023: Champions China Qualifier,Preliminary Stage,Round 1,Number One Player vs Douyu Gaming,Lotus,Number One Player,4,3,1,,Douyu Gaming,13,4,9,,
Champions Tour 2023: Champions China Qualifier,Preliminary Stage,Round 1,Number One Player vs Douyu Gaming,Split,Number One Player,12,3,9,0,Douyu Gaming,14,3,9,2,
Champions Tour 2023: Champions China Qualifier,Preliminary Stage,Round 1,Gank Gaming vs Royal Never Give Up,Ascent,Gank Gaming,6,6,0,,Royal Never Give Up,13,7,6,,42:54
Champions Tour 2023: Champions China Qualifier,Preliminary Stage,Round 1,Gank Gaming vs Royal Never Give Up,Lotus,Gank Gaming,13,8,5,,Royal Never Give Up,10,6,4,,53:54
Champions Tour 2023: Champions China Qualifier,Preliminary Stage,Round 1,Gank Gaming vs Royal Never Give Up,Bind,Gank Gaming,11,6,5,,Royal Never Give Up,13,7,6,,
Champions Tour 2023: Champions China Qualifier,Preliminary Stage,Round 1,Four Angry Men vs Night Wings Gaming,Bind,Four Angry Men,15,5,7,3,Night Wings Gaming,13,5,7,1,
