Tournament,Stage,Match Type,Match Name,Team,Action,Map
Valorant Champions 2023,Group Stage,Opening (D),Team Liquid vs Natus Vincere,Natus Vincere,ban,Haven
Valorant Champions 2023,Group Stage,Opening (D),Team Liquid vs Natus Vincere,Team Liquid,ban,Pearl
Valorant Champions 2023,Group Stage,Opening (D),Team Liquid vs Natus Vincere,Natus Vincere,pick,Fracture
Valorant Champions 2023,Group Stage,Opening (D),Team Liquid vs Natus Vincere,Team Liquid,pick,Bind
Valorant Champions 2023,Group Stage,Opening (D),Team Liquid vs Natus Vincere,Natus Vincere,ban,Lotus
Valorant Champions 2023,Group Stage,Opening (D),Team Liquid vs Natus Vincere,Team Liquid,ban,Ascent
Valorant Champions 2023,Group Stage,Opening (D),DRX vs LOUD,LOUD,ban,Fracture
Valorant Champions 2023,Group Stage,Opening (D),DRX vs LOUD,DRX,ban,Bind
Valorant Champions 2023,Group Stage,Opening (D),DRX vs LOUD,LOUD,pick,Lotus
Valorant Champions 2023,Group Stage,Opening (D),DRX vs LOUD,DRX,pick,Split
Valorant Champions 2023,Group Stage,Opening (D),DRX vs LOUD,LOUD,ban,Haven
Valorant Champions 2023,Group Stage,Opening (D),DRX vs LOUD,DRX,ban,Pearl
Valorant Champions 2023,Group Stage,Opening (B),FUT Esports vs T1,T1,ban,Split
Valorant Champions 2023,Group Stage,Opening (B),FUT Esports vs T1,FUT Esports,ban,Fracture
Valorant Champions 2023,Group Stage,Opening (B),FUT Esports vs T1,T1,pick,Pearl
Valorant Champions 2023,Group Stage,Opening (B),FUT Esports vs T1,FUT Esports,pick,Haven
Valorant Champions 2023,Group Stage,Opening (B),FUT Esports vs T1,T1,ban,Lotus
Valorant Champions 2023,Group Stage,Opening (B),FUT Esports vs T1,FUT Esports,ban,Bind
Valorant Champions 2023,Group Stage,Opening (B),Evil Geniuses vs FunPlus Phoenix,Evil Geniuses,ban,Lotus
Valorant Champions 2023,Group Stage,Opening (B),Evil Geniuses vs FunPlus Phoenix,FunPlus Phoenix,ban,Fracture
Valorant Champions 2023,Group Stage,Opening (B),Evil Geniuses vs FunPlus Phoenix,Evil Geniuses,pick,Ascent
Valorant Champions 2023,Group Stage,Opening (B),Evil Geniuses vs FunPlus Phoenix,FunPlus Phoenix,pick,Pearl
Valorant Champions 2023,Group Stage,Opening (B),Evil Geniuses vs FunPlus Phoenix,Evil Geniuses,ban,Haven
Valorant Champions 2023,Group Stage,Opening (B),Evil Geniuses vs FunPlus Phoenix,FunPlus Phoenix,ban,Split
Valorant Champions 2023,Group Stage,Winner's (D),Natus Vincere vs DRX,Natus Vincere,ban,Haven
Valorant Champions 2023,Group Stage,Winner's (D),Natus Vincere vs DRX,DRX,ban,Pearl
Valorant Champions 2023,Group Stage,Winner's (D),Natus Vincere vs DRX,Natus Vincere,pick,Bind
Valorant Champions 2023,Group Stage,Winner's (D),Natus Vincere vs DRX,DRX,pick,Split
Valorant Champions 2023,Group Stage,Winner's (D),Natus Vincere vs DRX,Natus Vincere,ban,Ascent
Valorant Champions 2023,Group Stage,Winner's (D),Natus Vincere vs DRX,DRX,ban,Fracture
Valorant Champions 2023,Group Stage,Opening (C),NRG Esports vs Bilibili Gaming,Bilibili Gaming,ban,Haven
Valorant Champions 2023,Group Stage,Opening (C),NRG Esports vs Bilibili Gaming,NRG Esports,ban,Ascent
Valorant Champions 2023,Group Stage,Opening (C),NRG Esports vs Bilibili Gaming,Bilibili Gaming,pick,Lotus
Valorant Champions 2023,Group Stage,Opening (C),NRG Esports vs Bilibili Gaming,NRG Esports,pick,Split
Valorant Champions 2023,Group Stage,Opening (C),NRG Esports vs Bilibili Gaming,Bilibili Gaming,ban,Bind
Valorant Champions 2023,Group Stage,Opening (C),NRG Esports vs Bilibili Gaming,NRG Esports,ban,Fracture
Valorant Champions 2023,Group Stage,Opening (C),FNATIC vs ZETA DIVISION,ZETA DIVISION,ban,Bind
Valorant Champions 2023,Group Stage,Opening (C),FNATIC vs ZETA DIVISION,FNATIC,ban,Pearl
Valorant Champions 2023,Group Stage,Opening (C),FNATIC vs ZETA DIVISION,ZETA DIVISION,pick,Fracture
Valorant Champions 2023,Group Stage,Opening (C),FNATIC vs ZETA DIVISION,FNATIC,pick,Haven
Valorant Champions 2023,Group Stage,Opening (C),FNATIC vs ZETA DIVISION,ZETA DIVISION,ban,Ascent
Valorant Champions 2023,Group Stage,Opening (C),FNATIC vs ZETA DIVISION,FNATIC,ban,Split
Valorant Champions 2023,Group Stage,Winner's (B),Evil Geniuses vs FUT Esports,Evil Geniuses,ban,Haven
Valorant Champions 2023,Group Stage,Winner's (B),Evil Geniuses vs FUT Esports,FUT Esports,ban,Fracture
Valorant Champions 2023,Group Stage,Winner's (B),Evil Geniuses vs FUT Esports,Evil Geniuses,pick,Pearl
Valorant Champions 2023,Group Stage,Winner's (B),Evil Geniuses vs FUT Esports,FUT Esports,pick,Bind
Valorant Champions 2023,Group Stage,Winner's (B),Evil Geniuses vs FUT Esports,Evil Geniuses,ban,Lotus
Valorant Champions 2023,Group Stage,Winner's (B),Evil Geniuses vs FUT Esports,FUT Esports,ban,Split
Valorant Champions 2023,Group Stage,Opening (A),Paper Rex vs KRÜ Esports,KRÜ Esports,ban,Fracture
Valorant Champions 2023,Group Stage,Opening (A),Paper Rex vs KRÜ Esports,Paper Rex,ban,Haven
Valorant Champions 2023,Group Stage,Opening (A),Paper Rex vs KRÜ Esports,KRÜ Esports,pick,Split
Valorant Champions 2023,Group Stage,Opening (A),Paper Rex vs KRÜ Esports,Paper Rex,pick,Pearl
Valorant Champions 2023,Group Stage,Opening (A),Paper Rex vs KRÜ Esports,KRÜ Esports,ban,Bind
Valorant Champions 2023,Group Stage,Opening (A),Paper Rex vs KRÜ Esports,Paper Rex,ban,Ascent
Valorant Champions 2023,Group Stage,Opening (A),EDward Gaming vs Giants Gaming,Giants Gaming,ban,Fracture
Valorant Champions 2023,Group Stage,Opening (A),EDward Gaming vs Giants Gaming,EDward Gaming,ban,Lotus
Valorant Champions 2023,Group Stage,Opening (A),EDward Gaming vs Giants Gaming,Giants Gaming,pick,Split
Valorant Champions 2023,Group Stage,Opening (A),EDward Gaming vs Giants Gaming,EDward Gaming,pick,Bind
Valorant Champions 2023,Group Stage,Opening (A),EDward Gaming vs Giants Gaming,Giants Gaming,ban,Haven
Valorant Champions 2023,Group Stage,Opening (A),EDward Gaming vs Giants Gaming,EDward Gaming,ban,Pearl
Valorant Champions 2023,Group Stage,Winner's (C),FNATIC vs Bilibili Gaming,Bilibili Gaming,ban,Fracture
Valorant Champions 2023,Group Stage,Winner's (C),FNATIC vs Bilibili Gaming,FNATIC,ban,Pearl
Valorant Champions 2023,Group Stage,Winner's (C),FNATIC vs Bilibili Gaming,Bilibili Gaming,pick,Haven
Valorant Champions 2023,Group Stage,Winner's (C),FNATIC vs Bilibili Gaming,FNATIC,pick,Lotus
Valorant Champions 2023,Group Stage,Winner's (C),FNATIC vs Bilibili Gaming,Bilibili Gaming,ban,Bind
Valorant Champions 2023,Group Stage,Winner's (C),FNATIC vs Bilibili Gaming,FNATIC,ban,Ascent
Valorant Champions 2023,Group Stage,Elimination (D),Team Liquid vs LOUD,LOUD,ban,Fracture
Valorant Champions 2023,Group Stage,Elimination (D),Team Liquid vs LOUD,Team Liquid,ban,Pearl
Valorant Champions 2023,Group Stage,Elimination (D),Team Liquid vs LOUD,LOUD,pick,Haven
Valorant Champions 2023,Group Stage,Elimination (D),Team Liquid vs LOUD,Team Liquid,pick,Split
